command,plot_id,x,y,moisture,growth,temp,humidity,light,co2,yield,extra
PLOT,86,491.963,850.642,28.576,1.297,27.428,54.75,1653.197,514.512,7.305,
PLOT,87,1291.324,489.269,52.085,3.494,18.54,49.711,1897.075,755.385,9.173,
PLOT,88,3.069,798.033,42.798,1.084,15.886,57.803,1172.08,497.568,6.526,
PLOT,89,1643.16,440.929,21.097,1.265,34.045,36.778,1643.985,573.511,9.455,
PLOT,90,1412.081,662.327,75.097,3.873,24.706,84.684,637.25,509.479,0.17,
PLOT,91,1960.415,452.534,43.83,0.221,29.949,36.432,673.964,710.485,4.111,
PLOT,92,1971.295,16.895,10.252,0.912,20.977,48.711,1104.193,751.131,7.293,
PLOT,93,1870.963,200.065,23.207,1.693,15.011,48.895,1089.577,643.93,1.755,
PLOT,94,972.889,1650.383,53.638,2.108,18.016,67.864,1509.005,319.084,7.979,
PLOT,95,1927.137,1559.056,14.474,3.889,32.03,76.652,1340.614,465.083,3.308,
PLOT,96,1799.884,509.269,48.577,1.216,25.004,80.396,650.885,663.985,9.969,
PLOT,97,1057.77,1823.184,54.423,2.918,27.374,59.503,916.0,467.85,2.799,
PLOT,98,1569.216,1710.326,64.775,2.705,27.53,63.609,1939.868,748.412,9.92,
PLOT,99,1043.654,1009.418,77.694,1.965,29.361,85.783,1286.647,528.801,1.604,
PLOT,100,184.265,10.374,29.99,2.722,19.39,81.597,872.055,447.448,9.254,
PLOT,101,431.062,1725.392,88.567,1.364,29.348,87.642,996.779,681.027,5.998,
PLOT,102,1199.602,1825.852,79.164,2.363,33.621,54.957,572.525,426.345,4.048,
PLOT,103,383.522,273.587,18.482,0.056,20.903,75.167,1743.772,672.094,3.124,
PLOT,104,343.223,1035.254,40.017,3.777,29.648,53.691,1421.434,389.934,8.374,
PLOT,105,277.756,137.695,23.928,1.776,17.343,70.307,1259.281,499.417,0.557,
PLOT,106,663.588,731.935,88.655,0.021,30.794,89.831,1741.688,687.217,4.055,
PLOT,107,403.544,1973.751,11.599,2.137,16.602,69.881,1670.831,610.451,1.442,
PLOT,108,552.734,724.934,43.823,4.504,23.401,83.111,910.417,737.152,9.991,
PLOT,109,1.751,990.437,47.306,2.621,23.631,82.398,1004.241,407.001,3.081,
PLOT,110,1999.88,516.282,62.602,1.285,32.463,57.939,139.4,714.053,2.188,
PLOT,111,1967.786,231.416,63.736,0.684,28.751,37.783,1199.653,387.505,9.063,
PLOT,112,1669.815,72.428,80.52,3.677,25.796,80.654,888.434,595.666,0.414,
PLOT,113,1953.43,142.296,75.665,0.473,15.455,62.081,164.006,792.741,9.97,
PLOT,114,1821.612,232.47,28.451,0.573,30.155,78.302,239.973,595.174,3.509,
PLOT,115,259.427,1123.589,72.33,2.447,30.873,68.359,1208.494,669.989,0.372,
PLOT,116,410.489,464.194,40.451,4.288,33.581,60.876,297.012,577.595,6.197,
PLOT,117,488.135,1882.46,75.436,2.745,28.252,40.369,1421.989,468.77,7.481,
PLOT,118,1036.106,1182.741,65.975,1.639,17.468,40.013,1070.385,650.089,1.828,
PLOT,119,554.051,966.6,53.418,2.681,19.834,75.577,313.33,584.159,7.26,
PLOT,120,1970.371,1247.139,82.343,2.159,19.06,37.793,515.325,549.654,9.456,
PLOT,121,56.635,1443.131,44.302,1.811,21.185,45.223,242.468,340.595,1.255,
PLOT,122,598.536,1445.742,87.781,1.213,23.094,61.804,1277.563,360.28,5.882,
PLOT,123,1429.393,1078.811,29.931,0.513,18.06,83.17,941.278,510.743,9.342,
PLOT,124,1496.19,652.096,53.944,2.262,31.096,75.902,394.463,475.402,3.252,
PLOT,125,79.473,943.718,53.44,4.316,30.698,57.298,269.872,432.626,9.479,
PLOT,126,139.751,1967.961,30.036,2.771,18.574,61.982,1146.142,664.962,4.857,
PLOT,127,227.415,1039.125,63.993,3.632,32.237,35.704,546.309,655.784,5.205,
PLOT,128,1167.349,350.15,49.745,0.408,31.227,45.18,317.697,340.781,5.31,
PLOT,129,1949.353,1996.278,24.138,1.183,33.435,36.681,622.881,692.39,6.919,
PLOT,130,561.06,1549.192,73.642,4.792,32.949,84.858,1396.495,445.488,2.73,
PLOT,131,1954.112,1107.009,76.775,4.999,15.75,59.683,1408.703,653.998,5.639,
PLOT,132,652.516,774.641,31.7,4.167,32.981,43.116,709.319,592.59,7.031,
PLOT,133,1936.414,1964.069,17.94,3.399,31.373,86.39,405.793,310.673,6.721,
PLOT,134,1724.055,1870.599,56.287,3.37,26.003,79.388,1163.197,605.624,9.963,
PLOT,135,1379.045,1145.167,85.708,4.557,18.995,57.529,761.278,579.985,5.554,
PLOT,136,626.529,1174.947,14.564,3.618,29.369,84.755,1150.636,333.023,5.433,
PLOT,137,1274.567,218.009,63.249,4.2,17.744,41.784,1553.627,397.675,9.494,
PLOT,138,1584.275,1483.967,66.362,2.203,20.13,41.411,1160.376,353.979,8.0,
PLOT,139,1152.14,1224.49,18.857,0.19,15.922,53.049,263.596,534.309,8.619,
PLOT,140,1573.985,743.789,61.618,2.702,24.094,57.874,1371.156,443.878,9.438,
PLOT,141,924.326,384.927,87.423,2.736,22.275,42.0,232.691,348.164,2.122,
PLOT,142,1201.271,477.629,11.207,2.585,33.693,41.25,1823.144,517.233,6.231,
PLOT,143,1217.348,432.923,58.667,4.964,23.059,85.99,1463.418,326.236,6.554,
PLOT,144,275.86,1203.44,62.309,2.594,18.227,55.208,1167.688,489.898,4.54,
PLOT,145,384.564,1614.359,49.626,3.407,23.626,66.601,1779.162,352.14,6.042,
PLOT,146,703.877,257.27,65.76,1.828,18.045,59.624,737.63,622.339,2.626,
PLOT,147,746.668,1719.172,49.486,1.694,24.821,57.066,1267.704,464.806,8.439,
PLOT,148,541.915,1924.407,16.462,0.901,16.026,82.124,1486.267,737.749,2.115,
PLOT,149,563.124,1920.511,88.88,1.159,20.33,43.088,674.053,601.7,2.833,
PLOT,150,268.05,389.84,22.689,4.776,29.311,76.382,1816.425,558.927,2.164,
PLOT,151,1542.067,1880.427,12.198,1.266,21.666,33.548,954.838,759.298,0.509,
PLOT,152,1339.739,233.55,66.517,1.591,34.329,49.547,956.778,767.078,1.537,
PLOT,153,436.348,1147.422,59.101,3.466,33.741,48.904,602.284,302.758,4.059,
PLOT,154,1327.276,977.475,61.981,2.677,20.904,77.631,1329.707,389.846,4.245,
PLOT,155,1006.118,674.354,81.099,1.31,20.013,54.05,1751.085,345.966,2.286,
PLOT,156,513.366,1168.92,53.708,3.606,30.022,30.667,202.102,738.627,3.709,
PLOT,157,1849.524,1857.485,64.751,4.566,32.158,78.876,360.018,393.835,2.636,
PLOT,158,783.051,373.006,16.6,0.743,30.034,46.459,174.926,424.091,9.657,
PLOT,159,294.518,1491.618,25.798,4.239,27.366,39.887,124.12,384.428,3.386,
PLOT,160,1574.687,45.585,39.142,1.038,15.556,33.219,783.129,534.09,7.887,
PLOT,161,1954.707,404.454,43.97,3.573,25.641,73.686,867.657,382.449,5.352,
PLOT,162,505.783,605.104,28.57,4.871,18.326,86.257,250.533,723.803,9.511,
PLOT,163,1782.081,335.43,32.112,0.631,17.287,68.9,1355.673,636.502,8.755,
PLOT,164,1672.737,1918.678,23.471,3.086,24.948,50.828,659.614,554.572,1.808,
PLOT,165,1236.76,236.797,12.26,3.135,20.526,63.019,970.391,331.312,8.484,
PLOT,166,1192.111,1446.863,52.208,2.567,32.419,49.846,1343.457,333.77,0.799,
PLOT,167,202.435,1025.76,45.421,0.42,20.653,35.236,332.619,428.945,8.241,
PLOT,168,1742.531,1690.979,52.47,0.767,23.638,42.434,1168.033,365.431,8.586,
PLOT,169,505.144,944.728,17.229,2.653,28.942,74.763,1237.876,413.556,7.322,
PLOT,170,730.739,1483.473,27.687,0.542,23.425,37.718,1435.958,725.24,9.848,
PLOT,171,1468.649,502.614,27.692,3.182,29.459,86.075,1857.985,595.234,8.195,
PLOT,172,1426.808,1435.987,63.947,0.161,20.176,84.287,940.769,768.623,1.178,
PLOT,173,19.355,86.663,35.366,3.752,19.297,72.475,1732.748,626.22,8.751,
PLOT,174,575.509,1194.821,72.621,4.351,22.846,60.029,1052.564,636.856,9.825,
PLOT,175,198.68,1204.794,34.981,4.867,20.015,65.392,1427.661,401.071,7.604,
PLOT,176,190.855,1174.741,39.976,0.624,30.739,46.205,1790.014,557.655,3.782,
PLOT,177,1605.926,1224.807,85.565,0.186,31.369,78.597,798.795,498.876,5.709,
PLOT,178,1220.202,221.879,88.058,4.691,20.155,42.415,1461.019,689.426,0.633,
PLOT,179,370.265,863.142,44.875,0.354,29.929,66.132,791.084,583.367,4.758,
PLOT,180,1420.876,950.965,20.891,2.052,34.916,70.191,842.886,362.513,6.511,
PLOT,181,567.532,10.217,66.711,3.157,34.376,78.54,1896.477,567.141,1.68,
PLOT,182,1739.712,1002.344,59.691,4.149,25.908,80.83,273.772,383.452,0.606,
PLOT,183,288.916,712.804,67.533,4.208,33.92,42.05,732.919,707.921,7.916,
PLOT,184,1610.397,258.918,69.911,2.86,30.023,46.437,1225.136,374.314,7.319,
PLOT,185,1672.677,62.938,73.186,4.355,30.15,45.092,1450.072,610.979,6.819,
PLOT,186,1393.068,805.885,62.054,4.78,22.94,34.84,864.092,428.23,8.047,
PLOT,187,678.202,102.173,24.469,3.797,22.512,39.964,1186.4,514.203,3.901,
PLOT,188,1447.589,979.046,45.699,2.239,28.115,66.199,1619.554,752.515,3.707,
PLOT,189,1966.277,1616.72,83.978,4.106,30.698,40.227,510.049,694.054,1.536,
PLOT,190,1425.88,1204.719,16.624,2.773,19.941,33.809,721.263,379.843,9.979,
PLOT,191,1004.273,1748.394,85.437,4.76,15.469,65.401,1628.256,525.368,9.72,
PLOT,192,486.927,659.878,10.599,1.346,27.707,38.465,1101.841,346.711,6.94,
PLOT,193,1189.643,1323.263,77.616,2.165,17.049,80.953,987.25,679.234,6.976,
PLOT,194,945.029,940.797,65.512,2.51,29.501,42.152,484.857,315.063,0.184,
PLOT,195,1662.853,550.104,84.237,1.255,17.468,61.776,1103.37,696.125,6.975,
PLOT,196,1439.723,334.264,59.058,4.612,26.887,36.998,1363.474,620.012,0.379,
PLOT,197,601.031,1681.389,16.422,4.281,26.38,82.377,571.233,320.96,9.739,
PLOT,198,340.962,1065.016,17.802,4.53,23.575,76.532,312.444,637.73,6.454,
PLOT,199,1902.614,1951.526,17.293,2.672,33.323,80.51,1452.541,613.948,2.18,
PLOT,200,79.6,82.876,29.238,2.756,15.091,39.438,842.0,527.715,0.916,
PLOT,201,808.915,1699.813,80.584,1.118,27.587,41.957,1832.419,362.268,1.589,
PLOT,202,1897.82,1547.436,78.781,2.31,21.653,63.997,1230.673,514.113,4.169,
PLOT,203,1820.4,1757.576,53.727,4.735,30.261,68.432,311.768,768.945,4.639,
PLOT,204,1823.864,329.033,84.59,2.913,16.491,30.549,1624.431,419.588,0.865,
PLOT,205,776.081,212.705,68.791,3.923,18.847,76.149,1532.71,509.549,1.534,
PLOT,206,652.694,1481.209,33.625,0.465,24.723,33.795,1435.312,482.869,4.052,
PLOT,207,762.855,1580.142,60.889,0.575,16.929,37.833,1045.322,468.705,1.541,
PLOT,208,1342.767,1867.985,74.038,1.759,25.571,82.912,1875.464,446.762,3.974,
PLOT,209,1725.118,1142.602,26.981,1.705,25.602,32.524,1916.428,438.178,1.176,
PLOT,210,92.642,319.935,54.761,0.622,23.38,31.534,1634.021,785.355,2.14,
PLOT,211,1236.115,328.794,41.006,2.538,20.405,86.194,1055.417,486.347,2.872,
PLOT,212,388.577,1976.883,48.424,3.631,16.756,46.634,1828.783,546.527,6.958,
PLOT,213,1524.304,90.998,62.276,0.581,17.125,59.433,868.086,678.601,8.435,
PLOT,214,1223.598,1104.416,54.518,2.298,27.327,66.637,1723.365,462.739,0.377,
PLOT,215,848.718,1843.345,23.069,2.754,32.676,82.884,1636.548,486.588,5.51,
PLOT,216,1618.804,820.858,26.381,1.006,25.727,57.092,604.454,429.139,2.396,
PLOT,217,1872.766,334.65,39.442,4.008,15.236,39.161,1630.357,524.117,1.902,
PLOT,218,1833.098,1471.365,85.732,1.288,18.814,77.972,571.016,573.094,3.076,
PLOT,219,152.667,951.979,57.751,3.654,25.62,32.931,1014.798,731.5,8.88,
PLOT,220,1266.477,1890.162,49.11,0.789,34.069,64.405,1889.839,610.079,4.51,
PLOT,221,953.13,300.969,63.117,1.073,30.243,49.878,1544.569,377.923,1.31,
PLOT,222,700.036,114.99,13.072,2.757,33.189,72.285,1480.816,686.325,2.108,
PLOT,223,655.548,1089.278,36.648,0.621,16.432,36.101,1968.476,457.087,8.849,
PLOT,224,83.559,1987.496,61.775,0.262,34.19,58.136,1932.159,554.851,5.247,
PLOT,225,1066.596,1426.281,30.081,0.454,18.496,84.082,1117.623,621.281,0.608,
PLOT,226,1495.654,368.414,11.716,3.946,32.342,47.739,1645.487,741.921,6.118,
PLOT,227,1214.537,1798.793,79.081,2.087,23.93,74.161,1689.609,771.544,9.853,
PLOT,228,873.009,1447.696,19.332,3.378,15.405,89.172,537.299,644.299,6.345,
PLOT,229,1463.48,1034.547,27.266,3.654,16.083,86.074,1433.755,397.623,4.101,
PLOT,230,11.445,229.419,71.916,0.806,16.43,48.287,684.821,492.138,1.458,
PLOT,231,986.113,166.951,60.985,1.043,27.425,64.627,612.865,598.539,2.054,
PLOT,232,1821.72,63.931,42.828,3.412,20.745,51.443,563.417,553.154,3.356,
PLOT,233,1344.912,1023.471,40.519,3.534,24.368,32.16,775.488,379.472,2.947,
PLOT,234,1078.24,270.348,37.087,3.344,23.925,80.387,1030.84,462.281,1.238,
PLOT,235,623.196,1936.61,27.602,0.602,27.158,30.652,673.375,467.799,2.665,
PLOT,236,1917.523,1040.166,45.56,2.472,21.672,71.689,1703.312,501.548,4.187,
PLOT,237,293.479,895.951,18.835,1.391,21.504,49.132,1732.381,333.305,0.746,
PLOT,238,494.228,1380.607,77.985,1.404,23.862,89.589,1082.174,676.197,6.315,
PLOT,239,714.748,1292.811,50.125,0.741,16.503,45.45,1401.257,344.595,9.746,
PLOT,240,575.38,279.117,68.006,2.554,15.507,50.883,1329.008,588.483,4.241,
PLOT,241,1096.771,1757.334,89.311,0.377,19.622,62.818,1074.656,765.775,0.928,
PLOT,242,1721.212,273.229,51.894,2.918,15.801,51.526,595.958,417.317,3.607,
PLOT,243,1070.167,860.067,17.181,3.236,19.621,87.891,330.828,750.815,0.368,
PLOT,244,1562.653,717.049,42.357,3.528,22.849,76.551,1306.751,331.115,0.693,
PLOT,245,850.244,1940.972,54.037,3.754,18.883,43.923,898.158,450.572,6.509,
PLOT,246,1919.684,1998.543,64.037,0.554,31.039,49.764,839.016,389.607,4.356,
PLOT,247,1733.607,1195.549,10.44,2.596,27.308,84.213,1578.876,399.293,2.443,
PLOT,248,1280.523,1629.939,62.78,4.86,33.677,47.47,933.39,522.058,9.233,
PLOT,249,41.256,481.026,14.079,3.971,33.798,32.275,1455.989,732.519,2.005,
PLOT,250,1892.66,486.935,70.19,1.083,29.365,38.959,1555.531,507.836,3.109,
PLOT,251,273.337,367.982,10.953,2.854,15.261,36.655,973.333,716.003,5.52,
PLOT,252,1290.657,1068.935,41.285,3.855,18.658,85.572,779.376,745.389,7.681,
PLOT,253,1693.238,59.715,29.492,0.35,20.097,60.92,1967.493,447.648,6.046,
PLOT,254,621.537,1129.046,21.185,0.18,28.88,36.177,1624.87,568.132,3.643,
PLOT,255,1194.619,122.629,73.35,4.668,30.611,40.192,224.189,385.804,6.876,
PLOT,256,922.384,104.916,30.003,3.872,16.106,50.938,1262.431,515.481,3.781,
PLOT,257,558.284,1328.245,76.736,3.956,28.707,89.047,1331.45,527.138,7.388,
PLOT,258,1358.305,1042.518,57.638,3.5,34.737,65.925,443.15,306.777,6.697,
PLOT,259,721.232,596.734,79.016,3.141,31.253,47.453,507.561,784.108,0.6,
PLOT,260,1037.39,436.322,87.259,3.218,24.426,51.463,599.382,637.605,4.473,
PLOT,261,58.47,1860.097,59.333,4.522,25.798,34.961,563.271,402.055,8.956,
PLOT,262,880.623,1594.267,72.104,4.194,20.705,68.324,1522.21,752.403,9.64,
PLOT,263,104.461,304.182,16.096,2.867,21.418,48.685,393.978,316.674,3.317,
PLOT,264,709.214,1023.029,67.077,4.13,17.455,78.982,1343.699,311.985,1.594,
PLOT,265,493.648,41.29,11.455,0.93,27.419,76.318,1163.595,555.869,1.026,
PLOT,266,877.358,1538.513,89.854,0.252,23.653,35.873,1223.109,686.193,7.184,
PLOT,267,1058.649,282.805,72.446,0.641,26.1,68.835,636.313,606.587,3.438,
PLOT,268,1987.655,1975.671,68.132,4.048,17.986,76.671,1937.846,749.74,2.042,
PLOT,269,1200.955,230.62,26.239,0.859,31.803,62.596,1146.664,769.503,5.537,
PLOT,270,1908.429,112.904,35.305,0.26,34.501,35.192,845.197,768.387,0.966,
PLOT,271,1358.251,1761.147,28.85,4.442,21.235,79.948,662.322,770.675,2.835,
PLOT,272,1655.588,57.221,50.865,4.702,18.211,54.308,1055.551,370.034,9.045,
PLOT,273,1527.644,734.579,72.949,2.466,24.735,32.398,746.606,643.095,2.798,
PLOT,274,1255.129,450.583,17.211,3.589,31.289,83.175,316.045,580.665,7.138,
PLOT,275,918.783,1838.903,79.522,0.247,32.792,53.114,818.161,679.583,2.492,
PLOT,276,693.826,1938.331,89.785,4.381,32.276,31.369,262.086,515.085,6.363,
PLOT,277,552.406,1487.262,10.438,0.591,20.998,34.204,1694.016,486.302,9.927,
PLOT,278,643.681,390.298,46.774,4.747,20.667,64.602,1181.515,518.154,4.979,
PLOT,279,1775.472,1533.145,19.353,4.664,32.709,81.617,251.867,438.785,8.904,
PLOT,280,233.007,769.063,28.769,1.837,31.792,53.872,1752.343,535.619,5.448,
PLOT,281,437.203,1542.031,14.092,2.32,29.033,68.794,1126.174,313.24,6.992,
PLOT,282,99.897,117.016,30.46,1.158,32.907,81.586,345.033,756.007,1.592,
PLOT,283,654.444,594.604,60.676,3.988,33.03,59.191,617.246,728.831,8.016,
PLOT,284,1345.063,1784.573,23.104,1.339,27.315,56.058,1073.118,772.882,2.345,
PLOT,285,1580.502,1148.248,28.929,1.174,20.451,84.556,845.723,659.663,2.898,
PLOT,286,1869.084,1424.859,70.865,3.242,25.598,50.306,955.709,510.453,7.201,
PLOT,287,31.026,865.122,70.939,0.808,17.271,79.356,395.225,367.248,8.623,
PLOT,288,1174.146,1924.367,69.322,3.444,25.049,74.104,504.601,337.213,0.192,
PLOT,289,1723.876,272.054,15.681,1.557,17.529,82.881,1724.415,453.857,1.67,
PLOT,290,1486.966,586.367,18.787,0.065,19.749,74.951,458.389,360.597,8.259,
PLOT,291,1179.603,839.476,85.718,3.952,27.818,31.601,1977.693,309.635,8.787,
PLOT,292,1271.159,1954.333,85.678,1.206,24.445,42.737,1656.901,577.951,8.871,
PLOT,293,1588.381,158.385,89.814,4.645,15.051,37.302,1740.836,686.659,7.07,
PLOT,294,1416.021,389.563,81.425,1.07,34.68,50.929,1799.685,597.616,5.673,
PLOT,295,1232.883,678.161,43.808,2.677,28.606,65.674,875.226,306.943,8.376,
PLOT,296,696.329,662.512,73.975,3.215,31.208,69.1,426.115,685.826,5.913,
PLOT,297,710.556,48.001,56.63,4.771,34.54,83.192,802.134,344.978,3.096,
PLOT,298,694.258,1388.578,54.97,1.416,16.92,76.33,1476.326,714.942,4.485,
PLOT,299,1080.953,501.474,45.94,3.985,28.925,79.857,950.091,707.329,4.811,
PLOT,300,1931.355,963.865,13.496,3.714,30.426,38.531,965.211,694.808,5.848,
PLOT,301,1325.406,1724.615,37.228,1.614,17.949,71.028,1813.175,728.082,4.012,
PLOT,302,455.881,89.257,26.215,1.738,32.554,74.824,526.693,443.602,0.5,
PLOT,303,1191.3,1592.734,32.123,3.39,22.409,58.836,1149.046,501.507,9.464,
PLOT,304,911.451,1250.891,42.964,2.384,31.9,46.807,608.736,689.941,7.352,
PLOT,305,1678.88,1339.381,12.975,1.97,24.298,81.817,1125.152,649.618,7.27,
