command,timestamp,sensor_id,pm25,pm10,no2,so2,o3,temp,extra
SENSOR,1735690440,70,143.315,83.638,155.611,51.094,168.16,28.566,
SENSOR,1735690470,174,27.713,235.2,191.901,66.645,72.233,38.048,
SENSOR,1735690500,14,244.091,154.18,138.767,83.412,71.795,30.978,
SENSOR,1735690530,187,188.137,231.792,11.078,40.264,127.832,-4.903,
SENSOR,1735690560,33,53.635,178.668,120.24,97.068,88.596,30.488,
SENSOR,1735690590,128,117.59,205.457,196.356,118.48,148.041,25.323,
SENSOR,1735690620,139,44.166,100.261,168.079,148.808,129.355,20.826,
SENSOR,1735690650,40,78.596,165.882,126.308,139.843,26.99,17.125,
SENSOR,1735690680,175,205.334,217.88,63.676,10.593,83.44,22.029,
SENSOR,1735690710,170,127.738,139.213,116.697,20.261,108.015,18.923,
SENSOR,1735690740,52,218.488,196.687,41.077,144.405,99.853,38.453,
SENSOR,1735690770,172,170.854,45.118,21.703,121.533,14.047,20.879,
SENSOR,1735690800,47,205.097,262.727,123.938,146.653,8.423,39.606,
SENSOR,1735690830,41,60.761,241.762,186.29,27.734,114.347,30.308,
SENSOR,1735690860,187,27.591,139.399,54.25,122.289,100.159,-2.907,
SENSOR,1735690890,190,96.38,15.498,112.89,80.459,28.921,11.987,
SENSOR,1735690920,126,246.386,130.33,165.238,52.898,125.126,18.401,
SENSOR,1735690950,159,210.664,101.951,167.838,80.905,89.374,16.045,
SENSOR,1735690980,198,53.945,139.404,165.368,31.649,177.838,4.835,
SENSOR,1735691010,83,16.104,246.123,153.976,91.596,131.666,12.819,
SENSOR,1735691040,120,7.085,206.204,110.829,82.72,57.035,19.522,
SENSOR,1735691070,106,210.571,191.761,194.685,112.522,29.741,21.859,
SENSOR,1735691100,138,194.846,196.846,35.673,62.016,128.118,5.932,
SENSOR,1735691130,50,169.036,190.291,167.839,92.473,154.92,8.111,
SENSOR,1735691160,42,247.253,193.167,153.683,119.155,71.019,23.602,
SENSOR,1735691190,91,215.241,107.248,21.612,60.102,94.059,1.23,
SENSOR,1735691220,18,216.195,164.493,195.181,112.664,87.387,37.533,
SENSOR,1735691250,190,140.749,150.546,12.278,121.536,70.803,41.401,
SENSOR,1735691280,198,210.384,292.906,91.823,69.84,162.824,36.055,
SENSOR,1735691310,107,50.906,187.123,3.672,65.197,102.925,6.585,
SENSOR,1735691340,198,143.476,269.092,190.214,39.431,8.758,29.169,
SENSOR,1735691370,13,203.13,11.456,144.813,13.837,66.195,34.559,
SENSOR,1735691400,152,147.697,221.866,105.924,16.148,13.091,23.578,
SENSOR,1735691430,19,11.113,105.931,61.285,3.373,157.816,3.636,
SENSOR,1735691460,92,64.293,247.361,106.702,136.35,98.091,14.401,
SENSOR,1735691490,107,243.828,242.629,98.018,91.442,120.261,41.456,
SENSOR,1735691520,145,131.285,160.579,74.892,97.875,55.401,6.116,
SENSOR,1735691550,189,238.351,33.587,111.254,116.114,126.059,32.764,
SENSOR,1735691580,73,79.199,114.77,188.827,101.952,90.083,39.911,
SENSOR,1735691610,167,13.983,74.571,136.272,117.717,50.396,5.199,
SENSOR,1735691640,5,33.127,76.234,54.898,81.768,103.992,18.885,
SENSOR,1735691670,71,227.61,263.528,190.661,71.528,122.921,-3.832,
SENSOR,1735691700,16,195.237,1.723,170.751,14.988,13.935,21.689,
SENSOR,1735691730,186,81.273,120.655,51.038,137.953,47.779,22.566,
SENSOR,1735691760,60,100.929,135.385,78.912,120.669,74.18,33.224,
SENSOR,1735691790,93,126.615,8.422,4.136,78.389,41.452,40.94,
SENSOR,1735691820,101,112.073,154.607,53.563,10.19,72.644,23.845,
SENSOR,1735691850,155,64.08,215.283,29.195,134.32,167.614,20.69,
SENSOR,1735691880,176,93.456,222.117,1.879,19.321,47.974,6.787,
SENSOR,1735691910,28,169.432,125.644,14.967,136.841,174.861,-3.057,
SENSOR,1735691940,154,175.634,212.882,142.545,33.147,155.092,37.364,
SENSOR,1735691970,55,215.903,233.54,179.783,70.903,31.675,21.478,
SENSOR,1735692000,21,175.432,12.668,175.393,15.623,99.968,15.875,
SENSOR,1735692030,138,215.663,122.885,147.768,22.474,38.071,43.687,
SENSOR,1735692060,4,42.007,145.949,165.795,122.007,28.818,24.014,
SENSOR,1735692090,71,125.918,127.671,170.779,62.018,137.273,16.678,
SENSOR,1735692120,24,70.48,208.086,22.229,134.493,134.533,37.423,
SENSOR,1735692150,13,195.816,178.286,96.608,6.547,23.347,29.025,
SENSOR,1735692180,41,17.782,51.736,61.602,111.55,16.594,41.742,
SENSOR,1735692210,149,248.147,27.519,151.281,9.759,64.493,9.798,
SENSOR,1735692240,56,7.654,180.608,131.469,69.537,29.52,25.274,
SENSOR,1735692270,170,150.198,11.624,31.543,138.051,122.841,-1.867,
SENSOR,1735692300,17,31.313,33.707,40.731,73.801,97.808,-2.719,
SENSOR,1735692330,97,138.164,31.225,197.603,53.184,97.963,-4.13,
SENSOR,1735692360,109,122.299,127.17,139.269,68.61,98.669,-2.935,
SENSOR,1735692390,80,138.941,167.334,27.798,66.051,157.493,39.829,
SENSOR,1735692420,165,124.582,248.956,94.912,148.546,150.722,14.458,
SENSOR,1735692450,120,145.473,15.973,134.454,66.764,116.773,34.742,
SENSOR,1735692480,106,137.85,202.447,17.553,2.928,129.866,26.255,
SENSOR,1735692510,195,2.651,91.816,21.998,0.542,126.817,23.716,
SENSOR,1735692540,45,175.998,219.849,159.617,20.052,15.642,4.993,
SENSOR,1735692570,131,44.003,70.845,56.09,148.05,0.801,7.594,
SENSOR,1735692600,41,62.452,81.254,166.731,108.829,97.447,41.264,
SENSOR,1735692630,106,169.142,30.945,85.364,24.621,115.733,40.476,
SENSOR,1735692660,88,230.634,16.676,36.264,126.184,90.277,40.968,
SENSOR,1735692690,121,196.976,291.971,59.398,87.501,149.64,9.568,
SENSOR,1735692720,64,105.83,272.201,32.974,35.054,36.919,8.194,
SENSOR,1735692750,177,48.21,188.017,75.168,114.373,145.793,10.246,
SENSOR,1735692780,33,169.54,270.327,180.01,80.367,131.428,0.033,
SENSOR,1735692810,101,24.999,258.218,131.253,102.817,30.268,2.988,
SENSOR,1735692840,67,103.194,141.955,136.239,54.999,86.501,3.728,
SENSOR,1735692870,124,5.924,243.576,146.671,62.862,125.851,11.8,
SENSOR,1735692900,58,41.881,2.428,117.019,144.608,53.423,23.52,
SENSOR,1735692930,104,0.869,101.3,199.678,86.466,121.384,20.053,
SENSOR,1735692960,164,94.696,258.753,115.815,78.55,146.596,12.926,
SENSOR,1735692990,177,113.489,142.293,198.501,144.817,169.256,40.847,
SENSOR,1735693020,33,183.609,267.932,33.087,69.479,103.092,21.369,
SENSOR,1735693050,6,58.927,16.023,17.256,146.289,87.959,31.632,
SENSOR,1735693080,33,200.929,132.655,104.37,77.267,125.798,41.057,
SENSOR,1735693110,196,235.703,171.687,114.068,90.749,156.524,12.527,
SENSOR,1735693140,80,87.076,287.224,103.854,60.844,24.541,-3.991,
SENSOR,1735693170,179,45.639,86.9,6.845,72.444,136.744,21.872,
SENSOR,1735693200,20,12.853,51.819,144.765,31.05,83.123,7.828,
SENSOR,1735693230,46,240.685,21.118,65.033,106.5,17.982,34.924,
SENSOR,1735693260,101,29.579,279.726,17.934,89.552,141.867,1.648,
SENSOR,1735693290,140,50.356,69.084,15.669,66.073,76.89,29.039,
SENSOR,1735693320,79,184.478,223.459,196.617,80.923,145.031,31.464,
SENSOR,1735693350,82,96.671,89.878,77.782,127.059,59.59,1.356,
SENSOR,1735693380,110,169.621,6.616,68.672,128.124,72.127,40.18,
SENSOR,1735693410,122,227.004,230.749,134.726,125.521,46.1,22.438,
SENSOR,1735693440,144,0.421,69.765,111.428,145.705,16.915,34.066,
SENSOR,1735693470,29,213.173,239.9,152.007,63.839,10.798,41.702,
SENSOR,1735693500,122,216.912,114.854,150.859,58.44,160.317,36.95,
SENSOR,1735693530,143,11.295,36.758,110.142,139.355,138.02,4.577,
SENSOR,1735693560,88,97.371,37.015,166.291,7.216,3.748,28.302,
SENSOR,1735693590,102,157.106,242.189,141.569,23.184,19.564,39.729,
SENSOR,1735693620,11,27.646,4.921,52.341,100.848,102.207,1.771,
SENSOR,1735693650,170,116.423,209.417,110.58,74.145,33.19,13.472,
SENSOR,1735693680,45,65.844,262.122,119.816,86.941,94.444,34.437,
SENSOR,1735693710,18,208.7,92.436,6.13,47.071,131.383,42.884,
SENSOR,1735693740,17,200.358,74.791,43.811,138.693,170.929,42.962,
SENSOR,1735693770,75,134.31,263.85,1.568,113.665,91.087,5.571,
SENSOR,1735693800,86,175.471,17.337,150.024,120.72,106.037,18.397,
SENSOR,1735693830,195,211.889,191.316,129.843,67.811,121.839,42.45,
SENSOR,1735693860,154,0.636,226.723,23.443,65.729,125.893,33.707,
SENSOR,1735693890,168,195.438,177.382,135.643,25.025,91.268,25.185,
SENSOR,1735693920,109,228.663,97.683,87.869,134.928,8.783,-0.048,
SENSOR,1735693950,192,92.791,275.872,6.473,33.593,44.152,9.674,
SENSOR,1735693980,75,10.736,248.851,61.331,115.5,9.472,1.924,
SENSOR,1735694010,99,64.531,242.313,123.656,2.539,65.646,32.957,
SENSOR,1735694040,66,125.751,95.459,96.821,122.119,116.292,0.404,
SENSOR,1735694070,129,242.784,216.608,133.323,99.562,29.232,15.607,
SENSOR,1735694100,72,239.907,271.54,36.989,121.633,98.258,13.982,
SENSOR,1735694130,89,9.916,253.145,16.049,145.849,111.704,43.583,
SENSOR,1735694160,186,11.884,297.323,8.903,134.016,175.127,18.629,
SENSOR,1735694190,94,73.344,179.928,185.236,43.727,122.136,20.803,
SENSOR,1735694220,162,74.936,289.821,96.476,107.668,178.609,-4.985,
SENSOR,1735694250,157,174.577,274.976,125.963,142.379,34.068,34.584,
SENSOR,1735694280,27,0.847,253.485,197.925,120.239,169.847,32.596,
SENSOR,1735694310,36,19.794,292.438,43.109,2.142,58.631,33.153,
SENSOR,1735694340,185,93.972,100.623,106.564,117.73,4.269,11.049,
SENSOR,1735694370,189,22.157,189.378,83.366,59.818,137.163,11.05,
SENSOR,1735694400,178,6.914,222.531,152.952,142.22,43.066,27.957,
SENSOR,1735694430,26,24.304,81.651,10.289,23.883,99.1,38.059,
SENSOR,1735694460,138,52.517,101.021,39.16,72.767,49.416,22.665,
SENSOR,1735694490,166,60.441,187.181,167.601,97.708,54.547,36.43,
SENSOR,1735694520,121,73.119,139.774,95.823,67.043,80.701,32.355,
SENSOR,1735694550,80,20.447,295.988,98.364,134.715,107.849,12.451,
SENSOR,1735694580,18,106.399,19.804,127.454,148.572,7.88,32.779,
SENSOR,1735694610,121,72.947,125.006,32.172,94.503,123.163,31.566,
SENSOR,1735694640,47,111.938,130.525,123.103,18.063,174.338,32.249,
SENSOR,1735694670,189,37.756,18.821,167.775,117.589,74.503,37.528,
SENSOR,1735694700,137,211.817,22.343,110.675,129.831,26.331,5.657,
SENSOR,1735694730,23,193.649,49.086,115.651,144.469,71.182,15.226,
SENSOR,1735694760,61,4.191,115.666,113.472,33.18,161.405,27.907,
SENSOR,1735694790,77,99.147,281.134,73.099,117.492,117.345,1.315,
SENSOR,1735694820,33,87.513,58.523,177.824,41.191,109.528,-1.447,
SENSOR,1735694850,9,60.047,72.924,97.02,27.891,77.561,-2.59,
SENSOR,1735694880,172,103.129,201.159,171.113,13.578,30.795,7.219,
SENSOR,1735694910,95,197.061,262.28,25.888,72.688,77.902,7.153,
SENSOR,1735694940,188,91.583,181.487,64.448,58.116,149.105,27.721,
SENSOR,1735694970,88,141.823,49.355,168.439,126.655,178.904,13.36,
SENSOR,1735695000,75,145.318,273.337,88.831,148.922,93.182,2.675,
SENSOR,1735695030,53,152.227,72.013,130.672,113.699,4.959,44.662,
SENSOR,1735695060,57,115.704,171.025,175.357,124.588,153.861,23.428,
SENSOR,1735695090,29,155.715,160.48,91.495,71.676,142.671,40.879,
SENSOR,1735695120,173,50.348,206.336,100.91,128.059,126.714,25.807,
SENSOR,1735695150,139,160.797,106.576,146.511,46.918,33.303,-4.545,
SENSOR,1735695180,77,131.501,86.304,82.044,72.047,120.605,35.664,
SENSOR,1735695210,20,227.975,38.714,159.646,75.489,97.422,12.156,
SENSOR,1735695240,23,242.371,237.301,43.055,116.034,32.257,-1.245,
SENSOR,1735695270,67,180.542,55.218,169.118,41.786,0.08,5.423,
SENSOR,1735695300,26,199.948,5.753,135.437,32.002,157.689,11.965,
SENSOR,1735695330,126,120.735,102.098,62.381,95.484,25.22,34.385,
SENSOR,1735695360,147,215.131,56.061,148.27,35.776,80.039,22.813,
SENSOR,1735695390,77,100.55,100.048,10.74,65.129,144.426,17.492,
SENSOR,1735695420,100,31.447,51.128,82.861,58.497,59.739,1.27,
SENSOR,1735695450,153,44.506,3.375,192.67,71.109,116.213,3.406,
SENSOR,1735695480,155,186.563,43.331,150.763,37.639,110.698,2.682,
SENSOR,1735695510,142,181.863,139.271,42.629,95.454,73.828,29.007,
SENSOR,1735695540,122,203.253,282.889,144.216,115.556,76.8,12.348,
SENSOR,1735695570,123,25.243,70.732,25.781,28.783,99.447,33.397,
SENSOR,1735695600,117,180.316,182.625,33.018,136.801,155.887,-4.504,
SENSOR,1735695630,30,174.176,24.484,83.771,108.782,159.773,31.928,
SENSOR,1735695660,118,191.447,87.739,80.075,0.463,67.096,43.26,
SENSOR,1735695690,103,41.91,137.1,146.567,22.736,113.769,6.965,
SENSOR,1735695720,94,40.134,48.601,161.733,95.17,160.485,35.021,
SENSOR,1735695750,133,216.282,219.044,90.619,72.904,119.222,20.998,
SENSOR,1735695780,70,33.15,104.749,34.825,99.17,126.252,29.766,
SENSOR,1735695810,168,53.569,72.844,168.859,123.594,15.91,0.825,
SENSOR,1735695840,105,178.652,295.703,168.092,95.744,18.985,26.602,
SENSOR,1735695870,167,194.07,7.177,188.405,111.003,91.012,39.131,
SENSOR,1735695900,5,146.506,49.903,27.623,58.037,175.24,1.197,
SENSOR,1735695930,184,225.197,266.747,7.791,40.423,10.934,42.381,
SENSOR,1735695960,53,66.727,110.735,170.53,11.74,103.19,44.836,
SENSOR,1735695990,26,95.785,185.506,22.977,26.657,5.044,31.856,
SENSOR,1735696020,115,53.264,276.635,68.288,70.649,128.879,12.733,
SENSOR,1735696050,146,96.23,109.105,153.857,15.298,141.305,33.472,
SENSOR,1735696080,36,177.22,176.67,130.569,67.257,85.769,24.432,
SENSOR,1735696110,194,228.566,219.689,163.878,58.795,93.663,21.406,
SENSOR,1735696140,61,72.694,220.39,160.993,134.431,133.878,21.127,
SENSOR,1735696170,116,147.157,72.896,54.063,114.357,19.135,15.604,
SENSOR,1735696200,140,30.738,206.219,113.144,42.369,100.957,14.538,
SENSOR,1735696230,137,176.673,3.793,19.343,57.014,84.548,29.691,
SENSOR,1735696260,175,240.15,280.779,121.288,65.651,153.436,17.96,
SENSOR,1735696290,47,95.082,177.629,165.831,110.498,17.841,37.911,
SENSOR,1735696320,97,9.092,8.248,180.351,111.01,82.263,40.293,
SENSOR,1735696350,18,65.806,212.338,181.363,138.513,133.781,14.081,
SENSOR,1735696380,181,71.48,156.982,67.97,40.366,171.374,16.33,
SENSOR,1735696410,191,73.254,288.427,94.669,116.563,140.171,15.695,
SENSOR,1735696440,180,96.584,185.102,19.349,7.677,40.841,27.09,
SENSOR,1735696470,169,112.524,93.001,15.598,135.484,101.227,-4.973,
SENSOR,1735696500,191,221.93,153.447,16.645,124.232,10.569,28.169,
SENSOR,1735696530,117,242.002,20.788,1.048,73.364,178.05,8.784,
SENSOR,1735696560,173,135.756,132.326,127.032,71.557,35.906,34.729,
SENSOR,1735696590,137,174.835,120.467,67.188,54.877,158.603,10.882,
SENSOR,1735696620,161,195.86,47.366,92.069,28.567,133.225,0.319,
SENSOR,1735696650,93,216.891,122.012,176.276,12.259,146.019,7.37,
SENSOR,1735696680,67,109.688,89.445,114.415,124.573,40.081,6.203,
SENSOR,1735696710,103,25.611,176.884,29.508,106.432,145.668,22.275,
SENSOR,1735696740,105,21.646,90.957,65.12,12.97,9.534,19.651,
SENSOR,1735696770,58,51.134,4.022,35.609,72.806,102.378,30.932,
SENSOR,1735696800,16,145.962,227.278,182.154,2.805,53.161,24.287,
SENSOR,1735696830,128,203.587,90.318,89.045,39.759,155.724,15.088,
SENSOR,1735696860,120,96.898,167.384,85.284,16.157,28.852,8.824,
SENSOR,1735696890,122,228.193,33.46,185.223,30.5,103.333,18.048,
SENSOR,1735696920,109,152.732,7.625,125.739,109.424,143.46,12.259,
SENSOR,1735696950,144,246.622,78.745,144.366,87.69,42.91,7.897,
SENSOR,1735696980,107,95.979,220.939,35.451,79.325,177.359,24.532,
SENSOR,1735697010,45,176.12,137.868,90.365,80.757,42.211,39.873,
SENSOR,1735697040,111,150.623,117.118,169.269,35.034,149.741,16.208,
SENSOR,1735697070,151,19.452,134.904,74.711,39.544,38.292,18.337,
SENSOR,1735697100,110,139.26,119.618,195.007,87.64,147.37,38.374,
SENSOR,1735697130,61,49.918,100.07,139.707,83.13,76.948,2.698,
SENSOR,1735697160,93,193.457,106.368,84.493,51.61,14.351,8.246,
SENSOR,1735697190,49,135.513,199.336,80.76,139.074,121.969,17.526,
SENSOR,1735697220,63,12.911,38.28,138.445,32.668,47.676,2.311,
SENSOR,1735697250,195,29.636,284.573,103.254,9.749,31.389,36.948,
SENSOR,1735697280,32,87.472,13.619,20.756,47.64,77.472,17.545,
SENSOR,1735697310,113,192.077,117.939,74.566,76.829,71.831,40.131,
SENSOR,1735697340,178,72.178,240.909,28.906,84.519,128.692,35.429,
SENSOR,1735697370,169,198.485,236.806,83.655,114.221,21.82,36.559,
SENSOR,1735697400,121,244.311,211.71,133.225,147.572,35.189,23.788,
SENSOR,1735697430,90,109.472,181.802,31.635,99.352,173.652,-0.304,
SENSOR,1735697460,115,89.588,91.874,162.972,57.307,124.505,40.459,
SENSOR,1735697490,193,44.882,243.121,139.53,19.895,36.532,3.376,
SENSOR,1735697520,55,81.723,51.386,33.878,68.542,146.755,18.198,
SENSOR,1735697550,47,181.61,143.696,37.068,112.427,26.482,26.961,
SENSOR,1735697580,1,197.676,232.764,180.576,70.016,91.708,34.937,
SENSOR,1735697610,71,115.508,69.471,191.737,70.011,88.633,41.447,
SENSOR,1735697640,77,238.997,249.342,107.741,81.837,86.347,17.922,
SENSOR,1735697670,47,132.237,256.917,121.986,105.28,171.291,21.612,
SENSOR,1735697700,141,204.332,285.505,183.069,137.155,148.12,28.145,
SENSOR,1735697730,174,64.012,30.747,169.903,32.56,115.239,35.895,
SENSOR,1735697760,199,201.494,159.624,95.77,121.516,45.15,36.962,
SENSOR,1735697790,117,162.091,74.52,88.778,63.224,35.443,-3.316,
SENSOR,1735697820,2,0.207,149.074,47.034,148.361,52.995,14.829,
SENSOR,1735697850,9,64.651,246.872,142.799,130.376,35.323,4.99,
SENSOR,1735697880,34,2.874,284.786,27.057,31.08,91.973,33.193,
SENSOR,1735697910,135,138.996,176.95,85.231,47.783,42.355,-3.398,
SENSOR,1735697940,4,144.248,21.928,190.304,126.211,9.715,30.833,
SENSOR,1735697970,64,71.931,295.455,91.04,117.569,62.026,42.928,
SENSOR,1735698000,138,101.741,246.287,82.342,6.289,44.288,23.511,
SENSOR,1735698030,186,76.235,268.132,156.669,24.168,34.462,2.569,
SENSOR,1735698060,93,188.588,5.229,53.51,104.113,162.691,28.107,
SENSOR,1735698090,82,62.564,149.11,69.917,69.355,71.67,15.018,
SENSOR,1735698120,16,22.658,148.495,143.647,70.985,46.232,37.754,
SENSOR,1735698150,69,138.893,146.839,90.368,57.672,65.294,35.382,
SENSOR,1735698180,48,96.324,255.032,163.886,66.472,148.713,36.143,
SENSOR,1735698210,157,221.6,260.195,195.365,123.107,91.47,-3.306,
SENSOR,1735698240,86,113.63,24.131,19.657,144.9,51.094,21.55,
SENSOR,1735698270,33,122.893,111.515,160.373,148.369,6.576,-4.215,
SENSOR,1735698300,153,21.948,110.722,28.403,146.307,147.144,22.165,
SENSOR,1735698330,31,20.548,297.568,174.577,59.292,39.567,33.315,
SENSOR,1735698360,2,55.276,174.163,91.862,85.095,175.058,17.21,
SENSOR,1735698390,68,139.519,247.316,197.352,17.895,174.294,18.87,
SENSOR,1735698420,84,161.381,233.857,88.5,34.955,61.59,6.729,
SENSOR,1735698450,38,86.537,294.264,75.715,31.25,9.203,40.882,
SENSOR,1735698480,107,28.667,267.975,60.558,146.342,52.473,38.906,
SENSOR,1735698510,16,227.691,79.676,148.547,77.785,11.778,41.461,
SENSOR,1735698540,49,196.712,177.362,151.847,3.294,119.292,10.198,
SENSOR,1735698570,98,61.618,210.036,58.629,67.806,72.039,10.857,
SENSOR,1735698600,159,150.513,133.117,62.672,110.354,74.338,23.097,
SENSOR,1735698630,16,100.701,35.702,58.213,4.109,134.697,28.877,
SENSOR,1735698660,124,137.114,34.954,33.118,145.117,8.458,5.941,
SENSOR,1735698690,91,85.075,5.324,92.205,24.999,54.245,-4.879,
SENSOR,1735698720,146,186.511,269.705,127.229,116.504,35.188,41.938,
SENSOR,1735698750,6,138.928,148.217,48.515,4.054,132.781,32.957,
SENSOR,1735698780,19,27.118,2.545,24.475,89.981,73.99,26.187,
SENSOR,1735698810,159,2.198,65.21,108.262,36.298,77.26,27.543,
SENSOR,1735698840,61,96.302,278.228,140.269,42.533,90.604,28.651,
SENSOR,1735698870,199,82.804,111.559,52.741,31.08,24.388,17.509,
SENSOR,1735698900,0,2.034,103.35,80.014,40.463,97.611,0.815,
SENSOR,1735698930,188,14.017,4.563,9.337,27.37,35.389,19.314,
SENSOR,1735698960,138,139.788,221.955,61.729,75.956,49.268,7.746,
SENSOR,1735698990,135,221.367,157.015,68.452,28.257,179.547,34.422,
SENSOR,1735699020,180,126.91,111.345,108.666,117.305,61.142,11.084,
SENSOR,1735699050,9,184.673,211.861,41.057,108.077,67.287,25.249,
SENSOR,1735699080,117,83.232,181.719,103.961,45.048,89.224,23.77,
SENSOR,1735699110,139,154.535,269.738,141.572,20.891,12.646,12.113,
SENSOR,1735699140,59,60.782,185.474,94.139,18.416,16.6,40.191,
SENSOR,1735699170,27,11.579,61.945,158.556,75.787,111.843,26.054,
SENSOR,1735699200,64,220.138,294.486,19.502,21.322,161.526,8.033,
SENSOR,1735699230,70,37.504,12.253,174.508,49.721,19.7,25.681,
SENSOR,1735699260,176,202.34,9.372,106.47,111.713,107.678,19.97,
SENSOR,1735699290,156,150.945,25.413,125.283,129.025,79.544,38.579,
SENSOR,1735699320,42,4.233,174.975,175.45,5.12,156.709,38.387,
SENSOR,1735699350,150,185.639,204.216,123.527,130.011,61.259,29.837,
SENSOR,1735699380,159,126.627,256.237,4.652,112.431,174.106,12.435,
SENSOR,1735699410,38,214.3,276.289,135.158,120.017,88.974,28.126,
SENSOR,1735699440,192,244.369,152.135,56.588,21.711,91.134,13.375,
SENSOR,1735699470,115,176.756,158.102,117.901,68.014,93.632,7.863,
SENSOR,1735699500,158,35.184,114.352,162.736,16.619,42.614,32.674,
SENSOR,1735699530,179,161.795,23.331,41.196,5.771,154.437,30.723,
SENSOR,1735699560,154,21.815,59.982,54.958,84.08,23.725,11.265,
SENSOR,1735699590,70,49.784,213.728,58.482,76.464,87.087,24.657,
SENSOR,1735699620,43,13.154,103.929,33.149,126.608,141.994,31.79,
SENSOR,1735699650,7,15.897,258.918,140.083,84.127,26.674,-1.52,
SENSOR,1735699680,155,9.579,13.463,196.808,36.577,116.702,0.058,
SENSOR,1735699710,136,116.854,151.888,76.907,7.504,176.424,28.944,
SENSOR,1735699740,189,59.611,86.797,118.671,51.489,77.884,31.218,
SENSOR,1735699770,124,3.062,113.741,24.162,28.292,12.625,3.417,
SENSOR,1735699800,69,205.378,87.147,157.362,142.768,174.055,10.029,
SENSOR,1735699830,172,1.179,105.345,45.114,80.907,11.842,19.832,
SENSOR,1735699860,17,131.208,140.744,71.298,138.082,145.277,38.137,
SENSOR,1735699890,123,241.709,6.617,188.598,137.764,139.644,-0.243,
SENSOR,1735699920,71,234.271,247.56,121.375,34.511,22.501,35.49,
SENSOR,1735699950,73,67.657,168.628,101.993,40.072,174.585,42.374,
SENSOR,1735699980,139,194.399,39.955,35.158,12.436,62.245,6.438,
SENSOR,1735700010,11,130.197,86.311,72.754,17.679,42.259,5.336,
SENSOR,1735700040,96,40.03,200.268,10.989,59.458,73.668,41.753,
SENSOR,1735700070,137,72.013,78.229,43.739,69.113,114.909,-0.933,
SENSOR,1735700100,159,46.608,63.686,127.895,37.958,44.559,38.061,
SENSOR,1735700130,34,65.37,145.359,25.729,132.964,61.464,19.496,
SENSOR,1735700160,113,159.612,117.475,16.672,132.525,169.08,38.939,
SENSOR,1735700190,20,44.731,275.413,103.39,35.951,170.882,2.522,
SENSOR,1735700220,178,67.401,28.279,25.722,148.588,62.839,16.627,
SENSOR,1735700250,81,51.504,175.914,153.989,80.333,127.545,12.439,
SENSOR,1735700280,32,32.817,156.242,124.199,70.671,167.198,37.873,
SENSOR,1735700310,59,29.943,183.954,193.949,79.333,46.174,21.258,
SENSOR,1735700340,50,100.94,107.439,61.472,86.006,124.147,42.779,
SENSOR,1735700370,71,8.715,178.916,9.569,137.773,131.716,24.421,
SENSOR,1735700400,111,202.268,220.611,81.156,42.012,100.367,8.596,
SENSOR,1735700430,156,6.641,42.8,119.644,81.756,10.837,44.079,
SENSOR,1735700460,24,43.036,54.386,76.904,76.619,126.03,18.634,
SENSOR,1735700490,132,16.272,235.138,28.749,87.648,80.24,-1.386,
SENSOR,1735700520,135,71.82,248.267,196.618,75.4,80.797,9.931,
