command,u,v,loss,line_capacity,timestamp,battery_id,charge_change,battery_capacity,price,extra
EDGE,390,578,0.03096,373,,,,,,
EDGE,281,469,0.03932,479,,,,,,
EDGE,466,607,0.02073,275,,,,,,
EDGE,947,679,0.01901,148,,,,,,
EDGE,730,741,0.02261,311,,,,,,
EDGE,566,383,0.04916,161,,,,,,
EDGE,418,177,0.00884,237,,,,,,
EDGE,411,220,0.01612,91,,,,,,
EDGE,121,814,0.02702,83,,,,,,
EDGE,592,833,0.04114,203,,,,,,
EDGE,897,776,0.00434,112,,,,,,
EDGE,177,266,0.03533,384,,,,,,
EDGE,835,223,0.03259,459,,,,,,
EDGE,481,549,0.03993,298,,,,,,
EDGE,886,924,0.0465,241,,,,,,
EDGE,884,384,0.02226,469,,,,,,
EDGE,226,370,0.02578,187,,,,,,
EDGE,56,113,0.02606,418,,,,,,
EDGE,11,186,0.02398,435,,,,,,
EDGE,777,57,0.03953,470,,,,,,
EDGE,699,506,0.00186,412,,,,,,
EDGE,166,360,0.00963,248,,,,,,
EDGE,6,437,0.04461,375,,,,,,
EDGE,168,6,0.01222,404,,,,,,
EDGE,125,775,0.03828,376,,,,,,
EDGE,440,53,0.0382,413,,,,,,
EDGE,565,238,0.02238,385,,,,,,
EDGE,495,826,0.02169,162,,,,,,
EDGE,159,907,0.00693,296,,,,,,
EDGE,511,520,0.00611,186,,,,,,
EDGE,630,397,0.04271,227,,,,,,
EDGE,468,957,0.03638,461,,,,,,
EDGE,776,289,0.00194,238,,,,,,
EDGE,560,40,0.02247,248,,,,,,
EDGE,269,521,0.02639,165,,,,,,
EDGE,219,151,0.04735,130,,,,,,
EDGE,846,978,0.03005,55,,,,,,
EDGE,478,372,0.04099,326,,,,,,
EDGE,696,148,0.01263,476,,,,,,
EDGE,685,496,0.02283,64,,,,,,
EDGE,138,63,0.01707,204,,,,,,
EDGE,454,748,0.04764,463,,,,,,
EDGE,89,933,0.0396,374,,,,,,
EDGE,658,417,0.04977,76,,,,,,
EDGE,191,222,0.01932,438,,,,,,
EDGE,608,975,0.01034,52,,,,,,
EDGE,37,16,0.04854,346,,,,,,
EDGE,467,104,0.00953,128,,,,,,
EDGE,842,200,0.00961,297,,,,,,
EDGE,489,662,0.02165,320,,,,,,
EDGE,659,754,0.00166,82,,,,,,
EDGE,798,484,0.01848,281,,,,,,
EDGE,61,421,0.02815,214,,,,,,
EDGE,822,352,0.02347,379,,,,,,
EDGE,88,690,0.02964,279,,,,,,
EDGE,369,841,0.03823,472,,,,,,
EDGE,740,344,0.04107,129,,,,,,
EDGE,554,590,0.01005,317,,,,,,
EDGE,839,212,0.00253,237,,,,,,
EDGE,467,250,0.00156,224,,,,,,
EDGE,718,203,0.00974,466,,,,,,
EDGE,7,907,0.01327,237,,,,,,
EDGE,755,60,0.01785,387,,,,,,
EDGE,393,763,0.00387,294,,,,,,
EDGE,218,619,0.02065,191,,,,,,
EDGE,534,939,0.00756,89,,,,,,
EDGE,716,164,0.01856,381,,,,,,
EDGE,702,838,0.04097,242,,,,,,
EDGE,96,420,0.00513,491,,,,,,
EDGE,958,39,0.01879,354,,,,,,
EDGE,100,136,0.00924,315,,,,,,
EDGE,555,153,0.04528,151,,,,,,
EDGE,120,592,0.04578,399,,,,,,
EDGE,771,424,0.0083,236,,,,,,
EDGE,579,998,0.04856,442,,,,,,
EDGE,533,299,0.00534,246,,,,,,
EDGE,788,924,0.00573,108,,,,,,
EDGE,914,904,0.01437,196,,,,,,
EDGE,549,108,0.01,310,,,,,,
EDGE,100,16,0.04629,65,,,,,,
EDGE,241,270,0.01195,278,,,,,,
EDGE,775,901,0.02332,138,,,,,,
EDGE,121,606,0.01489,189,,,,,,
EDGE,911,726,0.00357,59,,,,,,
EDGE,260,313,0.01202,248,,,,,,
EDGE,881,955,0.03777,97,,,,,,
EDGE,482,72,0.0254,288,,,,,,
EDGE,161,93,0.01193,75,,,,,,
EDGE,150,701,0.01404,413,,,,,,
EDGE,956,741,0.00517,87,,,,,,
EDGE,496,653,0.00188,345,,,,,,
EDGE,907,693,0.01539,188,,,,,,
EDGE,989,902,0.01154,88,,,,,,
EDGE,3,199,0.01534,463,,,,,,
EDGE,326,729,0.00907,295,,,,,,
EDGE,516,120,0.02831,188,,,,,,
EDGE,549,832,0.02612,330,,,,,,
EDGE,163,120,0.03912,246,,,,,,
EDGE,370,85,0.01609,473,,,,,,
EDGE,855,343,0.00855,312,,,,,,
EDGE,368,582,0.03682,416,,,,,,
EDGE,85,147,0.00666,433,,,,,,
EDGE,221,627,0.01259,142,,,,,,
EDGE,119,410,0.03607,368,,,,,,
EDGE,887,443,0.0087,271,,,,,,
EDGE,719,923,0.00644,333,,,,,,
EDGE,965,520,0.04178,455,,,,,,
EDGE,788,29,0.04266,451,,,,,,
EDGE,235,502,0.00158,201,,,,,,
EDGE,911,435,0.04131,268,,,,,,
EDGE,172,280,0.01331,293,,,,,,
EDGE,320,231,0.03579,191,,,,,,
EDGE,635,536,0.02007,411,,,,,,
EDGE,568,718,0.03804,64,,,,,,
EDGE,337,697,0.03237,409,,,,,,
EDGE,637,784,0.01057,385,,,,,,
EDGE,11,413,0.0061,361,,,,,,
EDGE,253,217,0.029,381,,,,,,
EDGE,204,157,0.0363,250,,,,,,
EDGE,432,237,0.04702,170,,,,,,
EDGE,915,421,0.00825,185,,,,,,
EDGE,514,385,0.01298,410,,,,,,
EDGE,54,363,0.04456,72,,,,,,
EDGE,192,935,0.02202,359,,,,,,
EDGE,292,182,0.0131,247,,,,,,
EDGE,869,10,0.03388,406,,,,,,
EDGE,435,72,0.01547,303,,,,,,
EDGE,261,125,0.04672,301,,,,,,
EDGE,610,855,0.03966,202,,,,,,
EDGE,495,956,0.00473,195,,,,,,
EDGE,531,39,0.01823,429,,,,,,
EDGE,893,680,0.04392,334,,,,,,
EDGE,839,662,0.011,106,,,,,,
EDGE,540,671,0.03914,481,,,,,,
EDGE,409,393,0.02574,189,,,,,,
EDGE,605,636,0.04739,461,,,,,,
EDGE,485,829,0.04216,319,,,,,,
EDGE,892,905,0.024,324,,,,,,
EDGE,725,477,0.03364,134,,,,,,
EDGE,819,166,0.00434,283,,,,,,
EDGE,84,683,0.04168,72,,,,,,
EDGE,636,891,0.04155,208,,,,,,
EDGE,657,587,0.0291,232,,,,,,
EDGE,350,528,0.01168,343,,,,,,
EDGE,586,6,0.0185,154,,,,,,
EDGE,954,223,0.04626,54,,,,,,
EDGE,328,794,0.00244,205,,,,,,
EDGE,407,534,0.03958,94,,,,,,
EDGE,185,600,0.00858,141,,,,,,
EDGE,434,133,0.01685,466,,,,,,
EDGE,219,972,0.01679,412,,,,,,
EDGE,711,830,0.01983,465,,,,,,
EDGE,872,121,0.01585,195,,,,,,
EDGE,761,340,0.01635,114,,,,,,
EDGE,301,76,0.04183,223,,,,,,
EDGE,546,558,0.02442,279,,,,,,
EDGE,199,549,0.00121,350,,,,,,
EDGE,933,223,0.03852,258,,,,,,
EDGE,779,482,0.02266,290,,,,,,
EDGE,830,999,0.01608,375,,,,,,
EDGE,327,611,0.04979,169,,,,,,
EDGE,344,217,0.04994,380,,,,,,
EDGE,443,99,0.03838,244,,,,,,
EDGE,652,572,0.0384,70,,,,,,
EDGE,312,530,0.02291,307,,,,,,
EDGE,199,519,0.02152,450,,,,,,
EDGE,398,134,0.0178,259,,,,,,
EDGE,843,403,0.01038,114,,,,,,
EDGE,800,897,0.00372,362,,,,,,
EDGE,610,851,0.03184,396,,,,,,
EDGE,863,379,0.02265,63,,,,,,
EDGE,682,323,0.02366,161,,,,,,
EDGE,39,619,0.00837,170,,,,,,
EDGE,736,47,0.00161,478,,,,,,
EDGE,25,314,0.04121,185,,,,,,
EDGE,871,275,0.02774,400,,,,,,
EDGE,102,49,0.01441,405,,,,,,
EDGE,363,36,0.04982,471,,,,,,
EDGE,401,344,0.02479,468,,,,,,
EDGE,264,888,0.04312,119,,,,,,
EDGE,562,191,0.03161,82,,,,,,
EDGE,519,780,0.02385,379,,,,,,
EDGE,469,969,0.04438,243,,,,,,
EDGE,318,502,0.00959,497,,,,,,
EDGE,967,705,0.01943,61,,,,,,
EDGE,269,607,0.00198,435,,,,,,
EDGE,602,265,0.00521,191,,,,,,
EDGE,373,125,0.01019,157,,,,,,
EDGE,876,665,0.04583,195,,,,,,
EDGE,889,421,0.04173,345,,,,,,
EDGE,61,383,0.00162,284,,,,,,
EDGE,883,26,0.04455,101,,,,,,
EDGE,474,840,0.03559,311,,,,,,
EDGE,785,110,0.0015,471,,,,,,
EDGE,101,657,0.02689,410,,,,,,
EDGE,31,747,0.01318,442,,,,,,
EDGE,581,754,0.00336,371,,,,,,
EDGE,990,20,0.03087,346,,,,,,
EDGE,917,807,0.00562,256,,,,,,
EDGE,524,738,0.02003,106,,,,,,
EDGE,134,299,0.02236,51,,,,,,
EDGE,722,706,0.01428,470,,,,,,
EDGE,565,463,0.0092,420,,,,,,
EDGE,722,891,0.00679,176,,,,,,
EDGE,230,395,0.04702,267,,,,,,
EDGE,768,536,0.03341,111,,,,,,
EDGE,490,930,0.00258,255,,,,,,
EDGE,65,531,0.0184,285,,,,,,
EDGE,327,821,0.0329,389,,,,,,
EDGE,189,854,0.03963,232,,,,,,
EDGE,705,791,0.01498,443,,,,,,
EDGE,364,770,0.04669,388,,,,,,
EDGE,963,564,0.00191,248,,,,,,
EDGE,858,593,0.02447,219,,,,,,
EDGE,443,702,0.02284,203,,,,,,
EDGE,371,214,0.01199,86,,,,,,
EDGE,213,560,0.00799,274,,,,,,
EDGE,75,890,0.00961,164,,,,,,
EDGE,585,513,0.0403,442,,,,,,
EDGE,837,372,0.01208,251,,,,,,
EDGE,92,93,0.03579,475,,,,,,
EDGE,765,266,0.00935,79,,,,,,
EDGE,404,99,0.01991,426,,,,,,
EDGE,999,871,0.01318,434,,,,,,
EDGE,772,843,0.01428,165,,,,,,
EDGE,231,269,0.00639,225,,,,,,
EDGE,307,593,0.01903,136,,,,,,
EDGE,698,502,0.0401,369,,,,,,
EDGE,484,327,0.0395,429,,,,,,
EDGE,962,189,0.02586,125,,,,,,
EDGE,954,386,0.03782,155,,,,,,
EDGE,351,897,0.04702,235,,,,,,
EDGE,907,210,0.03764,184,,,,,,
EDGE,85,758,0.0467,378,,,,,,
EDGE,303,409,0.03998,147,,,,,,
EDGE,862,830,0.0037,340,,,,,,
EDGE,632,690,0.01547,403,,,,,,
EDGE,312,195,0.0425,150,,,,,,
EDGE,769,855,0.03726,357,,,,,,
EDGE,191,992,0.0097,468,,,,,,
EDGE,64,220,0.01345,414,,,,,,
EDGE,952,905,0.02795,402,,,,,,
EDGE,838,748,0.01045,234,,,,,,
EDGE,478,75,0.00874,253,,,,,,
EDGE,71,657,0.02633,462,,,,,,
EDGE,606,445,0.03492,125,,,,,,
EDGE,115,519,0.03959,479,,,,,,
EDGE,543,118,0.01198,74,,,,,,
EDGE,906,918,0.02123,480,,,,,,
EDGE,710,296,0.02055,485,,,,,,
EDGE,984,42,0.0394,274,,,,,,
EDGE,866,278,0.00443,296,,,,,,
EDGE,891,844,0.01504,474,,,,,,
EDGE,824,326,0.00325,447,,,,,,
EDGE,16,176,0.00569,240,,,,,,
EDGE,31,147,0.03499,380,,,,,,
EDGE,973,143,0.04342,161,,,,,,
EDGE,59,325,0.00352,412,,,,,,
EDGE,159,489,0.02261,276,,,,,,
EDGE,798,693,0.01871,478,,,,,,
EDGE,644,336,0.04979,120,,,,,,
EDGE,845,674,0.01031,121,,,,,,
EDGE,983,329,0.04222,466,,,,,,
EDGE,885,788,0.04757,479,,,,,,
EDGE,289,47,0.04611,424,,,,,,
EDGE,907,867,0.03575,299,,,,,,
EDGE,626,548,0.04548,439,,,,,,
EDGE,774,692,0.04754,500,,,,,,
EDGE,449,159,0.01811,313,,,,,,
EDGE,846,838,0.0231,159,,,,,,
EDGE,399,393,0.02185,324,,,,,,
EDGE,484,12,0.04529,82,,,,,,
EDGE,126,882,0.01013,456,,,,,,
EDGE,653,584,0.03847,336,,,,,,
EDGE,594,635,0.01599,125,,,,,,
EDGE,859,200,0.00879,51,,,,,,
EDGE,223,409,0.04423,97,,,,,,
EDGE,961,529,0.0013,233,,,,,,
EDGE,499,386,0.01332,313,,,,,,
EDGE,878,149,0.02968,277,,,,,,
EDGE,644,855,0.04858,57,,,,,,
EDGE,574,511,0.00868,245,,,,,,
EDGE,352,891,0.03075,197,,,,,,
EDGE,214,366,0.04166,115,,,,,,
EDGE,169,468,0.01809,326,,,,,,
EDGE,621,266,0.01924,458,,,,,,
EDGE,335,921,0.04843,395,,,,,,
EDGE,446,886,0.03777,291,,,,,,
EDGE,271,179,0.01079,452,,,,,,
EDGE,163,234,0.03267,471,,,,,,
EDGE,488,136,0.00899,480,,,,,,
EDGE,212,625,0.03841,438,,,,,,
EDGE,878,163,0.0088,343,,,,,,
EDGE,672,354,0.02149,483,,,,,,
EDGE,2,84,0.03131,284,,,,,,
EDGE,461,319,0.04499,178,,,,,,
EDGE,267,291,0.04051,258,,,,,,
EDGE,746,173,0.0494,161,,,,,,
EDGE,303,920,0.03127,301,,,,,,
EDGE,573,239,0.00609,400,,,,,,
EDGE,530,502,0.01952,178,,,,,,
EDGE,462,729,0.04569,447,,,,,,
EDGE,757,7,0.03367,263,,,,,,
EDGE,714,602,0.04989,277,,,,,,
EDGE,964,965,0.00889,382,,,,,,
EDGE,439,54,0.03299,321,,,,,,
EDGE,368,498,0.01326,266,,,,,,
EDGE,639,96,0.04698,424,,,,,,
EDGE,79,608,0.03312,398,,,,,,
EDGE,424,359,0.00499,347,,,,,,
EDGE,404,763,0.01124,314,,,,,,
EDGE,966,488,0.02263,331,,,,,,
EDGE,723,353,0.03771,75,,,,,,
EDGE,229,752,0.03027,244,,,,,,
EDGE,724,270,0.04877,416,,,,,,
EDGE,39,172,0.01993,147,,,,,,
EDGE,353,214,0.03461,352,,,,,,
EDGE,355,610,0.03643,433,,,,,,
EDGE,793,84,0.00328,175,,,,,,
EDGE,240,977,0.0288,153,,,,,,
EDGE,260,203,0.01192,104,,,,,,
EDGE,380,927,0.01612,307,,,,,,
EDGE,996,225,0.04109,478,,,,,,
EDGE,197,347,0.04551,274,,,,,,
EDGE,865,652,0.02867,374,,,,,,
EDGE,977,475,0.0036,353,,,,,,
EDGE,108,491,0.02804,134,,,,,,
EDGE,787,411,0.00376,304,,,,,,
EDGE,461,228,0.02017,396,,,,,,
EDGE,706,182,0.04838,446,,,,,,
EDGE,155,676,0.02121,285,,,,,,
EDGE,164,835,0.03931,440,,,,,,
EDGE,842,120,0.03335,485,,,,,,
EDGE,677,307,0.0059,475,,,,,,
EDGE,218,520,0.0478,253,,,,,,
EDGE,636,359,0.02787,122,,,,,,
EDGE,575,272,0.02818,495,,,,,,
EDGE,930,76,0.01322,476,,,,,,
EDGE,606,757,0.00606,494,,,,,,
EDGE,9,26,0.00735,119,,,,,,
EDGE,954,389,0.02859,370,,,,,,
EDGE,438,490,0.00843,200,,,,,,
EDGE,392,664,0.00739,94,,,,,,
EDGE,672,257,0.03275,71,,,,,,
EDGE,122,809,0.03025,129,,,,,,
EDGE,525,736,0.0215,443,,,,,,
EDGE,708,93,0.01981,176,,,,,,
EDGE,666,855,0.04547,496,,,,,,
EDGE,371,615,0.02678,170,,,,,,
EDGE,138,313,0.01724,331,,,,,,
EDGE,209,28,0.03433,147,,,,,,
EDGE,746,467,0.03986,406,,,,,,
EDGE,813,365,0.0468,253,,,,,,
EDGE,244,603,0.02916,468,,,,,,
EDGE,412,737,0.03404,302,,,,,,
EDGE,742,312,0.01217,237,,,,,,
EDGE,836,72,0.04017,481,,,,,,
EDGE,227,38,0.0404,159,,,,,,
EDGE,949,67,0.0085,209,,,,,,
EDGE,227,268,0.00631,373,,,,,,
EDGE,611,382,0.02096,371,,,,,,
EDGE,665,554,0.04295,403,,,,,,
EDGE,890,752,0.01187,444,,,,,,
EDGE,644,483,0.01563,195,,,,,,
EDGE,475,650,0.03085,466,,,,,,
EDGE,292,55,0.01995,421,,,,,,
EDGE,666,143,0.01975,347,,,,,,
EDGE,313,559,0.01478,160,,,,,,
EDGE,118,723,0.04838,210,,,,,,
EDGE,808,818,0.03366,103,,,,,,
EDGE,756,758,0.04835,230,,,,,,
EDGE,46,259,0.04979,185,,,,,,
EDGE,414,87,0.01548,90,,,,,,
EDGE,945,302,0.00115,276,,,,,,
EDGE,995,697,0.04976,52,,,,,,
EDGE,331,825,0.03347,359,,,,,,
EDGE,178,185,0.00685,351,,,,,,
EDGE,564,335,0.00574,453,,,,,,
EDGE,509,243,0.02077,121,,,,,,
EDGE,839,868,0.0171,92,,,,,,
EDGE,265,475,0.02605,339,,,,,,
EDGE,845,371,0.02025,371,,,,,,
EDGE,211,43,0.03669,166,,,,,,
EDGE,95,269,0.00781,381,,,,,,
EDGE,321,496,0.03854,185,,,,,,
EDGE,248,286,0.02032,62,,,,,,
EDGE,500,949,0.01782,149,,,,,,
EDGE,428,382,0.03961,116,,,,,,
EDGE,274,117,0.01546,150,,,,,,
EDGE,565,52,0.01378,410,,,,,,
EDGE,272,55,0.01323,442,,,,,,
EDGE,925,489,0.04832,127,,,,,,
EDGE,643,206,0.0435,286,,,,,,
EDGE,441,170,0.04838,145,,,,,,
EDGE,537,301,0.02492,284,,,,,,
EDGE,195,472,0.03886,113,,,,,,
EDGE,900,147,0.0429,445,,,,,,
EDGE,957,743,0.01251,434,,,,,,
EDGE,780,900,0.0437,354,,,,,,
EDGE,300,506,0.02096,177,,,,,,
EDGE,214,738,0.01943,159,,,,,,
EDGE,682,478,0.03796,164,,,,,,
EDGE,551,732,0.02801,471,,,,,,
EDGE,671,662,0.00831,248,,,,,,
EDGE,38,11,0.01131,370,,,,,,
EDGE,988,110,0.00574,92,,,,,,
EDGE,490,195,0.02426,111,,,,,,
EDGE,295,940,0.00626,346,,,,,,
EDGE,207,176,0.00829,283,,,,,,
EDGE,459,3,0.04214,107,,,,,,
EDGE,566,510,0.00781,131,,,,,,
EDGE,315,559,0.03658,470,,,,,,
EDGE,755,801,0.01505,295,,,,,,
EDGE,564,224,0.00855,165,,,,,,
EDGE,524,713,0.04951,137,,,,,,
EDGE,105,215,0.04168,69,,,,,,
EDGE,282,73,0.01127,422,,,,,,
EDGE,922,567,0.02857,77,,,,,,
EDGE,963,123,0.00533,216,,,,,,
EDGE,180,57,0.03873,322,,,,,,
EDGE,802,170,0.0194,89,,,,,,
EDGE,585,503,0.04951,120,,,,,,
EDGE,160,396,0.02282,66,,,,,,
EDGE,557,849,0.02945,268,,,,,,
EDGE,237,521,0.0375,179,,,,,,
EDGE,160,759,0.03331,62,,,,,,
EDGE,220,146,0.03509,79,,,,,,
EDGE,847,334,0.01282,393,,,,,,
EDGE,89,463,0.03715,126,,,,,,
EDGE,695,522,0.0059,235,,,,,,
EDGE,137,643,0.01825,412,,,,,,
EDGE,466,403,0.01412,359,,,,,,
EDGE,261,904,0.0353,398,,,,,,
EDGE,118,380,0.04765,302,,,,,,
EDGE,378,808,0.02494,211,,,,,,
EDGE,86,180,0.02694,499,,,,,,
EDGE,156,208,0.00303,397,,,,,,
EDGE,956,288,0.03452,197,,,,,,
EDGE,799,991,0.01256,212,,,,,,
EDGE,504,609,0.04329,105,,,,,,
EDGE,816,157,0.02045,285,,,,,,
EDGE,384,224,0.01591,318,,,,,,
EDGE,886,79,0.02788,346,,,,,,
EDGE,491,437,0.00792,439,,,,,,
EDGE,434,396,0.01442,352,,,,,,
