command,u,v,travel_time,energy_cost,congestion,install_cost,capacity,price
ROAD,651,196,7,3.729,38,43329,5,3.26
ROAD,550,209,61,2.378,59,40478,4,2.59
ROAD,844,329,58,0.751,15,23414,6,4.65
ROAD,857,116,81,2.981,43,7293,19,1.07
ROAD,9,267,11,3.805,93,20894,10,2.27
ROAD,990,4,59,2.42,9,47970,19,1.84
ROAD,43,346,84,0.772,91,34471,12,4.55
ROAD,645,667,43,4.125,32,13272,20,3.96
ROAD,125,964,60,3.248,75,3868,17,2.24
ROAD,817,657,13,0.819,27,21369,6,4
ROAD,443,850,24,1.905,15,19035,7,4.93
ROAD,196,601,82,2.975,55,2994,5,3.55
ROAD,146,119,13,2.005,63,39370,14,2.9
ROAD,128,815,40,1.467,47,18058,2,3.71
ROAD,540,588,12,1.73,39,16405,15,2.76
ROAD,574,702,30,4.005,56,16644,7,3.71
ROAD,995,287,6,3.918,32,3079,7,2.2
ROAD,982,142,5,1.515,34,20298,11,2.42
ROAD,112,788,84,3.735,66,35302,6,2.93
ROAD,434,91,17,2.027,42,34514,19,3.27
ROAD,116,691,38,4.235,71,38426,12,1.74
ROAD,868,465,29,3.65,86,1045,17,2.58
ROAD,927,425,75,0.82,6,26179,11,3.45
ROAD,796,863,49,3.003,55,40243,15,2.97
ROAD,525,214,6,2.557,30,34711,1,4.82
ROAD,471,861,85,2.671,14,15586,3,3.14
ROAD,339,924,61,2.24,44,31166,5,2.61
ROAD,136,412,34,4.174,52,36114,15,4.95
ROAD,406,754,69,4.419,47,38505,16,2.68
ROAD,591,535,31,3.463,64,16324,13,2.06
ROAD,203,432,61,3.124,68,43581,2,2.62
ROAD,190,41,90,3.431,21,41316,13,2.68
ROAD,186,845,5,2.539,14,4483,11,2.25
ROAD,180,931,75,1.514,65,13678,18,2.21
ROAD,482,803,37,2.782,67,7392,18,2.16
ROAD,621,691,81,4.362,75,20164,5,4.73
ROAD,184,445,40,1.236,87,45069,11,2.86
ROAD,77,905,46,0.508,44,11457,5,2.43
ROAD,606,931,9,4.281,82,28040,20,1.83
ROAD,891,72,19,2.4,6,7994,20,2.27
ROAD,123,3,72,0.925,74,14288,13,4.62
ROAD,186,991,56,1.123,61,16510,17,2.95
ROAD,358,346,4,1.107,47,793,7,1.05
ROAD,662,106,44,0.756,77,48785,11,2.47
ROAD,449,950,77,4.347,47,8512,9,4.42
ROAD,609,874,51,4.032,53,15101,17,1.22
ROAD,177,554,58,1.925,88,22879,5,3.42
ROAD,439,171,70,3.361,51,1625,16,3.36
ROAD,480,565,70,4.374,8,9965,4,2.19
ROAD,307,786,87,4.033,48,20978,3,1.5
ROAD,248,139,45,2.264,83,32320,14,2.95
ROAD,641,801,10,0.211,11,31037,19,3.76
ROAD,781,845,30,3.786,46,28123,10,4.46
ROAD,0,822,7,2.275,0,31791,2,4.91
ROAD,87,581,85,0.785,1,13474,16,3.96
ROAD,498,543,78,0.813,14,6047,8,4.02
ROAD,259,822,27,2.062,53,42314,1,2.55
ROAD,410,57,38,2.858,64,41102,6,1.71
ROAD,93,399,14,1.29,67,41202,4,1.87
ROAD,610,439,28,1.946,47,11406,18,4
ROAD,630,805,77,4.344,1,46487,2,4.1
ROAD,256,139,21,2.903,60,30732,15,2.3
ROAD,258,988,23,2.896,93,43477,10,2.84
ROAD,797,299,11,1.412,21,36573,8,4.5
ROAD,230,996,72,3.248,43,2973,20,1.64
ROAD,642,547,53,1.9,62,21448,5,3.41
ROAD,966,210,89,2.331,36,16442,3,4.43
ROAD,165,16,1,1.111,77,21932,6,2.58
ROAD,176,45,2,2.895,92,45910,19,2.85
ROAD,239,652,34,2.416,15,12836,1,3.43
ROAD,197,175,60,2.252,16,34210,5,3.12
ROAD,987,434,21,1.22,46,11130,7,4.06
ROAD,826,266,63,4.236,27,43982,1,2.23
ROAD,65,338,71,1.985,3,19796,20,3.72
ROAD,90,200,49,2.532,40,8969,5,2.78
ROAD,373,970,21,2.136,42,22235,10,4.1
ROAD,253,872,36,0.941,13,14438,13,3.28
ROAD,819,113,47,3.01,4,26032,6,3.49
ROAD,717,853,31,2.322,73,18157,5,2.25
ROAD,13,337,15,3.026,98,49580,3,3.99
ROAD,643,700,2,3.959,26,18750,4,2.52
ROAD,924,167,4,2.312,16,13863,11,3.5
ROAD,40,864,82,4.033,37,43039,2,4.21
ROAD,786,866,6,1.414,50,30429,11,1.91
ROAD,20,891,73,3.784,35,27967,19,4.39
ROAD,611,167,2,0.409,5,24662,17,4.18
ROAD,176,65,25,0.223,65,16908,11,2.97
ROAD,769,465,75,4.111,41,29777,19,2.17
ROAD,469,577,13,0.712,25,10938,9,3.99
ROAD,787,170,36,2.451,81,23872,3,1.22
ROAD,57,617,67,0.567,93,1718,9,3.38
ROAD,698,196,33,3.177,63,49734,9,2.45
ROAD,42,909,58,3.764,52,8102,11,4.82
ROAD,200,718,56,2.741,69,44632,10,3.46
ROAD,713,846,46,1.184,70,33329,12,2.25
ROAD,618,75,81,0.459,56,41202,19,4.54
ROAD,707,210,21,3.984,43,27029,5,4.05
ROAD,307,982,1,0.224,62,45343,5,2.16
ROAD,757,679,86,2.431,79,19974,20,4.33
ROAD,546,801,75,2.217,44,35551,10,1.96
ROAD,653,167,4,2.87,73,13885,16,2.48
ROAD,795,330,49,0.239,70,32244,1,1.45
ROAD,369,414,20,1.281,13,14127,8,3.07
ROAD,19,404,80,3.808,40,21526,7,2.3
ROAD,271,927,57,0.403,71,17856,8,4.69
ROAD,620,733,7,1.394,89,40305,2,4.25
ROAD,74,270,83,3.912,48,46969,15,2.36
ROAD,496,309,76,0.521,1,35094,20,2.91
ROAD,336,631,4,2.422,44,34555,12,2.97
ROAD,611,450,67,2.899,86,43309,19,1.11
ROAD,540,578,50,1.407,52,4249,20,1.3
ROAD,729,390,32,2.901,4,6154,3,1.09
ROAD,87,124,16,1.176,21,14844,9,2.12
ROAD,707,325,58,3.968,77,24084,11,2.51
ROAD,116,866,76,4.31,77,28371,19,4.53
ROAD,99,343,81,3.273,48,16695,10,3.36
ROAD,611,621,88,1.801,63,28629,20,3.86
ROAD,717,802,87,1.368,89,44221,20,3.85
ROAD,877,471,14,2.057,56,5211,9,2.15
ROAD,212,729,21,2.656,11,37211,12,2.36
ROAD,225,284,2,3.693,10,44088,8,3.07
ROAD,620,864,67,2.836,17,2604,11,3.63
ROAD,33,452,68,2.286,59,41789,14,2.33
ROAD,331,412,53,1.962,14,37067,6,2.5
ROAD,183,582,60,4.403,81,2499,7,1
ROAD,382,308,49,0.689,71,14845,7,2.73
ROAD,740,10,67,2.083,96,26466,18,4.56
ROAD,453,416,86,1.279,32,43529,10,4
ROAD,646,841,6,1.182,50,28640,19,2.64
ROAD,398,89,36,3.309,12,49882,4,4.17
ROAD,628,795,63,1.309,57,9559,10,1.65
ROAD,683,603,68,1.511,57,31388,9,1.33
ROAD,366,174,57,0.842,80,10884,18,3.3
ROAD,461,605,40,3.941,55,7673,20,4.37
ROAD,445,682,51,2.008,12,33480,14,4.23
ROAD,206,190,1,3.593,42,49798,8,4.87
ROAD,383,934,70,1.578,33,29124,7,4.45
ROAD,495,618,46,2.34,17,30171,10,4.83
ROAD,685,643,2,4.207,75,1686,20,2.07
ROAD,240,147,38,3.829,69,49056,4,2.6
ROAD,532,162,89,0.99,75,23014,7,3.28
ROAD,426,183,30,0.761,58,18081,10,2.95
ROAD,474,920,9,2.645,69,32952,6,2.58
ROAD,798,313,10,3.959,95,17386,8,1.96
ROAD,81,787,89,1.086,70,28284,12,1.32
ROAD,289,461,60,1.247,0,43623,12,2.77
ROAD,599,171,68,1.887,63,38347,1,3.07
ROAD,120,908,32,4.185,71,15355,13,4.6
ROAD,623,970,22,0.522,9,5557,14,2.69
ROAD,887,853,2,1.008,48,44980,13,2.95
ROAD,385,535,85,4.028,38,16919,12,4.82
ROAD,661,985,38,1.38,93,31734,20,4.72
ROAD,184,469,79,4.139,62,41794,10,3.81
ROAD,35,193,79,1.029,39,30382,14,2.25
ROAD,550,593,16,2.118,56,31474,19,3.56
ROAD,53,711,27,0.412,56,22042,14,1.73
ROAD,950,882,61,2.049,29,33063,7,1.58
ROAD,968,459,4,4.315,26,43404,15,2.69
ROAD,118,311,73,4.326,73,42555,14,2.87
ROAD,418,684,74,3.053,8,22315,19,1.93
ROAD,450,286,19,2.701,54,10444,10,2.53
ROAD,399,645,2,1.527,69,16696,16,1.77
ROAD,337,655,27,0.425,27,9137,16,4.31
ROAD,487,763,34,1.241,83,44744,14,2.12
ROAD,261,279,35,4.465,44,9087,6,3.94
ROAD,82,176,76,1.5,68,46975,3,4.82
ROAD,94,124,62,4.107,84,8550,11,3.4
ROAD,606,654,64,2.099,2,27931,13,1.26
ROAD,100,96,55,0.334,30,16809,7,1.64
ROAD,966,953,15,1.719,19,24698,8,2.81
ROAD,952,514,70,4.235,9,38581,18,3.31
ROAD,382,35,3,3.656,31,43575,2,1.79
ROAD,144,282,50,0.351,67,12892,18,3.71
ROAD,368,245,4,1.14,72,43092,16,2.23
ROAD,872,498,53,4.302,78,1578,6,1.93
ROAD,550,213,85,1.428,35,24344,14,2.71
ROAD,820,659,44,1.363,28,13206,19,3.16
ROAD,191,74,1,3.359,21,40317,20,3.86
ROAD,541,680,84,2.139,71,16225,3,4.88
ROAD,724,420,17,1.282,99,39634,3,2.68
ROAD,455,452,18,0.521,83,5078,11,4.76
ROAD,538,584,4,3.321,16,46575,19,2.3
ROAD,333,612,39,1.125,24,25709,12,3.26
ROAD,926,977,60,1.819,29,37190,6,1.1
ROAD,146,280,11,3.094,32,25776,19,4.04
ROAD,975,604,5,4.417,6,36673,6,1.07
ROAD,388,78,82,3.748,42,4870,15,1.79
ROAD,649,809,69,2.6,29,5810,19,3.92
ROAD,900,521,8,0.413,10,31643,14,3.86
ROAD,140,798,77,2.812,42,36459,7,4.18
ROAD,69,616,25,4.24,18,29606,15,1.18
ROAD,989,445,37,2.065,41,49404,11,4.19
ROAD,776,645,15,2.645,53,35314,12,2.14
ROAD,715,467,28,3.119,51,27860,14,2.94
ROAD,880,756,20,1.244,64,29282,4,4.34
ROAD,406,977,56,1.124,6,12986,16,3.79
ROAD,741,391,11,4.321,47,4670,3,4.3
ROAD,972,376,59,2.804,33,27639,13,2.13
ROAD,373,230,73,4.316,47,23314,14,2.43
ROAD,503,168,21,1.233,62,40039,18,2.9
ROAD,667,626,64,0.571,89,24948,6,1.17
ROAD,163,250,44,1.318,93,23278,4,4.9
ROAD,902,466,56,3.581,51,41994,13,3.63
ROAD,747,620,13,2.039,94,26964,15,1.93
ROAD,288,868,36,1.342,6,11425,12,4.94
ROAD,983,129,6,3.347,81,30579,1,1.12
ROAD,477,170,19,3.628,88,13769,1,2.32
ROAD,9,843,64,3.527,85,20395,12,3.32
ROAD,425,109,10,1.509,98,26041,10,1.13
ROAD,778,508,48,2.368,35,26904,11,2.14
ROAD,817,500,67,2.736,50,37586,1,4.54
ROAD,782,386,56,0.433,82,44851,18,1.95
ROAD,414,736,1,4.5,27,22594,7,3.69
ROAD,394,629,21,1.034,51,4091,4,2.11
ROAD,981,346,75,0.53,72,604,11,2.29
ROAD,597,378,9,0.218,35,9924,13,4
ROAD,474,365,62,1.029,11,9340,15,2.06
ROAD,617,242,82,2.058,94,13025,6,3.9
ROAD,13,672,72,1.284,84,38425,7,3.13
ROAD,440,58,40,3.763,58,5500,16,3.11
ROAD,419,669,73,0.863,27,18984,17,4.96
ROAD,142,129,79,2.976,52,48323,20,3.11
ROAD,779,996,51,0.792,17,42425,19,1.4
ROAD,835,290,10,2.26,84,6752,19,1.89
ROAD,92,792,48,3.551,96,3088,6,1.03
ROAD,732,116,87,2.773,62,8761,2,1.91
ROAD,893,599,44,0.265,38,46614,10,3.68
ROAD,116,963,79,2.211,85,34704,15,2.63
ROAD,215,217,69,1.696,44,30451,13,3.22
ROAD,690,671,83,2.775,32,46787,2,3.22
ROAD,313,324,69,3.725,57,23049,8,2.93
ROAD,404,349,12,2.166,6,31891,13,3.57
ROAD,993,856,64,4.109,90,14184,7,1.19
ROAD,700,14,80,2.194,52,7734,8,2.79
ROAD,530,652,87,1.822,89,15964,15,1.04
ROAD,20,707,51,2.998,6,22718,19,2.71
ROAD,83,865,71,2.291,66,28291,2,3.31
ROAD,726,424,69,4.323,9,21478,5,4.64
ROAD,235,514,82,0.843,25,4548,1,2.21
ROAD,310,54,82,3.799,48,40305,9,2.43
ROAD,752,57,66,3.566,75,24284,5,1.67
ROAD,821,901,42,1.224,46,21443,8,4.48
ROAD,215,123,58,2.372,95,40995,6,4.77
ROAD,704,714,85,3.812,16,30560,19,1.02
ROAD,240,977,82,2.722,7,17901,14,1.63
ROAD,121,668,62,0.93,7,38704,10,3.69
ROAD,84,889,86,0.865,68,17640,8,1.94
ROAD,997,223,65,3.366,10,33948,3,3.62
ROAD,864,147,89,2.901,49,4175,16,4.41
ROAD,798,650,66,2.704,32,33937,14,3.5
ROAD,821,518,78,4.424,42,41565,11,4.63
ROAD,43,421,36,0.771,85,3508,15,4.66
ROAD,947,310,37,3.139,57,46743,16,1.66
ROAD,629,212,84,2.549,43,47373,17,1.36
ROAD,459,913,2,2.896,15,8904,11,2.01
ROAD,659,460,8,1.717,4,15174,14,3.61
ROAD,452,633,16,0.68,14,37955,17,1.23
ROAD,527,917,75,1.447,12,10246,6,1.54
ROAD,392,384,65,1.95,20,39798,7,3.02
ROAD,887,773,36,3.694,29,20356,6,2.4
ROAD,979,537,18,4.43,44,17501,10,1.53
ROAD,926,136,12,3.745,26,18855,8,2.17
ROAD,638,291,73,2.493,80,24055,16,2.24
ROAD,69,340,49,3.786,98,7950,8,1.39
ROAD,787,745,65,4.086,71,16692,3,2.9
ROAD,14,503,80,1.231,49,1026,4,2.2
ROAD,182,319,85,2.174,80,28274,13,3.82
ROAD,146,733,86,2.362,96,46597,8,1.47
ROAD,880,261,41,1.653,19,27741,17,4.27
ROAD,683,702,90,0.621,13,37289,3,2.54
ROAD,352,450,80,1.589,42,17639,14,3.4
ROAD,538,72,15,4.094,61,31780,11,2.53
ROAD,940,934,51,4.319,32,18682,11,2.89
ROAD,632,301,47,0.411,67,6652,7,3.66
ROAD,158,754,9,0.76,2,22004,17,3.64
ROAD,850,756,90,2.278,20,32763,14,4.17
ROAD,370,544,46,4.019,7,8320,16,1.4
ROAD,725,850,21,1.654,19,6104,3,4.28
ROAD,203,282,59,4.281,54,31669,12,4.25
ROAD,548,990,64,2.113,69,47095,2,2.04
ROAD,397,581,5,4.354,17,17723,12,4.3
ROAD,744,524,78,4.12,32,4294,13,4.64
ROAD,143,580,14,0.238,28,8636,11,3.89
ROAD,267,999,71,2.226,23,2296,6,2.06
ROAD,361,566,74,0.384,51,45217,2,1.84
ROAD,845,869,8,3.799,96,46493,15,2.56
ROAD,864,662,2,1.48,75,23534,20,3.53
ROAD,576,306,54,3.123,96,49442,16,2.89
ROAD,741,18,58,2.776,37,3877,6,3.1
ROAD,459,794,1,4.434,59,32254,18,2.36
ROAD,863,940,87,2.954,12,47073,10,4.26
ROAD,918,201,7,3.955,82,3316,16,2.53
ROAD,145,796,81,3.636,37,12988,6,4.99
ROAD,936,529,86,3.561,18,46588,14,1.49
ROAD,164,793,73,0.836,15,49808,6,1.23
ROAD,856,156,79,0.338,0,17204,15,3.28
ROAD,808,820,50,3.108,25,12161,9,2.95
ROAD,128,775,6,2.255,57,49883,2,2.2
ROAD,379,830,64,1.501,66,42567,13,4
ROAD,210,835,44,0.807,12,7548,19,3.8
ROAD,440,213,72,4.352,6,49179,10,4.19
ROAD,449,511,33,1.773,100,15325,5,4.41
ROAD,937,438,25,3.205,49,10510,4,1.05
ROAD,292,207,41,2.316,5,33939,8,2.05
ROAD,316,339,41,1.142,14,15874,9,2.86
ROAD,242,826,33,0.25,90,18567,9,4.94
ROAD,831,721,75,3.496,62,44617,3,2.79
ROAD,354,228,35,1.517,0,9721,6,4.03
ROAD,191,245,71,2.924,57,27501,7,1.74
ROAD,589,175,21,1.346,12,19192,15,2.62
ROAD,818,260,76,2.134,22,47843,11,2.86
ROAD,568,303,39,1.361,41,9440,3,2.41
ROAD,76,51,51,3.021,31,20575,10,1.09
ROAD,798,742,45,4.054,92,9199,19,3.92
ROAD,560,835,48,0.949,14,48303,19,4.81
ROAD,215,960,71,0.599,27,17623,17,3.66
ROAD,529,38,46,1.9,79,22096,5,2.43
ROAD,525,849,62,2.748,99,21683,13,4.58
ROAD,994,228,40,0.471,84,30858,15,4.03
ROAD,563,491,35,2.15,23,17462,16,2.64
ROAD,73,878,31,4.085,27,46025,18,1.25
ROAD,26,212,61,1.438,39,12677,3,2.21
ROAD,332,520,88,0.422,9,25189,1,1.6
ROAD,11,117,74,0.345,24,1384,8,3.95
ROAD,548,391,90,2.873,99,44117,19,3.8
ROAD,242,780,13,4.219,67,48682,20,4.61
ROAD,198,857,48,2.064,52,33962,9,4.8
ROAD,953,682,7,1.763,24,11160,20,2.43
ROAD,442,827,6,4.331,48,14350,18,1.39
ROAD,539,999,43,3.599,83,5813,12,4.05
ROAD,727,481,81,3.153,58,35759,7,3.78
ROAD,987,627,83,4.5,58,5816,4,4.02
ROAD,507,627,63,1.971,67,26232,4,3.42
ROAD,940,973,8,1.486,64,34045,16,3.36
ROAD,449,629,43,3.672,16,7924,7,2.7
ROAD,183,911,60,2.354,3,39083,2,4.29
ROAD,431,474,32,1.361,72,16280,1,3.02
ROAD,751,442,57,2.791,22,30288,19,1.05
ROAD,201,710,56,0.77,0,34523,16,3.51
ROAD,867,984,17,1.176,42,32088,9,4.2
ROAD,388,620,64,3.239,6,42127,8,4.3
ROAD,106,504,52,3.009,15,18770,11,4.19
ROAD,423,535,53,2.693,58,21964,1,1.36
ROAD,326,572,38,3.02,10,30588,15,1.09
ROAD,547,909,88,1.864,9,35655,6,1.19
ROAD,235,691,82,3.948,69,14365,20,2.51
ROAD,616,584,14,1.658,23,16508,4,2.61
ROAD,91,277,75,3.578,1,11499,18,4.04
ROAD,236,118,85,2.683,8,12426,3,4.97
ROAD,286,967,84,1.532,29,5436,5,4.9
ROAD,625,235,36,3.548,46,30106,3,3.91
ROAD,553,115,9,2.92,56,37698,1,3.49
ROAD,709,810,41,0.472,38,48814,7,2.54
ROAD,493,277,59,4.494,73,45091,7,1.64
ROAD,596,247,81,0.908,87,22198,3,2.86
ROAD,800,492,34,3.658,9,29592,4,3.84
ROAD,779,696,74,0.745,12,45297,8,4.85
ROAD,617,582,55,1.903,42,20624,8,4.15
ROAD,67,771,28,2.11,56,1974,10,1.92
ROAD,996,668,2,0.999,92,21129,11,4.45
ROAD,413,165,53,0.616,6,1534,20,4.31
ROAD,221,155,37,4.296,78,3952,8,1.06
ROAD,466,187,50,1.878,62,22430,20,2.98
ROAD,843,463,47,3.352,52,39551,6,4.83
ROAD,490,499,37,3.693,83,4830,4,2.97
ROAD,831,760,48,1.816,76,19530,9,3.28
ROAD,981,495,83,1.663,29,49353,11,1.22
ROAD,471,150,16,1.488,58,2598,12,3.91
ROAD,549,130,89,3.981,78,32577,20,2.99
ROAD,590,437,79,4.358,10,1029,2,1.89
ROAD,227,439,14,0.375,91,36064,17,4.51
ROAD,894,42,23,3.395,47,11429,14,4.13
ROAD,378,686,12,4.158,11,30251,15,1.31
ROAD,894,958,5,2.801,84,44166,17,2.36
ROAD,544,264,88,3.412,32,44858,9,1.25
ROAD,521,557,64,1.743,14,14805,19,4.91
ROAD,710,917,72,3.912,63,40091,1,4.51
ROAD,138,674,54,3.697,0,1274,19,2.96
ROAD,53,427,65,2.327,30,21067,3,4.68
ROAD,311,648,90,1.383,15,47671,3,3.86
ROAD,914,204,27,1.86,36,31035,1,4.91
ROAD,266,688,90,1.262,97,46284,9,1.79
ROAD,918,603,12,1.651,56,44346,13,2.79
ROAD,992,670,70,2.44,31,27130,9,3.36
ROAD,132,98,88,2.648,32,31767,3,3.5
ROAD,883,838,54,3.847,5,17234,10,2.98
ROAD,324,883,57,2.297,57,32362,20,4.86
ROAD,808,147,9,3.389,94,13970,4,4.71
ROAD,658,834,60,2.649,92,40376,3,3.92
ROAD,533,358,54,2.854,69,17640,6,2.12
ROAD,757,951,45,2.922,96,26964,15,1.3
ROAD,127,487,68,4.37,54,37709,9,1.59
ROAD,265,279,8,0.977,55,6799,2,2.07
ROAD,971,195,68,0.276,10,35152,1,3.58
ROAD,885,540,26,2.332,56,31974,1,3.6
ROAD,397,466,72,1.882,57,29554,15,4.06
ROAD,778,268,88,1.574,20,40030,17,3.69
ROAD,898,973,70,1.861,42,36172,6,2.83
ROAD,637,494,14,1.44,2,34361,4,3.87
ROAD,203,944,30,3.902,41,19983,18,2.53
ROAD,609,891,53,0.771,42,30808,14,2.67
ROAD,3,745,37,2.521,71,9549,4,2.25
ROAD,264,981,27,0.636,1,43440,5,3.39
ROAD,85,545,69,0.423,63,44551,14,1.51
ROAD,307,996,2,2.624,30,28248,8,2.88
ROAD,242,415,85,1.721,18,26894,8,1.72
ROAD,594,503,45,0.63,17,1078,2,2.18
ROAD,210,660,39,3.209,27,36937,14,1.82
ROAD,77,52,11,2.608,92,21522,14,2.08
ROAD,245,440,87,1.453,96,49891,7,2.27
ROAD,752,373,53,3.384,46,3974,18,4.03
ROAD,110,523,55,4.042,78,35378,19,2.65
ROAD,616,568,46,3.818,0,46818,7,4.64
ROAD,755,38,34,1.591,46,822,2,4.51
ROAD,568,676,43,1.904,54,20304,10,2.37
ROAD,324,696,89,0.558,90,1621,10,1.71
ROAD,215,394,4,2.041,45,33455,4,4.84
ROAD,530,386,90,2.601,69,13270,5,2.93
ROAD,14,555,30,0.644,76,12656,19,1.75
ROAD,49,96,58,3.59,18,7031,17,4.84
ROAD,202,197,89,0.996,0,27064,18,3.99
ROAD,144,289,10,3.673,43,7156,19,4.14
ROAD,247,469,59,3.506,25,47725,13,2.71
ROAD,257,74,45,1.701,18,8748,12,1.1
ROAD,621,856,5,1.928,58,32398,17,3
ROAD,923,389,37,1.731,77,17014,6,2.11
ROAD,846,757,63,2.026,50,33789,6,1.4
ROAD,605,674,25,0.597,68,26499,12,3.09
ROAD,252,824,68,2.25,94,5988,13,1.95
ROAD,920,96,63,1.04,2,41274,15,2.98
ROAD,267,594,3,1.012,53,11144,17,1.27
ROAD,350,434,60,2.299,71,20490,2,1.33
ROAD,841,148,50,2.667,100,45485,9,4.26
ROAD,714,60,29,2.914,32,22789,9,2.16
ROAD,886,296,79,2.332,89,31639,13,3.63
ROAD,492,928,20,3.398,82,46578,3,2.91
ROAD,10,152,60,3.954,60,21077,7,2.96
ROAD,236,947,42,2.425,83,17494,9,3.43
ROAD,698,5,18,3.22,61,10179,7,3.75
ROAD,838,982,72,3.267,72,4378,1,3.33
ROAD,9,694,52,2.531,55,31656,10,4.5
ROAD,842,618,27,2.342,79,4296,17,2.08
ROAD,657,427,78,1.055,15,49176,8,4.23
ROAD,249,276,23,1.806,62,45719,12,4.04
ROAD,385,24,63,2.746,20,18839,20,3.15
ROAD,424,674,66,2.209,34,31326,12,1.51
ROAD,935,721,77,2.36,59,9455,4,1.78
ROAD,80,218,55,4.197,4,48807,10,3.96
ROAD,580,561,21,4.435,41,42635,13,4.14
ROAD,664,321,54,3.099,45,12134,20,3.25
ROAD,315,870,70,4.265,47,25214,11,4.51
ROAD,61,564,2,3.406,81,830,14,1.39
ROAD,924,326,62,4.074,58,32668,4,3.28
ROAD,243,170,62,0.83,91,17853,17,1.11
ROAD,324,140,82,4.395,9,34677,5,2.21
ROAD,950,850,44,2.786,42,18802,19,1.13
ROAD,574,47,32,3.914,0,7924,17,4.8
ROAD,309,675,44,1.742,31,4499,14,3.87
ROAD,344,729,75,3.876,59,30613,16,1.61
ROAD,252,362,61,1.168,78,12650,16,1.58
ROAD,10,489,21,1.706,15,34850,11,4.52
ROAD,633,922,87,1.281,71,2475,5,1.87
ROAD,593,532,40,0.923,89,9752,3,4.46
ROAD,882,56,90,3.122,63,44674,9,1.93
ROAD,403,924,51,2.307,67,4736,19,2.37
ROAD,348,563,35,1.799,15,34312,8,4.86
ROAD,646,803,68,3.531,91,45103,3,2.18
ROAD,824,800,12,1.167,97,42629,15,3.89
ROAD,377,851,54,1.687,0,41117,2,4.53
ROAD,402,683,16,1.116,42,15266,16,3.39
ROAD,552,944,17,3.436,20,37213,10,3.46
ROAD,450,189,58,1.49,100,42454,16,3.71
ROAD,74,357,24,3.701,44,42905,18,3.15
ROAD,23,992,33,0.393,91,23260,6,4.7
ROAD,459,109,53,1.379,14,28917,5,1.26
ROAD,895,851,6,0.588,44,11953,5,2.64
ROAD,722,924,55,0.629,67,2153,14,4.71
ROAD,905,38,16,0.814,47,33210,17,1.87
ROAD,699,47,56,0.555,57,12373,17,4.66
ROAD,505,950,36,3.118,93,31310,19,1.74
ROAD,886,31,22,4.145,100,5939,8,1.17
ROAD,528,580,56,0.916,16,49931,7,1.63
ROAD,7,345,72,3.952,47,6963,11,3
ROAD,166,890,6,0.886,91,5932,20,2.38
ROAD,582,427,6,2.542,3,4137,16,2.1
ROAD,515,368,59,3.432,98,27949,15,3.52
