command,u,v,cost,benefit,extra
EDGE,244,858,17999,73.09,
EDGE,330,643,8874,8.05,
EDGE,987,387,21385,13.13,
EDGE,932,601,11521,15.08,
EDGE,416,910,19786,62.39,
EDGE,775,550,12346,88.85,
EDGE,261,360,15810,22.88,
EDGE,573,125,13463,45.66,
EDGE,274,432,8035,83.65,
EDGE,570,572,7181,62.88,
EDGE,934,645,4400,45.57,
EDGE,305,404,16840,24.92,
EDGE,74,262,7431,32.43,
EDGE,946,948,19555,4.3,
EDGE,751,346,5586,93.34,
EDGE,11,272,15415,13.74,
EDGE,912,584,9295,71.04,
EDGE,302,850,11535,70.47,
EDGE,641,142,11965,10.07,
EDGE,970,863,10788,98.78,
EDGE,368,219,3850,63.05,
EDGE,797,890,6280,13.93,
EDGE,532,135,8649,40.78,
EDGE,505,364,16351,51.48,
EDGE,849,533,6224,37.87,
EDGE,141,949,12635,87.04,
EDGE,208,148,11089,5.61,
EDGE,805,475,11093,85.0,
EDGE,894,664,9867,94.67,
EDGE,649,463,23516,29.84,
EDGE,911,476,4439,30.33,
EDGE,707,724,7393,21.46,
EDGE,764,172,10463,16.31,
EDGE,7,181,1690,7.04,
EDGE,781,675,13815,35.34,
EDGE,455,42,18997,78.67,
EDGE,269,903,2344,10.12,
EDGE,42,255,13220,41.38,
EDGE,100,917,17327,2.44,
EDGE,570,64,13508,48.57,
EDGE,889,704,10349,21.78,
EDGE,714,665,10534,35.76,
EDGE,874,679,10077,68.44,
EDGE,84,514,13267,21.03,
EDGE,852,798,19520,99.97,
EDGE,440,162,17097,24.34,
EDGE,484,436,13150,14.41,
EDGE,376,371,17664,14.33,
EDGE,841,137,6808,13.24,
EDGE,54,228,6012,57.69,
EDGE,38,171,5213,35.39,
EDGE,354,959,12740,78.83,
EDGE,280,548,5616,75.46,
EDGE,862,663,8868,85.01,
EDGE,258,505,10528,15.02,
EDGE,610,251,7108,86.46,
EDGE,944,923,4635,64.94,
EDGE,806,165,15066,70.23,
EDGE,982,121,19581,25.53,
EDGE,488,696,8881,12.84,
EDGE,395,120,3130,7.05,
EDGE,487,725,4840,95.06,
EDGE,117,214,18013,57.03,
EDGE,331,88,9982,37.93,
EDGE,932,136,9298,70.55,
EDGE,260,138,8687,90.87,
EDGE,659,885,19832,88.06,
EDGE,410,387,12988,89.38,
EDGE,270,295,13617,92.01,
EDGE,649,322,15143,72.47,
EDGE,966,442,16392,3.88,
EDGE,933,880,18576,5.89,
EDGE,104,955,8041,18.19,
EDGE,776,658,3641,51.41,
EDGE,766,551,5744,79.06,
EDGE,373,921,9928,14.12,
EDGE,994,529,15597,21.39,
EDGE,847,132,15537,27.59,
EDGE,657,855,11324,57.57,
EDGE,911,817,19262,77.76,
EDGE,68,272,20495,16.73,
EDGE,502,406,4397,8.53,
EDGE,886,206,7372,3.22,
EDGE,60,312,15673,38.96,
EDGE,251,133,6421,99.81,
EDGE,894,715,2323,87.13,
EDGE,90,812,14078,33.97,
EDGE,313,563,11038,81.91,
EDGE,926,872,1071,66.97,
EDGE,436,806,10345,41.58,
EDGE,983,284,1179,73.79,
EDGE,382,943,10630,1.36,
EDGE,702,985,4270,44.03,
EDGE,962,644,14057,33.78,
EDGE,178,308,4679,15.54,
EDGE,113,59,12075,84.37,
EDGE,387,201,15453,11.48,
EDGE,878,984,1326,70.69,
EDGE,838,473,11630,60.1,
EDGE,152,786,5012,69.17,
EDGE,773,496,7041,37.24,
EDGE,616,455,12269,54.23,
EDGE,679,846,8462,19.65,
EDGE,545,950,13408,73.94,
EDGE,394,196,12275,44.38,
EDGE,724,815,14231,54.02,
EDGE,425,674,23027,33.27,
EDGE,461,914,16104,50.81,
EDGE,496,597,8594,95.25,
EDGE,23,344,15252,82.87,
EDGE,989,648,7693,23.62,
EDGE,38,864,7960,43.83,
EDGE,438,960,11364,60.61,
EDGE,625,876,14273,46.59,
EDGE,925,902,9236,36.66,
EDGE,669,820,17439,75.15,
EDGE,32,76,13308,67.26,
EDGE,681,811,21578,79.79,
EDGE,617,877,19395,10.29,
EDGE,733,606,11087,29.82,
EDGE,484,642,7458,41.94,
EDGE,656,988,7291,42.13,
EDGE,304,787,1627,33.6,
EDGE,776,308,19035,24.66,
EDGE,269,738,3464,67.09,
EDGE,906,315,2634,84.81,
EDGE,754,104,19232,12.16,
EDGE,941,774,9755,85.4,
EDGE,785,941,5152,79.97,
EDGE,740,369,1000,8.54,
EDGE,323,173,11964,34.15,
EDGE,19,42,7407,25.87,
EDGE,726,371,16974,26.51,
EDGE,790,829,10692,22.48,
EDGE,618,984,12567,19.2,
EDGE,456,220,10711,47.83,
EDGE,963,701,12588,85.44,
EDGE,521,441,11791,10.36,
EDGE,478,883,9397,72.59,
EDGE,560,551,11638,53.44,
EDGE,106,908,21433,90.23,
EDGE,828,732,7991,45.3,
EDGE,75,459,7636,60.67,
EDGE,861,785,12786,9.07,
EDGE,349,533,4356,84.74,
EDGE,938,383,7354,30.99,
EDGE,574,13,16123,56.26,
EDGE,426,749,7429,2.71,
EDGE,858,923,8392,86.73,
EDGE,63,2,15383,33.74,
EDGE,892,469,7957,90.68,
EDGE,741,144,14581,17.23,
EDGE,116,143,16620,65.73,
EDGE,774,413,19003,92.13,
EDGE,814,750,20699,87.23,
EDGE,458,802,18725,41.47,
EDGE,675,616,12792,33.15,
EDGE,284,135,13216,75.61,
EDGE,711,225,5952,87.01,
EDGE,342,586,14651,38.5,
EDGE,289,960,5452,49.82,
EDGE,458,157,12229,68.45,
EDGE,952,608,4365,57.83,
EDGE,762,755,13506,1.71,
EDGE,168,694,9670,84.08,
EDGE,133,498,5343,34.35,
EDGE,626,822,12007,77.52,
EDGE,889,401,16280,10.0,
EDGE,774,106,2125,19.63,
EDGE,757,290,12048,9.73,
EDGE,971,963,13082,75.82,
EDGE,42,599,2579,14.76,
EDGE,256,249,7086,35.92,
EDGE,196,410,16194,47.19,
EDGE,542,567,10224,89.01,
EDGE,218,130,5979,18.19,
EDGE,229,716,14513,6.6,
EDGE,363,349,18624,15.19,
EDGE,89,829,15304,82.94,
EDGE,790,115,9194,45.33,
EDGE,30,292,8501,41.49,
EDGE,693,604,16730,72.01,
EDGE,415,251,3646,87.2,
EDGE,500,880,4229,9.51,
EDGE,847,4,13582,7.98,
EDGE,208,823,12569,3.08,
EDGE,88,535,10739,17.86,
EDGE,521,168,4969,82.74,
EDGE,917,21,10762,17.2,
EDGE,627,563,14987,32.43,
EDGE,350,374,8663,28.3,
EDGE,288,294,18149,24.65,
EDGE,116,699,9143,86.52,
EDGE,475,13,10013,59.0,
EDGE,315,594,3868,58.68,
EDGE,49,687,7965,77.6,
EDGE,601,212,15204,8.77,
EDGE,520,435,3042,94.21,
EDGE,380,627,12063,99.35,
EDGE,666,83,5499,76.21,
EDGE,841,837,11734,36.28,
EDGE,519,854,5021,60.2,
EDGE,956,845,12015,85.73,
EDGE,30,138,7721,19.36,
EDGE,188,716,15235,56.17,
EDGE,991,173,7200,5.07,
EDGE,149,755,17713,12.41,
EDGE,789,608,15279,16.46,
EDGE,545,49,4152,1.23,
EDGE,965,681,8784,65.57,
EDGE,525,272,7058,19.58,
EDGE,884,257,9209,15.05,
EDGE,187,192,5026,37.43,
EDGE,678,140,10757,93.66,
EDGE,420,841,7815,70.22,
EDGE,755,658,15439,79.29,
EDGE,61,224,3054,64.41,
EDGE,800,671,11748,51.64,
EDGE,591,425,14381,81.0,
EDGE,490,317,13685,72.09,
EDGE,202,299,11870,32.85,
EDGE,664,777,11145,2.3,
EDGE,277,871,7961,82.81,
EDGE,856,28,6395,3.46,
EDGE,139,883,13477,78.57,
EDGE,821,348,2282,2.01,
EDGE,997,793,9282,36.25,
EDGE,391,433,7333,58.43,
EDGE,993,980,16443,38.89,
EDGE,567,833,10409,62.6,
EDGE,854,706,3143,87.25,
EDGE,996,700,10704,50.64,
EDGE,562,314,10116,71.51,
EDGE,471,881,7987,74.01,
EDGE,52,497,5088,99.61,
EDGE,661,814,13169,49.92,
EDGE,241,190,15591,84.42,
EDGE,532,536,9962,33.24,
EDGE,864,994,9366,76.99,
EDGE,484,119,7910,22.1,
EDGE,136,50,5943,10.93,
EDGE,564,905,14027,19.28,
EDGE,597,929,7898,10.05,
EDGE,893,48,17684,59.56,
EDGE,659,179,9919,3.64,
EDGE,130,820,14328,30.51,
EDGE,957,403,6872,59.24,
EDGE,239,904,9492,55.0,
EDGE,539,45,9187,59.41,
EDGE,939,882,12031,92.95,
EDGE,334,564,14548,56.98,
EDGE,128,389,11811,85.73,
EDGE,174,63,6920,39.75,
EDGE,370,480,11544,50.73,
EDGE,145,595,7518,27.6,
EDGE,870,99,7440,34.87,
EDGE,959,965,11984,87.57,
EDGE,740,914,5380,57.52,
EDGE,907,159,12868,26.69,
EDGE,319,16,8637,79.86,
EDGE,506,730,11593,80.56,
EDGE,10,748,16140,96.28,
EDGE,723,131,10332,21.17,
EDGE,435,932,8264,40.79,
EDGE,245,301,12785,85.24,
EDGE,620,926,7519,59.07,
EDGE,919,803,16956,44.47,
EDGE,4,516,3097,46.86,
EDGE,190,434,7724,41.47,
EDGE,974,141,13231,3.41,
EDGE,125,59,2725,35.91,
EDGE,723,949,16295,47.06,
EDGE,570,750,15083,75.3,
EDGE,51,910,14705,15.89,
EDGE,775,919,4355,63.94,
EDGE,303,224,3746,71.41,
EDGE,699,823,13613,3.14,
EDGE,368,508,1748,37.91,
EDGE,367,187,13772,8.35,
EDGE,424,760,20333,52.02,
EDGE,805,517,17782,89.6,
EDGE,349,181,8867,13.5,
EDGE,876,579,18683,80.9,
EDGE,21,215,4993,6.58,
EDGE,319,589,20554,65.4,
EDGE,39,476,16246,39.9,
EDGE,463,827,11628,10.86,
EDGE,461,470,8182,43.67,
EDGE,244,52,22255,64.45,
EDGE,282,196,10085,70.75,
EDGE,794,399,15737,53.54,
EDGE,490,44,12161,40.54,
EDGE,370,87,10673,22.88,
EDGE,221,200,5226,31.44,
EDGE,581,645,12358,44.74,
EDGE,204,437,20684,58.65,
EDGE,731,721,8613,42.95,
EDGE,856,264,10883,52.53,
EDGE,138,362,10057,80.6,
EDGE,358,900,9403,51.3,
EDGE,717,392,5522,26.12,
EDGE,379,818,8515,78.9,
EDGE,120,473,16267,71.16,
EDGE,380,524,19244,42.33,
EDGE,533,863,14434,8.59,
EDGE,82,517,11783,13.28,
EDGE,607,993,7643,25.38,
EDGE,368,352,8692,9.38,
EDGE,351,551,6391,76.27,
EDGE,451,154,14845,6.48,
EDGE,930,98,9214,84.34,
EDGE,40,46,14439,56.22,
EDGE,721,302,13070,16.74,
EDGE,984,987,4361,76.0,
EDGE,979,685,11469,13.77,
EDGE,156,491,9255,89.59,
EDGE,218,140,7122,21.22,
EDGE,107,836,6077,98.93,
EDGE,528,823,853,18.96,
EDGE,982,967,18326,42.76,
EDGE,907,448,2854,46.98,
EDGE,116,854,12129,89.47,
EDGE,925,949,8453,34.34,
EDGE,419,126,3657,90.47,
EDGE,628,785,3247,2.24,
EDGE,266,134,7897,29.06,
EDGE,686,66,15767,60.31,
EDGE,681,45,10403,45.8,
EDGE,801,2,18734,54.84,
EDGE,155,832,7824,89.15,
EDGE,315,552,9612,32.49,
EDGE,757,704,3040,93.05,
EDGE,466,67,18927,81.55,
EDGE,594,394,14306,49.63,
EDGE,92,380,13234,90.04,
EDGE,166,927,7186,29.7,
EDGE,158,588,7504,6.47,
EDGE,723,49,1890,87.55,
EDGE,3,408,5723,37.15,
EDGE,622,971,10787,55.53,
EDGE,910,751,20849,99.8,
EDGE,447,764,19682,22.59,
EDGE,14,907,12078,94.46,
EDGE,79,75,4911,29.12,
EDGE,353,749,4309,31.99,
EDGE,341,335,8670,21.78,
EDGE,615,375,7431,94.51,
EDGE,4,273,13232,72.38,
EDGE,18,910,13324,94.5,
EDGE,945,592,15957,21.4,
EDGE,854,779,11041,88.44,
EDGE,36,14,8566,13.47,
EDGE,223,422,15520,4.52,
EDGE,792,672,2531,17.33,
EDGE,455,694,14008,21.6,
EDGE,849,53,3326,29.55,
EDGE,163,620,12240,39.48,
EDGE,926,901,14431,68.56,
EDGE,338,386,7402,13.02,
EDGE,742,163,6165,70.83,
EDGE,70,832,5880,91.15,
EDGE,696,552,13373,69.19,
EDGE,834,414,4588,43.9,
EDGE,439,192,10663,98.65,
EDGE,962,746,5120,37.4,
EDGE,513,663,12350,65.89,
EDGE,546,486,5229,98.0,
EDGE,63,229,6043,10.51,
EDGE,350,147,4556,89.74,
EDGE,384,453,5337,87.53,
EDGE,377,375,10492,65.24,
EDGE,439,446,12141,20.21,
EDGE,296,516,8424,15.55,
EDGE,778,252,6665,22.73,
EDGE,109,566,7421,73.15,
EDGE,571,309,13683,4.21,
EDGE,603,749,11718,51.47,
EDGE,603,991,14292,36.87,
EDGE,839,711,4150,1.54,
EDGE,548,568,13290,91.3,
EDGE,50,601,9868,81.98,
EDGE,800,275,12580,59.82,
EDGE,643,593,15734,74.89,
EDGE,807,870,15056,5.13,
EDGE,777,581,10418,44.38,
EDGE,78,633,17522,37.92,
EDGE,804,486,5121,81.39,
EDGE,514,897,7434,90.79,
EDGE,29,847,5989,40.17,
EDGE,8,706,14727,92.94,
EDGE,900,755,11086,52.71,
EDGE,706,888,9805,44.34,
EDGE,172,721,18076,83.93,
EDGE,690,215,13217,65.51,
EDGE,998,940,1979,23.22,
EDGE,971,822,10658,52.0,
EDGE,759,46,13597,46.69,
EDGE,176,321,11383,48.67,
EDGE,53,662,13331,61.27,
EDGE,104,212,5315,7.72,
EDGE,618,583,6481,96.56,
EDGE,31,195,13153,10.92,
EDGE,761,703,4057,34.62,
EDGE,376,392,10425,82.06,
EDGE,12,672,9669,25.46,
EDGE,726,125,12205,22.98,
EDGE,305,26,19543,22.74,
EDGE,971,179,617,8.98,
EDGE,485,983,4995,14.26,
EDGE,512,654,9205,27.05,
EDGE,210,502,12315,63.54,
EDGE,488,904,18300,23.45,
EDGE,434,716,13464,26.1,
EDGE,599,107,18109,22.58,
EDGE,876,9,12817,9.23,
EDGE,314,571,5683,9.61,
EDGE,304,736,18121,60.43,
EDGE,359,410,10719,67.93,
EDGE,451,161,9076,95.45,
EDGE,741,982,3610,32.36,
EDGE,270,849,19761,83.62,
EDGE,663,440,18019,76.66,
EDGE,482,210,11809,74.63,
EDGE,800,621,6701,1.48,
EDGE,818,36,12424,81.27,
EDGE,894,328,4567,96.9,
EDGE,946,408,4488,79.43,
EDGE,803,442,4295,54.49,
EDGE,282,146,3452,75.54,
EDGE,790,120,12532,82.25,
EDGE,588,794,16275,61.54,
EDGE,184,189,1983,96.92,
EDGE,510,321,14276,83.89,
EDGE,181,189,9306,16.77,
EDGE,35,81,13664,39.89,
EDGE,770,589,15143,54.63,
EDGE,630,185,769,95.85,
EDGE,686,105,13090,14.41,
EDGE,117,938,2940,73.04,
EDGE,158,49,2877,11.74,
EDGE,279,559,9863,73.77,
EDGE,530,343,14042,64.21,
EDGE,954,801,12737,42.05,
EDGE,781,553,6873,52.25,
EDGE,942,939,8897,39.97,
EDGE,71,334,13800,95.03,
EDGE,633,217,9069,82.45,
EDGE,130,750,11780,12.01,
EDGE,335,368,12067,87.66,
EDGE,529,504,3981,92.51,
EDGE,953,409,12020,27.53,
EDGE,598,687,6423,24.14,
EDGE,611,282,5249,2.19,
EDGE,723,454,4504,24.19,
EDGE,801,90,9902,29.32,
EDGE,669,429,18374,8.7,
EDGE,853,89,10149,96.41,
EDGE,247,876,10935,68.65,
EDGE,26,726,12288,78.79,
EDGE,503,247,4087,81.55,
EDGE,709,705,16204,67.29,
EDGE,394,763,6994,42.85,
EDGE,911,601,969,62.4,
EDGE,157,139,7496,14.84,
EDGE,436,493,12010,19.06,
EDGE,960,473,5256,94.11,
EDGE,381,147,9379,44.13,
EDGE,673,193,14170,81.38,
EDGE,711,432,9816,82.38,
EDGE,299,687,12517,34.57,
EDGE,467,970,6838,93.11,
EDGE,257,525,2523,33.18,
EDGE,878,726,20280,69.49,
EDGE,685,526,13463,44.69,
EDGE,114,584,19713,81.79,
EDGE,16,110,11956,29.4,
EDGE,855,173,9399,25.18,
EDGE,476,94,12228,95.94,
EDGE,259,598,9470,98.0,
EDGE,176,828,12308,3.1,
EDGE,883,608,12549,34.72,
EDGE,141,110,21491,8.59,
EDGE,238,593,13565,25.21,
EDGE,134,768,8717,54.51,
EDGE,350,760,10292,64.99,
EDGE,748,260,10410,83.73,
EDGE,689,67,11066,62.4,
EDGE,727,283,7504,1.14,
EDGE,535,32,10017,92.33,
EDGE,87,860,1589,68.43,
EDGE,198,273,4758,85.45,
EDGE,47,595,14365,17.62,
EDGE,354,525,21058,72.92,
EDGE,936,983,19237,8.47,
EDGE,358,792,7085,31.06,
EDGE,527,716,8700,32.21,
EDGE,28,736,16790,32.35,
EDGE,179,382,3622,27.1,
EDGE,595,240,13733,21.87,
EDGE,440,309,13440,39.53,
EDGE,322,652,2449,62.83,
EDGE,352,168,9763,68.92,
EDGE,579,253,4981,8.06,
EDGE,843,741,2978,5.62,
EDGE,974,688,10366,91.46,
EDGE,143,483,10858,9.98,
EDGE,925,926,2129,74.75,
EDGE,794,991,10328,68.24,
EDGE,612,552,6694,91.18,
EDGE,495,646,14825,8.93,
EDGE,377,402,5068,76.21,
EDGE,18,54,10632,81.52,
EDGE,509,747,8261,25.55,
EDGE,797,574,10485,34.15,
EDGE,607,84,5272,55.2,
EDGE,387,1,8293,95.69,
EDGE,978,564,17672,10.44,
EDGE,927,108,8975,40.87,
EDGE,751,432,16188,99.43,
EDGE,839,316,14820,97.72,
EDGE,907,757,7396,73.52,
EDGE,312,420,9185,2.62,
EDGE,886,414,2606,91.73,
EDGE,7,666,6045,56.83,
EDGE,821,943,6184,48.7,
EDGE,262,502,6939,58.48,
EDGE,130,605,16778,66.28,
EDGE,490,762,6584,5.58,
EDGE,372,819,8656,27.35,
EDGE,870,964,14578,69.2,
EDGE,474,107,15147,79.0,
EDGE,983,843,12588,45.09,
EDGE,195,496,15823,15.62,
EDGE,390,521,12480,58.81,
EDGE,394,274,9251,77.45,
EDGE,171,765,12789,38.21,
EDGE,864,327,3547,29.24,
EDGE,248,297,3158,12.65,
EDGE,144,295,6846,63.12,
EDGE,661,200,13125,28.12,
EDGE,421,24,12041,30.95,
EDGE,898,344,3929,66.52,
EDGE,179,168,11561,12.12,
EDGE,85,891,9585,93.37,
EDGE,753,376,4518,4.41,
EDGE,667,67,3394,39.57,
EDGE,187,632,15454,92.61,
EDGE,590,786,15327,61.07,
EDGE,953,845,11408,67.67,
EDGE,996,297,6481,26.86,
EDGE,732,101,3154,30.55,
EDGE,829,252,1150,21.23,
EDGE,224,932,9014,27.83,
EDGE,952,864,12837,91.74,
EDGE,324,120,8403,79.48,
EDGE,711,65,4901,13.26,
EDGE,319,820,6600,44.13,
EDGE,370,755,9571,90.2,
EDGE,923,92,14669,62.8,
EDGE,156,810,9405,85.93,
EDGE,167,187,2286,22.02,
EDGE,978,150,15215,67.56,
EDGE,582,639,9334,52.69,
EDGE,445,432,7022,56.4,
EDGE,143,160,18381,48.55,
EDGE,661,780,8044,60.31,
EDGE,379,495,14856,96.46,
EDGE,568,966,8932,87.38,
EDGE,397,279,12413,85.77,
EDGE,295,172,5549,24.33,
EDGE,464,967,6384,65.33,
EDGE,978,288,8886,21.23,
EDGE,791,73,7724,70.22,
EDGE,328,52,16273,26.91,
EDGE,238,874,6526,12.91,
EDGE,277,887,12045,37.18,
EDGE,786,471,15913,58.84,
EDGE,797,951,12674,97.21,
EDGE,274,324,21181,38.1,
EDGE,515,829,18761,51.53,
EDGE,79,78,18260,67.8,
EDGE,804,945,20997,34.32,
EDGE,360,639,12980,7.93,
EDGE,752,684,4727,90.55,
EDGE,86,168,11487,10.83,
EDGE,442,752,18508,79.91,
EDGE,921,281,10069,17.01,
EDGE,678,16,16917,24.37,
EDGE,655,325,3557,52.03,
EDGE,66,72,4985,81.41,
EDGE,133,132,9823,78.98,
EDGE,592,181,7935,15.65,
EDGE,206,648,9099,93.07,
EDGE,836,842,5893,19.49,
EDGE,439,12,12673,70.88,
EDGE,790,404,7062,24.92,
EDGE,180,245,7694,79.22,
EDGE,685,983,2040,65.35,
EDGE,352,951,14650,25.19,
EDGE,495,83,6136,14.69,
EDGE,955,634,100,37.94,
EDGE,498,483,4158,53.68,
EDGE,696,911,2602,29.95,
EDGE,845,616,9739,34.88,
EDGE,0,666,7079,67.94,
EDGE,993,811,6308,85.79,
EDGE,126,333,10968,18.61,
EDGE,675,564,3447,31.25,
EDGE,624,895,17427,47.96,
EDGE,570,726,10612,26.85,
EDGE,395,452,3219,84.01,
EDGE,457,373,10601,33.56,
EDGE,322,681,12962,30.63,
EDGE,178,235,5293,83.12,
EDGE,251,765,8726,71.83,
EDGE,231,632,6359,87.43,
EDGE,821,178,18300,7.63,
EDGE,601,466,10723,43.22,
EDGE,375,311,6174,15.28,
EDGE,520,880,6209,4.01,
EDGE,13,152,14622,37.83,
EDGE,652,300,7570,39.35,
EDGE,575,88,14817,19.12,
EDGE,230,502,9228,30.58,
EDGE,87,410,7515,31.58,
EDGE,824,709,15397,86.18,
EDGE,734,556,3631,66.64,
EDGE,208,707,9608,3.84,
EDGE,850,318,5373,42.29,
EDGE,837,981,19387,73.03,
EDGE,530,907,11985,59.85,
EDGE,923,351,9443,4.31,
EDGE,604,234,12323,99.95,
EDGE,47,945,4771,43.9,
