command,u,v,transport_cost,line_capacity,item_id,source_x,source_y,mass,energy_density,pickup_cost,digester_id,time_slot,timeslot_capacity,extra
EDGE,445,241,447.92,66,,,,,,,,,,
EDGE,184,341,469.54,155,,,,,,,,,,
EDGE,172,314,76.77,184,,,,,,,,,,
EDGE,404,480,28.73,134,,,,,,,,,,
EDGE,191,402,437.35,71,,,,,,,,,,
EDGE,283,194,64.72,196,,,,,,,,,,
EDGE,119,337,369.05,127,,,,,,,,,,
EDGE,42,232,326.16,155,,,,,,,,,,
EDGE,374,209,77.75,63,,,,,,,,,,
EDGE,431,46,348.24,55,,,,,,,,,,
EDGE,22,409,325.91,92,,,,,,,,,,
EDGE,412,342,175.61,190,,,,,,,,,,
EDGE,473,415,349.1,66,,,,,,,,,,
EDGE,449,206,299.1,183,,,,,,,,,,
EDGE,145,351,452.65,145,,,,,,,,,,
EDGE,381,71,432.47,140,,,,,,,,,,
EDGE,270,184,96.54,159,,,,,,,,,,
EDGE,226,38,238.73,129,,,,,,,,,,
EDGE,93,202,358.2,138,,,,,,,,,,
EDGE,3,24,396.94,100,,,,,,,,,,
EDGE,156,419,174.72,69,,,,,,,,,,
EDGE,112,201,54.9,84,,,,,,,,,,
EDGE,440,175,331.01,151,,,,,,,,,,
EDGE,336,462,388.78,128,,,,,,,,,,
EDGE,425,491,222.36,113,,,,,,,,,,
EDGE,368,149,55.95,90,,,,,,,,,,
EDGE,372,43,12.97,183,,,,,,,,,,
EDGE,150,228,452.09,134,,,,,,,,,,
EDGE,498,60,365.87,153,,,,,,,,,,
EDGE,209,238,101.75,198,,,,,,,,,,
EDGE,332,315,51.5,86,,,,,,,,,,
EDGE,167,400,253.92,73,,,,,,,,,,
EDGE,67,104,394.1,135,,,,,,,,,,
EDGE,341,217,181.77,92,,,,,,,,,,
EDGE,16,233,11.39,77,,,,,,,,,,
EDGE,20,338,162.61,73,,,,,,,,,,
EDGE,438,103,403.75,112,,,,,,,,,,
EDGE,240,135,319.31,112,,,,,,,,,,
EDGE,384,50,425.35,73,,,,,,,,,,
EDGE,425,165,33.16,193,,,,,,,,,,
EDGE,57,29,252.25,156,,,,,,,,,,
EDGE,144,199,148.46,193,,,,,,,,,,
EDGE,228,451,42.12,184,,,,,,,,,,
EDGE,425,121,479.31,86,,,,,,,,,,
EDGE,448,318,484.7,190,,,,,,,,,,
EDGE,374,157,487.38,67,,,,,,,,,,
EDGE,391,168,35.96,194,,,,,,,,,,
EDGE,90,94,143.2,153,,,,,,,,,,
EDGE,236,228,22.89,64,,,,,,,,,,
EDGE,43,379,28.27,85,,,,,,,,,,
EDGE,444,211,90.35,134,,,,,,,,,,
EDGE,437,417,230.22,176,,,,,,,,,,
EDGE,265,301,250.04,143,,,,,,,,,,
EDGE,436,83,315.12,58,,,,,,,,,,
EDGE,2,417,211.27,123,,,,,,,,,,
EDGE,162,214,71.99,109,,,,,,,,,,
EDGE,497,450,118.43,195,,,,,,,,,,
EDGE,193,132,423.07,166,,,,,,,,,,
EDGE,347,439,484.69,157,,,,,,,,,,
EDGE,80,25,129.45,73,,,,,,,,,,
EDGE,277,228,278.49,65,,,,,,,,,,
EDGE,72,104,390.94,84,,,,,,,,,,
EDGE,121,461,362.5,192,,,,,,,,,,
EDGE,246,184,238.27,105,,,,,,,,,,
EDGE,375,346,168.34,195,,,,,,,,,,
EDGE,346,43,431.48,148,,,,,,,,,,
EDGE,143,3,256.9,185,,,,,,,,,,
EDGE,187,6,116.53,144,,,,,,,,,,
EDGE,387,36,203.34,151,,,,,,,,,,
EDGE,390,164,143.0,128,,,,,,,,,,
EDGE,245,123,219.09,126,,,,,,,,,,
EDGE,319,29,116.11,151,,,,,,,,,,
EDGE,19,255,90.66,151,,,,,,,,,,
EDGE,50,42,233.58,58,,,,,,,,,,
EDGE,175,456,150.36,163,,,,,,,,,,
EDGE,55,51,419.76,60,,,,,,,,,,
EDGE,221,57,307.33,162,,,,,,,,,,
EDGE,436,193,171.26,120,,,,,,,,,,
EDGE,269,421,499.33,96,,,,,,,,,,
EDGE,317,81,424.22,200,,,,,,,,,,
EDGE,1,134,28.86,197,,,,,,,,,,
EDGE,490,446,184.14,150,,,,,,,,,,
EDGE,304,62,273.17,171,,,,,,,,,,
EDGE,444,251,197.71,104,,,,,,,,,,
EDGE,108,351,99.02,151,,,,,,,,,,
EDGE,474,406,497.54,128,,,,,,,,,,
EDGE,10,348,392.37,99,,,,,,,,,,
EDGE,218,97,146.73,197,,,,,,,,,,
EDGE,119,8,231.82,180,,,,,,,,,,
EDGE,464,37,408.12,192,,,,,,,,,,
EDGE,158,464,333.11,196,,,,,,,,,,
EDGE,453,282,339.45,150,,,,,,,,,,
EDGE,339,185,136.5,82,,,,,,,,,,
EDGE,197,350,17.46,55,,,,,,,,,,
EDGE,428,77,189.81,165,,,,,,,,,,
EDGE,66,391,348.2,82,,,,,,,,,,
EDGE,255,492,48.55,199,,,,,,,,,,
EDGE,26,295,457.57,171,,,,,,,,,,
EDGE,37,321,231.98,126,,,,,,,,,,
EDGE,410,307,266.12,107,,,,,,,,,,
EDGE,367,296,264.99,94,,,,,,,,,,
EDGE,429,97,37.41,149,,,,,,,,,,
EDGE,385,85,96.31,111,,,,,,,,,,
EDGE,199,60,290.02,146,,,,,,,,,,
EDGE,302,396,10.84,194,,,,,,,,,,
EDGE,0,363,328.67,158,,,,,,,,,,
EDGE,497,415,367.19,157,,,,,,,,,,
EDGE,414,7,33.51,199,,,,,,,,,,
EDGE,393,231,81.49,101,,,,,,,,,,
EDGE,290,436,370.41,191,,,,,,,,,,
EDGE,291,299,62.93,134,,,,,,,,,,
EDGE,14,5,363.12,69,,,,,,,,,,
EDGE,164,428,291.36,197,,,,,,,,,,
EDGE,452,84,231.67,133,,,,,,,,,,
EDGE,426,469,144.58,58,,,,,,,,,,
EDGE,363,106,64.97,106,,,,,,,,,,
EDGE,169,279,182.97,161,,,,,,,,,,
EDGE,373,368,233.22,86,,,,,,,,,,
EDGE,293,388,44.98,120,,,,,,,,,,
EDGE,442,438,245.92,103,,,,,,,,,,
EDGE,195,9,271.48,89,,,,,,,,,,
EDGE,146,450,215.27,167,,,,,,,,,,
EDGE,339,442,97.49,159,,,,,,,,,,
EDGE,186,115,120.45,160,,,,,,,,,,
EDGE,3,159,471.64,62,,,,,,,,,,
EDGE,49,315,174.83,65,,,,,,,,,,
EDGE,66,487,333.26,78,,,,,,,,,,
EDGE,330,74,432.28,186,,,,,,,,,,
EDGE,346,201,52.25,167,,,,,,,,,,
EDGE,157,153,309.66,57,,,,,,,,,,
EDGE,156,174,176.49,103,,,,,,,,,,
EDGE,142,461,370.57,54,,,,,,,,,,
EDGE,376,177,412.67,87,,,,,,,,,,
EDGE,47,94,495.66,94,,,,,,,,,,
EDGE,32,375,91.5,181,,,,,,,,,,
EDGE,83,239,220.87,127,,,,,,,,,,
EDGE,197,365,86.63,101,,,,,,,,,,
EDGE,324,189,12.71,142,,,,,,,,,,
EDGE,214,40,23.09,170,,,,,,,,,,
EDGE,462,107,33.38,169,,,,,,,,,,
EDGE,248,452,159.97,197,,,,,,,,,,
EDGE,434,189,56.63,145,,,,,,,,,,
EDGE,187,320,473.11,90,,,,,,,,,,
EDGE,431,262,120.36,100,,,,,,,,,,
EDGE,449,258,317.12,157,,,,,,,,,,
EDGE,388,376,452.17,102,,,,,,,,,,
EDGE,268,335,358.61,113,,,,,,,,,,
EDGE,243,71,161.02,183,,,,,,,,,,
EDGE,401,486,310.77,178,,,,,,,,,,
EDGE,400,494,390.39,111,,,,,,,,,,
EDGE,446,327,211.69,75,,,,,,,,,,
EDGE,62,188,112.65,122,,,,,,,,,,
EDGE,215,208,350.5,86,,,,,,,,,,
EDGE,340,212,476.92,165,,,,,,,,,,
EDGE,126,479,98.13,109,,,,,,,,,,
EDGE,157,329,123.08,75,,,,,,,,,,
EDGE,499,48,98.92,96,,,,,,,,,,
EDGE,135,492,347.77,181,,,,,,,,,,
EDGE,47,99,461.78,120,,,,,,,,,,
EDGE,424,186,85.55,152,,,,,,,,,,
EDGE,208,232,151.09,159,,,,,,,,,,
EDGE,86,224,391.44,85,,,,,,,,,,
EDGE,164,4,343.41,77,,,,,,,,,,
EDGE,127,463,39.97,200,,,,,,,,,,
EDGE,125,132,387.73,58,,,,,,,,,,
EDGE,77,379,210.84,103,,,,,,,,,,
EDGE,47,237,397.12,159,,,,,,,,,,
EDGE,282,387,310.59,160,,,,,,,,,,
EDGE,44,252,175.95,74,,,,,,,,,,
EDGE,8,448,257.73,161,,,,,,,,,,
EDGE,336,393,27.45,80,,,,,,,,,,
EDGE,228,488,302.98,196,,,,,,,,,,
EDGE,43,217,356.43,61,,,,,,,,,,
EDGE,324,72,170.38,176,,,,,,,,,,
EDGE,473,127,403.79,165,,,,,,,,,,
EDGE,213,333,231.19,193,,,,,,,,,,
EDGE,358,452,310.66,170,,,,,,,,,,
EDGE,160,187,389.99,105,,,,,,,,,,
EDGE,73,499,226.02,100,,,,,,,,,,
EDGE,316,107,262.09,182,,,,,,,,,,
EDGE,420,487,248.32,170,,,,,,,,,,
EDGE,459,242,46.04,123,,,,,,,,,,
EDGE,378,166,406.62,147,,,,,,,,,,
EDGE,393,408,103.26,181,,,,,,,,,,
EDGE,62,405,93.19,184,,,,,,,,,,
EDGE,464,149,441.63,67,,,,,,,,,,
EDGE,160,122,36.48,93,,,,,,,,,,
EDGE,132,249,323.31,131,,,,,,,,,,
EDGE,340,458,493.67,104,,,,,,,,,,
EDGE,491,175,66.31,67,,,,,,,,,,
EDGE,154,246,484.75,113,,,,,,,,,,
EDGE,89,261,478.15,117,,,,,,,,,,
EDGE,275,49,455.77,83,,,,,,,,,,
EDGE,305,103,346.81,57,,,,,,,,,,
EDGE,492,247,196.84,108,,,,,,,,,,
EDGE,18,36,93.14,113,,,,,,,,,,
EDGE,34,235,125.31,121,,,,,,,,,,
EDGE,148,195,143.96,68,,,,,,,,,,
EDGE,366,461,256.33,200,,,,,,,,,,
EDGE,426,132,367.48,60,,,,,,,,,,
EDGE,485,478,31.0,50,,,,,,,,,,
EDGE,247,204,78.27,144,,,,,,,,,,
EDGE,298,225,249.31,121,,,,,,,,,,
EDGE,173,409,292.73,53,,,,,,,,,,
EDGE,21,349,303.77,162,,,,,,,,,,
EDGE,10,238,411.62,56,,,,,,,,,,
EDGE,19,471,491.48,159,,,,,,,,,,
EDGE,460,286,181.78,77,,,,,,,,,,
EDGE,387,79,136.36,58,,,,,,,,,,
EDGE,165,215,13.29,109,,,,,,,,,,
EDGE,421,318,381.55,180,,,,,,,,,,
EDGE,351,433,187.26,54,,,,,,,,,,
EDGE,457,211,183.01,83,,,,,,,,,,
EDGE,196,371,156.15,63,,,,,,,,,,
EDGE,306,329,406.37,77,,,,,,,,,,
EDGE,495,285,285.38,76,,,,,,,,,,
EDGE,102,450,438.36,54,,,,,,,,,,
EDGE,93,79,166.22,173,,,,,,,,,,
EDGE,445,443,312.22,170,,,,,,,,,,
EDGE,447,429,175.85,75,,,,,,,,,,
EDGE,399,371,408.12,66,,,,,,,,,,
EDGE,127,131,452.28,128,,,,,,,,,,
EDGE,153,24,80.36,185,,,,,,,,,,
EDGE,227,379,27.81,165,,,,,,,,,,
EDGE,301,39,258.02,119,,,,,,,,,,
EDGE,236,472,314.77,180,,,,,,,,,,
EDGE,379,352,433.25,200,,,,,,,,,,
EDGE,409,306,438.54,159,,,,,,,,,,
EDGE,173,179,175.27,175,,,,,,,,,,
EDGE,309,196,484.94,129,,,,,,,,,,
EDGE,209,457,65.01,161,,,,,,,,,,
EDGE,56,120,88.95,85,,,,,,,,,,
EDGE,283,332,64.11,124,,,,,,,,,,
EDGE,446,457,461.34,198,,,,,,,,,,
EDGE,9,233,359.34,70,,,,,,,,,,
EDGE,252,182,221.73,103,,,,,,,,,,
EDGE,166,40,149.05,197,,,,,,,,,,
EDGE,428,201,74.3,129,,,,,,,,,,
EDGE,121,146,416.27,162,,,,,,,,,,
EDGE,124,220,224.21,127,,,,,,,,,,
EDGE,166,314,56.41,111,,,,,,,,,,
EDGE,417,211,77.37,81,,,,,,,,,,
EDGE,235,425,388.06,89,,,,,,,,,,
EDGE,249,376,313.98,66,,,,,,,,,,
EDGE,413,349,183.29,91,,,,,,,,,,
EDGE,161,475,420.13,189,,,,,,,,,,
EDGE,448,49,384.77,78,,,,,,,,,,
EDGE,323,31,263.26,180,,,,,,,,,,
EDGE,445,362,183.56,94,,,,,,,,,,
EDGE,275,154,402.39,195,,,,,,,,,,
EDGE,181,371,59.64,198,,,,,,,,,,
EDGE,165,260,400.81,90,,,,,,,,,,
EDGE,399,384,445.95,75,,,,,,,,,,
EDGE,133,210,327.85,86,,,,,,,,,,
EDGE,150,450,477.37,172,,,,,,,,,,
EDGE,461,326,454.23,198,,,,,,,,,,
EDGE,161,245,156.76,125,,,,,,,,,,
EDGE,328,3,114.49,87,,,,,,,,,,
EDGE,186,147,369.79,148,,,,,,,,,,
EDGE,99,458,232.22,60,,,,,,,,,,
EDGE,36,350,50.98,110,,,,,,,,,,
EDGE,7,97,211.34,94,,,,,,,,,,
EDGE,175,173,193.21,123,,,,,,,,,,
EDGE,362,133,37.2,163,,,,,,,,,,
EDGE,234,157,144.45,169,,,,,,,,,,
EDGE,214,250,71.75,146,,,,,,,,,,
EDGE,120,444,56.67,64,,,,,,,,,,
EDGE,419,79,187.91,192,,,,,,,,,,
EDGE,452,247,92.98,98,,,,,,,,,,
EDGE,88,78,52.9,159,,,,,,,,,,
EDGE,141,325,75.42,107,,,,,,,,,,
EDGE,404,109,32.73,98,,,,,,,,,,
EDGE,375,161,71.27,71,,,,,,,,,,
EDGE,125,126,183.16,61,,,,,,,,,,
EDGE,336,289,240.34,156,,,,,,,,,,
EDGE,442,252,431.14,196,,,,,,,,,,
EDGE,450,245,72.54,72,,,,,,,,,,
EDGE,393,165,447.96,199,,,,,,,,,,
EDGE,167,68,206.26,192,,,,,,,,,,
EDGE,354,227,498.36,97,,,,,,,,,,
EDGE,234,332,56.13,157,,,,,,,,,,
EDGE,27,148,281.66,67,,,,,,,,,,
EDGE,88,359,356.87,189,,,,,,,,,,
EDGE,137,0,203.78,115,,,,,,,,,,
EDGE,440,262,336.76,157,,,,,,,,,,
EDGE,319,108,329.02,191,,,,,,,,,,
EDGE,343,367,219.91,187,,,,,,,,,,
EDGE,311,151,336.02,178,,,,,,,,,,
EDGE,298,136,398.44,189,,,,,,,,,,
EDGE,441,30,31.17,187,,,,,,,,,,
EDGE,268,60,45.32,175,,,,,,,,,,
EDGE,73,378,62.89,72,,,,,,,,,,
EDGE,459,425,346.92,52,,,,,,,,,,
EDGE,248,206,348.58,101,,,,,,,,,,
EDGE,402,207,438.66,62,,,,,,,,,,
EDGE,418,251,361.19,51,,,,,,,,,,
EDGE,217,367,466.73,183,,,,,,,,,,
EDGE,433,317,417.37,148,,,,,,,,,,
EDGE,232,281,482.94,90,,,,,,,,,,
EDGE,428,88,166.25,153,,,,,,,,,,
EDGE,472,247,224.66,66,,,,,,,,,,
EDGE,237,403,288.34,114,,,,,,,,,,
EDGE,261,469,352.2,120,,,,,,,,,,
EDGE,240,284,74.27,76,,,,,,,,,,
EDGE,455,401,469.46,138,,,,,,,,,,
EDGE,370,58,110.53,113,,,,,,,,,,
EDGE,221,307,19.52,145,,,,,,,,,,
EDGE,426,225,191.74,171,,,,,,,,,,
EDGE,74,378,376.08,143,,,,,,,,,,
EDGE,310,153,129.64,103,,,,,,,,,,
EDGE,310,462,493.74,71,,,,,,,,,,
EDGE,479,281,233.37,171,,,,,,,,,,
EDGE,299,331,61.26,117,,,,,,,,,,
EDGE,250,295,260.41,68,,,,,,,,,,
EDGE,162,163,417.77,127,,,,,,,,,,
