command,timestamp,sensor_id,contamination,pressure,flow,report_text,query_l,query_r,pattern,extra
SENSOR,1735692000,25,0.824,2.186,14.359,,,,,
SENSOR,1735692060,27,4.934,2.981,22.167,,,,,
SENSOR,1735692120,31,0.52,5.662,96.099,,,,,
SENSOR,1735692180,15,3.858,2.957,27.686,,,,,
SENSOR,1735692240,19,0.282,2.592,83.191,,,,,
SENSOR,1735692300,29,2.138,2.26,31.966,,,,,
SENSOR,1735692360,5,4.946,6.879,24.581,,,,,
SENSOR,1735692420,8,3.085,1.049,95.376,,,,,
SENSOR,1735692480,48,2.892,1.196,39.856,,,,,
SENSOR,1735692540,42,4.109,6.746,89.0,,,,,
SENSOR,1735692600,16,2.645,6.193,67.651,,,,,
SENSOR,1735692660,29,4.415,1.366,14.942,,,,,
SENSOR,1735692720,12,1.538,3.339,20.509,,,,,
SENSOR,1735692780,27,2.171,5.522,23.967,,,,,
SENSOR,1735692840,27,3.265,6.212,67.41,,,,,
SENSOR,1735692900,28,0.114,1.125,25.132,,,,,
SENSOR,1735692960,15,1.845,5.03,31.638,,,,,
SENSOR,1735693020,23,2.49,8.761,17.696,,,,,
SENSOR,1735693080,42,0.445,6.698,26.863,,,,,
SENSOR,1735693140,19,2.247,8.627,2.394,,,,,
SENSOR,1735693200,37,0.388,7.723,37.825,,,,,
SENSOR,1735693260,11,1.357,5.719,56.954,,,,,
SENSOR,1735693320,10,0.454,2.105,27.247,,,,,
SENSOR,1735693380,18,3.2,7.237,8.347,,,,,
SENSOR,1735693440,30,4.901,1.94,87.606,,,,,
SENSOR,1735693500,34,0.187,2.984,22.39,,,,,
SENSOR,1735693560,35,2.281,8.587,39.587,,,,,
SENSOR,1735693620,41,0.318,2.789,82.957,,,,,
SENSOR,1735693680,15,2.293,9.188,15.36,,,,,
SENSOR,1735693740,22,1.075,4.047,0.575,,,,,
SENSOR,1735693800,16,0.939,4.979,73.726,,,,,
SENSOR,1735693860,21,4.467,8.674,9.706,,,,,
SENSOR,1735693920,14,2.716,5.043,45.136,,,,,
SENSOR,1735693980,0,3.021,4.81,55.086,,,,,
SENSOR,1735694040,1,2.303,4.092,34.877,,,,,
SENSOR,1735694100,16,4.935,4.817,23.493,,,,,
SENSOR,1735694160,7,3.077,9.058,12.964,,,,,
SENSOR,1735694220,29,2.416,8.785,31.479,,,,,
SENSOR,1735694280,41,4.845,5.089,74.996,,,,,
SENSOR,1735694340,44,4.531,1.743,64.413,,,,,
SENSOR,1735694400,10,4.623,7.094,68.196,,,,,
SENSOR,1735694460,26,3.281,7.623,78.407,,,,,
SENSOR,1735694520,16,4.862,8.277,35.709,,,,,
SENSOR,1735694580,6,4.44,4.297,49.989,,,,,
SENSOR,1735694640,14,3.854,4.963,90.371,,,,,
SENSOR,1735694700,31,0.587,7.556,66.118,,,,,
SENSOR,1735694760,16,0.151,5.825,97.493,,,,,
SENSOR,1735694820,49,1.36,6.791,36.557,,,,,
SENSOR,1735694880,33,2.4,2.815,53.433,,,,,
SENSOR,1735694940,43,3.738,1.902,77.106,,,,,
SENSOR,1735695000,25,3.338,1.036,71.603,,,,,
SENSOR,1735695060,2,2.498,2.966,34.926,,,,,
SENSOR,1735695120,10,3.99,4.809,99.148,,,,,
SENSOR,1735695180,15,4.823,2.475,41.13,,,,,
SENSOR,1735695240,33,1.581,5.527,28.03,,,,,
SENSOR,1735695300,14,2.511,1.516,70.078,,,,,
SENSOR,1735695360,9,3.05,4.122,27.078,,,,,
SENSOR,1735695420,40,4.276,1.331,18.244,,,,,
SENSOR,1735695480,22,4.681,2.45,75.806,,,,,
SENSOR,1735695540,6,4.647,4.716,23.924,,,,,
SENSOR,1735695600,13,3.42,5.119,8.408,,,,,
SENSOR,1735695660,45,3.712,9.134,83.016,,,,,
SENSOR,1735695720,4,3.823,5.427,68.21,,,,,
SENSOR,1735695780,2,4.127,4.709,55.456,,,,,
SENSOR,1735695840,37,4.423,4.622,12.295,,,,,
SENSOR,1735695900,41,4.768,1.153,44.881,,,,,
SENSOR,1735695960,34,3.567,3.396,25.158,,,,,
SENSOR,1735696020,10,1.408,4.016,49.269,,,,,
SENSOR,1735696080,25,3.774,6.841,36.28,,,,,
SENSOR,1735696140,32,4.108,1.009,9.876,,,,,
SENSOR,1735696200,0,0.057,3.438,25.197,,,,,
SENSOR,1735696260,14,0.584,5.135,23.633,,,,,
SENSOR,1735696320,46,3.587,4.939,99.415,,,,,
SENSOR,1735696380,24,1.701,1.04,70.077,,,,,
SENSOR,1735696440,23,0.082,3.66,13.391,,,,,
SENSOR,1735696500,35,4.303,6.948,81.255,,,,,
SENSOR,1735696560,33,1.655,2.987,4.356,,,,,
SENSOR,1735696620,40,3.09,1.899,1.67,,,,,
SENSOR,1735696680,17,1.287,4.946,65.618,,,,,
SENSOR,1735696740,47,0.259,9.503,98.712,,,,,
SENSOR,1735696800,3,3.955,7.608,30.627,,,,,
SENSOR,1735696860,30,1.268,1.985,77.192,,,,,
SENSOR,1735696920,21,3.349,8.118,65.559,,,,,
SENSOR,1735696980,17,4.623,8.459,29.849,,,,,
SENSOR,1735697040,33,2.179,1.184,10.629,,,,,
SENSOR,1735697100,30,4.145,1.501,2.163,,,,,
SENSOR,1735697160,37,4.602,7.915,6.918,,,,,
SENSOR,1735697220,36,1.656,1.982,16.383,,,,,
SENSOR,1735697280,11,2.374,1.829,33.743,,,,,
SENSOR,1735697340,42,4.711,3.868,40.905,,,,,
SENSOR,1735697400,28,3.928,7.595,89.47,,,,,
SENSOR,1735697460,6,4.596,1.408,92.99,,,,,
SENSOR,1735697520,18,3.294,2.543,72.477,,,,,
SENSOR,1735697580,44,1.324,9.818,92.487,,,,,
SENSOR,1735697640,31,2.004,6.393,91.711,,,,,
SENSOR,1735697700,48,1.128,2.963,62.365,,,,,
SENSOR,1735697760,18,2.81,6.152,53.571,,,,,
SENSOR,1735697820,17,2.975,5.144,84.088,,,,,
SENSOR,1735697880,47,2.124,9.575,82.852,,,,,
SENSOR,1735697940,44,3.073,6.67,6.642,,,,,
SENSOR,1735698000,1,3.091,6.267,23.074,,,,,
SENSOR,1735698060,41,4.226,1.629,93.867,,,,,
SENSOR,1735698120,2,2.561,7.691,81.571,,,,,
SENSOR,1735698180,0,2.389,9.173,15.114,,,,,
SENSOR,1735698240,49,0.741,1.044,30.562,,,,,
SENSOR,1735698300,31,0.053,4.443,2.158,,,,,
SENSOR,1735698360,19,4.13,6.945,96.608,,,,,
SENSOR,1735698420,16,1.418,5.612,49.124,,,,,
SENSOR,1735698480,47,4.734,3.211,24.974,,,,,
SENSOR,1735698540,23,0.207,5.084,62.433,,,,,
SENSOR,1735698600,30,0.195,5.292,56.501,,,,,
SENSOR,1735698660,35,3.559,2.282,32.684,,,,,
SENSOR,1735698720,4,2.719,7.778,92.881,,,,,
SENSOR,1735698780,20,3.56,6.063,30.478,,,,,
SENSOR,1735698840,37,3.907,3.001,8.331,,,,,
SENSOR,1735698900,38,0.901,7.854,49.085,,,,,
SENSOR,1735698960,23,4.271,1.807,11.701,,,,,
SENSOR,1735699020,21,0.09,1.358,83.545,,,,,
SENSOR,1735699080,20,0.457,7.616,86.146,,,,,
SENSOR,1735699140,39,3.106,6.464,7.271,,,,,
SENSOR,1735699200,14,1.978,2.12,99.132,,,,,
SENSOR,1735699260,1,2.679,8.76,99.165,,,,,
SENSOR,1735699320,25,2.962,3.513,60.607,,,,,
SENSOR,1735699380,8,1.85,8.308,95.773,,,,,
SENSOR,1735699440,18,3.313,9.469,28.408,,,,,
SENSOR,1735699500,28,1.106,4.102,44.154,,,,,
SENSOR,1735699560,18,1.067,6.987,81.926,,,,,
SENSOR,1735699620,48,0.485,5.789,59.614,,,,,
SENSOR,1735699680,4,3.021,8.373,76.661,,,,,
SENSOR,1735699740,32,1.92,7.331,52.814,,,,,
SENSOR,1735699800,30,2.408,6.629,68.752,,,,,
SENSOR,1735699860,44,3.675,6.571,85.784,,,,,
SENSOR,1735699920,36,2.526,8.953,5.998,,,,,
SENSOR,1735699980,10,4.22,6.297,16.398,,,,,
SENSOR,1735700040,30,1.267,3.12,11.981,,,,,
SENSOR,1735700100,35,0.379,5.223,3.138,,,,,
SENSOR,1735700160,19,1.621,4.692,22.836,,,,,
SENSOR,1735700220,6,0.75,9.905,33.24,,,,,
SENSOR,1735700280,10,1.585,2.725,17.527,,,,,
SENSOR,1735700340,25,2.962,6.228,35.731,,,,,
SENSOR,1735700400,21,4.138,4.318,98.99,,,,,
SENSOR,1735700460,21,0.026,3.445,28.281,,,,,
SENSOR,1735700520,30,1.539,8.496,64.64,,,,,
SENSOR,1735700580,42,2.617,4.51,75.7,,,,,
SENSOR,1735700640,39,0.468,6.409,32.914,,,,,
SENSOR,1735700700,28,1.759,6.048,68.89,,,,,
SENSOR,1735700760,39,0.247,9.576,52.58,,,,,
SENSOR,1735700820,1,0.522,8.932,58.761,,,,,
SENSOR,1735700880,35,3.914,7.199,83.27,,,,,
SENSOR,1735700940,38,2.195,8.077,85.078,,,,,
SENSOR,1735701000,7,2.657,3.627,13.55,,,,,
SENSOR,1735701060,9,0.737,5.825,70.271,,,,,
SENSOR,1735701120,17,2.126,9.622,65.407,,,,,
SENSOR,1735701180,4,3.83,7.784,25.487,,,,,
SENSOR,1735701240,16,1.622,9.869,84.075,,,,,
SENSOR,1735701300,48,4.624,7.394,9.199,,,,,
SENSOR,1735701360,32,0.41,4.542,86.989,,,,,
SENSOR,1735701420,25,2.675,7.869,63.699,,,,,
SENSOR,1735701480,38,1.838,1.392,60.52,,,,,
SENSOR,1735701540,4,0.386,8.503,16.468,,,,,
SENSOR,1735701600,31,0.963,9.327,26.475,,,,,
SENSOR,1735701660,39,2.609,8.037,27.505,,,,,
SENSOR,1735701720,21,1.976,9.878,94.265,,,,,
SENSOR,1735701780,35,3.353,1.186,26.081,,,,,
SENSOR,1735701840,2,3.369,5.595,53.761,,,,,
SENSOR,1735701900,39,4.211,2.466,6.559,,,,,
SENSOR,1735701960,43,2.113,3.112,38.203,,,,,
SENSOR,1735702020,40,2.927,7.42,47.68,,,,,
SENSOR,1735702080,0,4.205,9.135,7.623,,,,,
SENSOR,1735702140,38,0.602,2.998,5.706,,,,,
SENSOR,1735702200,11,1.51,5.275,57.429,,,,,
SENSOR,1735702260,15,1.482,2.281,17.859,,,,,
SENSOR,1735702320,34,1.954,6.75,38.378,,,,,
SENSOR,1735702380,44,1.212,9.758,84.328,,,,,
SENSOR,1735702440,49,3.659,8.657,5.905,,,,,
SENSOR,1735702500,41,0.722,8.966,43.455,,,,,
SENSOR,1735702560,34,2.136,3.014,1.056,,,,,
SENSOR,1735702620,6,2.052,4.136,82.933,,,,,
SENSOR,1735702680,43,1.282,7.524,73.125,,,,,
SENSOR,1735702740,42,0.13,9.35,76.286,,,,,
SENSOR,1735702800,28,0.895,3.742,48.198,,,,,
SENSOR,1735702860,40,4.916,1.791,15.553,,,,,
SENSOR,1735702920,19,3.719,3.071,13.68,,,,,
SENSOR,1735702980,3,2.284,2.768,30.291,,,,,
SENSOR,1735703040,45,4.764,9.662,95.371,,,,,
SENSOR,1735703100,49,0.868,5.648,12.856,,,,,
SENSOR,1735703160,19,4.409,2.747,38.15,,,,,
SENSOR,1735703220,34,2.168,4.605,10.973,,,,,
SENSOR,1735703280,37,4.395,8.285,27.317,,,,,
SENSOR,1735703340,41,1.567,3.767,26.223,,,,,
SENSOR,1735703400,24,0.875,9.43,56.959,,,,,
SENSOR,1735703460,14,4.213,2.637,48.654,,,,,
SENSOR,1735703520,13,4.337,1.942,91.363,,,,,
SENSOR,1735703580,36,3.453,3.796,46.94,,,,,
SENSOR,1735703640,43,0.522,6.441,60.158,,,,,
SENSOR,1735703700,39,2.208,2.848,66.872,,,,,
SENSOR,1735703760,13,1.123,5.541,34.361,,,,,
SENSOR,1735703820,32,1.807,6.012,68.162,,,,,
SENSOR,1735703880,26,4.032,8.708,98.912,,,,,
SENSOR,1735703940,8,0.725,7.109,96.887,,,,,
SENSOR,1735704000,6,3.5,9.27,45.921,,,,,
SENSOR,1735704060,40,2.375,6.619,48.902,,,,,
SENSOR,1735704120,9,3.817,1.079,42.785,,,,,
SENSOR,1735704180,11,0.833,7.523,68.25,,,,,
SENSOR,1735704240,49,0.21,6.128,29.747,,,,,
SENSOR,1735704300,21,1.742,4.39,0.625,,,,,
SENSOR,1735704360,15,1.177,4.575,96.509,,,,,
SENSOR,1735704420,44,4.445,5.99,44.05,,,,,
SENSOR,1735704480,21,4.559,8.41,3.653,,,,,
SENSOR,1735704540,36,2.48,5.231,91.427,,,,,
SENSOR,1735704600,6,4.083,7.686,88.633,,,,,
SENSOR,1735704660,7,4.534,3.643,14.719,,,,,
SENSOR,1735704720,19,4.297,1.325,31.666,,,,,
SENSOR,1735704780,37,0.443,5.68,43.013,,,,,
SENSOR,1735704840,25,0.953,5.015,88.854,,,,,
SENSOR,1735704900,9,1.08,4.067,11.381,,,,,
SENSOR,1735704960,40,4.26,8.589,67.975,,,,,
SENSOR,1735705020,27,3.9,8.888,21.784,,,,,
SENSOR,1735705080,39,4.078,9.119,46.473,,,,,
SENSOR,1735705140,25,0.685,6.702,32.224,,,,,
SENSOR,1735705200,0,4.904,3.948,75.16,,,,,
SENSOR,1735705260,44,0.399,6.064,50.812,,,,,
SENSOR,1735705320,12,4.589,4.076,18.492,,,,,
SENSOR,1735705380,18,1.24,9.971,92.175,,,,,
SENSOR,1735705440,48,3.476,6.037,22.568,,,,,
SENSOR,1735705500,40,2.595,4.164,10.545,,,,,
SENSOR,1735705560,38,0.995,4.487,11.394,,,,,
SENSOR,1735705620,0,4.906,3.965,98.024,,,,,
SENSOR,1735705680,47,1.752,2.248,44.528,,,,,
SENSOR,1735705740,1,0.448,6.869,30.229,,,,,
SENSOR,1735705800,12,1.246,2.621,45.981,,,,,
SENSOR,1735705860,19,2.113,6.329,77.768,,,,,
SENSOR,1735705920,32,0.898,7.774,79.393,,,,,
SENSOR,1735705980,16,2.496,1.047,98.922,,,,,
SENSOR,1735706040,26,4.348,2.337,64.8,,,,,
SENSOR,1735706100,4,2.56,8.21,55.884,,,,,
SENSOR,1735706160,26,1.166,3.665,68.046,,,,,
SENSOR,1735706220,31,4.221,3.154,74.135,,,,,
SENSOR,1735706280,47,1.63,2.023,14.632,,,,,
SENSOR,1735706340,12,3.378,8.959,33.133,,,,,
SENSOR,1735706400,16,2.122,1.212,80.616,,,,,
SENSOR,1735706460,29,3.674,5.918,98.5,,,,,
SENSOR,1735706520,33,3.962,6.161,43.185,,,,,
SENSOR,1735706580,15,3.881,4.012,14.237,,,,,
SENSOR,1735706640,26,4.154,4.829,91.742,,,,,
SENSOR,1735706700,12,1.457,4.34,99.781,,,,,
SENSOR,1735706760,16,4.538,1.084,68.502,,,,,
SENSOR,1735706820,37,2.771,7.161,23.201,,,,,
SENSOR,1735706880,21,4.64,7.695,60.818,,,,,
SENSOR,1735706940,34,1.816,4.253,76.451,,,,,
SENSOR,1735707000,17,2.931,9.085,35.462,,,,,
SENSOR,1735707060,1,4.364,2.993,30.671,,,,,
SENSOR,1735707120,3,0.407,3.819,5.844,,,,,
SENSOR,1735707180,33,1.085,6.11,54.35,,,,,
SENSOR,1735707240,27,1.919,5.536,49.117,,,,,
SENSOR,1735707300,5,1.85,6.743,82.962,,,,,
SENSOR,1735707360,38,1.891,9.383,44.227,,,,,
SENSOR,1735707420,39,0.013,5.823,1.993,,,,,
SENSOR,1735707480,7,2.261,9.928,33.027,,,,,
SENSOR,1735707540,49,4.267,9.349,41.041,,,,,
SENSOR,1735707600,9,2.376,6.489,13.529,,,,,
SENSOR,1735707660,11,2.323,4.275,36.179,,,,,
SENSOR,1735707720,11,2.124,3.119,36.92,,,,,
SENSOR,1735707780,31,1.933,6.608,55.004,,,,,
SENSOR,1735707840,30,1.069,5.688,17.627,,,,,
SENSOR,1735707900,25,4.042,1.006,16.936,,,,,
SENSOR,1735707960,30,4.917,8.115,6.209,,,,,
SENSOR,1735708020,10,4.589,9.21,33.091,,,,,
SENSOR,1735708080,14,3.28,7.453,55.044,,,,,
SENSOR,1735708140,27,1.056,5.535,52.009,,,,,
SENSOR,1735708200,40,4.508,2.621,10.566,,,,,
SENSOR,1735708260,40,1.035,7.716,35.249,,,,,
SENSOR,1735708320,0,1.57,3.942,95.659,,,,,
SENSOR,1735708380,3,3.756,2.638,56.564,,,,,
SENSOR,1735708440,24,2.319,8.289,33.504,,,,,
SENSOR,1735708500,12,1.243,4.132,3.986,,,,,
SENSOR,1735708560,37,2.975,2.332,25.837,,,,,
SENSOR,1735708620,3,3.3,7.674,76.319,,,,,
SENSOR,1735708680,17,4.843,3.883,27.891,,,,,
SENSOR,1735708740,48,4.94,8.89,78.281,,,,,
SENSOR,1735708800,23,1.019,8.995,53.368,,,,,
SENSOR,1735708860,16,3.24,1.398,10.533,,,,,
SENSOR,1735708920,11,4.929,3.836,87.173,,,,,
SENSOR,1735708980,23,4.535,9.686,38.368,,,,,
SENSOR,1735709040,10,2.847,6.698,81.313,,,,,
SENSOR,1735709100,24,1.816,9.714,14.657,,,,,
SENSOR,1735709160,48,4.201,8.159,12.725,,,,,
SENSOR,1735709220,43,1.207,5.48,25.945,,,,,
SENSOR,1735709280,39,2.75,4.691,44.572,,,,,
SENSOR,1735709340,32,0.806,3.288,7.581,,,,,
SENSOR,1735709400,11,3.857,4.557,68.383,,,,,
SENSOR,1735709460,43,0.681,2.69,59.801,,,,,
SENSOR,1735709520,19,3.317,3.622,2.676,,,,,
SENSOR,1735709580,10,1.418,8.581,77.366,,,,,
SENSOR,1735709640,24,2.415,5.194,4.549,,,,,
SENSOR,1735709700,15,2.223,1.495,33.811,,,,,
SENSOR,1735709760,18,2.575,3.569,9.434,,,,,
SENSOR,1735709820,10,0.839,2.972,13.945,,,,,
SENSOR,1735709880,21,2.038,2.73,40.588,,,,,
SENSOR,1735709940,42,1.281,1.865,67.874,,,,,
SENSOR,1735710000,0,1.372,5.773,69.695,,,,,
SENSOR,1735710060,42,3.375,7.894,7.406,,,,,
SENSOR,1735710120,34,2.041,2.562,37.312,,,,,
SENSOR,1735710180,15,2.675,7.588,76.255,,,,,
SENSOR,1735710240,27,3.688,3.766,87.138,,,,,
SENSOR,1735710300,29,3.788,1.358,91.778,,,,,
SENSOR,1735710360,21,4.001,1.457,44.39,,,,,
SENSOR,1735710420,31,0.57,9.586,66.968,,,,,
SENSOR,1735710480,17,2.031,2.481,20.212,,,,,
SENSOR,1735710540,46,4.16,4.773,50.987,,,,,
SENSOR,1735710600,18,2.427,5.401,18.865,,,,,
SENSOR,1735710660,33,0.638,5.817,27.981,,,,,
SENSOR,1735710720,45,1.966,3.776,58.115,,,,,
SENSOR,1735710780,40,2.218,7.74,46.432,,,,,
SENSOR,1735710840,16,3.078,5.939,75.414,,,,,
SENSOR,1735710900,34,2.212,1.158,23.759,,,,,
SENSOR,1735710960,11,3.689,5.864,50.081,,,,,
SENSOR,1735711020,19,3.988,7.358,63.581,,,,,
SENSOR,1735711080,19,0.352,9.099,12.678,,,,,
SENSOR,1735711140,14,2.494,1.873,92.749,,,,,
SENSOR,1735711200,35,1.33,3.839,83.625,,,,,
SENSOR,1735711260,15,2.581,7.979,87.498,,,,,
SENSOR,1735711320,21,4.427,2.902,31.414,,,,,
SENSOR,1735711380,23,3.917,9.243,33.553,,,,,
SENSOR,1735711440,7,2.724,8.419,49.231,,,,,
SENSOR,1735711500,29,1.442,3.102,93.729,,,,,
SENSOR,1735711560,35,1.267,9.192,47.635,,,,,
SENSOR,1735711620,27,2.208,9.913,6.558,,,,,
SENSOR,1735711680,41,3.708,2.623,54.961,,,,,
SENSOR,1735711740,11,4.664,7.275,10.433,,,,,
SENSOR,1735711800,15,0.743,5.086,58.536,,,,,
SENSOR,1735711860,6,0.282,3.222,64.096,,,,,
SENSOR,1735711920,10,0.471,3.008,90.486,,,,,
SENSOR,1735711980,2,2.07,6.017,20.494,,,,,
SENSOR,1735712040,0,1.14,2.184,57.82,,,,,
SENSOR,1735712100,19,4.566,7.846,18.552,,,,,
SENSOR,1735712160,3,1.884,4.394,59.522,,,,,
SENSOR,1735712220,2,2.053,9.976,32.625,,,,,
SENSOR,1735712280,49,0.027,1.548,46.913,,,,,
SENSOR,1735712340,6,1.648,5.424,24.92,,,,,
SENSOR,1735712400,2,4.18,9.039,52.272,,,,,
SENSOR,1735712460,3,4.496,3.702,85.163,,,,,
SENSOR,1735712520,3,2.195,2.09,89.353,,,,,
SENSOR,1735712580,28,2.501,1.053,78.307,,,,,
SENSOR,1735712640,33,0.482,6.471,0.819,,,,,
SENSOR,1735712700,45,2.956,4.626,58.216,,,,,
SENSOR,1735712760,35,0.026,4.254,7.547,,,,,
SENSOR,1735712820,42,1.213,5.453,96.054,,,,,
SENSOR,1735712880,12,4.626,4.617,54.736,,,,,
SENSOR,1735712940,6,0.669,5.043,59.908,,,,,
SENSOR,1735713000,13,1.849,7.445,98.687,,,,,
SENSOR,1735713060,3,1.701,5.842,94.433,,,,,
SENSOR,1735713120,1,2.99,2.431,22.783,,,,,
SENSOR,1735713180,36,1.418,8.566,49.366,,,,,
SENSOR,1735713240,28,3.596,3.689,97.102,,,,,
SENSOR,1735713300,9,1.935,8.339,5.995,,,,,
SENSOR,1735713360,12,3.007,7.035,62.5,,,,,
SENSOR,1735713420,36,2.693,5.246,90.865,,,,,
SENSOR,1735713480,5,2.44,5.358,21.568,,,,,
SENSOR,1735713540,16,1.918,8.529,25.428,,,,,
SENSOR,1735713600,35,0.29,6.248,64.887,,,,,
SENSOR,1735713660,0,1.84,5.913,2.028,,,,,
SENSOR,1735713720,24,3.306,8.544,60.431,,,,,
SENSOR,1735713780,26,3.517,4.424,50.901,,,,,
SENSOR,1735713840,30,3.622,2.556,5.177,,,,,
SENSOR,1735713900,45,1.776,4.234,83.453,,,,,
SENSOR,1735713960,35,3.73,1.713,60.421,,,,,
SENSOR,1735714020,9,0.124,9.233,16.646,,,,,
SENSOR,1735714080,26,0.592,3.382,8.976,,,,,
SENSOR,1735714140,30,1.777,6.127,24.831,,,,,
SENSOR,1735714200,0,4.676,9.67,6.169,,,,,
SENSOR,1735714260,34,3.802,3.701,16.456,,,,,
SENSOR,1735714320,17,2.784,5.916,44.499,,,,,
SENSOR,1735714380,16,3.561,9.172,19.975,,,,,
SENSOR,1735714440,30,3.582,8.034,16.782,,,,,
SENSOR,1735714500,14,0.466,1.551,2.332,,,,,
SENSOR,1735714560,17,2.95,4.781,32.807,,,,,
SENSOR,1735714620,10,0.791,7.971,77.01,,,,,
SENSOR,1735714680,10,3.214,6.99,50.888,,,,,
SENSOR,1735714740,14,0.513,1.583,7.662,,,,,
SENSOR,1735714800,25,0.423,3.291,10.756,,,,,
SENSOR,1735714860,12,1.328,1.674,13.659,,,,,
SENSOR,1735714920,22,4.124,8.322,27.735,,,,,
SENSOR,1735714980,17,4.01,3.262,92.231,,,,,
SENSOR,1735715040,25,2.597,8.833,48.895,,,,,
SENSOR,1735715100,37,3.34,2.677,5.569,,,,,
SENSOR,1735715160,29,1.935,8.148,42.628,,,,,
SENSOR,1735715220,12,2.313,3.074,41.523,,,,,
SENSOR,1735715280,7,0.748,8.711,94.073,,,,,
SENSOR,1735715340,4,3.999,4.682,43.546,,,,,
SENSOR,1735715400,25,2.265,5.828,51.897,,,,,
SENSOR,1735715460,22,3.975,9.645,29.77,,,,,
SENSOR,1735715520,40,2.974,4.192,61.609,,,,,
SENSOR,1735715580,27,3.365,1.77,63.606,,,,,
SENSOR,1735715640,49,1.096,5.119,42.201,,,,,
SENSOR,1735715700,48,0.723,6.537,5.172,,,,,
SENSOR,1735715760,1,2.566,1.951,16.568,,,,,
SENSOR,1735715820,14,4.405,3.231,99.222,,,,,
SENSOR,1735715880,37,4.649,2.94,18.738,,,,,
SENSOR,1735715940,25,1.684,7.836,71.557,,,,,
SENSOR,1735716000,9,2.314,8.255,74.831,,,,,
SENSOR,1735716060,38,0.27,9.375,91.004,,,,,
SENSOR,1735716120,9,4.708,9.635,70.436,,,,,
SENSOR,1735716180,1,2.301,8.451,41.872,,,,,
SENSOR,1735716240,14,3.197,8.148,58.516,,,,,
SENSOR,1735716300,15,2.316,1.135,71.088,,,,,
SENSOR,1735716360,42,4.295,6.437,20.508,,,,,
SENSOR,1735716420,34,0.94,7.116,92.86,,,,,
SENSOR,1735716480,7,0.12,8.452,87.967,,,,,
SENSOR,1735716540,29,2.989,8.401,27.713,,,,,
SENSOR,1735716600,14,3.221,4.171,93.265,,,,,
SENSOR,1735716660,27,2.703,3.077,12.002,,,,,
SENSOR,1735716720,37,4.974,6.235,25.158,,,,,
SENSOR,1735716780,13,1.019,7.317,72.98,,,,,
SENSOR,1735716840,7,2.356,5.065,54.27,,,,,
SENSOR,1735716900,11,4.391,6.624,31.494,,,,,
SENSOR,1735716960,5,2.271,8.821,38.955,,,,,
SENSOR,1735717020,30,2.037,4.495,54.43,,,,,
SENSOR,1735717080,23,0.394,4.757,35.288,,,,,
SENSOR,1735717140,23,0.232,3.635,56.469,,,,,
SENSOR,1735717200,0,3.591,9.363,81.895,,,,,
SENSOR,1735717260,41,1.881,9.915,80.009,,,,,
SENSOR,1735717320,41,0.286,7.56,64.997,,,,,
