command,node_id,x,y,waste_volume,urgency,region,extra
NODE,65,7838.555,6535.655,12,1,,
NODE,66,5456.018,63.551,129,1,,
NODE,67,1206.002,9556.215,140,1,,
NODE,68,294.606,9250.646,59,1,,
NODE,69,6011.474,8887.06,176,5,,
NODE,70,5517.099,6171.609,81,4,,
NODE,71,2048.054,2591.397,87,5,,
NODE,72,5795.543,8243.045,6,5,,
NODE,73,8722.684,8339.691,131,1,,
NODE,74,3150.822,9386.46,152,5,,
NODE,75,607.056,8295.617,4,1,,
NODE,76,2947.699,4801.019,64,2,,
NODE,77,7990.06,6388.951,131,2,,
NODE,78,1800.763,6793.961,12,3,,
NODE,79,654.739,5849.308,192,5,,
NODE,80,7854.724,4459.628,20,3,,
NODE,81,6022.77,2324.198,99,2,,
NODE,82,246.213,9635.733,196,1,,
NODE,83,7640.24,2281.208,172,1,,
NODE,84,9095.402,6909.553,7,2,,
NODE,85,4436.883,7650.205,179,4,,
NODE,86,4571.469,7308.168,75,1,,
NODE,87,1431.095,8227.344,118,3,,
NODE,88,2877.075,912.764,140,3,,
NODE,89,9085.52,1246.037,135,3,,
NODE,90,2755.62,4943.955,84,4,,
NODE,91,5331.095,5442.726,8,5,,
NODE,92,7676.77,5208.585,7,2,,
NODE,93,5862.092,7986.531,77,5,,
NODE,94,5248.148,360.241,179,5,,
NODE,95,4303.742,9561.103,46,5,,
NODE,96,7834.762,368.346,97,1,,
NODE,97,8501.181,9820.447,10,5,,
NODE,98,459.734,3806.404,103,2,,
NODE,99,8682.393,9526.851,179,2,,
NODE,100,7854.464,2900.569,134,4,,
NODE,101,371.047,8975.702,177,3,,
NODE,102,9720.699,1337.145,41,5,,
NODE,103,7411.214,7725.901,191,5,,
NODE,104,7175.044,6312.638,143,5,,
NODE,105,4929.827,2240.971,139,2,,
NODE,106,3806.711,383.809,190,5,,
NODE,107,1159.362,5098.09,20,4,,
NODE,108,3912.35,2070.898,83,3,,
NODE,109,5038.994,9942.266,156,5,,
NODE,110,8094.389,2677.781,145,3,,
NODE,111,3938.963,9863.129,135,4,,
NODE,112,6629.689,1921.306,39,1,,
NODE,113,7919.14,5931.824,173,1,,
NODE,114,1515.832,87.485,131,3,,
NODE,115,2618.266,5809.371,53,1,,
NODE,116,1630.826,5491.933,24,3,,
NODE,117,9875.023,2654.294,81,2,,
NODE,118,6035.831,7518.512,55,4,,
NODE,119,5439.512,2101.111,21,3,,
NODE,120,2884.749,2901.876,152,2,,
NODE,121,6227.701,6857.434,104,3,,
NODE,122,8774.407,7385.11,114,5,,
NODE,123,5583.844,3949.552,172,1,,
NODE,124,7187.9,9542.715,16,2,,
NODE,125,3738.295,3446.594,198,3,,
NODE,126,2398.091,4329.226,141,5,,
NODE,127,2792.439,6520.924,84,5,,
NODE,128,341.378,865.878,19,4,,
NODE,129,7339.184,3018.625,98,4,,
NODE,130,5006.236,3395.06,100,3,,
NODE,131,5638.418,6691.812,80,5,,
NODE,132,8527.599,8239.915,132,2,,
NODE,133,5862.768,9056.195,40,4,,
NODE,134,2241.175,614.942,132,1,,
NODE,135,8171.617,4830.842,144,5,,
NODE,136,8586.029,5990.463,189,3,,
NODE,137,612.408,402.555,18,2,,
NODE,138,8865.833,796.094,164,4,,
NODE,139,6718.818,5048.066,82,3,,
NODE,140,1675.705,5631.335,175,5,,
NODE,141,818.935,9508.867,128,3,,
NODE,142,1017.892,5849.884,23,2,,
NODE,143,8174.015,1534.628,141,4,,
NODE,144,6201.364,5511.596,182,5,,
NODE,145,4836.954,4919.643,92,3,,
NODE,146,6491.781,6542.802,71,2,,
NODE,147,8138.641,5650.138,178,3,,
NODE,148,1347.921,1406.808,77,4,,
NODE,149,1360.392,4525.121,20,5,,
NODE,150,9979.417,6657.47,63,2,,
NODE,151,2531.52,8140.416,97,4,,
NODE,152,8312.241,2289.061,38,2,,
NODE,153,160.995,770.519,15,1,,
NODE,154,4849.851,3154.3,17,1,,
NODE,155,999.122,4230.293,187,5,,
NODE,156,8191.769,1668.037,53,5,,
NODE,157,8373.619,3055.164,109,5,,
NODE,158,458.777,3751.023,15,4,,
NODE,159,2738.476,1871.601,16,5,,
NODE,160,6651.237,2616.84,24,3,,
NODE,161,2550.173,6755.171,93,5,,
NODE,162,3308.255,9504.164,40,5,,
NODE,163,9723.427,9806.714,197,1,,
NODE,164,2176.473,7354.638,127,4,,
NODE,165,7675.739,5216.819,198,3,,
NODE,166,1952.797,9564.336,184,5,,
NODE,167,4461.592,959.109,10,4,,
NODE,168,1297.4,2118.033,171,4,,
NODE,169,9254.935,5662.56,143,5,,
NODE,170,4558.482,5934.884,138,3,,
NODE,171,2715.322,7511.592,86,5,,
NODE,172,2241.597,4253.113,20,2,,
NODE,173,6619.915,7802.413,67,3,,
NODE,174,2419.979,2144.854,3,1,,
NODE,175,7089.78,3022.814,79,2,,
NODE,176,9470.94,7900.754,145,2,,
NODE,177,1396.612,785.051,135,5,,
NODE,178,1608.361,2020.908,73,2,,
NODE,179,4190.903,2122.088,38,4,,
NODE,180,2082.055,8404.867,178,3,,
NODE,181,2638.284,4559.401,89,3,,
NODE,182,5372.796,5268.531,37,2,,
NODE,183,3153.161,1921.06,32,5,,
NODE,184,8378.944,7300.845,79,1,,
NODE,185,5900.973,7195.516,172,5,,
NODE,186,5887.587,324.865,72,4,,
NODE,187,4429.968,5228.591,54,1,,
NODE,188,2483.9,5933.389,114,1,,
NODE,189,3567.407,1069.97,195,2,,
NODE,190,5109.703,5316.167,189,4,,
NODE,191,5873.295,2960.789,81,2,,
NODE,192,1653.416,4942.773,61,3,,
NODE,193,7823.395,2696.381,161,3,,
NODE,194,4101.107,1533.875,150,5,,
NODE,195,6950.981,1814.346,168,4,,
NODE,196,9871.113,5771.77,10,5,,
NODE,197,654.64,6649.126,30,1,,
NODE,198,9080.352,6326.115,119,3,,
NODE,199,9484.727,4946.922,78,3,,
NODE,200,1959.831,9637.764,116,4,,
NODE,201,5762.978,2089.435,96,4,,
NODE,202,8229.496,3818.876,13,1,,
NODE,203,3446.444,6271.208,82,4,,
NODE,204,2999.096,7572.223,73,4,,
NODE,205,9980.312,6132.337,51,4,,
NODE,206,4233.798,134.393,149,4,,
NODE,207,277.406,5398.435,25,3,,
NODE,208,6354.593,2076.876,90,2,,
NODE,209,1739.01,8311.422,93,4,,
NODE,210,7790.0,6787.794,145,1,,
NODE,211,5079.707,3220.333,56,1,,
NODE,212,6790.375,3291.395,32,5,,
NODE,213,8662.85,4896.513,95,5,,
NODE,214,5459.875,2236.139,3,3,,
NODE,215,3342.39,7708.359,185,2,,
NODE,216,9139.468,1049.711,8,5,,
NODE,217,635.612,9826.986,52,5,,
NODE,218,8103.131,29.644,155,2,,
NODE,219,3642.952,9492.299,47,4,,
NODE,220,3651.037,4464.846,193,1,,
NODE,221,8124.736,8104.317,73,1,,
NODE,222,227.625,4937.964,176,1,,
NODE,223,2879.183,9877.793,59,2,,
NODE,224,4431.798,3446.096,146,4,,
NODE,225,1037.299,7552.874,112,5,,
NODE,226,6621.852,428.276,35,1,,
NODE,227,3389.223,2883.376,196,2,,
NODE,228,8863.192,5696.805,141,1,,
NODE,229,1074.95,8225.214,171,2,,
NODE,230,2998.732,7955.847,24,1,,
NODE,231,9689.03,2894.017,81,5,,
NODE,232,2218.228,3455.842,198,1,,
NODE,233,1939.504,2957.291,36,1,,
NODE,234,3372.865,8187.608,102,3,,
NODE,235,7894.138,4074.333,38,2,,
NODE,236,7502.134,779.258,88,1,,
NODE,237,9340.741,803.182,4,4,,
NODE,238,7946.051,1959.994,130,2,,
NODE,239,8308.498,8388.928,164,1,,
NODE,240,7911.964,4965.417,97,5,,
NODE,241,8771.34,1640.004,185,4,,
NODE,242,5333.419,3588.713,6,4,,
NODE,243,4483.632,7514.657,36,5,,
NODE,244,1641.544,8501.851,165,1,,
NODE,245,2213.473,3449.559,126,2,,
NODE,246,5441.333,1151.587,162,2,,
NODE,247,2613.235,3450.85,22,3,,
NODE,248,5654.068,7336.67,163,4,,
NODE,249,2869.531,250.427,95,2,,
NODE,250,4259.777,3997.729,146,2,,
NODE,251,3425.195,4275.792,53,3,,
NODE,252,9237.387,1820.42,173,2,,
NODE,253,5705.332,111.412,16,2,,
NODE,254,341.196,6374.493,81,2,,
NODE,255,7254.169,5368.518,67,4,,
NODE,256,2814.198,7066.487,143,2,,
NODE,257,1097.682,1073.37,83,3,,
NODE,258,6668.479,6992.91,160,5,,
NODE,259,8725.696,7304.174,120,4,,
NODE,260,5571.512,3839.816,46,3,,
NODE,261,6769.265,1620.586,13,3,,
NODE,262,8282.395,922.136,36,1,,
NODE,263,1416.992,2412.482,29,4,,
NODE,264,5764.655,8828.771,171,1,,
NODE,265,6611.124,151.847,191,1,,
NODE,266,4078.517,1532.614,135,5,,
NODE,267,1771.414,5180.029,83,4,,
NODE,268,3613.319,6674.816,92,2,,
NODE,269,7553.177,9535.766,162,4,,
NODE,270,775.042,7290.606,99,3,,
NODE,271,1150.01,814.214,182,5,,
NODE,272,529.868,7012.904,19,2,,
NODE,273,4938.796,8332.079,106,5,,
NODE,274,2070.821,8470.525,45,5,,
NODE,275,492.465,2526.273,161,1,,
NODE,276,5887.061,5457.927,78,3,,
NODE,277,1390.415,5943.165,37,4,,
NODE,278,8951.022,6413.225,83,5,,
NODE,279,7844.401,7637.672,118,5,,
NODE,280,8449.867,3300.808,163,5,,
NODE,281,9463.186,7040.854,2,1,,
NODE,282,7214.235,7809.275,24,1,,
NODE,283,3786.878,4324.125,103,1,,
NODE,284,5591.909,5455.755,38,2,,
NODE,285,2939.54,4586.185,3,4,,
NODE,286,562.566,1197.565,162,2,,
NODE,287,19.09,2229.011,163,5,,
NODE,288,6033.647,4773.918,154,1,,
NODE,289,8309.129,9657.774,137,2,,
NODE,290,77.729,1861.01,46,4,,
NODE,291,804.155,5563.119,143,5,,
NODE,292,9435.1,6812.184,60,2,,
NODE,293,4836.164,9391.843,152,2,,
NODE,294,9222.556,487.565,112,4,,
NODE,295,4910.353,4823.384,59,3,,
NODE,296,434.968,280.607,140,1,,
NODE,297,2376.228,2912.625,90,5,,
NODE,298,4868.872,3459.114,7,1,,
NODE,299,6129.713,834.513,149,3,,
NODE,300,3324.001,7320.88,11,2,,
NODE,301,591.944,1955.916,183,3,,
NODE,302,4408.37,7118.918,169,3,,
NODE,303,1183.873,1357.854,128,4,,
NODE,304,4824.485,6579.095,35,4,,
NODE,305,6054.938,3054.782,134,4,,
NODE,306,4112.54,8873.765,120,5,,
NODE,307,7176.691,621.607,52,1,,
NODE,308,426.886,7243.187,100,5,,
NODE,309,7442.693,1448.99,100,5,,
NODE,310,9205.824,7460.551,30,3,,
NODE,311,2261.987,4617.648,104,5,,
NODE,312,9933.363,6594.146,1,5,,
NODE,313,5354.687,1745.945,101,2,,
NODE,314,9893.287,370.927,89,4,,
NODE,315,8191.93,5996.379,174,1,,
NODE,316,9561.47,2691.995,122,3,,
NODE,317,5562.875,2883.762,109,1,,
NODE,318,1127.738,3802.217,72,5,,
NODE,319,7419.262,9886.292,117,1,,
NODE,320,9531.946,4492.818,8,1,,
NODE,321,8806.409,6959.356,187,4,,
NODE,322,1081.553,4912.726,196,5,,
NODE,323,2818.848,4005.825,42,3,,
NODE,324,300.955,1467.661,118,3,,
NODE,325,5863.381,5760.704,114,1,,
NODE,326,9669.996,712.825,160,1,,
NODE,327,6798.396,3299.543,48,5,,
NODE,328,6167.038,1899.182,24,2,,
NODE,329,9302.898,1114.914,38,2,,
NODE,330,7310.863,6843.442,33,4,,
NODE,331,5838.182,3839.167,27,3,,
NODE,332,7099.549,9758.762,86,1,,
NODE,333,9272.026,4243.18,42,4,,
NODE,334,354.753,792.186,198,3,,
NODE,335,3149.933,3810.639,125,3,,
NODE,336,6949.02,8215.139,103,1,,
NODE,337,7613.492,3019.333,95,2,,
NODE,338,6083.214,2709.447,156,2,,
NODE,339,1341.913,1329.642,191,3,,
NODE,340,4757.089,4950.3,29,3,,
NODE,341,1119.062,6206.67,27,1,,
NODE,342,8239.244,1853.218,74,3,,
NODE,343,1222.198,5576.522,53,5,,
NODE,344,7595.462,2963.815,62,4,,
NODE,345,4990.481,318.878,117,5,,
NODE,346,5278.064,1395.201,193,3,,
NODE,347,4529.192,815.813,191,5,,
NODE,348,416.402,5801.232,174,5,,
NODE,349,6178.295,9087.585,49,3,,
NODE,350,4976.861,4483.725,26,5,,
NODE,351,4102.641,2071.028,48,1,,
NODE,352,3651.784,1048.765,83,4,,
NODE,353,4265.336,689.737,165,5,,
NODE,354,3941.886,3115.177,50,4,,
NODE,355,6496.53,490.085,182,4,,
NODE,356,8239.044,8297.683,36,1,,
NODE,357,8609.115,7658.06,91,4,,
NODE,358,8308.009,8710.846,21,3,,
NODE,359,8640.49,3314.947,92,5,,
NODE,360,4118.105,2223.819,176,5,,
NODE,361,6013.127,9201.828,48,2,,
NODE,362,9933.769,1246.065,31,4,,
NODE,363,2303.271,4632.635,184,5,,
NODE,364,4083.923,1998.84,54,4,,
NODE,365,574.271,7702.754,98,1,,
NODE,366,5359.457,5118.01,49,5,,
NODE,367,599.568,3687.932,184,2,,
NODE,368,8549.305,1981.669,172,3,,
NODE,369,7144.056,3531.512,6,2,,
NODE,370,473.18,7932.733,197,5,,
NODE,371,5726.328,118.151,63,3,,
NODE,372,9152.796,1810.618,198,2,,
NODE,373,3688.563,9366.142,91,5,,
NODE,374,7119.377,2090.877,8,5,,
NODE,375,5839.17,9174.351,94,2,,
NODE,376,3666.254,2782.783,4,1,,
NODE,377,1896.264,3111.738,38,5,,
NODE,378,9757.131,1045.45,108,1,,
NODE,379,4318.594,5625.749,27,1,,
NODE,380,6756.365,2408.678,65,2,,
NODE,381,7305.242,6528.019,174,4,,
NODE,382,7192.082,1217.844,130,4,,
NODE,383,3618.368,609.56,164,2,,
NODE,384,241.02,7389.532,195,5,,
NODE,385,3276.509,5205.348,145,1,,
NODE,386,4948.617,7168.903,108,1,,
NODE,387,8735.105,4916.512,39,4,,
NODE,388,7960.69,6393.168,96,3,,
NODE,389,5960.14,3359.386,116,3,,
NODE,390,7128.418,7935.316,58,4,,
NODE,391,2867.01,1691.54,159,4,,
NODE,392,3647.988,5008.684,132,4,,
NODE,393,8691.31,2517.719,9,4,,
NODE,394,9994.214,8094.94,139,1,,
NODE,395,322.799,6214.499,163,3,,
NODE,396,5816.43,1666.445,75,2,,
NODE,397,1505.701,1306.917,121,4,,
NODE,398,979.31,543.565,105,4,,
NODE,399,8179.322,3314.944,39,5,,
NODE,400,226.933,8273.287,165,4,,
NODE,401,2622.972,2775.452,41,2,,
NODE,402,3108.734,135.404,162,5,,
NODE,403,9282.873,7177.426,8,2,,
NODE,404,2962.336,2820.252,190,1,,
NODE,405,2342.391,6622.483,100,1,,
NODE,406,356.862,7507.46,158,2,,
NODE,407,9716.167,4531.025,14,5,,
NODE,408,841.611,4036.251,149,4,,
NODE,409,3385.975,3079.322,198,4,,
NODE,410,5471.363,3047.499,172,4,,
NODE,411,2793.625,6804.801,117,3,,
NODE,412,4369.024,4655.884,76,4,,
NODE,413,9224.022,8515.194,4,2,,
NODE,414,8634.62,8405.345,28,3,,
NODE,415,2544.285,170.446,26,2,,
NODE,416,5736.468,6977.631,49,3,,
NODE,417,5836.052,1302.584,194,2,,
NODE,418,9204.436,6448.016,65,1,,
NODE,419,7342.277,113.705,145,3,,
NODE,420,8214.445,5274.092,183,2,,
NODE,421,3771.254,7081.28,176,5,,
NODE,422,5763.852,3169.406,31,1,,
NODE,423,1567.6,4481.695,80,2,,
NODE,424,2259.84,7262.342,4,4,,
NODE,425,1694.929,6365.915,43,3,,
NODE,426,939.448,4179.518,47,5,,
NODE,427,925.932,9917.321,63,5,,
NODE,428,8959.267,1860.501,182,3,,
NODE,429,4900.149,8189.957,97,3,,
NODE,430,9294.927,9059.198,173,2,,
NODE,431,921.73,9840.947,121,5,,
NODE,432,7814.217,98.498,13,3,,
NODE,433,9982.944,1712.19,132,3,,
NODE,434,6315.899,8292.181,198,2,,
NODE,435,4421.936,291.555,153,3,,
NODE,436,1699.867,9545.16,39,4,,
NODE,437,4622.289,6551.263,175,2,,
NODE,438,3879.937,6097.26,112,1,,
NODE,439,5296.587,3220.362,50,5,,
NODE,440,1299.765,7056.069,150,5,,
NODE,441,7421.064,6384.437,98,1,,
NODE,442,7745.97,8984.733,176,5,,
NODE,443,4765.43,5920.067,24,4,,
NODE,444,7029.158,9826.148,91,4,,
NODE,445,5401.362,675.914,35,4,,
NODE,446,267.918,6202.528,40,2,,
NODE,447,2598.9,8278.268,15,4,,
NODE,448,2593.64,9814.967,141,5,,
NODE,449,7403.605,1524.9,175,4,,
NODE,450,6527.701,6516.124,84,2,,
NODE,451,8465.859,2726.986,95,3,,
NODE,452,3055.553,9878.486,177,3,,
NODE,453,1792.665,2477.93,158,2,,
NODE,454,1640.02,2603.477,134,5,,
NODE,455,3306.874,3816.441,188,5,,
NODE,456,1319.376,7616.263,60,5,,
NODE,457,6885.34,6610.353,194,4,,
NODE,458,1436.402,66.579,27,1,,
NODE,459,8270.506,6237.831,70,2,,
NODE,460,8743.416,7191.819,148,2,,
NODE,461,790.388,8884.801,72,4,,
NODE,462,2790.272,4577.744,117,5,,
NODE,463,6492.774,3505.684,99,3,,
NODE,464,5418.805,8839.77,43,1,,
NODE,465,3256.848,5857.167,49,5,,
NODE,466,9416.21,760.871,8,4,,
NODE,467,1263.432,6045.089,115,5,,
NODE,468,4690.018,2406.672,175,1,,
NODE,469,7267.634,4688.838,13,2,,
NODE,470,1223.96,3840.202,141,2,,
NODE,471,7486.572,2369.603,159,4,,
NODE,472,8818.247,2202.133,75,4,,
NODE,473,5446.835,6613.399,16,1,,
NODE,474,2385.421,6723.35,127,2,,
NODE,475,7777.676,5495.73,15,1,,
NODE,476,2968.189,8851.547,56,1,,
NODE,477,2595.353,1015.012,3,2,,
NODE,478,193.464,8193.966,34,5,,
NODE,479,1543.29,9034.565,181,3,,
NODE,480,5518.203,3283.881,176,2,,
NODE,481,4101.389,1568.393,52,1,,
NODE,482,7755.531,3442.413,174,2,,
NODE,483,5886.834,3141.738,73,5,,
NODE,484,1433.732,7157.381,55,1,,
NODE,485,6852.827,319.369,32,5,,
NODE,486,6766.098,2118.127,119,5,,
NODE,487,5807.586,9593.12,60,5,,
NODE,488,1936.223,3297.46,140,2,,
NODE,489,3093.024,5977.089,82,5,,
NODE,490,2255.409,7355.565,31,4,,
NODE,491,7845.668,6029.82,149,3,,
NODE,492,8432.009,5874.281,76,1,,
NODE,493,8805.762,4798.562,26,1,,
NODE,494,5662.648,1932.669,185,4,,
NODE,495,5556.301,8263.048,190,2,,
NODE,496,3206.497,1738.301,58,4,,
NODE,497,6195.399,6757.49,112,5,,
NODE,498,2146.238,6515.238,16,4,,
NODE,499,2660.28,6692.366,117,2,,
NODE,500,5894.298,1291.275,34,5,,
NODE,501,9585.277,2014.887,166,2,,
NODE,502,6093.356,1011.89,109,3,,
NODE,503,759.643,3027.753,2,5,,
NODE,504,4330.819,5018.31,200,2,,
NODE,505,4200.104,7124.699,94,4,,
NODE,506,8024.741,6362.65,21,2,,
NODE,507,8298.966,2365.22,112,1,,
NODE,508,3892.116,8508.814,155,5,,
NODE,509,5444.044,688.162,66,1,,
NODE,510,6023.912,4989.531,49,3,,
NODE,511,9363.987,4985.205,136,2,,
NODE,512,2049.624,1915.283,135,3,,
NODE,513,3444.586,9745.778,174,3,,
NODE,514,7649.439,3388.692,41,1,,
NODE,515,2618.494,2274.651,109,1,,
NODE,516,7390.792,1623.886,74,5,,
NODE,517,1270.721,6155.853,139,2,,
NODE,518,4019.937,5010.174,38,4,,
NODE,519,1510.203,6336.16,110,3,,
NODE,520,4178.124,5567.757,200,5,,
NODE,521,3505.667,2478.281,104,3,,
NODE,522,2868.112,8590.74,163,3,,
NODE,523,8980.851,7938.259,11,4,,
NODE,524,4041.377,9000.055,91,5,,
NODE,525,9640.015,7734.728,37,5,,
NODE,526,7127.516,11.829,158,1,,
NODE,527,1866.393,4278.826,58,1,,
NODE,528,3081.953,6496.478,16,4,,
NODE,529,1799.828,61.129,149,3,,
NODE,530,8904.282,1825.214,191,2,,
NODE,531,3145.353,6425.553,52,2,,
NODE,532,8139.478,1769.912,29,4,,
NODE,533,4386.616,2311.966,39,1,,
NODE,534,2808.423,2098.545,20,1,,
NODE,535,297.795,4844.989,135,3,,
NODE,536,4015.173,9567.444,164,4,,
NODE,537,4893.97,8616.425,52,4,,
NODE,538,3583.809,1668.628,36,5,,
NODE,539,6524.917,7215.868,102,5,,
NODE,540,4001.536,2462.784,120,4,,
NODE,541,3647.068,9821.918,23,5,,
NODE,542,2640.82,3630.322,130,3,,
NODE,543,876.042,5722.484,70,3,,
NODE,544,8112.186,278.24,41,5,,
NODE,545,2200.71,7779.861,61,1,,
NODE,546,4888.281,4216.916,173,2,,
NODE,547,987.753,6480.279,87,5,,
NODE,548,6781.471,9676.54,199,4,,
NODE,549,6144.572,1115.33,109,3,,
NODE,550,1380.43,3714.916,14,3,,
NODE,551,985.733,8705.571,184,5,,
NODE,552,2823.806,4102.997,22,4,,
NODE,553,5670.6,2152.49,195,2,,
NODE,554,8621.202,9705.024,176,5,,
NODE,555,2241.091,2892.492,144,3,,
NODE,556,702.546,1102.952,2,4,,
NODE,557,5994.798,7320.829,52,2,,
NODE,558,6988.634,1460.009,84,3,,
NODE,559,2490.11,2576.46,65,2,,
NODE,560,7884.868,7249.074,63,5,,
NODE,561,5009.274,8498.581,61,3,,
NODE,562,8237.941,9545.239,37,2,,
NODE,563,8536.987,821.923,178,3,,
NODE,564,4113.596,1026.246,21,5,,
NODE,565,2030.161,9912.861,181,3,,
NODE,566,5610.346,3666.86,22,3,,
NODE,567,7204.488,7642.377,62,4,,
NODE,568,5780.751,3313.454,78,5,,
NODE,569,6407.154,7968.036,177,4,,
NODE,570,4241.142,3982.093,128,2,,
NODE,571,1120.75,1729.808,157,1,,
NODE,572,6408.245,7983.844,21,3,,
NODE,573,3316.941,9551.697,115,3,,
NODE,574,8387.495,7924.481,94,3,,
NODE,575,452.126,2983.956,152,1,,
NODE,576,9979.507,3219.997,172,3,,
NODE,577,6036.17,5924.447,200,1,,
NODE,578,4043.838,9812.221,164,4,,
NODE,579,951.722,9237.04,108,1,,
NODE,580,1327.738,2780.404,197,2,,
NODE,581,154.051,2277.269,123,3,,
NODE,582,7597.479,104.493,4,4,,
NODE,583,1389.915,847.526,49,5,,
NODE,584,614.988,4656.419,172,5,,
NODE,585,9692.741,1049.563,95,1,,
NODE,586,2857.466,9193.313,151,3,,
NODE,587,2883.378,5115.438,188,4,,
NODE,588,7060.799,3053.958,48,3,,
NODE,589,7211.17,3663.516,159,5,,
NODE,590,877.918,3420.733,119,4,,
NODE,591,703.796,4471.861,125,4,,
NODE,592,3378.76,983.684,166,1,,
NODE,593,8064.805,8781.583,150,4,,
NODE,594,6196.722,9175.325,62,3,,
NODE,595,2755.083,9934.01,172,4,,
NODE,596,5542.095,1137.531,172,4,,
NODE,597,3063.08,1716.932,128,2,,
NODE,598,1975.419,6152.612,70,3,,
NODE,599,9217.854,7453.779,89,1,,
NODE,600,3720.984,8929.025,93,3,,
NODE,601,1147.815,5427.322,183,3,,
NODE,602,8365.988,2159.409,194,3,,
NODE,603,5161.164,3226.256,48,2,,
NODE,604,3155.573,3946.614,154,2,,
NODE,605,7131.272,6668.285,59,1,,
NODE,606,3110.001,1568.357,195,1,,
NODE,607,2612.601,9945.24,137,3,,
NODE,608,9417.604,8516.565,37,2,,
NODE,609,172.792,1312.214,56,4,,
NODE,610,3787.045,9976.244,42,2,,
NODE,611,8892.658,595.541,191,5,,
NODE,612,9776.525,7033.568,129,3,,
NODE,613,7784.533,1829.765,131,4,,
NODE,614,7797.636,6910.147,94,3,,
NODE,615,9745.468,3811.715,172,5,,
NODE,616,2026.442,1739.677,20,5,,
NODE,617,7034.403,6549.091,117,5,,
NODE,618,4688.071,9892.223,25,2,,
NODE,619,2396.555,1909.877,103,2,,
NODE,620,6278.875,6607.314,143,3,,
NODE,621,2985.237,4562.514,59,2,,
NODE,622,3205.862,8600.489,81,1,,
NODE,623,1661.154,9595.395,35,3,,
NODE,624,3858.882,3729.454,97,3,,
NODE,625,6698.868,5165.179,113,5,,
NODE,626,182.752,3907.73,196,1,,
NODE,627,8147.696,1720.984,136,4,,
NODE,628,1168.636,783.613,85,5,,
NODE,629,9829.623,3812.579,135,3,,
NODE,630,899.582,2510.544,50,5,,
NODE,631,7988.315,6836.038,137,5,,
NODE,632,5364.404,3217.814,2,2,,
NODE,633,8298.534,8949.687,146,4,,
NODE,634,1334.228,5747.192,15,1,,
NODE,635,7526.262,3964.762,168,3,,
NODE,636,8441.557,8862.548,44,1,,
NODE,637,5781.607,8927.741,156,1,,
NODE,638,3488.463,5344.922,134,5,,
NODE,639,7600.503,2388.056,120,4,,
