command,u,v,distance,install_cost,capacity,loss_factor,extra
EDGE,433,713,981,1506,4602,42,
EDGE,735,498,159,398,2480,13,
EDGE,991,59,594,1516,4491,3,
EDGE,765,321,59,112,4835,30,
EDGE,514,941,874,1097,1339,3,
EDGE,983,520,83,1753,1572,4,
EDGE,609,69,692,1775,1976,25,
EDGE,122,964,912,1176,2066,37,
EDGE,608,40,635,177,3484,42,
EDGE,597,578,536,657,2186,13,
EDGE,685,733,322,498,2225,25,
EDGE,134,687,661,624,3795,20,
EDGE,951,769,959,158,126,29,
EDGE,636,576,103,160,4454,13,
EDGE,518,271,136,1921,2909,4,
EDGE,900,250,379,593,1342,28,
EDGE,853,556,721,629,4383,0,
EDGE,683,836,568,623,898,8,
EDGE,270,118,912,229,4582,9,
EDGE,278,288,620,441,2858,13,
EDGE,703,649,874,550,4190,31,
EDGE,257,927,930,1742,466,5,
EDGE,649,433,850,576,411,0,
EDGE,341,789,134,1314,2195,10,
EDGE,759,452,565,1455,3553,35,
EDGE,9,114,78,1945,1271,34,
EDGE,36,854,379,1202,4576,9,
EDGE,440,130,43,641,3037,50,
EDGE,995,881,41,1850,2981,13,
EDGE,698,255,683,220,2947,49,
EDGE,573,905,896,842,1316,15,
EDGE,885,166,1000,1648,1500,26,
EDGE,25,183,755,1903,2771,50,
EDGE,953,421,822,1381,2082,17,
EDGE,163,806,719,231,3183,2,
EDGE,879,481,228,418,3820,22,
EDGE,312,840,815,1794,1914,14,
EDGE,24,675,198,826,2739,17,
EDGE,885,71,991,1593,2336,22,
EDGE,656,521,410,1401,4442,21,
EDGE,961,28,119,1806,2189,11,
EDGE,594,985,272,88,938,38,
EDGE,444,353,747,1620,2619,27,
EDGE,620,523,119,798,4773,12,
EDGE,260,45,726,903,63,33,
EDGE,947,825,552,1416,1664,23,
EDGE,441,71,972,1370,2754,39,
EDGE,321,679,869,265,2510,32,
EDGE,316,682,419,678,3346,44,
EDGE,302,567,131,402,3494,42,
EDGE,962,388,694,1542,1475,39,
EDGE,582,308,416,1132,53,19,
EDGE,293,215,441,1619,4801,38,
EDGE,670,329,477,914,3672,43,
EDGE,218,523,485,1635,1440,42,
EDGE,86,290,528,1369,2795,5,
EDGE,838,974,770,491,2592,14,
EDGE,825,203,151,60,428,15,
EDGE,486,625,871,1583,646,29,
EDGE,424,907,645,1188,1642,45,
EDGE,713,393,507,828,2048,9,
EDGE,671,704,6,1838,923,49,
EDGE,435,224,181,1656,4293,29,
EDGE,51,570,256,1888,1044,29,
EDGE,136,820,476,1377,4401,35,
EDGE,609,324,973,1556,3675,39,
EDGE,834,736,914,1043,3545,35,
EDGE,456,918,163,1533,3938,28,
EDGE,265,769,254,1730,2321,49,
EDGE,796,533,497,1293,2009,17,
EDGE,450,79,731,595,1970,17,
EDGE,343,327,915,1116,710,8,
EDGE,154,236,393,1431,1301,45,
EDGE,219,65,425,844,2760,34,
EDGE,477,425,64,433,3491,24,
EDGE,926,788,599,1947,210,48,
EDGE,589,389,489,22,2931,19,
EDGE,771,399,874,1836,3482,34,
EDGE,765,752,560,1648,4991,14,
EDGE,499,224,280,902,4028,1,
EDGE,398,344,685,1400,3362,46,
EDGE,169,860,479,1893,1095,39,
EDGE,546,27,929,816,4898,36,
EDGE,678,27,86,1326,3561,8,
EDGE,887,472,187,112,2181,24,
EDGE,335,216,466,679,2814,48,
EDGE,900,388,285,1550,3503,16,
EDGE,854,83,482,49,4468,3,
EDGE,974,358,230,1341,612,49,
EDGE,980,667,42,1554,304,15,
EDGE,204,859,21,1282,1298,15,
EDGE,129,484,686,244,4670,13,
EDGE,476,716,263,1580,3071,10,
EDGE,620,621,987,1541,988,49,
EDGE,838,167,988,647,935,37,
EDGE,26,951,320,1189,3124,25,
EDGE,964,732,204,165,4900,44,
EDGE,850,642,249,218,2520,43,
EDGE,614,824,124,1640,4686,50,
EDGE,42,355,546,887,3085,4,
EDGE,518,663,350,35,3491,31,
EDGE,108,443,984,751,3816,45,
EDGE,156,445,181,1512,4324,41,
EDGE,276,630,828,1893,4458,49,
EDGE,495,476,447,1701,4903,17,
EDGE,330,872,252,1711,759,17,
EDGE,902,461,250,1546,3856,36,
EDGE,624,684,389,698,285,31,
EDGE,871,332,187,1008,1787,22,
EDGE,816,264,349,582,4933,44,
EDGE,901,282,570,30,4282,12,
EDGE,87,247,738,842,4052,35,
EDGE,776,246,708,985,4070,28,
EDGE,811,17,96,612,1865,25,
EDGE,708,249,314,1369,4814,23,
EDGE,484,566,544,714,3535,47,
EDGE,563,338,361,1449,3767,17,
EDGE,313,257,237,257,1627,20,
EDGE,122,760,549,1957,1566,12,
EDGE,221,756,496,576,4879,48,
EDGE,537,611,290,215,1640,18,
EDGE,232,369,184,629,165,45,
EDGE,546,129,281,103,496,35,
EDGE,299,714,967,268,4071,6,
EDGE,893,12,588,592,3895,30,
EDGE,451,348,189,1987,470,16,
EDGE,963,882,490,243,585,25,
EDGE,503,75,591,1299,489,9,
EDGE,152,830,577,1953,2539,5,
EDGE,254,121,572,1575,3459,38,
EDGE,610,809,634,472,4330,24,
EDGE,461,930,454,618,4871,27,
EDGE,312,582,636,133,862,48,
EDGE,212,640,217,551,715,10,
EDGE,245,177,566,163,1332,0,
EDGE,418,461,706,1226,3899,18,
EDGE,33,237,296,1457,2366,44,
EDGE,880,464,73,1417,1962,16,
EDGE,806,810,641,1217,1670,27,
EDGE,117,557,231,1336,1270,17,
EDGE,846,145,74,132,1409,50,
EDGE,314,609,767,1698,4712,18,
EDGE,449,127,480,1420,2541,44,
EDGE,412,965,279,1034,4473,31,
EDGE,448,82,613,91,3589,47,
EDGE,330,618,257,62,798,14,
EDGE,984,690,857,1772,4762,37,
EDGE,973,21,784,1386,2257,36,
EDGE,41,781,775,368,3904,33,
EDGE,667,452,939,579,1536,37,
EDGE,446,650,834,1017,797,30,
EDGE,356,418,342,667,906,10,
EDGE,337,421,711,1024,2411,42,
EDGE,967,410,834,1567,4556,2,
EDGE,465,90,323,526,2698,7,
EDGE,993,791,414,1781,4265,0,
EDGE,673,890,556,956,3435,3,
EDGE,192,530,371,1285,4133,40,
EDGE,452,778,53,426,2237,35,
EDGE,134,949,295,907,4020,7,
EDGE,29,996,646,1256,2010,45,
EDGE,162,318,565,38,4574,26,
EDGE,95,230,862,1879,979,29,
EDGE,969,120,664,1714,1311,31,
EDGE,955,733,299,1052,2289,26,
EDGE,854,494,484,509,3791,35,
EDGE,148,392,196,1897,4960,32,
EDGE,764,900,140,1779,621,17,
EDGE,791,808,875,859,2834,50,
EDGE,519,273,841,15,2367,46,
EDGE,305,857,602,1197,4061,9,
EDGE,457,551,496,716,2773,35,
EDGE,781,556,387,942,2686,12,
EDGE,714,244,586,794,1963,49,
EDGE,420,44,326,1535,3924,45,
EDGE,935,830,391,800,1296,31,
EDGE,987,37,130,1038,4884,21,
EDGE,890,102,896,1740,3656,6,
EDGE,538,932,468,41,1230,26,
EDGE,891,670,994,326,662,30,
EDGE,800,992,272,703,3306,41,
EDGE,82,872,337,1755,4421,24,
EDGE,977,324,642,1481,4047,34,
EDGE,36,632,71,490,2404,14,
EDGE,764,92,445,211,873,28,
EDGE,170,710,307,1860,287,2,
EDGE,332,815,58,610,2986,23,
EDGE,441,149,251,1097,3425,36,
EDGE,698,811,185,358,1484,5,
EDGE,624,891,392,1279,2022,31,
EDGE,934,597,147,485,3827,40,
EDGE,260,470,262,1375,126,29,
EDGE,922,294,694,1129,1344,4,
EDGE,452,967,354,1213,2500,40,
EDGE,985,434,707,522,3792,19,
EDGE,203,393,874,999,923,15,
EDGE,390,585,368,1187,2473,44,
EDGE,302,22,850,1358,3292,17,
EDGE,8,579,886,1414,451,38,
EDGE,763,508,853,1861,2394,49,
EDGE,818,235,622,1652,2936,14,
EDGE,651,194,636,523,1170,40,
EDGE,99,925,643,1333,372,19,
EDGE,807,451,35,1196,3038,46,
EDGE,134,92,932,614,2726,47,
EDGE,425,179,206,280,4468,23,
EDGE,543,513,936,568,1397,16,
EDGE,935,844,967,996,2467,47,
EDGE,891,346,824,245,3886,4,
EDGE,144,772,990,472,3305,35,
EDGE,374,92,810,818,164,16,
EDGE,549,126,466,764,2197,37,
EDGE,390,842,654,1935,3093,6,
EDGE,691,239,483,61,4649,20,
EDGE,937,624,227,1336,567,40,
EDGE,843,475,932,1445,2525,41,
EDGE,418,119,144,102,354,19,
EDGE,504,118,100,490,4453,8,
EDGE,397,464,380,1383,4475,26,
EDGE,601,760,745,326,3448,41,
EDGE,101,853,502,1270,3393,17,
EDGE,33,706,380,454,3682,28,
EDGE,973,241,876,752,863,43,
EDGE,376,557,924,1330,2988,3,
EDGE,407,282,195,1992,1050,29,
EDGE,93,678,218,1324,4941,1,
EDGE,51,805,342,508,1081,50,
EDGE,578,210,71,1709,4590,13,
EDGE,600,221,833,1791,1958,21,
EDGE,792,151,808,1854,4932,0,
EDGE,283,879,149,276,4475,16,
EDGE,817,178,113,1363,261,8,
EDGE,15,366,809,1624,1999,37,
EDGE,331,16,179,553,479,8,
EDGE,759,431,539,242,570,30,
EDGE,459,796,371,1061,4913,6,
EDGE,462,515,227,1946,405,46,
EDGE,802,930,888,1359,4321,19,
EDGE,469,658,988,73,548,30,
EDGE,867,411,437,1415,934,31,
EDGE,729,931,455,160,711,20,
EDGE,622,151,68,268,2302,39,
EDGE,648,599,562,1468,2713,24,
EDGE,611,543,302,939,4191,38,
EDGE,440,101,813,1447,987,41,
EDGE,666,898,788,1139,1811,27,
EDGE,462,909,234,857,2826,29,
EDGE,408,425,748,204,2610,27,
EDGE,320,681,262,776,1300,43,
EDGE,945,485,69,196,749,5,
EDGE,442,98,763,1523,3102,8,
EDGE,569,61,601,1969,4650,35,
EDGE,337,686,126,851,2946,42,
EDGE,963,768,434,1787,471,18,
EDGE,614,319,361,222,4784,32,
EDGE,217,158,673,997,1887,6,
EDGE,358,865,570,762,991,48,
EDGE,285,587,232,1663,3565,35,
EDGE,997,785,839,1283,4610,1,
EDGE,623,951,674,1708,2240,1,
EDGE,184,279,720,1571,2581,21,
EDGE,359,6,186,1791,1223,36,
EDGE,673,410,72,300,301,5,
EDGE,764,543,221,780,3489,29,
EDGE,349,161,379,648,2707,49,
EDGE,964,581,611,183,480,9,
EDGE,161,772,633,111,718,17,
EDGE,453,677,435,1004,3671,26,
EDGE,279,220,774,1059,982,22,
EDGE,440,113,291,1398,4908,31,
EDGE,539,683,316,103,1856,25,
EDGE,613,56,8,428,2519,13,
EDGE,785,140,783,533,2421,20,
EDGE,122,7,510,1539,3577,11,
EDGE,132,389,546,1451,1935,32,
EDGE,572,853,685,1661,2951,4,
EDGE,406,882,760,96,3623,1,
EDGE,470,943,80,1775,2614,36,
EDGE,439,587,415,1463,3471,18,
EDGE,117,414,22,1988,2710,10,
EDGE,820,970,633,952,3014,5,
EDGE,447,864,109,508,3619,37,
EDGE,410,536,81,820,2591,47,
EDGE,347,226,342,1605,1427,4,
EDGE,522,648,117,1096,4227,12,
EDGE,927,794,358,729,1259,15,
EDGE,105,149,263,414,1471,38,
EDGE,156,778,778,1352,667,11,
EDGE,974,791,644,1021,3850,48,
EDGE,577,778,594,929,4674,41,
EDGE,650,639,331,1779,2639,9,
EDGE,450,69,481,915,2530,50,
EDGE,281,605,58,730,4206,4,
EDGE,317,472,463,87,516,23,
EDGE,851,293,79,1330,789,39,
EDGE,608,519,394,957,4804,35,
EDGE,977,810,757,1844,386,28,
EDGE,930,829,586,1344,1592,20,
EDGE,619,487,514,318,556,28,
EDGE,105,830,921,1724,2863,45,
EDGE,86,516,662,363,370,15,
EDGE,724,448,450,1083,4332,39,
EDGE,162,372,382,1889,2367,24,
EDGE,418,793,347,1400,4947,3,
EDGE,808,646,663,695,589,21,
EDGE,96,571,695,801,2377,16,
EDGE,741,872,673,1985,4987,9,
EDGE,341,83,597,1369,1208,22,
EDGE,317,990,672,1440,3260,8,
EDGE,609,725,961,183,2586,35,
EDGE,385,658,811,682,1096,42,
EDGE,719,848,970,1523,4362,5,
EDGE,661,686,434,1051,3014,1,
EDGE,371,316,185,1957,1804,21,
EDGE,970,784,498,403,1905,8,
EDGE,158,79,303,1739,878,32,
EDGE,789,552,856,1522,4363,2,
EDGE,677,344,898,1579,1123,38,
EDGE,385,157,167,380,1406,46,
EDGE,448,44,421,756,1995,28,
EDGE,625,291,771,1543,3727,14,
EDGE,546,244,317,1987,3892,12,
EDGE,376,694,970,1178,3659,29,
EDGE,787,288,797,792,4169,33,
EDGE,428,989,166,1682,1685,38,
EDGE,141,893,257,116,3986,23,
EDGE,567,956,106,1466,4276,7,
EDGE,291,85,782,338,2284,28,
EDGE,927,525,151,1711,3633,5,
EDGE,969,932,228,1682,3745,22,
EDGE,952,27,425,119,3297,32,
EDGE,382,241,396,177,3121,14,
EDGE,28,326,954,212,2796,50,
EDGE,149,140,40,597,3920,44,
EDGE,851,142,778,1454,3892,28,
EDGE,630,5,928,172,205,16,
EDGE,220,855,154,1133,4373,27,
EDGE,113,794,296,496,2517,7,
EDGE,48,244,430,1318,3794,4,
EDGE,113,856,927,1033,4938,34,
EDGE,16,647,528,1187,2031,45,
EDGE,147,298,440,13,2940,15,
EDGE,584,426,192,1370,751,33,
EDGE,998,369,70,1962,4359,34,
EDGE,519,805,520,1144,216,24,
EDGE,894,481,45,1311,3219,23,
EDGE,259,765,17,741,603,22,
EDGE,246,750,673,1296,899,49,
EDGE,595,752,775,690,1142,2,
EDGE,360,559,347,1676,1484,49,
EDGE,701,475,713,990,1543,8,
EDGE,64,733,795,1942,3799,2,
EDGE,300,206,45,1630,1684,2,
EDGE,323,955,318,1065,3312,34,
EDGE,484,259,38,1552,1615,18,
EDGE,365,882,800,107,2769,17,
EDGE,127,818,377,904,3326,47,
EDGE,450,916,980,801,2827,11,
EDGE,508,708,510,762,4303,17,
EDGE,820,84,745,879,696,27,
EDGE,616,842,185,1127,2456,20,
EDGE,105,81,336,1363,2471,19,
EDGE,456,617,735,882,1415,44,
EDGE,454,359,458,96,2938,39,
EDGE,445,281,655,1630,519,4,
EDGE,687,652,416,754,4253,47,
EDGE,695,163,976,73,1219,38,
EDGE,694,800,449,81,1084,4,
EDGE,241,797,661,760,3016,24,
EDGE,972,580,34,1249,1306,43,
EDGE,460,971,380,771,3686,48,
EDGE,78,587,141,1094,3056,25,
EDGE,321,665,286,521,979,1,
EDGE,753,190,512,1070,3220,35,
EDGE,120,268,794,543,3705,13,
EDGE,626,292,711,1886,4073,12,
EDGE,125,138,874,161,3753,11,
EDGE,920,730,456,189,2668,42,
EDGE,355,726,67,1136,4491,18,
EDGE,912,307,872,332,1476,50,
EDGE,370,520,230,258,1696,50,
EDGE,142,242,810,1021,265,23,
EDGE,567,586,378,967,4569,8,
EDGE,626,905,89,144,2583,25,
EDGE,734,736,491,1086,3415,49,
EDGE,419,843,589,161,1076,20,
EDGE,657,75,461,964,4288,22,
EDGE,131,899,849,1607,4566,40,
EDGE,601,186,787,1988,1107,27,
EDGE,514,932,890,123,1067,33,
EDGE,156,311,169,341,2693,45,
EDGE,230,354,971,1936,4300,18,
EDGE,866,80,257,412,4562,17,
EDGE,128,640,311,1268,4420,5,
EDGE,514,656,173,1222,4806,9,
EDGE,175,674,640,1485,2815,36,
EDGE,42,845,885,68,715,2,
EDGE,971,656,790,1191,2218,41,
EDGE,215,785,586,863,298,31,
EDGE,910,642,559,603,2524,30,
EDGE,250,824,827,1412,3376,19,
EDGE,464,74,706,132,1344,28,
EDGE,425,495,476,427,2836,38,
EDGE,147,320,883,1481,2665,46,
EDGE,881,353,999,826,1121,48,
EDGE,379,527,576,227,2664,15,
EDGE,477,125,274,930,2080,9,
EDGE,99,51,298,1946,3196,39,
EDGE,428,254,986,1782,1358,20,
EDGE,956,591,739,650,1605,48,
EDGE,163,510,528,966,4135,19,
EDGE,509,23,93,1945,3271,32,
EDGE,468,989,247,450,4828,22,
EDGE,49,51,289,1023,4944,41,
EDGE,688,481,293,1109,116,6,
EDGE,441,137,904,551,3046,48,
EDGE,412,374,47,830,469,36,
EDGE,575,199,372,1143,2414,4,
EDGE,395,516,462,1575,4554,17,
EDGE,845,638,697,1261,1023,8,
EDGE,998,99,404,774,2827,35,
EDGE,961,374,774,305,1680,38,
EDGE,521,411,513,92,421,2,
EDGE,140,730,342,1656,3930,33,
EDGE,467,152,621,1839,4273,8,
EDGE,335,953,628,662,1381,25,
EDGE,631,757,863,622,4913,21,
EDGE,519,848,522,1100,4062,45,
EDGE,576,306,487,1680,186,23,
EDGE,339,689,113,863,4831,19,
EDGE,815,920,743,1796,268,38,
EDGE,485,271,991,1352,4788,36,
EDGE,233,738,53,1205,3985,10,
EDGE,536,644,739,1279,3164,9,
EDGE,841,697,249,74,4740,44,
EDGE,112,195,20,913,2619,26,
EDGE,155,422,708,427,3411,32,
EDGE,793,626,943,975,560,45,
EDGE,141,531,213,1158,2712,42,
EDGE,489,538,386,652,1468,29,
EDGE,934,545,351,1128,2952,43,
EDGE,790,888,739,1404,2215,39,
EDGE,495,196,981,514,2335,35,
EDGE,305,230,965,619,2417,45,
EDGE,212,706,722,1011,2647,30,
EDGE,357,573,957,1923,2290,18,
EDGE,124,587,693,1122,3160,25,
EDGE,838,353,978,1593,1249,18,
EDGE,43,294,979,1472,697,22,
EDGE,946,452,672,535,3974,13,
EDGE,206,847,552,565,4654,44,
EDGE,278,140,112,1270,4857,15,
EDGE,248,51,686,1863,4400,14,
EDGE,653,238,54,215,3435,21,
EDGE,734,483,103,1405,1176,0,
EDGE,987,563,952,333,3383,41,
EDGE,957,901,900,984,3961,41,
EDGE,204,774,988,598,2681,18,
EDGE,661,60,930,1584,782,41,
EDGE,587,237,548,1522,355,11,
EDGE,427,903,858,370,347,25,
EDGE,806,507,191,1928,2421,2,
EDGE,9,305,582,1244,929,21,
EDGE,291,465,657,1122,4345,31,
EDGE,910,961,138,1752,4180,29,
EDGE,279,197,829,240,2758,10,
EDGE,748,469,664,536,1575,0,
EDGE,754,345,810,614,4701,43,
EDGE,775,197,180,1261,3371,27,
EDGE,527,335,89,830,831,11,
EDGE,143,488,332,1926,2082,0,
EDGE,267,392,242,924,2237,21,
EDGE,309,596,741,1183,143,16,
EDGE,669,368,710,493,558,42,
EDGE,121,476,315,337,3371,43,
EDGE,514,945,917,1828,2597,44,
EDGE,120,654,939,1936,2466,23,
EDGE,629,226,225,1970,1144,30,
EDGE,156,465,766,1250,3110,26,
EDGE,718,562,935,974,4453,42,
EDGE,845,223,781,516,4930,50,
EDGE,83,538,458,1091,3013,4,
EDGE,939,577,115,136,4536,32,
EDGE,207,586,550,316,1397,20,
EDGE,874,532,453,248,1732,45,
EDGE,597,500,94,1850,4230,28,
EDGE,828,56,465,280,4254,26,
EDGE,467,577,60,1154,3837,43,
EDGE,826,315,741,54,3293,16,
EDGE,836,3,764,456,4787,4,
EDGE,46,433,353,1444,572,34,
EDGE,61,957,916,151,3917,2,
EDGE,293,418,185,1584,1159,49,
EDGE,656,746,662,1983,3493,23,
EDGE,912,391,460,1790,3142,24,
EDGE,82,699,988,1365,4467,8,
EDGE,669,880,357,252,1512,34,
EDGE,402,541,131,1500,1874,0,
EDGE,774,23,306,958,4510,27,
EDGE,544,388,844,480,2077,29,
EDGE,354,158,283,396,974,2,
EDGE,828,676,430,1269,178,15,
EDGE,211,68,104,1226,325,28,
EDGE,612,688,721,1796,448,15,
EDGE,758,45,412,908,1969,34,
EDGE,222,772,885,1599,512,8,
EDGE,515,296,240,1680,4769,20,
EDGE,591,612,792,1387,2676,15,
EDGE,309,897,147,1362,4320,14,
EDGE,423,307,282,134,4610,37,
EDGE,900,752,934,368,3549,35,
EDGE,507,48,996,715,3172,50,
EDGE,537,326,714,862,3394,9,
EDGE,307,385,189,1555,4456,30,
EDGE,246,869,231,625,1232,29,
EDGE,936,59,576,855,3462,35,
EDGE,542,137,398,507,2138,13,
EDGE,338,662,81,1898,3734,23,
EDGE,94,548,742,1708,1610,3,
EDGE,274,386,690,1248,4989,2,
EDGE,894,74,193,1657,4863,46,
EDGE,687,572,223,991,1761,21,
EDGE,310,979,931,41,1785,12,
EDGE,985,759,121,1539,3973,15,
EDGE,712,618,721,428,3299,15,
EDGE,565,329,795,589,3168,29,
EDGE,546,664,368,641,2192,23,
EDGE,525,903,510,964,857,46,
EDGE,480,779,860,665,1714,23,
EDGE,320,423,47,1162,1862,47,
EDGE,149,16,268,1143,4834,37,
EDGE,737,427,303,322,1657,21,
EDGE,235,388,584,1716,2063,31,
EDGE,563,670,967,1412,2815,16,
EDGE,781,841,501,1989,4068,29,
EDGE,172,750,815,731,1436,8,
EDGE,737,559,501,386,4491,41,
EDGE,980,60,537,79,658,42,
EDGE,49,782,7,854,1176,40,
EDGE,236,69,725,319,124,13,
EDGE,517,466,383,133,4008,42,
EDGE,499,16,7,1099,4569,26,
EDGE,12,17,543,1489,2300,34,
EDGE,293,17,515,1675,3577,11,
EDGE,109,940,99,1083,1269,15,
EDGE,196,634,540,526,2953,17,
EDGE,814,406,81,774,3376,29,
EDGE,578,249,714,472,2507,43,
EDGE,847,868,83,1348,309,5,
EDGE,415,388,387,1141,3949,3,
EDGE,652,9,720,360,727,31,
EDGE,865,444,661,1616,2763,36,
EDGE,878,997,98,1842,4376,2,
EDGE,235,216,923,1787,4693,30,
EDGE,277,47,947,162,2346,34,
EDGE,577,673,34,377,2626,1,
EDGE,984,212,602,305,3312,4,
EDGE,306,166,578,502,4692,24,
EDGE,693,918,554,689,3194,48,
EDGE,757,143,810,1421,692,32,
EDGE,763,997,355,119,850,27,
EDGE,237,858,78,707,4929,25,
EDGE,992,792,335,70,2289,50,
EDGE,461,502,234,738,4580,24,
EDGE,442,190,697,1209,3163,5,
EDGE,790,633,303,1644,2068,45,
EDGE,75,84,275,325,3162,45,
EDGE,802,649,158,1524,3241,20,
EDGE,369,109,94,20,2575,28,
EDGE,368,779,277,219,1135,5,
EDGE,191,441,460,1150,4594,32,
EDGE,417,105,27,193,2949,35,
EDGE,95,611,613,1616,2707,24,
EDGE,12,298,424,804,743,46,
EDGE,922,572,927,507,4735,33,
EDGE,173,701,390,357,1187,17,
EDGE,308,274,505,308,568,10,
EDGE,445,282,432,623,4016,50,
EDGE,78,369,258,1943,2070,46,
EDGE,640,507,609,1272,1651,29,
EDGE,109,138,312,23,3291,21,
EDGE,861,635,390,1656,2749,28,
EDGE,342,440,836,1696,4919,8,
EDGE,307,328,618,1950,1695,30,
EDGE,321,181,988,825,2664,18,
EDGE,752,711,649,1015,4767,50,
EDGE,248,333,386,584,3268,23,
EDGE,116,954,578,419,4901,34,
EDGE,184,698,787,1136,270,46,
EDGE,472,965,726,439,3641,18,
EDGE,851,709,71,1687,3401,43,
EDGE,511,142,649,630,2032,16,
EDGE,674,157,733,876,3138,4,
EDGE,459,612,491,1202,3333,34,
EDGE,518,945,943,1791,3476,34,
EDGE,37,809,992,746,4448,38,
EDGE,653,936,88,233,2083,42,
EDGE,680,363,171,1335,412,36,
EDGE,660,693,663,828,2766,50,
EDGE,440,108,11,211,2169,14,
EDGE,522,764,532,1152,4805,44,
EDGE,589,226,457,776,3254,29,
EDGE,790,695,603,1424,4149,9,
EDGE,353,25,495,224,2470,26,
EDGE,942,984,88,247,1210,22,
EDGE,319,351,467,1616,1744,33,
EDGE,494,356,488,209,3639,46,
EDGE,713,463,327,147,2509,2,
EDGE,829,727,118,56,2860,41,
EDGE,111,693,820,346,2048,33,
EDGE,178,565,164,687,4636,27,
EDGE,981,473,238,1643,3368,40,
EDGE,188,190,656,1356,3590,25,
EDGE,29,755,629,1818,1666,28,
EDGE,606,439,399,19,1809,13,
EDGE,285,770,721,1666,562,36,
EDGE,104,818,893,1109,1581,23,
EDGE,333,201,469,243,2199,42,
EDGE,883,501,541,1988,2617,38,
EDGE,397,625,402,1212,985,22,
EDGE,360,865,469,1274,1463,43,
EDGE,722,819,305,1891,4884,5,
EDGE,688,137,321,251,2004,19,
EDGE,119,187,383,1430,1208,32,
EDGE,397,428,611,292,4758,24,
EDGE,433,190,499,1311,4452,44,
EDGE,941,660,954,364,4595,10,
EDGE,501,295,144,393,2627,28,
EDGE,634,54,887,745,128,31,
EDGE,139,199,835,796,4650,32,
EDGE,668,506,419,1412,4078,26,
EDGE,727,860,455,1010,1420,5,
EDGE,578,31,815,1568,1856,18,
EDGE,33,281,231,1111,2414,10,
EDGE,799,468,580,1530,4107,35,
EDGE,523,115,587,243,2244,49,
EDGE,556,843,376,1120,390,48,
EDGE,736,451,560,457,3532,6,
EDGE,753,849,670,1548,2077,19,
EDGE,895,33,461,548,2905,5,
EDGE,449,886,121,1598,1991,13,
EDGE,830,755,603,1421,2922,45,
EDGE,624,647,439,349,1190,50,
EDGE,211,833,212,1659,536,36,
EDGE,359,545,288,1232,4463,10,
EDGE,331,720,300,602,4741,17,
EDGE,975,878,527,1853,830,8,
EDGE,985,768,805,852,535,17,
EDGE,887,671,130,1446,1137,15,
EDGE,149,728,330,1706,2077,48,
EDGE,863,692,403,1012,1214,36,
EDGE,647,275,643,858,3123,28,
EDGE,77,648,814,1812,812,25,
EDGE,527,767,285,1432,3073,29,
EDGE,973,499,336,1201,70,49,
EDGE,867,750,96,1506,3805,40,
EDGE,680,714,367,1751,568,50,
EDGE,547,407,224,1992,3569,13,
