edge_id,farm_a_id,farm_b_id,farm_a_x,farm_a_y,farm_b_x,farm_b_y,terrain_a,terrain_b,distance_km,terrain_cost,total_cost
68,FARM017,FARM033,2.803,1.555,6.434,2.585,flat,rocky,3.774,1.8,6.793
69,FARM019,FARM042,4.19,5.848,4.806,0.749,rocky,rocky,5.136,2.6,13.354
70,FARM132,FARM048,9.447,5.318,2.492,7.18,rocky,hilly,7.2,2.1,15.12
71,FARM124,FARM109,5.267,4.353,6.613,2.163,flat,flat,2.571,1.0,2.571
72,FARM140,FARM069,9.707,1.748,0.889,4.205,hilly,hilly,9.154,1.6,14.646
73,FARM148,FARM013,3.354,1.189,4.193,0.861,hilly,flat,0.901,1.3,1.171
74,FARM017,FARM003,2.173,9.969,9.914,7.209,hilly,flat,8.218,1.3,10.683
75,FARM112,FARM004,1.08,9.831,1.443,8.565,hilly,rocky,1.317,2.1,2.766
76,FARM003,FARM011,5.249,1.251,9.42,0.555,flat,rocky,4.229,1.8,7.612
77,FARM103,FARM087,6.309,3.117,9.608,3.162,rocky,flat,3.299,1.8,5.938
78,FARM025,FARM102,3.774,10.0,8.905,3.765,hilly,rocky,8.075,2.1,16.957
79,FARM131,FARM080,6.393,5.022,8.126,7.682,rocky,rocky,3.175,2.6,8.255
80,FARM146,FARM087,4.182,3.527,6.473,5.368,hilly,hilly,2.939,1.6,4.702
81,FARM135,FARM053,7.215,4.25,6.396,5.45,hilly,rocky,1.453,2.1,3.051
82,FARM131,FARM020,4.401,3.129,7.416,0.212,rocky,flat,4.195,1.8,7.551
83,FARM053,FARM025,6.223,8.584,1.699,6.011,flat,rocky,5.205,1.8,9.369
84,FARM116,FARM134,9.52,9.182,6.636,0.27,rocky,flat,9.367,1.8,16.861
85,FARM093,FARM011,7.461,3.582,4.81,0.158,rocky,flat,4.33,1.8,7.794
86,FARM071,FARM018,0.919,6.211,4.776,5.985,flat,rocky,3.864,1.8,6.955
87,FARM030,FARM067,3.436,1.55,6.692,8.794,rocky,rocky,7.942,2.6,20.649
88,FARM147,FARM036,0.095,7.719,9.698,9.137,rocky,hilly,9.707,2.1,20.385
89,FARM073,FARM129,7.42,3.267,9.533,8.257,hilly,rocky,5.419,2.1,11.38
90,FARM103,FARM080,4.5,2.011,0.576,4.536,hilly,hilly,4.666,1.6,7.466
91,FARM040,FARM005,6.072,9.876,0.188,0.579,hilly,flat,11.003,1.3,14.304
92,FARM116,FARM032,9.171,7.834,0.238,7.285,hilly,hilly,8.95,1.6,14.32
93,FARM029,FARM072,0.752,6.377,5.865,2.105,flat,hilly,6.663,1.3,8.662
94,FARM091,FARM029,4.006,8.701,5.572,7.108,rocky,flat,2.234,1.8,4.021
95,FARM067,FARM114,5.494,1.054,3.979,5.702,rocky,rocky,4.889,2.6,12.711
96,FARM083,FARM134,7.921,1.062,8.04,5.196,rocky,flat,4.136,1.8,7.445
97,FARM074,FARM017,4.393,8.225,7.646,6.35,flat,hilly,3.755,1.3,4.881
98,FARM009,FARM082,1.492,9.857,7.782,8.17,rocky,hilly,6.512,2.1,13.675
99,FARM075,FARM128,2.474,6.471,5.854,0.276,rocky,hilly,7.057,2.1,14.82
100,FARM129,FARM137,5.096,5.24,6.913,3.55,flat,flat,2.481,1.0,2.481
101,FARM047,FARM008,8.601,3.242,1.187,6.874,rocky,hilly,8.256,2.1,17.338
102,FARM054,FARM005,5.704,6.773,7.876,6.403,flat,flat,2.203,1.0,2.203
103,FARM139,FARM026,5.705,4.481,9.919,3.53,rocky,rocky,4.32,2.6,11.232
104,FARM097,FARM116,6.235,8.834,6.999,4.12,flat,flat,4.776,1.0,4.776
105,FARM120,FARM075,8.931,2.547,0.411,5.855,hilly,flat,9.14,1.3,11.882
106,FARM086,FARM066,2.621,9.052,5.627,0.917,flat,hilly,8.673,1.3,11.275
107,FARM073,FARM086,6.276,8.518,3.079,0.193,flat,hilly,8.918,1.3,11.593
108,FARM133,FARM012,2.735,0.827,1.453,0.867,flat,rocky,1.283,1.8,2.309
109,FARM022,FARM077,7.442,8.396,2.488,1.265,hilly,rocky,8.683,2.1,18.234
110,FARM041,FARM061,4.553,2.397,7.019,0.535,hilly,rocky,3.09,2.1,6.489
111,FARM066,FARM091,0.293,6.902,7.219,4.24,rocky,hilly,7.42,2.1,15.582
112,FARM112,FARM089,5.504,7.587,4.703,6.72,rocky,flat,1.18,1.8,2.124
113,FARM114,FARM086,0.046,4.368,4.796,2.38,flat,rocky,5.149,1.8,9.268
114,FARM022,FARM052,9.553,5.755,1.464,1.672,flat,rocky,9.061,1.8,16.31
115,FARM145,FARM070,9.823,7.735,5.27,1.795,hilly,flat,7.484,1.3,9.729
116,FARM037,FARM093,0.685,8.521,9.802,5.52,flat,flat,9.598,1.0,9.598
117,FARM097,FARM098,8.867,1.956,5.776,7.76,rocky,rocky,6.576,2.6,17.098
118,FARM011,FARM040,0.076,4.283,0.307,8.145,flat,hilly,3.869,1.3,5.03
119,FARM016,FARM061,7.25,9.634,6.052,4.419,hilly,rocky,5.351,2.1,11.237
120,FARM087,FARM038,8.036,0.247,1.425,9.55,hilly,rocky,11.413,2.1,23.967
121,FARM119,FARM030,0.179,5.138,3.871,0.141,flat,flat,6.213,1.0,6.213
122,FARM009,FARM048,7.508,7.339,1.67,8.5,rocky,rocky,5.952,2.6,15.475
123,FARM017,FARM144,4.695,4.598,5.011,9.458,rocky,rocky,4.87,2.6,12.662
124,FARM002,FARM005,9.75,3.533,7.155,5.643,flat,rocky,3.345,1.8,6.021
125,FARM092,FARM019,8.369,3.945,4.565,5.092,rocky,flat,3.973,1.8,7.151
126,FARM132,FARM058,1.013,3.831,4.013,7.753,hilly,rocky,4.938,2.1,10.37
127,FARM095,FARM120,0.128,4.067,9.973,3.168,rocky,hilly,9.886,2.1,20.761
128,FARM056,FARM042,5.074,5.994,0.339,1.197,flat,flat,6.74,1.0,6.74
129,FARM106,FARM124,4.488,6.342,9.075,7.954,hilly,hilly,4.862,1.6,7.779
130,FARM010,FARM114,0.332,8.462,0.326,8.185,hilly,rocky,0.277,2.1,0.582
131,FARM115,FARM038,2.295,7.15,2.663,0.416,hilly,hilly,6.744,1.6,10.79
132,FARM136,FARM059,9.232,6.151,5.738,5.77,hilly,rocky,3.515,2.1,7.382
133,FARM064,FARM010,4.017,3.232,2.116,4.5,rocky,hilly,2.285,2.1,4.799
134,FARM074,FARM002,1.113,6.235,9.799,7.675,flat,hilly,8.805,1.3,11.447
135,FARM080,FARM113,2.854,7.013,8.136,0.031,rocky,flat,8.755,1.8,15.759
136,FARM055,FARM040,3.797,3.829,9.749,1.953,rocky,flat,6.241,1.8,11.234
137,FARM094,FARM056,4.335,6.542,1.091,3.355,flat,flat,4.548,1.0,4.548
138,FARM009,FARM141,8.98,5.625,9.232,0.142,flat,flat,5.489,1.0,5.489
139,FARM117,FARM061,1.167,7.278,0.26,3.529,rocky,hilly,3.857,2.1,8.1
140,FARM032,FARM096,6.999,3.418,6.944,1.392,rocky,rocky,2.027,2.6,5.27
141,FARM022,FARM095,3.688,5.408,7.752,4.015,rocky,hilly,4.296,2.1,9.022
142,FARM032,FARM110,0.269,4.543,7.829,6.755,flat,hilly,7.877,1.3,10.24
143,FARM073,FARM083,8.104,2.896,0.669,4.55,hilly,hilly,7.617,1.6,12.187
144,FARM095,FARM073,2.463,1.626,0.129,8.911,hilly,flat,7.65,1.3,9.945
145,FARM101,FARM090,6.08,2.856,3.782,9.025,hilly,rocky,6.583,2.1,13.824
146,FARM140,FARM062,5.487,1.78,4.247,3.851,hilly,rocky,2.414,2.1,5.069
147,FARM018,FARM075,5.63,9.305,6.55,8.471,rocky,rocky,1.242,2.6,3.229
148,FARM039,FARM028,7.707,2.269,7.8,8.81,rocky,hilly,6.542,2.1,13.738
149,FARM117,FARM048,2.571,9.66,7.523,9.67,flat,hilly,4.952,1.3,6.438
150,FARM033,FARM020,6.715,8.004,8.186,0.886,flat,rocky,7.268,1.8,13.082
151,FARM053,FARM094,0.856,5.612,2.095,8.249,hilly,rocky,2.914,2.1,6.119
152,FARM037,FARM095,1.334,7.643,4.134,4.408,flat,rocky,4.278,1.8,7.7
153,FARM113,FARM128,2.062,1.686,5.861,8.46,flat,hilly,7.767,1.3,10.097
154,FARM052,FARM016,8.145,4.17,7.693,7.503,rocky,hilly,3.364,2.1,7.064
155,FARM045,FARM015,7.916,2.443,2.212,6.055,flat,rocky,6.751,1.8,12.152
156,FARM005,FARM011,4.088,4.524,8.285,2.21,flat,rocky,4.793,1.8,8.627
157,FARM143,FARM100,0.639,9.517,3.557,5.092,rocky,flat,5.301,1.8,9.542
158,FARM005,FARM002,2.389,4.537,0.32,7.724,hilly,flat,3.8,1.3,4.94
159,FARM081,FARM033,9.857,1.645,5.791,4.545,hilly,hilly,4.994,1.6,7.99
160,FARM002,FARM109,0.287,4.467,8.733,9.176,hilly,rocky,9.67,2.1,20.307
161,FARM045,FARM013,3.062,4.608,2.595,7.486,rocky,flat,2.916,1.8,5.249
162,FARM035,FARM074,1.4,4.635,2.838,5.309,flat,hilly,1.588,1.3,2.064
163,FARM065,FARM144,0.138,9.505,5.56,3.762,hilly,hilly,7.898,1.6,12.637
164,FARM145,FARM104,7.507,7.146,6.021,0.36,hilly,hilly,6.947,1.6,11.115
165,FARM106,FARM081,5.678,7.677,8.731,5.974,hilly,rocky,3.496,2.1,7.342
166,FARM056,FARM056,9.156,4.334,4.073,8.022,flat,hilly,6.28,1.3,8.164
167,FARM077,FARM051,6.97,8.052,9.856,8.008,rocky,flat,2.886,1.8,5.195
168,FARM081,FARM128,7.948,6.411,4.972,8.168,rocky,hilly,3.456,2.1,7.258
169,FARM006,FARM137,9.706,0.021,3.963,4.576,hilly,hilly,7.33,1.6,11.728
170,FARM007,FARM093,7.105,1.783,4.673,6.413,rocky,flat,5.23,1.8,9.414
171,FARM143,FARM093,2.662,9.954,8.609,8.824,rocky,rocky,6.053,2.6,15.738
172,FARM009,FARM053,6.796,4.282,4.375,6.883,flat,rocky,3.553,1.8,6.395
173,FARM094,FARM129,3.832,1.635,8.598,2.556,flat,flat,4.854,1.0,4.854
174,FARM051,FARM116,5.62,3.344,1.686,7.825,flat,hilly,5.963,1.3,7.752
175,FARM056,FARM130,8.722,8.143,2.63,3.711,rocky,flat,7.534,1.8,13.561
176,FARM076,FARM080,2.757,5.691,2.634,6.624,hilly,rocky,0.941,2.1,1.976
177,FARM048,FARM008,2.417,0.381,2.837,3.216,flat,flat,2.866,1.0,2.866
178,FARM112,FARM139,5.855,4.217,7.116,8.326,flat,flat,4.298,1.0,4.298
179,FARM075,FARM009,4.719,7.471,5.255,9.697,rocky,hilly,2.29,2.1,4.809
180,FARM140,FARM092,2.888,0.983,9.295,1.623,rocky,rocky,6.439,2.6,16.741
181,FARM004,FARM071,4.9,2.835,0.195,5.76,flat,flat,5.54,1.0,5.54
182,FARM118,FARM022,0.762,9.392,5.939,4.805,rocky,rocky,6.917,2.6,17.984
183,FARM061,FARM008,5.85,6.858,1.017,6.1,rocky,flat,4.892,1.8,8.806
184,FARM136,FARM039,6.928,0.338,0.738,0.241,hilly,flat,6.191,1.3,8.048
185,FARM023,FARM047,4.797,4.935,8.502,1.964,hilly,hilly,4.749,1.6,7.598
186,FARM120,FARM079,6.754,5.513,8.436,3.494,hilly,hilly,2.628,1.6,4.205
187,FARM030,FARM085,1.026,2.371,0.995,6.16,rocky,flat,3.789,1.8,6.82
188,FARM147,FARM031,9.738,6.288,3.126,8.168,flat,hilly,6.874,1.3,8.936
189,FARM062,FARM080,0.708,5.285,7.941,6.254,hilly,flat,7.298,1.3,9.487
190,FARM070,FARM101,6.393,8.575,4.614,1.467,hilly,flat,7.327,1.3,9.525
191,FARM145,FARM069,8.337,7.559,1.588,0.799,flat,rocky,9.552,1.8,17.194
192,FARM028,FARM059,0.549,3.1,0.6,0.734,hilly,flat,2.367,1.3,3.077
193,FARM115,FARM063,3.744,5.071,5.353,0.3,rocky,hilly,5.035,2.1,10.574
194,FARM128,FARM118,8.542,4.348,8.337,7.203,rocky,flat,2.862,1.8,5.152
195,FARM044,FARM022,1.462,9.087,3.424,6.726,rocky,flat,3.07,1.8,5.526
196,FARM005,FARM004,8.045,4.987,7.274,8.003,hilly,rocky,3.113,2.1,6.537
197,FARM043,FARM116,1.589,3.261,0.413,0.238,flat,flat,3.244,1.0,3.244
198,FARM133,FARM136,6.422,5.432,5.089,6.847,hilly,flat,1.944,1.3,2.527
199,FARM029,FARM113,1.722,8.088,0.194,2.406,hilly,flat,5.884,1.3,7.649
200,FARM146,FARM012,8.696,3.984,1.833,2.487,rocky,hilly,7.024,2.1,14.75
201,FARM146,FARM113,6.029,2.022,2.279,3.054,rocky,rocky,3.889,2.6,10.111
202,FARM074,FARM025,0.906,3.671,9.348,7.62,hilly,hilly,9.32,1.6,14.912
203,FARM005,FARM127,9.024,8.03,1.392,8.068,rocky,rocky,7.632,2.6,19.843
204,FARM112,FARM117,4.605,9.384,9.123,2.11,flat,flat,8.563,1.0,8.563
205,FARM002,FARM023,4.593,8.465,7.508,5.311,flat,flat,4.295,1.0,4.295
206,FARM013,FARM094,1.536,4.296,8.361,2.036,hilly,flat,7.189,1.3,9.346
207,FARM036,FARM139,6.995,0.745,8.638,8.611,flat,hilly,8.036,1.3,10.447
208,FARM024,FARM042,1.584,4.909,3.667,0.378,flat,flat,4.987,1.0,4.987
209,FARM082,FARM102,5.115,6.622,0.362,7.134,rocky,flat,4.78,1.8,8.604
210,FARM103,FARM062,5.398,2.406,1.278,0.564,flat,hilly,4.513,1.3,5.867
211,FARM146,FARM127,0.322,1.022,9.422,7.288,hilly,rocky,11.049,2.1,23.203
212,FARM135,FARM136,7.002,6.254,8.204,2.131,hilly,rocky,4.295,2.1,9.02
213,FARM040,FARM040,9.985,9.873,4.896,7.252,hilly,hilly,5.724,1.6,9.158
214,FARM042,FARM139,2.176,6.294,1.103,0.15,flat,rocky,6.237,1.8,11.227
215,FARM004,FARM031,3.834,2.403,8.973,2.405,flat,hilly,5.139,1.3,6.681
216,FARM101,FARM146,7.834,7.941,1.585,7.426,flat,hilly,6.27,1.3,8.151
217,FARM010,FARM012,5.261,1.615,2.247,6.637,hilly,hilly,5.857,1.6,9.371
218,FARM132,FARM044,3.104,3.965,0.353,3.819,flat,rocky,2.755,1.8,4.959
219,FARM072,FARM059,2.272,7.958,2.53,7.719,flat,rocky,0.352,1.8,0.634
220,FARM139,FARM099,8.947,9.064,4.744,6.62,hilly,flat,4.862,1.3,6.321
221,FARM080,FARM132,1.31,2.752,1.808,4.943,flat,hilly,2.247,1.3,2.921
222,FARM127,FARM068,9.687,0.4,6.006,6.315,flat,flat,6.967,1.0,6.967
223,FARM102,FARM055,4.483,7.069,8.17,1.692,rocky,flat,6.52,1.8,11.736
224,FARM039,FARM024,5.714,6.916,0.039,6.646,flat,flat,5.681,1.0,5.681
225,FARM034,FARM051,9.914,2.555,6.029,3.437,hilly,rocky,3.984,2.1,8.366
226,FARM116,FARM111,7.498,0.286,9.189,1.171,hilly,rocky,1.909,2.1,4.009
227,FARM066,FARM118,2.266,1.687,0.859,6.409,hilly,flat,4.927,1.3,6.405
228,FARM006,FARM046,2.512,7.39,0.628,6.117,hilly,hilly,2.274,1.6,3.638
229,FARM083,FARM041,6.568,5.316,2.106,8.464,rocky,flat,5.461,1.8,9.83
230,FARM023,FARM128,3.642,8.787,0.631,2.209,rocky,flat,7.234,1.8,13.021
231,FARM024,FARM099,8.346,9.878,5.895,7.077,hilly,flat,3.722,1.3,4.839
232,FARM061,FARM007,6.429,8.982,7.229,3.297,flat,flat,5.741,1.0,5.741
233,FARM099,FARM045,0.854,8.062,3.965,9.618,hilly,flat,3.478,1.3,4.521
234,FARM100,FARM017,7.579,6.64,7.091,9.527,rocky,flat,2.928,1.8,5.27
235,FARM103,FARM060,5.822,4.372,5.36,7.895,flat,flat,3.553,1.0,3.553
236,FARM072,FARM073,4.104,7.101,9.23,7.208,flat,hilly,5.127,1.3,6.665
237,FARM110,FARM030,2.627,9.204,5.701,9.535,rocky,rocky,3.092,2.6,8.039
238,FARM052,FARM046,7.469,7.877,6.181,7.747,rocky,flat,1.295,1.8,2.331
239,FARM132,FARM041,1.03,1.07,7.817,6.05,hilly,rocky,8.418,2.1,17.678
240,FARM096,FARM034,7.36,2.646,1.261,5.035,flat,flat,6.55,1.0,6.55
241,FARM099,FARM097,4.883,9.575,6.663,0.709,rocky,rocky,9.043,2.6,23.512
242,FARM060,FARM130,1.201,8.232,2.471,5.617,flat,hilly,2.907,1.3,3.779
243,FARM124,FARM027,2.183,8.852,0.38,1.559,flat,flat,7.513,1.0,7.513
244,FARM084,FARM015,1.715,6.886,2.918,5.493,rocky,flat,1.841,1.8,3.314
245,FARM040,FARM077,2.434,8.615,8.317,5.416,flat,hilly,6.697,1.3,8.706
246,FARM073,FARM066,2.035,3.296,1.75,8.683,flat,flat,5.395,1.0,5.395
247,FARM061,FARM025,4.214,6.674,2.515,9.953,hilly,hilly,3.693,1.6,5.909
248,FARM125,FARM049,0.539,9.911,4.358,4.174,hilly,hilly,6.892,1.6,11.027
249,FARM126,FARM088,6.102,5.882,2.082,8.285,rocky,hilly,4.683,2.1,9.834
250,FARM020,FARM008,9.098,0.192,2.594,4.878,flat,rocky,8.016,1.8,14.429
251,FARM063,FARM007,9.823,5.659,1.799,0.124,hilly,hilly,9.748,1.6,15.597
252,FARM040,FARM109,0.653,1.325,7.323,8.434,flat,flat,9.748,1.0,9.748
253,FARM082,FARM068,9.807,5.058,4.573,0.733,flat,flat,6.79,1.0,6.79
254,FARM040,FARM147,8.658,4.254,7.968,8.985,flat,flat,4.781,1.0,4.781
255,FARM045,FARM148,9.443,9.087,5.838,8.168,flat,rocky,3.72,1.8,6.696
256,FARM019,FARM113,8.334,5.523,7.571,7.004,hilly,flat,1.666,1.3,2.166
257,FARM028,FARM149,0.333,6.543,1.406,1.371,hilly,flat,5.282,1.3,6.867
258,FARM071,FARM095,5.203,3.444,0.278,2.342,rocky,rocky,5.047,2.6,13.122
259,FARM121,FARM130,7.688,2.757,0.169,9.003,hilly,hilly,9.775,1.6,15.64
260,FARM101,FARM095,0.114,1.434,3.285,2.061,flat,rocky,3.232,1.8,5.818
261,FARM049,FARM068,3.044,9.397,5.927,8.065,hilly,hilly,3.176,1.6,5.082
262,FARM108,FARM143,6.574,0.016,8.655,1.083,rocky,hilly,2.339,2.1,4.912
263,FARM064,FARM023,7.996,9.998,0.6,4.897,flat,rocky,8.984,1.8,16.171
264,FARM120,FARM111,6.881,6.628,5.013,9.461,hilly,rocky,3.393,2.1,7.125
265,FARM025,FARM130,2.442,2.865,2.588,8.971,rocky,rocky,6.108,2.6,15.881
266,FARM020,FARM013,9.983,8.91,4.819,7.303,flat,hilly,5.408,1.3,7.03
267,FARM144,FARM091,1.699,8.014,0.761,6.806,hilly,rocky,1.529,2.1,3.211
268,FARM038,FARM108,2.769,8.453,8.276,0.761,rocky,flat,9.46,1.8,17.028
269,FARM038,FARM033,0.845,7.832,6.883,8.226,flat,hilly,6.051,1.3,7.866
270,FARM047,FARM091,2.802,1.446,4.626,1.597,flat,rocky,1.83,1.8,3.294
271,FARM143,FARM035,3.47,8.047,3.975,6.514,rocky,hilly,1.614,2.1,3.389
272,FARM032,FARM005,3.661,6.148,6.322,2.575,hilly,flat,4.455,1.3,5.792
273,FARM095,FARM048,9.849,8.773,2.279,8.146,flat,flat,7.596,1.0,7.596
274,FARM028,FARM143,6.559,4.025,7.39,0.974,hilly,hilly,3.162,1.6,5.059
275,FARM089,FARM017,3.188,2.082,5.986,1.162,rocky,flat,2.945,1.8,5.301
276,FARM109,FARM038,4.813,9.903,8.396,8.943,flat,flat,3.709,1.0,3.709
277,FARM031,FARM123,4.606,7.588,2.14,2.628,hilly,hilly,5.539,1.6,8.862
278,FARM133,FARM007,1.557,4.986,3.274,7.969,flat,flat,3.442,1.0,3.442
279,FARM124,FARM078,2.508,8.891,2.463,9.309,hilly,rocky,0.42,2.1,0.882
280,FARM135,FARM130,8.37,4.297,1.215,0.957,flat,hilly,7.896,1.3,10.265
281,FARM005,FARM072,6.926,2.011,2.23,8.663,hilly,rocky,8.143,2.1,17.1
282,FARM102,FARM038,7.294,7.322,4.382,3.641,rocky,hilly,4.694,2.1,9.857
283,FARM063,FARM021,2.568,6.555,7.719,0.699,hilly,rocky,7.799,2.1,16.378
284,FARM026,FARM137,0.081,9.077,1.89,8.353,flat,flat,1.949,1.0,1.949
285,FARM048,FARM126,9.16,6.033,7.618,0.932,hilly,hilly,5.329,1.6,8.526
286,FARM016,FARM147,4.187,9.16,8.063,1.021,flat,rocky,9.015,1.8,16.227
287,FARM061,FARM109,2.482,0.141,3.122,1.372,hilly,rocky,1.387,2.1,2.913
288,FARM011,FARM074,0.403,7.986,0.549,1.715,rocky,rocky,6.273,2.6,16.31
289,FARM075,FARM119,9.376,8.049,6.674,4.879,rocky,flat,4.165,1.8,7.497
290,FARM112,FARM056,8.144,0.135,8.33,8.281,rocky,hilly,8.148,2.1,17.111
291,FARM012,FARM127,1.515,0.783,2.176,0.613,rocky,rocky,0.683,2.6,1.776
292,FARM094,FARM139,0.24,2.117,1.54,8.864,flat,flat,6.871,1.0,6.871
