pair_id,supplier_id,buyer_id,category,supplier_capacity,buyer_demand,min_price,max_price,quality_rating,distance_km,match_score
25,SUP0480,BUY0304,electronics,73,1315,148.83,177.09,3,81.1,0.545
26,SUP0061,BUY0200,steel,4720,1078,84.59,86.92,5,113.8,1.316
27,SUP0414,BUY0516,textiles,160,2251,65.7,74.02,4,266.4,0.545
28,SUP0324,BUY0531,steel,2835,2522,96.29,102.46,5,345.7,0.94
29,SUP0108,BUY0003,steel,2666,1479,77.34,82.96,3,119.5,1.145
30,SUP0464,BUY0037,electronics,2787,1819,140.17,153.19,2,95.0,1.008
31,SUP0234,BUY0668,textiles,1483,1112,93.91,94.84,2,98.5,0.937
32,SUP0453,BUY0582,steel,3497,271,112.8,116.14,4,296.0,1.211
33,SUP0492,BUY0048,electronics,3700,433,300.18,293.13,5,483.9,0.955
34,SUP0488,BUY0668,textiles,2689,813,32.3,34.19,3,397.3,1.131
35,SUP0495,BUY0142,electronics,1896,2809,98.0,102.33,2,463.6,0.597
36,SUP0430,BUY0103,electronics,222,636,209.65,246.86,3,413.2,0.548
37,SUP0322,BUY0589,textiles,1804,1627,37.66,44.16,5,434.2,0.908
38,SUP0093,BUY0249,grain,1935,3761,33.04,37.17,1,373.9,0.518
39,SUP0459,BUY0418,textiles,4642,1670,38.58,45.6,5,199.6,1.29
40,SUP0269,BUY0069,chemicals,950,1803,73.24,84.93,2,298.7,0.595
41,SUP0063,BUY0168,chemicals,4753,2862,59.79,71.2,1,68.9,1.011
42,SUP0366,BUY0041,textiles,1361,574,32.62,30.71,4,473.9,0.908
43,SUP0059,BUY0668,chemicals,331,576,188.62,222.22,5,201.7,0.791
44,SUP0293,BUY0594,textiles,527,3762,63.3,62.7,5,456.3,0.312
45,SUP0499,BUY0213,grain,4383,3635,43.4,44.92,1,75.6,0.849
46,SUP0007,BUY0388,chemicals,2007,3659,202.81,193.02,2,436.7,0.311
47,SUP0245,BUY0691,grain,2604,436,49.71,58.62,3,324.1,1.153
48,SUP0470,BUY0219,chemicals,1448,3139,124.23,114.67,3,365.5,0.352
49,SUP0017,BUY0611,chemicals,3379,3832,61.96,60.2,2,71.3,0.537
50,SUP0286,BUY0552,grain,2974,3106,42.66,49.06,3,406.2,0.763
51,SUP0110,BUY0135,chemicals,426,3970,126.16,138.87,4,315.7,0.543
52,SUP0275,BUY0039,steel,113,3733,87.6,106.55,4,245.0,0.537
53,SUP0323,BUY0540,steel,2679,1357,64.45,69.53,2,429.2,1.062
54,SUP0414,BUY0495,chemicals,230,3713,142.21,144.59,3,39.6,0.56
55,SUP0011,BUY0307,grain,2196,468,57.43,55.74,2,453.9,0.814
56,SUP0442,BUY0419,grain,1347,3530,39.79,46.71,4,244.7,0.66
57,SUP0301,BUY0351,grain,4077,2910,37.43,40.37,1,104.4,0.909
58,SUP0359,BUY0380,chemicals,728,2326,143.93,164.42,1,491.6,0.412
59,SUP0341,BUY0661,grain,3984,1479,43.78,48.74,2,400.4,1.08
60,SUP0335,BUY0088,grain,2425,1842,51.96,52.22,3,186.1,0.955
61,SUP0220,BUY0698,steel,3546,749,115.68,128.9,1,409.5,1.027
62,SUP0484,BUY0326,grain,953,2487,26.15,25.91,2,215.5,0.319
63,SUP0485,BUY0311,electronics,3625,1360,267.1,271.86,4,19.6,1.294
64,SUP0261,BUY0231,steel,4759,3326,118.04,122.49,5,421.1,1.024
65,SUP0478,BUY0571,steel,2965,1019,50.19,47.82,3,119.0,0.964
66,SUP0457,BUY0458,textiles,3041,1270,30.03,32.67,4,453.0,1.164
67,SUP0050,BUY0297,steel,3570,1476,110.19,106.88,2,290.3,0.863
68,SUP0424,BUY0660,electronics,1625,2881,304.34,333.02,2,92.1,0.67
69,SUP0368,BUY0351,grain,3946,1318,26.98,30.85,1,357.2,1.043
70,SUP0451,BUY0265,grain,2466,2413,62.57,63.56,1,371.2,0.696
71,SUP0109,BUY0028,steel,4848,2812,96.55,100.97,2,351.0,0.998
72,SUP0166,BUY0116,steel,4935,827,50.58,59.92,2,261.5,1.122
73,SUP0107,BUY0150,steel,3073,2689,114.35,121.47,4,329.7,0.901
74,SUP0093,BUY0103,chemicals,4165,2177,131.32,145.58,3,422.9,1.093
75,SUP0203,BUY0059,textiles,2874,1755,75.77,82.84,1,339.5,0.921
76,SUP0146,BUY0026,textiles,2031,144,35.5,36.07,4,454.0,1.164
77,SUP0344,BUY0164,grain,1922,3475,45.36,51.12,2,66.4,0.674
78,SUP0328,BUY0665,electronics,595,636,214.04,268.85,4,127.4,0.889
79,SUP0210,BUY0489,textiles,4043,208,46.25,45.24,2,340.5,0.848
80,SUP0144,BUY0184,textiles,1978,655,67.47,77.64,2,99.7,1.17
81,SUP0427,BUY0268,chemicals,373,1793,124.44,132.03,4,390.5,0.556
82,SUP0405,BUY0263,steel,3198,1450,98.24,99.86,1,311.2,1.057
83,SUP0372,BUY0271,textiles,1237,2838,66.2,63.21,1,398.3,0.233
84,SUP0180,BUY0364,chemicals,3286,603,57.81,62.63,4,302.4,1.209
85,SUP0225,BUY0031,grain,2017,3960,43.4,44.36,1,196.0,0.569
86,SUP0123,BUY0517,grain,3981,381,45.68,46.63,4,179.3,1.246
87,SUP0115,BUY0617,textiles,1039,3790,75.58,82.49,2,484.2,0.451
88,SUP0458,BUY0004,chemicals,429,953,150.13,141.33,4,407.6,0.385
89,SUP0131,BUY0209,chemicals,3696,2026,67.99,70.16,5,396.1,1.17
90,SUP0321,BUY0683,textiles,2755,1546,49.9,59.57,1,117.1,1.039
91,SUP0215,BUY0151,textiles,3645,2406,59.71,65.66,2,291.5,0.943
92,SUP0398,BUY0345,electronics,2511,2138,168.79,199.53,5,498.4,0.912
93,SUP0319,BUY0069,textiles,2821,3656,49.43,54.52,5,224.5,0.853
94,SUP0437,BUY0689,textiles,3301,3109,42.92,43.82,1,392.7,0.704
95,SUP0015,BUY0319,steel,3261,393,110.27,109.96,3,87.8,0.974
96,SUP0476,BUY0658,electronics,2531,3797,147.49,147.98,3,229.5,0.714
97,SUP0296,BUY0306,grain,3000,3711,52.1,59.73,1,114.4,0.699
98,SUP0416,BUY0064,textiles,2988,1774,87.16,86.51,4,322.9,0.843
99,SUP0022,BUY0391,chemicals,3224,2966,156.02,148.42,1,257.8,0.503
100,SUP0080,BUY0650,electronics,2582,3041,137.93,131.8,2,8.3,0.545
101,SUP0178,BUY0321,steel,4567,3334,72.1,76.59,2,276.0,0.897
102,SUP0379,BUY0157,textiles,1162,2380,43.22,44.33,1,356.8,0.514
103,SUP0488,BUY0307,textiles,1759,639,34.17,37.13,5,189.3,1.293
104,SUP0383,BUY0292,electronics,266,1087,215.12,224.29,2,356.3,0.479
105,SUP0110,BUY0001,steel,4688,3592,110.29,117.82,2,363.3,0.848
106,SUP0239,BUY0668,grain,1141,350,54.55,58.17,4,57.1,1.283
107,SUP0267,BUY0584,grain,4993,1741,27.25,32.09,3,123.7,1.213
108,SUP0216,BUY0433,grain,1804,1928,47.6,48.73,3,254.7,0.801
109,SUP0359,BUY0463,steel,2090,3864,66.18,81.24,1,396.7,0.52
110,SUP0083,BUY0037,textiles,3970,1965,49.3,52.7,1,468.4,1.009
111,SUP0473,BUY0611,textiles,2314,3188,77.74,90.24,5,384.3,0.789
112,SUP0327,BUY0291,steel,2935,276,48.03,53.37,4,201.8,1.239
113,SUP0488,BUY0033,electronics,620,3032,220.12,241.31,3,13.2,0.618
114,SUP0356,BUY0009,steel,4243,3826,95.41,92.3,2,154.9,0.592
115,SUP0418,BUY0634,electronics,2981,1122,289.27,330.17,2,128.9,1.161
116,SUP0416,BUY0610,textiles,568,2698,81.51,83.79,2,284.2,0.488
117,SUP0204,BUY0449,grain,256,1111,40.36,39.04,5,443.5,0.348
118,SUP0360,BUY0238,steel,1977,3617,86.6,96.83,3,395.5,0.623
119,SUP0065,BUY0313,textiles,2875,3708,29.31,35.77,4,394.1,0.753
120,SUP0325,BUY0379,electronics,2869,2042,240.42,260.82,2,37.6,0.98
121,SUP0421,BUY0689,grain,3503,2593,30.09,36.7,2,13.9,0.969
122,SUP0486,BUY0145,grain,3969,2634,36.36,40.31,4,279.3,1.044
123,SUP0323,BUY0312,grain,2303,1269,37.44,44.05,5,187.0,1.229
124,SUP0057,BUY0578,grain,4948,1227,32.03,37.9,4,469.8,1.159
125,SUP0419,BUY0344,electronics,3184,3576,144.91,147.62,3,299.2,0.772
126,SUP0406,BUY0101,steel,404,516,79.11,86.17,3,242.4,0.751
127,SUP0381,BUY0433,textiles,3890,390,87.79,99.58,3,192.5,1.192
128,SUP0205,BUY0061,textiles,761,1548,82.57,87.89,1,394.7,0.504
129,SUP0380,BUY0180,grain,2177,3289,21.85,21.12,4,462.7,0.443
130,SUP0095,BUY0346,steel,2971,78,104.29,102.14,4,55.2,1.033
131,SUP0387,BUY0082,electronics,407,693,218.3,208.59,1,294.2,0.317
132,SUP0310,BUY0324,grain,4111,2155,22.3,25.79,3,462.6,1.079
133,SUP0433,BUY0213,electronics,2715,3162,288.76,318.59,5,399.4,0.831
134,SUP0137,BUY0295,chemicals,913,459,75.56,90.63,3,191.6,1.189
135,SUP0195,BUY0499,steel,4351,2280,88.78,104.73,4,85.7,1.242
136,SUP0420,BUY0170,electronics,1942,1100,120.44,125.87,2,178.9,1.064
137,SUP0436,BUY0229,electronics,748,109,231.39,258.84,4,287.0,1.214
138,SUP0241,BUY0528,textiles,1756,1047,35.5,42.6,3,471.7,0.996
139,SUP0268,BUY0656,grain,1883,2942,40.97,39.86,2,292.9,0.386
140,SUP0157,BUY0643,electronics,1014,3840,135.17,137.32,4,382.6,0.578
141,SUP0152,BUY0546,electronics,353,3934,238.8,278.64,2,158.4,0.484
142,SUP0487,BUY0670,chemicals,3952,3184,114.86,122.91,3,283.7,0.899
143,SUP0254,BUY0413,electronics,1033,528,285.87,271.07,1,112.6,0.851
144,SUP0155,BUY0685,chemicals,1744,1226,96.47,98.79,4,51.4,1.082
145,SUP0052,BUY0330,steel,4775,3772,90.18,92.96,4,384.9,0.928
146,SUP0198,BUY0315,steel,3371,2570,68.98,63.62,4,43.8,0.796
147,SUP0145,BUY0146,textiles,3939,1300,48.77,59.8,3,238.1,1.179
148,SUP0326,BUY0039,steel,175,3397,61.43,62.15,5,232.1,0.598
149,SUP0410,BUY0690,electronics,1183,3231,175.5,182.98,1,77.2,0.555
150,SUP0464,BUY0157,chemicals,4054,1858,144.1,154.78,5,238.1,1.279
151,SUP0439,BUY0071,grain,1961,412,30.33,30.63,2,153.7,1.154
152,SUP0188,BUY0376,chemicals,4102,1057,107.42,119.44,1,311.1,1.057
153,SUP0483,BUY0131,steel,4885,1623,77.11,74.34,2,224.5,0.883
154,SUP0290,BUY0219,textiles,1932,2368,77.67,83.92,4,360.5,0.777
155,SUP0286,BUY0665,textiles,1208,2677,65.89,72.5,1,256.3,0.531
156,SUP0106,BUY0122,electronics,3999,3793,199.93,217.19,3,362.8,0.81
157,SUP0061,BUY0015,textiles,3831,3270,66.1,68.6,1,243.5,0.787
158,SUP0374,BUY0666,grain,563,3736,29.26,34.99,2,148.7,0.508
159,SUP0486,BUY0286,electronics,2389,382,135.24,134.38,3,441.6,0.868
160,SUP0072,BUY0537,textiles,3881,2295,31.48,33.2,4,262.6,1.113
161,SUP0184,BUY0238,electronics,2197,1708,218.21,238.46,4,389.7,0.933
162,SUP0325,BUY0213,textiles,4727,2644,42.52,46.72,4,120.1,1.19
163,SUP0011,BUY0274,steel,287,1570,58.54,68.49,3,187.0,0.558
164,SUP0098,BUY0324,steel,2526,2376,52.89,65.59,2,399.6,0.752
165,SUP0201,BUY0259,electronics,4813,3664,100.49,113.68,5,253.7,1.034
166,SUP0241,BUY0460,chemicals,1551,1974,90.28,104.0,2,284.9,0.69
167,SUP0300,BUY0261,grain,509,2702,22.98,22.47,1,191.2,0.209
168,SUP0184,BUY0589,chemicals,2158,1614,45.7,51.07,4,402.9,0.947
169,SUP0044,BUY0564,grain,4161,497,27.81,32.55,3,312.3,1.156
170,SUP0340,BUY0552,textiles,2974,2318,65.35,73.32,5,366.6,0.989
171,SUP0247,BUY0699,chemicals,465,3948,97.66,92.74,5,291.9,0.354
172,SUP0310,BUY0524,grain,4416,1321,28.92,28.67,1,160.5,0.852
173,SUP0160,BUY0204,textiles,1311,1593,73.19,79.71,2,71.2,0.767
174,SUP0210,BUY0560,grain,3513,1546,34.93,33.48,4,157.2,1.003
175,SUP0107,BUY0027,electronics,4363,3509,127.11,149.11,1,449.5,0.75
176,SUP0071,BUY0616,electronics,2098,993,178.39,189.87,1,369.2,1.039
177,SUP0187,BUY0046,chemicals,371,3668,101.25,101.36,5,174.1,0.633
178,SUP0215,BUY0254,electronics,555,3850,202.41,256.41,5,337.8,0.599
179,SUP0186,BUY0475,electronics,1734,2725,183.99,204.3,5,316.4,0.778
180,SUP0299,BUY0379,steel,4008,389,105.19,115.24,2,24.6,1.193
181,SUP0300,BUY0036,grain,1513,3517,52.77,58.72,5,360.8,0.692
182,SUP0066,BUY0559,electronics,2315,2044,163.23,170.82,4,185.5,0.941
183,SUP0360,BUY0036,steel,1704,245,106.61,115.95,4,425.4,1.172
184,SUP0491,BUY0591,electronics,591,2047,192.87,212.18,4,469.0,0.56
185,SUP0148,BUY0438,electronics,2135,949,290.11,294.04,1,289.3,1.063
186,SUP0136,BUY0485,textiles,62,3544,33.91,36.98,5,227.6,0.588
187,SUP0474,BUY0151,chemicals,2438,113,143.48,151.3,4,358.6,1.192
188,SUP0287,BUY0142,grain,3843,2733,34.42,32.72,3,347.8,0.688
189,SUP0221,BUY0044,steel,445,752,90.7,91.52,4,107.7,0.775
190,SUP0426,BUY0195,chemicals,2022,2416,122.59,112.28,3,219.6,0.527
191,SUP0180,BUY0267,electronics,180,1197,189.16,184.02,1,268.1,0.172
192,SUP0083,BUY0384,steel,4553,728,58.87,65.02,1,198.2,1.091
193,SUP0372,BUY0426,grain,1371,3543,26.54,29.44,5,152.7,0.74
194,SUP0170,BUY0053,steel,3904,1986,100.87,112.25,1,242.0,1.065
195,SUP0099,BUY0034,textiles,4804,1258,63.44,73.74,4,144.7,1.257
196,SUP0348,BUY0034,electronics,4166,265,101.68,99.24,1,153.4,0.854
197,SUP0048,BUY0561,chemicals,4497,2879,177.23,192.8,1,412.2,0.873
198,SUP0042,BUY0008,grain,3675,3626,61.34,59.85,1,242.8,0.482
199,SUP0454,BUY0341,chemicals,1499,2746,103.53,111.99,2,394.1,0.573
200,SUP0225,BUY0389,chemicals,3786,1793,128.68,130.87,4,128.8,1.261
201,SUP0280,BUY0653,steel,3363,2916,109.48,109.55,5,14.1,1.049
202,SUP0242,BUY0501,chemicals,1492,2755,108.76,120.26,5,5.5,0.838
203,SUP0062,BUY0311,grain,4128,2652,25.85,28.71,2,462.4,0.906
204,SUP0330,BUY0174,chemicals,3349,1313,149.76,173.09,4,89.4,1.273
205,SUP0376,BUY0650,electronics,1317,677,215.84,230.91,2,265.5,1.101
206,SUP0340,BUY0381,electronics,3723,1593,266.52,308.68,3,56.2,1.233
207,SUP0149,BUY0604,textiles,3047,578,49.66,54.22,4,456.0,1.163
208,SUP0399,BUY0520,chemicals,1888,1122,166.92,159.75,3,9.1,0.886
209,SUP0431,BUY0580,textiles,1692,2755,30.8,31.74,2,437.1,0.584
210,SUP0208,BUY0168,grain,486,1818,21.06,20.23,4,215.2,0.379
211,SUP0074,BUY0178,electronics,2976,1387,197.19,225.97,4,433.9,1.17
212,SUP0475,BUY0353,textiles,4172,2471,52.67,56.96,2,31.0,1.082
213,SUP0213,BUY0353,grain,4664,2062,43.18,47.84,2,257.0,1.123
214,SUP0112,BUY0014,textiles,1635,2558,58.39,62.42,5,422.3,0.747
215,SUP0072,BUY0277,electronics,1873,965,161.45,152.78,5,95.4,1.051
216,SUP0132,BUY0499,textiles,3416,3796,43.51,45.79,5,310.4,0.872
217,SUP0324,BUY0595,chemicals,3545,3066,182.91,202.61,4,155.0,0.958
218,SUP0463,BUY0455,textiles,1506,210,66.56,73.57,3,144.9,1.207
219,SUP0141,BUY0150,grain,2324,3621,32.53,36.76,4,31.5,0.815
220,SUP0290,BUY0329,steel,3183,3667,98.43,106.36,2,385.1,0.688
221,SUP0464,BUY0635,textiles,2211,2989,83.91,81.64,5,125.8,0.621
222,SUP0316,BUY0386,steel,362,2923,82.3,93.47,4,180.5,0.589
223,SUP0082,BUY0592,electronics,2142,1299,215.57,246.55,3,495.3,0.979
224,SUP0375,BUY0076,steel,551,3014,40.16,43.45,4,325.7,0.566
225,SUP0319,BUY0433,textiles,2383,1520,73.22,80.26,5,4.3,1.197
226,SUP0051,BUY0517,electronics,279,730,208.32,203.87,2,176.1,0.331
227,SUP0083,BUY0115,chemicals,1901,1336,97.08,97.84,2,112.2,0.964
228,SUP0426,BUY0196,grain,1001,892,46.81,49.55,1,135.4,0.802
229,SUP0002,BUY0615,grain,429,977,40.91,48.92,3,143.6,0.661
230,SUP0395,BUY0598,electronics,3346,3923,114.48,123.0,1,51.8,0.733
231,SUP0303,BUY0329,chemicals,1521,1387,56.08,60.49,4,353.1,0.878
232,SUP0263,BUY0537,steel,1941,1085,62.5,70.94,3,274.6,1.094
233,SUP0231,BUY0068,chemicals,4188,1609,109.18,113.17,2,115.8,1.165
234,SUP0221,BUY0390,steel,4430,2508,107.77,117.02,1,428.8,0.94
235,SUP0427,BUY0656,electronics,2186,2239,170.68,191.36,4,207.0,0.88
236,SUP0205,BUY0231,grain,4724,1680,40.2,38.86,1,351.3,0.795
237,SUP0384,BUY0039,electronics,4636,64,78.61,95.92,4,161.7,1.251
238,SUP0364,BUY0080,electronics,427,3006,202.79,234.49,3,106.8,0.568
239,SUP0216,BUY0353,electronics,2628,2540,249.68,269.22,2,134.4,0.822
240,SUP0109,BUY0559,steel,805,3888,86.54,87.21,1,121.1,0.486
241,SUP0091,BUY0216,chemicals,408,3658,186.87,181.94,2,105.1,0.258
242,SUP0447,BUY0252,chemicals,2381,1783,111.86,132.99,2,74.4,0.945
243,SUP0330,BUY0619,chemicals,3651,1745,133.19,130.21,3,75.9,0.977
244,SUP0299,BUY0197,electronics,1300,3937,268.49,273.38,3,238.9,0.594
245,SUP0426,BUY0621,steel,419,3911,113.41,134.52,2,48.0,0.523
246,SUP0078,BUY0285,textiles,2069,1752,39.14,35.96,3,378.4,0.6
247,SUP0050,BUY0053,electronics,1295,2136,263.49,293.28,2,364.6,0.603
248,SUP0047,BUY0494,textiles,3620,1626,49.45,56.54,2,226.6,1.132
249,SUP0122,BUY0683,electronics,4461,3232,110.07,111.36,2,24.4,0.976
250,SUP0480,BUY0528,chemicals,2865,3471,164.21,163.21,4,105.6,0.607
251,SUP0319,BUY0230,steel,2788,911,86.32,81.92,3,85.9,0.974
252,SUP0484,BUY0117,steel,99,3401,54.58,50.57,2,105.3,0.229
253,SUP0493,BUY0425,electronics,270,844,247.31,231.0,3,249.7,0.337
254,SUP0095,BUY0287,steel,4724,2315,46.5,53.9,4,154.0,1.254
255,SUP0047,BUY0322,electronics,2116,1585,151.31,167.67,3,161.8,0.969
256,SUP0312,BUY0377,steel,1087,179,85.54,94.83,4,14.7,1.296
257,SUP0294,BUY0323,textiles,1796,1827,30.54,31.63,1,282.0,0.709
258,SUP0370,BUY0290,textiles,412,2557,30.18,30.25,1,52.6,0.491
259,SUP0100,BUY0122,electronics,656,738,176.21,186.56,4,190.1,0.854
260,SUP0443,BUY0289,grain,1274,2634,35.09,38.58,5,266.7,0.739
261,SUP0188,BUY0013,electronics,3736,2829,260.28,265.34,3,302.6,0.921
262,SUP0348,BUY0019,grain,1361,3374,49.92,59.32,1,303.2,0.5
263,SUP0056,BUY0425,textiles,1927,1530,59.91,66.47,5,409.2,0.968
264,SUP0202,BUY0020,chemicals,1722,1844,146.55,166.99,3,470.9,0.736
265,SUP0218,BUY0246,steel,1530,3337,56.67,54.19,4,143.7,0.467
266,SUP0312,BUY0256,electronics,3613,511,91.59,100.6,5,120.2,1.314
267,SUP0082,BUY0563,electronics,969,3882,208.35,233.71,4,424.0,0.56
268,SUP0402,BUY0409,grain,1359,245,57.79,59.07,1,152.9,1.104
269,SUP0183,BUY0543,electronics,4772,998,194.63,188.72,5,69.2,1.079
270,SUP0124,BUY0053,grain,804,1852,48.11,49.78,4,184.2,0.697
271,SUP0249,BUY0593,electronics,3515,177,309.71,320.44,4,111.8,1.266
272,SUP0339,BUY0166,chemicals,2390,3281,104.92,104.82,1,470.7,0.314
273,SUP0135,BUY0024,electronics,4136,3809,190.86,200.29,3,377.7,0.817
274,SUP0396,BUY0630,chemicals,3685,851,187.82,175.66,4,317.5,0.955
275,SUP0414,BUY0461,textiles,2592,3849,70.21,73.58,2,153.3,0.69
276,SUP0156,BUY0149,textiles,1045,897,54.32,55.58,2,38.7,0.896
277,SUP0381,BUY0350,grain,4388,3334,46.19,50.88,3,157.1,0.964
278,SUP0479,BUY0243,grain,1940,499,58.03,58.29,4,193.6,1.242
279,SUP0216,BUY0186,electronics,1814,3104,157.58,160.75,3,156.6,0.708
280,SUP0460,BUY0561,textiles,1349,208,83.26,82.09,1,281.6,0.816
281,SUP0325,BUY0246,textiles,3267,1468,59.75,59.74,1,80.8,0.876
282,SUP0485,BUY0024,steel,1029,3230,45.46,49.81,3,271.8,0.58
283,SUP0304,BUY0300,chemicals,3433,3923,55.21,63.1,3,400.7,0.736
284,SUP0250,BUY0394,chemicals,4019,2879,143.63,172.96,2,81.3,0.964
285,SUP0275,BUY0383,electronics,761,1844,161.97,180.99,2,157.8,0.597
286,SUP0078,BUY0615,steel,3144,3002,41.89,42.54,3,127.3,0.878
287,SUP0219,BUY0422,electronics,3173,1862,83.58,85.36,2,52.4,1.081
288,SUP0321,BUY0257,electronics,188,3184,158.29,187.71,1,469.6,0.33
289,SUP0259,BUY0168,electronics,302,477,187.47,183.93,1,403.1,0.301
290,SUP0404,BUY0374,textiles,1262,1643,76.14,78.01,4,322.1,0.772
291,SUP0333,BUY0546,steel,2838,2777,76.31,83.45,4,108.0,0.925
292,SUP0340,BUY0334,steel,1608,1823,94.93,102.5,5,234.9,0.888
293,SUP0180,BUY0077,chemicals,3115,1547,53.06,60.69,1,408.5,1.027
294,SUP0431,BUY0397,electronics,713,3072,187.05,185.65,5,392.0,0.364
295,SUP0043,BUY0022,steel,3090,255,98.13,103.45,4,118.7,1.264
296,SUP0490,BUY0274,electronics,67,1208,202.89,235.72,3,408.4,0.447
297,SUP0016,BUY0185,textiles,254,1043,47.63,48.63,4,83.7,0.66
298,SUP0298,BUY0687,steel,2401,488,88.16,84.72,3,258.3,0.923
299,SUP0029,BUY0023,chemicals,2940,3814,101.82,117.68,4,33.8,0.86
300,SUP0113,BUY0478,grain,1419,415,42.75,44.27,1,142.3,1.107
301,SUP0210,BUY0265,electronics,1015,1096,124.92,150.73,1,483.0,0.629
302,SUP0416,BUY0381,chemicals,1508,2680,187.09,188.27,1,131.4,0.608
303,SUP0456,BUY0221,chemicals,4663,528,98.2,109.74,1,89.0,1.123
304,SUP0020,BUY0351,textiles,1573,444,89.31,95.39,4,469.4,1.159
305,SUP0142,BUY0560,chemicals,3692,1738,146.4,158.83,4,178.0,1.247
306,SUP0067,BUY0213,steel,4313,2420,74.48,73.68,3,289.1,0.837
307,SUP0266,BUY0061,electronics,3076,1319,125.54,139.29,4,329.7,1.201
308,SUP0399,BUY0410,electronics,3849,3840,225.53,239.97,2,52.0,0.835
309,SUP0247,BUY0466,chemicals,3775,791,80.46,83.95,5,16.4,1.345
310,SUP0015,BUY0035,chemicals,571,486,51.97,52.87,4,67.3,0.991
311,SUP0327,BUY0006,electronics,4011,3773,169.2,193.6,2,404.8,0.751
312,SUP0172,BUY0696,steel,855,2284,44.8,45.58,2,403.4,0.51
313,SUP0463,BUY0314,grain,4353,1500,58.5,55.81,5,73.9,1.078
314,SUP0235,BUY0662,grain,2007,3329,55.97,65.93,5,329.7,0.762
315,SUP0031,BUY0062,steel,135,2369,75.99,86.0,2,279.8,0.436
316,SUP0312,BUY0093,steel,4047,2052,45.6,47.68,4,92.6,1.262
317,SUP0085,BUY0620,steel,1101,2431,78.06,84.43,3,43.9,0.695
318,SUP0029,BUY0387,chemicals,351,2159,136.3,163.88,2,481.7,0.412
319,SUP0099,BUY0034,grain,3269,560,49.52,54.33,4,257.7,1.223
320,SUP0455,BUY0195,grain,1203,2460,35.18,36.53,1,266.7,0.541
321,SUP0018,BUY0400,grain,2092,1321,46.62,49.28,2,404.2,0.933
322,SUP0029,BUY0600,steel,3967,1241,41.3,45.27,3,278.1,1.167
323,SUP0058,BUY0561,textiles,3671,108,90.29,96.17,4,286.4,1.214
324,SUP0164,BUY0440,steel,3410,2721,71.09,69.0,1,333.7,0.539
325,SUP0332,BUY0124,chemicals,3100,2384,160.78,167.33,5,445.8,0.971
326,SUP0333,BUY0415,electronics,3858,2279,154.04,149.78,2,381.5,0.728
327,SUP0140,BUY0341,grain,3073,2927,49.49,53.94,3,50.4,0.902
328,SUP0337,BUY0419,grain,4133,1825,42.31,53.32,5,355.0,1.244
329,SUP0435,BUY0651,chemicals,136,1202,134.97,150.81,2,356.3,0.433
330,SUP0446,BUY0437,electronics,1687,1922,158.68,178.18,2,92.1,0.78
331,SUP0243,BUY0307,chemicals,1967,831,139.17,162.93,5,166.7,1.3
332,SUP0178,BUY0677,electronics,3791,3547,90.27,94.13,4,414.0,0.85
333,SUP0389,BUY0596,steel,4497,2578,49.98,51.6,1,143.2,1.018
334,SUP0299,BUY0523,chemicals,1287,3730,124.15,128.83,1,431.9,0.441
335,SUP0116,BUY0048,textiles,2677,2057,83.07,90.14,2,313.9,0.861
