order_id,customer_id,area_code,order_time_min,promised_time_min,prep_time_min,penalty_score,order_value,rider_id_assigned,status
ORD00044,CUST0830,NODE_17,838,874,26,0.85,820,RID0001,CANCELLED
ORD00045,CUST0483,NODE_20,559,601,25,0.62,350,RID0008,DELIVERED
ORD00046,CUST1158,NODE_30,946,973,12,1.72,530,-1,OUT_FOR_DELIVERY
ORD00047,CUST1466,NODE_20,198,223,19,1.77,833,RID0021,COOKING
ORD00048,CUST0692,NODE_22,336,361,15,0.73,351,RID0025,OUT_FOR_DELIVERY
ORD00049,CUST0317,NODE_27,472,513,22,1.82,344,-1,DELIVERED
ORD00050,CUST0737,NODE_16,666,696,18,1.04,196,RID0012,COOKING
ORD00051,CUST0184,NODE_14,469,514,14,1.82,493,RID0013,CANCELLED
ORD00052,CUST1672,NODE_06,1259,1290,32,1.78,718,-1,PENDING
ORD00053,CUST0580,NODE_11,1045,1087,22,1.54,838,RID0004,CANCELLED
ORD00054,CUST1372,NODE_23,1298,1332,24,1.43,268,RID0024,PENDING
ORD00055,CUST1168,NODE_25,1251,1276,34,1.35,597,-1,CANCELLED
ORD00056,CUST1027,NODE_23,577,602,17,0.51,492,RID0017,COOKING
ORD00057,CUST0128,NODE_10,404,438,18,1.22,274,RID0026,DELIVERED
ORD00058,CUST1032,NODE_07,1199,1245,20,1.35,160,-1,CANCELLED
ORD00059,CUST0897,NODE_14,1233,1276,27,1.51,505,RID0010,CANCELLED
ORD00060,CUST1627,NODE_16,1348,1395,30,0.96,664,-1,PENDING
ORD00061,CUST1481,NODE_11,521,559,29,0.94,339,RID0013,COOKING
ORD00062,CUST0336,NODE_20,929,964,14,1.35,566,-1,CANCELLED
ORD00063,CUST1161,NODE_27,419,467,34,0.87,171,RID0020,CANCELLED
ORD00064,CUST0052,NODE_30,1331,1377,23,1.02,794,RID0006,OUT_FOR_DELIVERY
ORD00065,CUST0020,NODE_27,105,142,28,1.19,641,RID0024,DELIVERED
ORD00066,CUST1856,NODE_02,235,263,15,1.71,473,RID0019,COOKING
ORD00067,CUST0466,NODE_03,456,496,13,1.96,164,-1,OUT_FOR_DELIVERY
ORD00068,CUST1671,NODE_18,752,790,33,1.02,804,-1,COOKING
ORD00069,CUST0296,NODE_18,20,67,31,1.2,189,-1,PENDING
ORD00070,CUST1684,NODE_21,665,700,32,0.91,193,RID0024,COOKING
ORD00071,CUST1177,NODE_27,532,567,27,1.82,280,RID0007,CANCELLED
ORD00072,CUST0470,NODE_04,281,312,34,1.6,331,RID0022,CANCELLED
ORD00073,CUST1012,NODE_23,581,621,16,0.65,512,-1,OUT_FOR_DELIVERY
ORD00074,CUST1328,NODE_02,129,171,30,0.74,806,-1,COOKING
ORD00075,CUST0968,NODE_02,607,640,19,0.87,580,-1,PENDING
ORD00076,CUST1259,NODE_25,482,510,12,0.95,884,RID0018,OUT_FOR_DELIVERY
ORD00077,CUST1042,NODE_02,763,807,19,1.58,342,RID0024,CANCELLED
ORD00078,CUST1527,NODE_24,1067,1095,20,1.61,445,RID0016,DELIVERED
ORD00079,CUST0529,NODE_09,841,883,32,0.92,838,-1,CANCELLED
ORD00080,CUST0617,NODE_17,1122,1168,19,0.67,324,-1,PENDING
ORD00081,CUST0462,NODE_28,819,853,16,1.39,537,-1,PENDING
ORD00082,CUST1267,NODE_14,297,330,21,0.8,267,RID0002,PENDING
ORD00083,CUST1531,NODE_21,699,732,29,1.4,423,-1,OUT_FOR_DELIVERY
ORD00084,CUST1992,NODE_18,822,862,18,1.39,632,RID0020,OUT_FOR_DELIVERY
ORD00085,CUST1075,NODE_13,739,786,14,0.94,842,RID0028,OUT_FOR_DELIVERY
ORD00086,CUST0807,NODE_09,1355,1405,29,0.51,503,RID0021,PENDING
ORD00087,CUST1159,NODE_20,134,169,26,1.05,477,-1,OUT_FOR_DELIVERY
ORD00088,CUST0253,NODE_23,558,593,23,1.87,570,-1,PENDING
ORD00089,CUST1443,NODE_12,741,781,25,1.5,621,RID0020,COOKING
ORD00090,CUST0289,NODE_29,1270,1313,19,0.91,477,-1,CANCELLED
ORD00091,CUST1914,NODE_06,316,358,32,1.21,843,-1,COOKING
ORD00092,CUST0743,NODE_09,838,869,15,1.66,793,-1,PENDING
ORD00093,CUST1094,NODE_03,1177,1212,30,1.96,587,RID0017,PENDING
ORD00094,CUST1439,NODE_01,1039,1066,15,1.06,873,RID0016,CANCELLED
ORD00095,CUST1193,NODE_15,965,1008,28,1.23,202,RID0013,COOKING
ORD00096,CUST1428,NODE_28,366,413,27,1.27,589,RID0004,DELIVERED
ORD00097,CUST0638,NODE_27,297,332,14,1.31,566,RID0022,OUT_FOR_DELIVERY
ORD00098,CUST0852,NODE_14,962,997,18,0.94,501,RID0029,CANCELLED
ORD00099,CUST1812,NODE_12,1277,1324,30,1.69,520,RID0022,PENDING
ORD00100,CUST0603,NODE_02,138,182,15,0.54,603,-1,CANCELLED
ORD00101,CUST0856,NODE_28,1325,1360,35,0.88,266,RID0008,DELIVERED
ORD00102,CUST1112,NODE_17,1372,1421,28,1.35,377,-1,CANCELLED
ORD00103,CUST1186,NODE_03,424,462,23,0.89,522,RID0002,DELIVERED
ORD00104,CUST1941,NODE_25,414,451,24,0.6,705,RID0001,COOKING
ORD00105,CUST0424,NODE_17,700,740,32,1.1,890,-1,DELIVERED
ORD00106,CUST1505,NODE_11,986,1014,26,1.25,455,RID0007,DELIVERED
ORD00107,CUST0169,NODE_18,1293,1328,14,1.88,372,RID0016,CANCELLED
ORD00108,CUST1408,NODE_18,796,842,30,1.27,182,RID0025,DELIVERED
ORD00109,CUST0515,NODE_18,855,885,31,1.62,631,RID0028,PENDING
ORD00110,CUST0511,NODE_11,135,166,23,0.8,866,-1,PENDING
ORD00111,CUST1767,NODE_27,1259,1309,34,1.48,371,-1,DELIVERED
ORD00112,CUST0073,NODE_27,80,113,16,1.87,319,-1,CANCELLED
ORD00113,CUST0391,NODE_18,796,840,19,0.69,410,-1,PENDING
ORD00114,CUST1070,NODE_15,108,133,14,1.25,303,-1,PENDING
ORD00115,CUST0764,NODE_14,636,664,16,0.86,458,-1,OUT_FOR_DELIVERY
ORD00116,CUST1120,NODE_06,135,161,31,1.49,492,-1,PENDING
ORD00117,CUST0794,NODE_03,373,420,25,1.77,518,RID0025,OUT_FOR_DELIVERY
ORD00118,CUST1471,NODE_12,1281,1309,32,0.97,249,RID0018,OUT_FOR_DELIVERY
ORD00119,CUST0030,NODE_28,1344,1381,33,0.98,304,RID0005,COOKING
ORD00120,CUST0434,NODE_24,842,884,17,1.61,683,RID0002,OUT_FOR_DELIVERY
ORD00121,CUST1194,NODE_12,813,838,18,0.67,890,RID0018,CANCELLED
ORD00122,CUST1951,NODE_28,1053,1084,17,0.87,718,RID0015,PENDING
ORD00123,CUST0138,NODE_12,973,1006,16,0.69,769,RID0029,CANCELLED
ORD00124,CUST0922,NODE_17,402,452,15,0.99,273,RID0010,PENDING
ORD00125,CUST0740,NODE_11,1135,1160,13,0.88,693,RID0003,COOKING
ORD00126,CUST0694,NODE_27,316,344,19,1.72,362,-1,COOKING
ORD00127,CUST0992,NODE_02,813,863,16,1.6,764,RID0015,DELIVERED
ORD00128,CUST1500,NODE_17,809,842,13,1.35,672,RID0025,OUT_FOR_DELIVERY
ORD00129,CUST1003,NODE_01,606,649,28,0.6,774,RID0015,CANCELLED
ORD00130,CUST1862,NODE_16,539,566,13,1.16,728,RID0017,COOKING
ORD00131,CUST0103,NODE_23,513,555,34,0.84,198,-1,CANCELLED
ORD00132,CUST0265,NODE_03,1373,1420,18,1.68,710,-1,DELIVERED
ORD00133,CUST0070,NODE_05,695,740,14,1.35,232,-1,PENDING
ORD00134,CUST1272,NODE_08,892,941,19,1.43,397,-1,DELIVERED
ORD00135,CUST0467,NODE_26,75,117,32,1.01,227,RID0030,PENDING
ORD00136,CUST0684,NODE_14,114,151,16,1.62,832,RID0018,CANCELLED
ORD00137,CUST0069,NODE_08,173,204,22,1.74,242,RID0003,OUT_FOR_DELIVERY
ORD00138,CUST1452,NODE_08,535,578,26,1.24,782,RID0017,OUT_FOR_DELIVERY
ORD00139,CUST1498,NODE_18,1008,1043,28,1.67,345,RID0029,COOKING
ORD00140,CUST0998,NODE_15,719,746,33,1.53,386,-1,COOKING
ORD00141,CUST1573,NODE_06,553,587,12,0.73,362,RID0006,PENDING
ORD00142,CUST0436,NODE_27,989,1036,21,1.23,773,RID0019,CANCELLED
ORD00143,CUST1490,NODE_30,390,423,15,1.08,499,-1,PENDING
ORD00144,CUST0117,NODE_05,945,980,29,0.66,297,RID0017,CANCELLED
ORD00145,CUST0981,NODE_13,48,88,31,0.52,654,-1,CANCELLED
ORD00146,CUST1241,NODE_26,479,511,34,0.63,403,-1,OUT_FOR_DELIVERY
ORD00147,CUST0645,NODE_21,74,114,31,1.45,511,-1,PENDING
ORD00148,CUST1071,NODE_29,815,841,22,1.59,726,RID0021,DELIVERED
ORD00149,CUST1196,NODE_20,1246,1285,23,1.72,772,RID0028,CANCELLED
ORD00150,CUST1387,NODE_09,1225,1251,15,1.79,680,RID0008,DELIVERED
ORD00151,CUST0554,NODE_03,998,1041,26,1.94,339,-1,OUT_FOR_DELIVERY
ORD00152,CUST0678,NODE_21,435,480,13,1.91,409,RID0026,CANCELLED
ORD00153,CUST1628,NODE_27,23,62,28,1.09,575,-1,CANCELLED
ORD00154,CUST1216,NODE_04,405,436,34,1.37,689,-1,DELIVERED
ORD00155,CUST0122,NODE_05,793,818,16,0.64,780,RID0011,CANCELLED
ORD00156,CUST1353,NODE_29,950,986,31,1.34,352,RID0008,PENDING
ORD00157,CUST1751,NODE_02,1115,1162,30,1.5,547,RID0006,DELIVERED
ORD00158,CUST0878,NODE_13,900,937,19,0.99,546,-1,COOKING
ORD00159,CUST0492,NODE_26,59,93,21,1.59,262,RID0029,CANCELLED
ORD00160,CUST0461,NODE_03,350,384,33,1.9,751,-1,COOKING
ORD00161,CUST0965,NODE_12,889,915,18,0.72,184,RID0021,DELIVERED
ORD00162,CUST0570,NODE_26,1103,1146,15,1.04,595,RID0024,PENDING
ORD00163,CUST0462,NODE_24,8,43,25,0.75,230,RID0029,OUT_FOR_DELIVERY
ORD00164,CUST1737,NODE_06,372,406,35,0.75,280,RID0015,OUT_FOR_DELIVERY
ORD00165,CUST0924,NODE_13,71,117,27,0.83,320,-1,OUT_FOR_DELIVERY
ORD00166,CUST1473,NODE_28,1160,1206,22,1.94,866,RID0028,CANCELLED
ORD00167,CUST0016,NODE_01,171,215,14,0.52,150,-1,CANCELLED
ORD00168,CUST1408,NODE_10,853,892,24,1.54,738,RID0006,COOKING
ORD00169,CUST0598,NODE_19,184,212,35,1.08,197,-1,COOKING
ORD00170,CUST0244,NODE_10,862,909,27,0.66,325,-1,COOKING
ORD00171,CUST0591,NODE_15,182,230,30,1.42,821,RID0016,COOKING
ORD00172,CUST1311,NODE_01,1063,1090,27,1.51,173,-1,COOKING
ORD00173,CUST1643,NODE_14,470,509,28,0.78,740,RID0021,PENDING
ORD00174,CUST1291,NODE_12,430,466,23,1.3,666,-1,DELIVERED
ORD00175,CUST1306,NODE_15,831,857,29,1.21,222,-1,PENDING
ORD00176,CUST1240,NODE_03,837,886,25,1.73,651,-1,PENDING
ORD00177,CUST1139,NODE_19,944,976,14,1.9,446,RID0030,COOKING
ORD00178,CUST1625,NODE_10,170,215,20,0.59,521,RID0027,COOKING
ORD00179,CUST0991,NODE_26,1063,1109,28,1.18,752,RID0001,CANCELLED
ORD00180,CUST0113,NODE_30,1217,1242,18,0.55,413,RID0004,COOKING
ORD00181,CUST1371,NODE_10,473,506,26,1.17,390,RID0028,PENDING
ORD00182,CUST1219,NODE_10,328,356,35,1.17,620,RID0012,DELIVERED
ORD00183,CUST1904,NODE_28,395,438,14,1.14,431,RID0027,DELIVERED
ORD00184,CUST1913,NODE_06,1153,1189,29,1.47,428,RID0001,PENDING
ORD00185,CUST0302,NODE_14,1303,1328,31,1.95,169,RID0026,OUT_FOR_DELIVERY
ORD00186,CUST1779,NODE_18,135,161,27,1.55,852,RID0005,COOKING
ORD00187,CUST1652,NODE_20,1144,1189,32,1.94,305,-1,DELIVERED
ORD00188,CUST1782,NODE_18,537,585,14,1.78,777,RID0026,CANCELLED
ORD00189,CUST1593,NODE_25,1251,1280,35,1.36,390,RID0004,COOKING
ORD00190,CUST0598,NODE_04,660,688,15,1.95,350,RID0025,OUT_FOR_DELIVERY
ORD00191,CUST0155,NODE_25,313,359,24,0.66,799,RID0006,PENDING
ORD00192,CUST1895,NODE_12,191,227,12,1.4,588,-1,CANCELLED
ORD00193,CUST1004,NODE_13,446,496,34,1.01,857,-1,COOKING
ORD00194,CUST0141,NODE_17,991,1033,33,1.43,417,RID0029,CANCELLED
ORD00195,CUST0470,NODE_05,1234,1269,35,1.8,184,RID0026,DELIVERED
ORD00196,CUST0094,NODE_24,139,182,27,1.67,635,-1,PENDING
ORD00197,CUST1250,NODE_26,453,482,29,1.66,261,RID0008,CANCELLED
ORD00198,CUST0108,NODE_09,363,397,25,0.76,633,-1,PENDING
ORD00199,CUST1893,NODE_19,182,209,30,0.78,178,-1,PENDING
ORD00200,CUST0908,NODE_11,123,157,22,0.51,473,-1,OUT_FOR_DELIVERY
ORD00201,CUST1142,NODE_01,311,338,34,1.78,167,RID0018,OUT_FOR_DELIVERY
ORD00202,CUST1293,NODE_12,1027,1052,23,1.76,206,-1,CANCELLED
ORD00203,CUST1164,NODE_17,1040,1077,17,1.43,894,RID0013,PENDING
ORD00204,CUST0546,NODE_22,800,827,35,1.17,611,RID0013,CANCELLED
ORD00205,CUST1397,NODE_12,919,955,29,1.84,511,RID0025,CANCELLED
ORD00206,CUST0756,NODE_07,285,317,27,0.81,246,-1,CANCELLED
ORD00207,CUST1919,NODE_21,73,102,17,0.9,467,RID0008,COOKING
ORD00208,CUST0214,NODE_15,847,895,28,1.16,338,RID0029,DELIVERED
ORD00209,CUST0632,NODE_08,156,181,22,0.86,538,-1,PENDING
ORD00210,CUST0160,NODE_03,248,282,32,0.89,554,RID0023,CANCELLED
ORD00211,CUST1688,NODE_11,511,542,34,1.73,236,RID0001,PENDING
ORD00212,CUST0476,NODE_05,10,38,24,0.68,619,RID0027,OUT_FOR_DELIVERY
ORD00213,CUST1529,NODE_18,703,745,18,1.02,695,RID0005,PENDING
ORD00214,CUST1113,NODE_24,1129,1169,25,1.05,244,RID0009,DELIVERED
ORD00215,CUST0340,NODE_28,230,276,15,1.58,202,RID0011,OUT_FOR_DELIVERY
ORD00216,CUST1033,NODE_16,872,903,24,1.13,682,RID0021,OUT_FOR_DELIVERY
ORD00217,CUST1126,NODE_11,537,585,35,1.13,695,RID0003,DELIVERED
ORD00218,CUST0209,NODE_14,275,322,33,0.77,612,RID0028,PENDING
ORD00219,CUST0977,NODE_01,748,773,35,1.01,464,RID0015,PENDING
ORD00220,CUST0343,NODE_16,154,182,34,1.05,546,-1,PENDING
ORD00221,CUST1737,NODE_30,107,152,23,1.68,277,-1,COOKING
ORD00222,CUST1198,NODE_03,677,711,12,0.7,488,RID0029,CANCELLED
ORD00223,CUST0416,NODE_01,7,35,32,1.75,461,-1,OUT_FOR_DELIVERY
ORD00224,CUST0107,NODE_16,1102,1152,13,1.64,612,RID0022,PENDING
ORD00225,CUST1600,NODE_15,905,955,19,1.76,379,RID0015,CANCELLED
ORD00226,CUST0329,NODE_10,573,617,14,1.83,806,RID0023,PENDING
ORD00227,CUST0878,NODE_28,870,902,23,1.79,369,RID0006,DELIVERED
ORD00228,CUST1769,NODE_26,475,504,34,1.15,658,RID0025,OUT_FOR_DELIVERY
ORD00229,CUST1149,NODE_26,370,410,12,0.91,268,-1,DELIVERED
ORD00230,CUST0504,NODE_19,557,586,22,1.18,377,RID0024,DELIVERED
ORD00231,CUST1241,NODE_19,1145,1173,23,0.82,264,RID0013,PENDING
ORD00232,CUST1617,NODE_13,425,463,18,1.59,660,RID0023,DELIVERED
ORD00233,CUST1878,NODE_20,1124,1159,34,1.55,900,RID0009,OUT_FOR_DELIVERY
ORD00234,CUST1245,NODE_02,1313,1349,31,1.96,324,-1,CANCELLED
ORD00235,CUST1051,NODE_23,753,782,12,1.3,558,RID0019,COOKING
ORD00236,CUST0607,NODE_02,873,920,34,0.53,156,-1,CANCELLED
ORD00237,CUST0632,NODE_28,353,388,12,1.32,538,RID0022,PENDING
ORD00238,CUST1978,NODE_07,97,134,12,0.73,760,RID0016,PENDING
ORD00239,CUST0877,NODE_07,206,234,14,0.83,408,-1,COOKING
ORD00240,CUST1877,NODE_21,412,457,32,0.82,382,RID0012,COOKING
ORD00241,CUST0005,NODE_25,23,58,31,1.73,682,RID0010,PENDING
ORD00242,CUST0610,NODE_03,807,852,15,1.3,547,RID0005,PENDING
ORD00243,CUST0050,NODE_04,1227,1253,32,1.28,510,RID0006,CANCELLED
ORD00244,CUST0372,NODE_10,577,607,12,0.77,278,RID0017,COOKING
ORD00245,CUST0654,NODE_02,61,108,14,1.98,384,RID0004,DELIVERED
ORD00246,CUST0980,NODE_10,1291,1337,23,1.87,835,RID0015,DELIVERED
ORD00247,CUST1619,NODE_16,260,309,23,1.17,798,-1,PENDING
ORD00248,CUST0316,NODE_14,894,941,32,0.86,353,RID0027,OUT_FOR_DELIVERY
ORD00249,CUST0083,NODE_04,1362,1397,17,1.37,512,-1,COOKING
ORD00250,CUST0533,NODE_02,167,193,19,0.63,360,-1,OUT_FOR_DELIVERY
ORD00251,CUST0990,NODE_11,1096,1131,14,1.18,573,RID0007,CANCELLED
ORD00252,CUST0510,NODE_21,902,943,16,1.11,717,RID0021,COOKING
ORD00253,CUST0736,NODE_07,154,197,25,0.54,788,RID0021,DELIVERED
ORD00254,CUST1636,NODE_30,770,804,29,1.01,529,RID0012,PENDING
ORD00255,CUST1430,NODE_30,536,570,23,0.58,871,-1,PENDING
ORD00256,CUST0008,NODE_05,119,158,27,0.95,547,-1,DELIVERED
ORD00257,CUST0098,NODE_24,1145,1194,22,1.98,191,RID0013,DELIVERED
ORD00258,CUST1232,NODE_23,226,257,13,0.74,401,RID0010,PENDING
ORD00259,CUST0611,NODE_06,644,677,13,1.25,594,RID0028,PENDING
ORD00260,CUST0280,NODE_24,193,230,13,1.52,528,RID0010,COOKING
ORD00261,CUST1459,NODE_05,784,824,25,1.8,477,RID0028,DELIVERED
ORD00262,CUST1984,NODE_08,124,151,30,1.2,785,RID0005,CANCELLED
ORD00263,CUST1949,NODE_11,424,453,28,0.7,228,-1,OUT_FOR_DELIVERY
ORD00264,CUST0063,NODE_27,698,741,16,0.97,558,-1,COOKING
ORD00265,CUST0215,NODE_19,625,670,12,0.73,644,RID0019,OUT_FOR_DELIVERY
ORD00266,CUST0947,NODE_28,730,770,25,1.92,590,-1,DELIVERED
ORD00267,CUST1465,NODE_08,1242,1290,30,1.92,651,-1,CANCELLED
ORD00268,CUST1817,NODE_19,345,380,23,0.53,440,-1,PENDING
ORD00269,CUST0455,NODE_02,401,436,25,0.79,537,RID0027,DELIVERED
ORD00270,CUST1052,NODE_25,1010,1040,19,1.38,404,RID0011,DELIVERED
ORD00271,CUST1263,NODE_12,892,928,19,1.14,325,RID0024,PENDING
ORD00272,CUST0781,NODE_13,1326,1354,14,1.85,800,RID0020,DELIVERED
ORD00273,CUST1526,NODE_04,1109,1153,35,1.49,575,RID0014,OUT_FOR_DELIVERY
ORD00274,CUST0595,NODE_21,17,47,21,1.54,329,RID0013,PENDING
ORD00275,CUST1372,NODE_24,1163,1201,33,1.78,267,RID0026,COOKING
ORD00276,CUST1423,NODE_27,875,901,17,1.85,317,RID0017,COOKING
ORD00277,CUST0986,NODE_08,871,905,15,1.75,625,RID0015,DELIVERED
ORD00278,CUST1985,NODE_12,334,377,22,0.89,897,-1,OUT_FOR_DELIVERY
ORD00279,CUST0959,NODE_24,1293,1336,31,1.02,780,-1,CANCELLED
ORD00280,CUST1271,NODE_17,1162,1212,12,1.32,640,RID0001,PENDING
ORD00281,CUST0991,NODE_08,449,499,34,1.26,424,RID0008,PENDING
ORD00282,CUST0964,NODE_09,616,654,17,1.07,881,-1,DELIVERED
ORD00283,CUST1225,NODE_17,765,811,18,1.32,169,RID0029,COOKING
ORD00284,CUST1680,NODE_12,1368,1418,29,1.3,681,-1,COOKING
ORD00285,CUST0803,NODE_26,384,421,34,1.59,368,RID0015,DELIVERED
ORD00286,CUST1224,NODE_06,1246,1282,18,1.06,735,-1,COOKING
ORD00287,CUST1521,NODE_21,111,141,20,1.97,720,-1,CANCELLED
ORD00288,CUST0676,NODE_13,386,427,21,1.01,306,-1,OUT_FOR_DELIVERY
ORD00289,CUST0680,NODE_29,754,801,29,1.84,672,-1,CANCELLED
ORD00290,CUST1152,NODE_13,792,821,18,0.59,529,RID0025,DELIVERED
ORD00291,CUST1569,NODE_29,1285,1332,21,1.88,369,-1,OUT_FOR_DELIVERY
ORD00292,CUST0862,NODE_21,222,249,25,1.48,484,-1,CANCELLED
ORD00293,CUST0363,NODE_06,601,649,33,0.51,300,RID0011,DELIVERED
ORD00294,CUST0332,NODE_07,77,117,13,1.24,225,RID0004,DELIVERED
ORD00295,CUST1838,NODE_24,737,787,14,1.26,356,RID0010,OUT_FOR_DELIVERY
ORD00296,CUST1834,NODE_27,1311,1347,35,0.88,241,RID0022,PENDING
ORD00297,CUST1762,NODE_14,101,133,19,0.76,476,RID0021,CANCELLED
ORD00298,CUST1132,NODE_04,458,504,31,1.74,663,RID0025,CANCELLED
ORD00299,CUST0703,NODE_10,719,766,34,1.54,451,RID0019,OUT_FOR_DELIVERY
ORD00300,CUST0513,NODE_13,896,940,28,1.57,324,-1,PENDING
ORD00301,CUST1689,NODE_08,1176,1205,30,0.63,153,-1,COOKING
ORD00302,CUST0347,NODE_01,9,37,25,1.34,379,RID0021,COOKING
ORD00303,CUST0162,NODE_24,841,878,19,0.75,835,RID0011,COOKING
ORD00304,CUST0022,NODE_24,874,922,29,0.88,669,-1,COOKING
ORD00305,CUST1520,NODE_20,1196,1227,16,0.85,204,-1,COOKING
ORD00306,CUST0426,NODE_19,497,530,19,1.32,642,RID0030,DELIVERED
ORD00307,CUST1087,NODE_18,438,465,22,1.95,779,RID0009,OUT_FOR_DELIVERY
ORD00308,CUST0302,NODE_11,1280,1305,30,0.91,894,-1,CANCELLED
ORD00309,CUST0687,NODE_01,247,287,20,1.7,879,-1,DELIVERED
ORD00310,CUST1729,NODE_03,873,911,31,0.73,269,-1,OUT_FOR_DELIVERY
ORD00311,CUST1958,NODE_30,113,143,20,0.61,567,RID0011,CANCELLED
ORD00312,CUST0485,NODE_20,471,513,28,1.11,626,RID0006,DELIVERED
ORD00313,CUST0392,NODE_25,492,517,14,0.76,711,-1,DELIVERED
ORD00314,CUST0534,NODE_23,700,748,23,0.9,164,RID0018,CANCELLED
ORD00315,CUST1098,NODE_13,221,252,22,1.99,260,-1,PENDING
ORD00316,CUST0064,NODE_27,670,706,34,1.79,350,RID0007,OUT_FOR_DELIVERY
ORD00317,CUST1015,NODE_15,261,298,12,0.63,843,RID0019,CANCELLED
ORD00318,CUST1010,NODE_04,762,811,27,0.62,317,-1,CANCELLED
ORD00319,CUST1431,NODE_27,502,544,14,1.24,250,RID0018,COOKING
ORD00320,CUST1213,NODE_22,678,712,27,1.96,478,-1,DELIVERED
ORD00321,CUST1362,NODE_30,938,966,20,1.78,209,RID0013,OUT_FOR_DELIVERY
ORD00322,CUST1035,NODE_11,672,722,31,1.35,317,RID0008,DELIVERED
ORD00323,CUST0079,NODE_07,1137,1179,15,1.61,565,-1,DELIVERED
ORD00324,CUST1988,NODE_14,592,629,20,1.34,232,RID0004,COOKING
ORD00325,CUST0739,NODE_13,1038,1083,25,1.09,732,RID0013,PENDING
ORD00326,CUST1868,NODE_26,794,826,20,1.97,165,RID0010,OUT_FOR_DELIVERY
ORD00327,CUST1085,NODE_13,986,1013,14,1.84,200,-1,PENDING
ORD00328,CUST0997,NODE_26,1050,1088,13,0.79,203,RID0017,COOKING
