passage_id,vehicle_id,corridor_id,entry_time_min,exit_time_min,distance_km,base_toll,congestion_factor,final_toll
200,7277,46,905,928,19.83,29.5,1.27,37.47
201,5624,4,661,737,29.3,73.98,1.05,77.68
202,5106,14,543,552,6.83,6.95,1.43,9.94
203,2674,44,1127,1135,10.54,12.35,1.75,21.61
204,4023,41,874,931,54.08,83.15,1.15,95.62
205,2837,25,145,164,25.31,59.64,1.1,65.6
206,3851,16,363,373,10.5,18.22,1.29,23.5
207,4377,44,1107,1148,37.47,91.2,1.32,120.38
208,6678,26,224,243,21.29,51.93,1.16,60.24
209,4900,36,1175,1202,24.64,67.57,1.07,72.3
210,3825,43,577,642,41.26,50.18,1.36,68.24
211,5154,34,917,969,36.1,54.13,1.23,66.58
212,1836,40,665,827,64.71,110.87,1.3,144.13
213,9808,2,312,349,37.82,73.98,1.07,79.16
214,6670,28,1364,1381,9.87,23.03,1.29,29.71
215,1486,35,655,656,1.91,2.52,1.22,3.07
216,6357,16,168,188,18.56,20.07,1.26,25.29
217,9808,38,368,437,44.52,95.68,1.28,122.47
218,2653,15,1080,1243,60.66,133.86,1.74,232.92
219,5553,4,1325,1361,37.08,74.15,1.04,77.12
220,758,41,543,582,24.06,57.07,1.98,113.0
221,6669,50,1315,1381,49.52,115.39,1.29,148.85
222,8624,42,647,699,55.88,167.32,1.19,199.11
223,7058,10,1244,1245,1.48,3.49,1.15,4.01
224,297,49,891,924,44.5,105.02,1.01,106.07
225,234,22,814,924,54.64,82.64,1.02,84.29
226,4650,16,418,490,71.44,195.98,1.07,209.7
227,3967,15,1428,1441,6.91,13.07,1.21,15.81
228,5010,50,1165,1182,14.35,40.0,1.14,45.6
229,4709,16,876,887,11.45,12.06,1.03,12.42
230,3470,15,941,969,33.25,84.28,1.12,94.39
231,1310,5,124,202,29.1,44.73,1.11,49.65
232,443,44,925,954,15.02,17.33,1.29,22.36
233,7105,22,905,934,21.6,57.64,1.15,66.29
234,4200,14,177,238,44.67,60.47,1.01,61.07
235,6131,24,81,108,35.17,73.43,1.15,84.44
236,3800,29,1369,1430,48.55,59.96,1.25,74.95
237,2905,30,1194,1270,47.31,50.98,1.15,58.63
238,4836,27,323,419,47.78,99.17,1.18,117.02
239,2803,26,1210,1306,60.03,123.74,1.02,126.21
240,8788,28,1354,1431,51.57,124.11,1.12,139.0
241,4891,43,109,131,26.25,29.29,1.17,34.27
242,3858,49,822,861,28.22,30.91,1.25,38.64
243,8631,5,1071,1106,45.62,55.4,1.5,83.1
244,3474,45,1438,1526,66.99,190.83,1.29,246.17
245,6199,34,1376,1519,48.37,115.47,1.28,147.8
246,9780,2,978,1015,46.45,80.41,1.29,103.73
247,4856,1,614,664,43.65,66.53,1.67,111.11
248,7421,9,234,322,54.85,136.9,1.11,151.96
249,6971,26,971,1015,58.58,122.95,1.22,150.0
250,827,45,1071,1107,31.38,57.78,1.4,80.89
251,1123,36,218,328,37.16,107.69,1.18,127.07
252,2111,20,814,835,25.97,59.88,1.16,69.46
253,9901,40,58,125,39.22,94.29,1.27,119.75
254,4645,1,730,779,63.61,177.79,1.09,193.79
255,3169,49,135,263,65.46,179.75,1.06,190.53
256,4968,49,463,571,69.19,146.13,1.89,276.19
257,4437,46,208,252,56.48,160.95,1.22,196.36
258,9207,9,765,951,77.04,202.78,1.1,223.06
259,7955,27,1137,1152,13.04,38.68,1.32,51.06
260,6831,49,718,821,71.64,162.07,1.03,166.93
261,4024,9,756,911,61.38,76.01,1.09,82.85
262,1059,26,96,107,8.36,16.76,1.06,17.77
263,10,2,1397,1418,19.67,42.08,1.1,46.29
264,3981,31,946,1012,56.43,61.09,1.02,62.31
265,3112,28,346,475,69.8,88.91,1.09,96.91
266,3192,16,416,485,73.07,200.47,1.03,206.48
267,411,25,1040,1108,33.61,65.36,1.62,105.88
268,3328,30,1423,1446,25.32,33.08,1.05,34.73
269,3971,36,545,591,47.1,79.49,1.01,80.28
270,455,22,256,284,29.81,82.17,1.15,94.5
271,3589,15,212,237,24.5,65.54,1.01,66.2
272,1241,48,717,766,31.8,36.15,1.24,44.83
273,2700,17,292,374,72.51,181.66,1.04,188.93
274,7982,10,103,150,53.51,112.62,1.09,122.76
275,4589,1,1055,1137,63.85,166.67,1.57,261.67
276,1850,34,108,129,23.58,43.82,1.23,53.9
277,6573,2,185,187,3.57,3.91,1.25,4.89
278,2170,23,314,341,26.95,40.17,1.29,51.82
279,7157,4,754,771,18.07,49.65,1.18,58.59
280,2152,43,1417,1424,8.02,12.92,1.23,15.89
281,3214,46,842,944,77.59,224.21,1.07,239.9
282,386,38,1145,1228,47.11,84.37,1.27,107.15
283,2982,46,1212,1278,72.65,142.77,1.24,177.03
284,3501,14,286,309,14.76,24.47,1.06,25.94
285,8811,17,533,586,41.63,86.08,1.02,87.8
286,1616,14,221,290,38.79,68.39,1.04,71.13
287,8577,50,536,537,1.05,1.9,1.23,2.34
288,8731,46,653,760,62.07,79.47,1.1,87.42
289,6098,32,587,716,49.51,100.72,1.81,182.3
290,5199,48,82,92,8.0,8.88,1.1,9.77
291,9324,26,883,917,25.75,40.14,1.17,46.96
292,9955,48,1175,1255,68.28,136.11,1.19,161.97
293,2534,29,1408,1413,7.79,19.58,1.25,24.47
294,808,28,192,206,13.77,33.65,1.17,39.37
295,3763,39,376,471,67.9,68.59,1.01,69.28
296,3651,32,430,456,32.46,96.19,1.09,104.85
297,5428,2,137,138,1.16,1.63,1.17,1.91
298,7045,36,100,133,33.53,68.24,1.15,78.48
299,3258,19,880,955,77.8,127.28,1.26,160.37
300,576,11,807,940,78.16,103.08,1.28,131.94
301,501,17,707,742,27.4,55.05,1.06,58.35
302,9449,24,1122,1183,52.29,72.55,1.73,125.51
303,5602,37,427,437,5.75,15.27,1.05,16.03
304,4419,20,34,70,46.49,124.74,1.23,153.43
305,5366,14,1162,1224,78.11,121.1,1.39,168.33
306,2054,7,1233,1286,45.11,59.06,1.01,59.65
307,6355,27,805,855,49.27,101.01,1.25,126.26
308,3143,31,104,110,6.67,14.24,1.18,16.8
309,9485,48,380,555,77.1,99.99,1.02,101.99
310,3732,17,806,830,21.51,58.22,1.26,73.36
311,8121,2,1188,1218,24.78,67.22,1.22,82.01
312,531,11,23,64,36.84,75.36,1.02,76.87
313,2510,21,846,907,36.32,92.31,1.14,105.23
314,7060,6,1078,1217,51.43,89.79,1.06,95.18
315,9544,15,783,788,4.1,12.06,1.01,12.18
316,5005,3,1321,1344,19.45,54.27,1.2,65.12
317,3535,6,1248,1384,59.42,68.67,1.15,78.97
318,7192,5,26,136,72.35,133.74,1.16,155.14
319,1959,7,442,540,52.01,144.7,1.29,186.66
320,5665,30,1089,1172,31.53,41.8,1.43,59.77
321,4862,30,1094,1101,3.15,5.85,1.07,6.26
322,6290,43,553,665,69.77,157.4,1.87,294.34
323,8012,11,1133,1237,49.86,55.18,1.12,61.8
324,1540,37,418,574,58.54,79.96,1.16,92.75
325,1196,19,1019,1041,12.9,19.98,1.11,22.18
326,6968,39,743,791,52.68,94.75,1.17,110.86
327,126,10,1082,1136,47.82,139.14,1.01,140.53
328,8649,16,1386,1388,2.0,3.3,1.24,4.09
329,2034,32,565,668,40.98,115.7,1.74,201.32
330,7335,27,1227,1261,41.9,105.19,1.15,120.97
331,3050,12,302,390,67.69,188.87,1.25,236.09
332,8832,39,169,221,68.16,177.99,1.24,220.71
333,5997,8,35,68,38.33,91.39,1.23,112.41
334,8221,7,1150,1197,61.39,180.41,1.26,227.32
335,7859,14,1237,1260,20.51,46.62,1.09,50.82
336,8161,49,1099,1108,5.42,14.35,1.87,26.83
337,255,11,986,1036,62.5,103.49,1.19,123.15
338,2279,14,519,559,43.45,68.33,1.82,124.36
339,9631,13,746,891,56.86,126.96,1.18,149.81
340,6272,28,1314,1326,6.42,18.17,1.21,21.99
341,7709,19,713,773,75.19,146.15,1.25,182.69
342,5401,12,623,676,54.71,143.5,1.29,185.12
343,2860,19,347,362,18.4,39.5,1.24,48.98
344,2742,28,1370,1380,4.87,6.64,1.07,7.1
345,1911,48,24,25,1.34,3.04,1.0,3.04
346,2350,48,402,412,10.11,11.62,1.08,12.55
347,7551,20,7,58,58.01,135.21,1.08,146.03
348,1854,1,241,249,11.06,11.75,1.22,14.33
349,616,40,1255,1275,11.42,24.61,1.03,25.35
350,3233,43,809,875,32.7,66.31,1.27,84.21
351,1887,28,668,749,79.58,219.33,1.2,263.2
352,6286,14,1008,1063,67.93,128.74,1.97,253.62
353,8694,18,2,49,62.33,108.55,1.02,110.72
354,621,28,711,739,14.75,26.8,1.14,30.55
355,4829,31,1100,1105,7.4,11.18,1.7,19.01
356,3007,36,557,567,8.78,22.53,1.05,23.66
357,2278,49,723,789,66.31,76.87,1.0,76.87
358,7524,13,809,863,60.89,140.0,1.09,152.6
359,2227,4,1431,1473,52.43,94.49,1.27,120.0
360,2745,19,420,466,44.2,93.92,1.21,113.64
361,9460,9,242,383,51.52,100.92,1.14,115.05
362,6010,8,754,790,38.58,53.57,1.26,67.5
363,582,16,994,1009,17.7,40.88,1.33,54.37
364,9566,18,1141,1188,61.55,170.97,1.18,201.74
365,7649,44,870,953,38.47,75.53,1.29,97.43
366,1243,48,912,998,70.61,81.79,1.18,96.51
367,3414,3,1118,1152,33.84,67.25,1.32,88.77
368,6725,30,781,838,63.99,72.79,1.26,91.72
369,806,36,732,753,16.62,25.57,1.08,27.62
370,558,24,1376,1382,7.9,14.14,1.02,14.42
371,1643,28,1045,1109,75.61,184.87,1.1,203.36
372,1131,14,1297,1326,33.52,51.07,1.1,56.18
373,5412,34,713,847,55.24,109.47,1.22,133.55
374,7360,40,1107,1148,21.64,29.57,1.78,52.63
375,3485,44,1301,1409,73.01,153.45,1.03,158.05
376,8394,21,824,828,2.18,2.97,1.21,3.59
377,8306,17,662,671,10.49,29.69,1.14,33.85
378,5630,5,787,865,48.7,86.59,1.08,93.52
379,1152,49,1267,1387,58.99,158.69,1.22,193.6
380,3976,16,483,655,77.24,181.85,1.23,223.68
381,558,16,977,1188,77.35,204.2,1.06,216.45
382,7231,45,698,850,70.57,110.36,1.04,114.77
383,6832,28,1041,1089,48.32,100.57,1.18,118.67
384,4931,36,810,869,51.97,106.38,1.19,126.59
385,2187,2,1114,1197,39.01,63.35,1.02,64.62
386,1753,7,1363,1504,71.68,169.34,1.13,191.35
387,8112,9,985,1049,73.66,155.09,1.12,173.7
388,2878,26,477,537,53.49,127.68,1.59,203.01
389,4028,21,116,183,33.13,89.23,1.08,96.37
390,2262,48,935,990,55.3,139.29,1.27,176.9
391,1671,18,1366,1408,36.1,43.37,1.23,53.35
392,8406,2,229,231,3.45,4.81,1.02,4.91
393,3032,9,1094,1183,63.34,163.35,1.05,171.52
394,2181,10,1398,1462,73.27,217.82,1.13,246.14
395,5042,10,744,858,73.86,181.45,1.22,221.37
396,1484,12,452,482,24.34,65.82,1.59,104.65
397,6022,29,582,586,5.53,5.67,1.63,9.24
398,7105,33,1267,1372,75.95,76.72,1.2,92.06
399,4464,11,839,878,42.46,82.95,1.02,84.61
400,4200,30,689,727,44.22,127.26,1.2,152.71
401,1554,17,319,407,69.87,155.07,1.01,156.62
402,8713,21,911,972,62.29,99.31,1.14,113.21
403,1746,34,698,724,13.87,22.87,1.05,24.01
404,9437,10,697,782,46.0,119.91,1.25,149.89
405,488,15,35,139,73.49,181.17,1.05,190.23
406,8869,12,1134,1142,9.56,19.3,1.32,25.48
407,2081,16,1188,1207,16.47,46.33,1.28,59.3
408,8322,18,1167,1242,46.78,55.09,1.9,104.67
409,5180,48,395,433,34.61,85.34,1.07,91.31
410,4448,9,629,648,19.69,24.23,1.25,30.29
411,6223,43,225,281,48.21,63.5,1.01,64.14
412,7524,47,376,405,25.68,37.77,1.12,42.3
413,2285,25,204,248,18.27,46.54,1.27,59.11
414,90,2,1059,1106,34.62,44.05,1.04,45.81
415,3569,34,1250,1359,59.26,117.59,1.07,125.82
416,2905,27,1345,1503,74.29,157.55,1.15,181.18
417,8801,18,874,947,47.41,105.96,1.07,113.38
418,493,32,1322,1349,25.74,73.56,1.07,78.71
419,3286,22,786,832,28.18,64.54,1.04,67.12
420,3333,29,88,108,19.24,37.61,1.26,47.39
421,623,8,808,952,67.42,94.94,1.07,101.59
422,9270,48,184,232,62.51,113.11,1.05,118.77
423,3625,25,967,1069,36.73,50.55,1.1,55.61
424,3754,42,193,199,7.26,9.75,1.29,12.58
425,7782,10,213,243,31.63,43.56,1.13,49.22
426,8443,21,23,154,58.16,162.62,1.03,167.5
427,1812,16,369,428,57.26,107.14,1.27,136.07
428,2931,3,480,562,55.84,98.35,1.55,152.44
429,7,12,70,72,2.28,6.06,1.21,7.33
430,9857,44,467,491,9.01,26.98,1.58,42.63
431,9068,38,933,967,37.98,75.54,1.23,92.91
432,871,26,53,54,1.24,3.69,1.07,3.95
433,4811,22,883,893,12.59,33.15,1.27,42.1
434,520,8,1334,1389,23.53,25.53,1.23,31.4
435,8898,42,889,921,20.67,28.63,1.0,28.63
436,5846,28,1250,1269,21.52,63.26,1.17,74.01
437,5422,14,1185,1232,26.23,31.26,1.17,36.57
438,808,32,983,1048,52.01,71.86,1.01,72.58
439,7855,32,1208,1219,11.3,17.35,1.22,21.17
440,2970,43,486,515,17.14,18.24,1.04,18.97
441,1187,39,391,439,60.81,88.91,1.12,99.58
442,2731,19,216,230,7.57,10.81,1.27,13.73
443,8504,47,182,307,46.91,73.69,1.25,92.11
444,7386,7,1420,1472,23.66,28.64,1.1,31.5
445,764,35,843,942,76.38,126.75,1.01,128.02
446,2746,29,590,653,60.4,137.29,1.54,211.43
447,4171,16,583,645,70.54,201.35,1.31,263.77
448,2571,18,504,563,67.25,140.77,1.76,247.76
449,1373,28,31,52,26.54,53.18,1.06,56.37
450,9809,4,538,592,71.15,172.56,1.67,288.18
451,1200,4,1428,1498,41.63,60.31,1.08,65.13
452,3157,1,374,381,10.06,22.2,1.13,25.09
453,4555,17,1308,1403,79.78,217.32,1.1,239.05
454,437,48,1284,1328,48.96,134.87,1.09,147.01
455,5599,1,838,921,78.2,134.84,1.19,160.46
456,4567,9,83,121,34.27,67.31,1.28,86.16
457,7238,39,1388,1422,39.66,41.32,1.05,43.39
458,3484,18,810,814,2.6,5.94,1.3,7.72
459,5064,45,247,284,49.8,148.92,1.17,174.24
460,9189,5,699,786,32.53,61.68,1.11,68.46
461,7132,45,520,577,32.38,91.62,1.51,138.35
462,5074,47,332,365,23.43,62.6,1.21,75.75
463,6849,19,372,400,32.08,47.36,1.09,51.62
464,2729,35,1385,1430,42.6,53.56,1.04,55.7
465,9849,18,117,122,5.25,8.06,1.26,10.16
466,179,33,1095,1133,33.42,88.1,1.48,130.39
467,1917,43,1093,1186,40.15,84.85,1.52,128.97
468,447,32,396,501,78.75,200.59,1.04,208.61
469,9167,4,1179,1230,65.29,117.39,1.21,142.04
470,4325,32,631,683,62.33,134.25,1.21,162.44
471,8753,40,844,854,11.73,16.88,1.15,19.41
472,4860,32,335,355,18.46,43.02,1.05,45.17
473,4956,48,502,565,45.42,76.56,1.19,91.11
474,2149,46,1303,1345,40.58,108.91,1.11,120.89
475,8098,6,1339,1413,66.59,69.57,1.28,89.05
476,7749,39,1280,1354,72.83,134.36,1.01,135.7
477,2293,41,100,150,57.73,114.03,1.14,129.99
478,2847,28,861,1015,55.13,125.51,1.09,136.81
479,6442,24,977,983,6.77,8.44,1.11,9.37
480,4086,32,649,697,28.2,29.82,1.16,34.59
481,5526,15,1377,1395,13.4,22.48,1.12,25.18
482,4739,21,1007,1046,16.55,26.32,1.92,50.53
483,6454,38,436,507,46.65,129.47,1.23,159.25
484,6498,33,1158,1214,44.52,95.21,1.34,127.58
485,7656,31,367,489,65.09,71.16,1.1,78.28
486,4395,26,511,535,29.95,36.67,1.75,64.17
487,8347,40,224,283,68.89,174.35,1.22,212.71
488,2458,50,1375,1390,15.05,39.8,1.21,48.16
489,9523,37,1268,1363,78.99,192.34,1.3,250.04
490,3318,31,323,399,40.81,121.26,1.23,149.15
491,4751,46,671,714,56.34,57.3,1.09,62.46
492,1155,30,570,623,71.09,85.85,1.86,159.68
493,1187,32,555,585,18.35,29.11,1.07,31.15
494,2872,7,1372,1380,4.19,6.47,1.18,7.63
495,89,19,15,154,76.27,219.47,1.25,274.34
496,2057,41,425,446,25.24,45.91,1.03,47.29
497,1638,16,511,512,1.23,3.26,1.79,5.84
498,4924,27,1065,1068,2.27,2.3,1.59,3.66
499,6098,50,751,775,9.48,13.77,1.24,17.07
500,9051,7,790,899,79.64,130.8,1.15,150.42
501,3298,15,109,144,30.3,80.61,1.18,95.12
502,872,30,948,996,45.39,59.53,1.04,61.91
503,3258,2,205,317,73.86,221.34,1.26,278.89
504,5076,1,39,75,45.48,95.05,1.19,113.11
505,8166,38,631,712,27.78,60.1,1.22,73.32
