record_id,parking_lot_id,spot_id,vehicle_id,entry_time_min,exit_time_min,duration_min,fee
56,84,294,7193,488,938,450,375.09
57,127,244,4151,550,1080,530,354.63
58,126,42,5623,798,845,47,45.4
59,115,142,2068,115,636,521,462.06
60,29,217,5615,1032,1071,39,21.62
61,102,95,9857,1122,1674,552,511.33
62,59,149,7194,413,564,151,107.31
63,82,319,2829,618,765,147,146.92
64,63,101,5249,991,1152,161,140.33
65,75,27,4699,1323,1857,534,180.88
66,62,367,2081,1006,1113,107,77.55
67,51,365,5531,920,970,50,34.23
68,44,408,3111,1297,1648,351,269.97
69,137,285,1260,1293,1763,470,223.17
70,17,115,2257,581,1055,474,447.27
71,25,62,6790,437,462,25,10.24
72,115,86,9200,1275,1567,292,221.13
73,130,50,5733,32,527,495,404.79
74,31,459,2450,203,791,588,487.05
75,42,424,275,967,1244,277,186.9
76,25,499,6948,180,268,88,53.11
77,81,265,6666,326,612,286,217.56
78,105,249,2228,276,305,29,14.72
79,34,492,2788,299,538,239,157.7
80,13,452,156,453,619,166,90.69
81,122,269,9008,1057,1073,16,13.06
82,132,366,7243,1045,1254,209,176.21
83,81,381,2067,598,732,134,133.96
84,115,226,1738,82,321,239,149.06
85,107,344,450,1163,1187,24,23.7
86,3,186,3942,528,1050,522,434.55
87,120,334,4873,653,694,41,38.01
88,98,461,5941,1084,1652,568,342.42
89,10,190,9392,66,171,105,35.99
90,104,114,8872,1113,1680,567,426.24
91,137,496,2913,1149,1293,144,75.83
92,132,256,2517,215,778,563,420.56
93,80,156,5360,438,566,128,45.54
94,112,246,1203,708,1137,429,386.46
95,132,301,2032,772,1273,501,219.22
96,135,82,2332,508,835,327,120.99
97,27,315,491,416,794,378,241.15
98,21,451,9146,1176,1459,283,244.76
99,19,405,4517,291,500,209,100.48
100,113,262,2960,334,597,263,185.58
101,93,239,9177,1391,1517,126,87.83
102,30,472,9740,646,671,25,24.29
103,19,270,5239,1301,1511,210,204.51
104,133,260,2686,1038,1370,332,293.42
105,52,246,8322,505,684,179,158.76
106,39,344,8213,921,1270,349,214.67
107,9,327,1889,527,623,96,71.08
108,60,102,9826,506,870,364,300.73
109,90,163,190,800,1061,261,136.29
110,87,490,6481,550,1044,494,475.44
111,38,465,4619,238,706,468,374.53
112,19,218,963,1258,1343,85,30.87
113,127,52,8178,548,828,280,262.29
114,56,36,4582,959,976,17,10.58
115,47,353,8178,1195,1792,597,296.61
116,20,304,4794,843,1207,364,295.6
117,121,110,1724,24,552,528,295.98
118,15,291,8743,48,523,475,167.66
119,34,99,8634,1035,1495,460,286.53
120,103,453,7592,992,1047,55,53.81
121,78,34,4392,1329,1870,541,354.96
122,150,265,9598,599,960,361,163.98
123,40,235,2712,112,233,121,80.32
124,97,462,1706,343,821,478,400.28
125,136,375,597,1372,1795,423,324.71
126,42,281,9611,251,625,374,229.37
127,43,274,692,117,377,260,159.15
128,68,363,2737,50,427,377,153.55
129,42,451,2924,478,741,263,247.63
130,26,365,6472,65,477,412,199.08
131,101,308,7511,335,475,140,72.04
132,37,28,2210,1104,1480,376,336.93
133,120,414,4314,570,1113,543,294.7
134,52,472,5753,792,1068,276,222.23
135,116,446,8949,622,855,233,142.68
136,24,152,3292,845,1397,552,392.3
137,113,222,129,521,997,476,186.34
138,54,193,4143,1025,1448,423,151.12
139,22,257,5584,475,671,196,111.56
140,2,336,4345,1215,1254,39,15.02
141,61,62,693,146,342,196,89.73
142,131,125,3862,21,252,231,149.62
143,40,342,5156,1352,1478,126,88.95
144,118,23,6614,1352,1672,320,318.16
145,104,97,1637,454,532,78,43.35
146,1,44,5936,1270,1659,389,287.79
147,107,117,8986,1183,1764,581,498.82
148,50,177,6911,1395,1578,183,96.49
149,73,339,9257,663,847,184,125.55
150,41,167,8155,325,437,112,50.4
151,96,345,7093,404,705,301,181.99
152,103,147,9056,74,152,78,32.09
153,93,203,3423,465,803,338,113.19
154,121,374,1174,965,1279,314,309.54
155,129,255,8615,445,849,404,198.5
156,82,33,9295,1117,1504,387,168.99
157,7,27,193,535,748,213,120.57
158,92,241,6595,1012,1042,30,10.61
159,44,20,3325,585,668,83,76.47
160,132,442,850,213,563,350,339.35
161,60,289,1560,696,1260,564,494.81
162,125,3,2258,1371,1572,201,90.16
163,133,405,1563,417,733,316,110.28
164,101,363,7435,764,1248,484,426.38
165,44,70,7701,1434,1547,113,94.8
166,83,299,4846,1292,1696,404,242.52
167,79,227,41,666,1165,499,255.73
168,3,83,3915,1399,1686,287,157.07
169,72,138,6400,854,905,51,19.0
170,145,366,2272,997,1386,389,320.88
171,121,172,1132,77,245,168,163.08
172,96,48,8502,248,334,86,45.01
173,147,491,5927,959,1369,410,300.16
174,90,263,5759,871,1361,490,443.86
175,129,433,1664,74,552,478,187.0
176,33,368,3060,808,841,33,21.89
177,74,355,5482,42,96,54,21.44
178,115,223,2744,105,151,46,19.11
179,20,53,5067,894,1309,415,207.25
180,95,437,1042,1186,1431,245,171.88
181,79,432,3446,1198,1498,300,222.65
182,114,486,6863,52,636,584,458.9
183,90,10,2549,1005,1264,259,223.89
184,129,84,7413,1253,1432,179,77.7
185,41,351,3392,618,691,73,51.09
186,72,161,5218,1396,1688,292,144.44
187,130,38,8385,483,844,361,332.68
188,82,169,6045,278,735,457,365.91
189,122,260,8519,1297,1359,62,26.99
190,120,190,8845,1303,1508,205,204.14
191,133,54,1802,1011,1285,274,101.02
192,29,482,7511,789,1357,568,558.41
193,45,240,4575,1429,1865,436,417.38
194,112,350,3192,1316,1676,360,232.97
195,32,211,3493,556,768,212,92.57
196,11,472,1748,1366,1854,488,341.03
197,64,131,3326,85,419,334,307.98
198,131,309,1615,224,616,392,219.22
199,2,234,4876,873,1100,227,160.54
200,61,343,1341,870,1058,188,141.48
201,78,444,8510,490,561,71,37.1
202,109,82,4382,859,1303,444,157.15
203,85,74,8862,184,386,202,163.12
204,51,45,1776,934,1458,524,176.11
205,97,294,7151,851,1136,285,267.92
206,115,131,9356,801,1351,550,299.39
207,75,134,2493,157,188,31,13.09
208,10,66,8079,1058,1388,330,169.57
209,60,330,8176,98,509,411,327.69
210,116,61,3556,1381,1949,568,314.94
211,121,427,5587,1289,1423,134,87.58
212,28,178,9190,509,816,307,127.76
213,61,439,537,6,209,203,138.97
214,68,269,9526,1303,1384,81,57.56
215,83,170,4180,638,676,38,20.11
216,81,251,8698,971,1461,490,336.67
217,129,3,9050,441,480,39,22.78
218,28,86,6007,1074,1526,452,264.98
219,97,316,4034,374,688,314,182.16
220,71,437,4361,981,1458,477,281.04
221,115,271,9368,564,867,303,195.75
222,148,136,7098,553,642,89,81.6
223,19,335,1336,992,1351,359,225.78
224,111,98,4537,650,1213,563,386.03
225,147,412,1703,1115,1580,465,266.96
226,112,423,6502,1079,1391,312,207.3
227,136,258,7215,783,901,118,71.27
228,138,118,7329,607,803,196,84.71
229,123,303,9545,1149,1251,102,48.43
230,83,201,1745,96,407,311,301.74
231,42,209,7045,768,1278,510,209.51
232,114,475,4887,456,859,403,301.14
233,87,431,8219,287,868,581,315.21
234,28,428,2790,1433,1905,472,234.89
235,128,383,8876,793,1249,456,446.01
236,145,425,7830,1328,1558,230,76.71
237,127,392,3701,676,824,148,125.43
238,124,213,218,739,860,121,100.85
239,115,215,9715,28,541,513,221.04
240,41,104,6658,1031,1410,379,146.26
241,37,293,4238,316,533,217,157.42
242,102,20,8669,1294,1871,577,323.77
243,86,8,60,617,827,210,114.39
244,148,437,7853,1212,1386,174,81.17
245,134,7,7674,62,562,500,220.72
246,98,462,3776,316,796,480,338.64
247,24,160,1047,188,310,122,121.62
248,149,274,9171,1108,1323,215,140.04
249,108,160,3704,1367,1737,370,342.77
250,129,164,4159,1080,1590,510,183.36
251,111,333,1254,775,1070,295,145.77
252,109,31,6121,1339,1482,143,120.22
253,23,163,3190,1072,1662,590,552.8
254,102,386,5547,410,989,579,215.87
255,131,386,6935,1324,1753,429,224.92
256,94,493,7665,669,746,77,36.94
257,31,381,6752,653,1177,524,212.54
258,136,300,8169,318,404,86,67.85
259,106,193,6492,614,687,73,57.0
260,10,290,5979,951,1367,416,229.24
261,89,47,157,762,827,65,42.35
262,93,59,3851,535,1127,592,272.36
263,63,109,8680,590,862,272,261.91
264,142,268,2526,1131,1347,216,155.46
265,23,388,5853,1318,1881,563,301.56
266,139,393,9722,780,846,66,24.91
267,66,465,7305,195,539,344,216.55
268,70,11,5758,1121,1319,198,163.0
269,136,401,2469,1222,1814,592,470.85
270,42,47,6211,271,620,349,174.88
271,131,251,6200,358,572,214,172.68
272,32,132,6603,706,1294,588,449.08
273,80,453,3182,993,1356,363,186.54
274,107,182,792,761,1130,369,300.42
275,101,130,2120,979,1111,132,82.32
276,55,6,9514,931,1161,230,172.51
277,145,333,2329,382,914,532,263.54
278,60,123,883,918,965,47,40.86
279,32,353,3583,771,923,152,135.26
280,91,474,6104,535,677,142,87.74
281,98,71,7325,3,73,70,68.18
282,37,274,1017,114,372,258,97.41
283,19,497,526,306,751,445,374.65
284,29,392,1517,191,560,369,174.44
285,42,394,2248,1377,1946,569,238.15
286,75,13,7694,40,414,374,251.63
287,32,263,3293,58,149,91,71.98
288,31,392,8394,1032,1522,490,224.95
289,85,171,1734,144,551,407,206.38
290,119,202,6380,740,777,37,23.73
291,138,301,9403,988,1124,136,79.31
292,79,440,8110,442,726,284,266.08
293,123,229,6499,298,466,168,58.38
294,81,72,273,1288,1345,57,33.53
295,120,179,671,974,1209,235,178.96
296,27,225,3463,1162,1482,320,175.65
297,56,168,5098,259,798,539,265.85
298,138,198,1500,1396,1516,120,87.19
299,8,2,8960,599,848,249,126.91
300,136,268,8515,663,973,310,115.05
301,138,216,9216,154,572,418,314.89
302,9,392,2235,892,1116,224,78.28
303,57,192,1027,234,727,493,319.22
304,124,366,9743,893,1474,581,527.67
305,36,384,915,1294,1466,172,123.28
306,87,55,3618,528,673,145,104.81
307,146,236,53,64,593,529,311.68
308,39,323,6208,668,1008,340,265.88
309,86,329,6049,585,718,133,64.44
310,32,492,2893,881,1347,466,339.17
311,18,304,1907,184,425,241,185.44
312,3,2,4119,737,1284,547,499.32
313,149,6,500,676,732,56,34.7
314,36,450,9447,118,677,559,495.28
315,111,413,9303,1105,1175,70,59.75
316,46,248,6311,1220,1469,249,133.28
317,32,373,1299,167,182,15,13.86
318,127,258,1687,474,969,495,458.31
319,135,257,7374,374,480,106,89.91
320,83,209,395,502,1071,569,563.71
321,122,219,7005,424,588,164,79.4
322,86,250,1699,767,1311,544,467.31
323,133,484,1847,1312,1882,570,494.24
324,60,352,6686,944,971,27,26.22
325,58,166,7444,1029,1190,161,54.15
326,148,115,7808,252,438,186,169.48
327,145,449,7684,226,307,81,73.4
328,72,192,6561,1074,1204,130,53.9
329,29,14,3172,595,1186,591,243.92
330,121,250,76,74,242,168,158.99
331,95,150,6580,1196,1442,246,109.08
332,3,225,3498,1131,1374,243,222.89
333,47,308,6976,959,1497,538,194.86
334,45,446,5681,856,958,102,56.03
335,63,137,2416,1410,1695,285,224.79
336,70,309,485,317,530,213,168.64
337,144,420,5475,252,372,120,59.55
338,65,438,3631,988,1119,131,51.43
339,8,52,10000,819,1403,584,308.81
340,55,286,7457,1131,1684,553,421.78
341,148,328,8412,547,689,142,122.58
342,144,180,1635,14,110,96,89.2
343,65,299,6707,54,510,456,388.6
344,123,78,8460,494,897,403,312.46
345,75,381,4826,659,954,295,128.76
346,61,85,7496,445,791,346,173.88
347,62,298,3236,1342,1513,171,115.44
348,6,184,9181,1437,1615,178,81.78
349,150,456,8697,1373,1675,302,269.99
350,149,447,6906,196,725,529,471.77
351,112,407,4676,484,620,136,134.21
352,94,286,4654,960,1142,182,81.62
353,150,377,5467,1133,1328,195,186.15
354,16,156,3513,443,650,207,170.37
355,134,182,6545,1027,1071,44,28.13
356,125,364,1734,1269,1738,469,317.46
357,97,285,3019,809,1402,593,292.95
358,49,69,7840,479,883,404,214.68
359,12,324,9282,441,592,151,120.43
360,69,119,3679,88,489,401,274.38
361,140,210,5833,573,695,122,59.33
362,138,170,8637,144,739,595,419.77
363,53,196,4420,998,1525,527,382.8
364,31,296,6399,1268,1675,407,143.23
365,51,12,2796,1131,1407,276,137.34
366,93,183,2199,1116,1603,487,362.1
367,90,17,3713,484,595,111,38.33
368,90,355,768,225,341,116,64.09
369,73,488,7112,1206,1796,590,332.11
370,112,352,2508,620,968,348,142.84
371,19,33,5304,441,900,459,345.59
372,18,329,8143,1045,1593,548,384.63
373,100,45,5414,265,839,574,241.37
374,148,16,1124,984,1454,470,248.38
375,25,85,9049,180,635,455,358.35
376,13,349,6264,281,398,117,67.71
377,53,343,3988,92,378,286,214.1
378,67,254,5322,211,564,353,316.55
379,45,255,5988,212,304,92,49.44
380,15,470,3079,835,1113,278,122.73
381,54,301,5385,267,571,304,298.15
382,130,408,6260,127,678,551,390.91
383,129,350,8602,1177,1548,371,268.89
384,93,357,1839,554,738,184,177.35
385,127,389,6991,1232,1692,460,378.94
386,24,436,7603,1413,1501,88,86.28
387,137,10,9067,586,695,109,101.36
388,137,433,1235,828,953,125,87.5
389,70,264,6809,619,656,37,25.76
390,5,139,7966,1298,1336,38,32.39
391,118,152,882,977,1425,448,273.35
392,141,16,4320,74,671,597,395.06
393,74,458,4583,627,845,218,196.17
394,95,498,1086,920,960,40,24.84
395,45,213,8435,152,413,261,111.37
396,20,252,4252,757,1128,371,268.8
397,112,415,84,1306,1787,481,327.26
398,76,90,7985,1137,1577,440,194.49
399,57,237,5781,105,588,483,398.24
400,26,456,2829,390,405,15,14.32
401,55,77,8063,310,901,591,521.79
402,149,333,8892,1339,1684,345,259.62
403,38,393,6288,1145,1638,493,329.17
404,119,169,5351,313,635,322,154.54
405,142,206,6962,1221,1277,56,35.05
406,149,418,7191,1153,1382,229,128.2
407,64,465,1680,1193,1273,80,53.79
408,64,6,601,358,877,519,238.83
409,42,290,8631,1160,1432,272,98.15
410,110,216,9474,615,732,117,53.35
411,25,373,5166,956,1555,599,367.28
412,8,321,6791,789,868,79,44.88
413,100,367,3462,232,742,510,260.62
414,9,416,2949,844,1130,286,266.72
415,66,149,7404,279,302,23,20.43
416,24,270,1507,207,417,210,136.07
417,131,472,3306,1312,1392,80,48.27
418,122,485,416,1189,1664,475,210.28
419,64,314,7321,1185,1497,312,125.63
420,9,260,4873,289,548,259,173.47
421,50,249,1926,898,1107,209,88.93
422,68,23,2473,677,1176,499,488.71
423,118,128,309,1415,1546,131,86.78
424,41,98,4461,619,858,239,219.31
425,141,13,4541,401,932,531,377.09
426,109,141,1094,541,707,166,55.7
427,148,34,1552,932,1000,68,38.7
428,116,226,330,1245,1781,536,486.14
429,57,338,143,464,976,512,483.82
430,62,323,7103,1344,1796,452,389.36
431,4,335,9850,1115,1409,294,287.86
432,87,185,850,18,592,574,491.38
433,139,328,1735,434,678,244,101.72
434,115,388,864,656,1160,504,372.69
435,109,117,6264,1142,1313,171,158.98
436,50,349,994,1149,1241,92,35.75
437,127,469,3613,1023,1603,580,360.06
438,94,376,5123,916,1236,320,283.84
439,45,63,642,1348,1834,486,190.98
440,80,22,201,1278,1827,549,221.34
441,109,53,8403,655,866,211,74.3
442,20,171,9264,932,1128,196,77.49
443,93,492,9586,677,1045,368,239.62
444,15,478,6117,1196,1356,160,88.59
445,54,229,9442,1384,1822,438,320.09
446,23,77,3481,222,730,508,331.89
447,132,82,4297,43,515,472,278.39
448,110,253,676,1077,1670,593,377.69
449,36,238,3109,1264,1442,178,94.49
450,46,153,412,836,1272,436,174.82
451,22,72,739,373,644,271,128.47
452,11,106,4203,733,1078,345,190.61
453,60,286,8819,498,631,133,100.15
454,89,225,5759,25,399,374,133.85
455,146,42,6312,286,357,71,48.39
456,57,495,4182,320,628,308,194.52
457,61,127,3551,809,1052,243,181.43
458,49,423,8920,1410,1523,113,86.21
459,14,215,8234,269,781,512,223.35
460,143,436,4208,1255,1493,238,237.07
461,43,74,8398,250,282,32,31.01
462,101,284,3585,1157,1271,114,67.16
463,82,162,3540,1259,1677,418,377.72
464,115,116,8341,980,1197,217,151.89
465,16,338,2700,792,947,155,116.67
466,66,169,2653,944,1318,374,352.7
467,45,78,780,468,782,314,129.68
468,123,179,2979,39,259,220,188.5
469,136,445,5767,434,487,53,43.79
470,62,158,7456,56,465,409,192.56
471,67,116,2974,1027,1288,261,202.83
472,98,294,9350,1358,1912,554,437.56
473,58,330,4256,1227,1802,575,544.9
474,28,24,5105,1373,1646,273,146.5
475,49,480,146,683,1012,329,216.7
476,13,279,6164,23,500,477,352.87
477,80,389,9866,367,746,379,340.37
478,144,327,5102,1208,1225,17,10.38
479,26,312,2955,1160,1740,580,390.25
480,59,380,4595,644,1203,559,537.96
481,141,314,9005,241,304,63,52.99
482,110,118,3644,1354,1655,301,106.97
483,91,165,7215,161,696,535,494.52
484,17,496,5219,1190,1550,360,190.21
485,135,86,1130,275,706,431,192.25
486,71,254,8727,1097,1128,31,17.01
487,122,200,9899,741,1070,329,218.71
488,6,171,9184,1224,1617,393,264.01
489,38,289,5039,322,594,272,253.16
490,104,323,3226,1175,1744,569,491.78
491,71,344,2991,1232,1275,43,17.83
492,144,27,7108,1091,1438,347,188.46
493,71,373,1359,1050,1194,144,94.48
494,21,351,4241,1285,1454,169,163.99
495,94,438,7601,1056,1319,263,261.83
496,79,434,8825,332,655,323,291.69
497,22,229,1262,528,832,304,274.74
498,91,157,3426,590,887,297,165.0
499,135,500,16,731,763,32,20.18
500,2,51,9006,124,440,316,133.68
501,27,400,7786,106,242,136,47.27
502,134,346,4423,906,1340,434,150.84
503,57,293,8757,691,867,176,153.71
504,150,370,545,1419,1847,428,330.17
505,49,469,434,958,1172,214,108.07
506,47,282,6675,176,447,271,126.63
507,108,386,2254,654,775,121,62.63
508,34,415,8325,1244,1365,121,54.99
509,71,107,918,555,863,308,211.56
510,3,128,1998,688,1058,370,235.68
511,118,268,7127,252,567,315,278.12
512,115,473,3677,986,1350,364,307.74
513,98,69,4616,625,1121,496,247.26
514,107,257,233,1213,1545,332,157.71
515,9,242,6118,338,700,362,154.1
516,72,395,523,90,541,451,171.3
517,147,257,4644,1348,1908,560,255.58
518,107,270,6707,911,1292,381,263.09
519,129,436,6542,593,1020,427,358.93
520,97,2,1457,488,935,447,406.83
521,64,427,8059,212,305,93,61.14
522,33,306,5074,1173,1294,121,43.48
523,7,182,4527,253,591,338,186.41
524,85,192,8776,279,603,324,203.28
525,113,484,5240,972,1104,132,97.82
526,69,177,7924,833,1107,274,180.34
527,12,483,368,899,1149,250,180.4
528,51,298,4930,186,266,80,40.87
529,53,272,9935,79,305,226,79.76
530,140,221,375,275,840,565,509.21
531,24,198,9227,51,496,445,364.43
532,44,210,6232,109,513,404,281.4
533,72,79,7676,658,787,129,67.64
534,144,337,4768,244,364,120,74.62
535,14,334,4994,1141,1377,236,112.38
536,138,412,2416,665,705,40,37.01
537,12,91,1514,65,158,93,87.43
538,55,272,4179,783,1250,467,251.45
539,46,18,3304,970,1157,187,79.36
540,16,294,5400,623,709,86,48.39
541,86,136,7808,244,546,302,279.72
542,116,77,5967,726,962,236,187.8
543,104,483,726,16,430,414,146.7
544,37,342,7365,760,1291,531,361.77
545,20,274,738,336,602,266,244.77
546,143,180,8159,803,854,51,30.49
547,69,145,9752,60,136,76,44.11
548,55,337,4610,786,1002,216,100.76
549,6,202,9534,332,655,323,234.15
550,7,67,3054,538,987,449,337.65
551,142,132,5466,382,867,485,263.71
552,113,196,7489,20,459,439,419.45
553,139,25,2217,1184,1653,469,386.01
554,30,436,6116,1229,1558,329,122.6
555,23,236,9481,1008,1030,22,14.87
556,3,61,9362,208,566,358,280.34
557,7,304,4126,598,979,381,199.25
558,57,45,7707,729,1199,470,329.63
559,53,354,9196,420,695,275,245.01
560,20,462,718,1063,1442,379,282.32
561,50,329,2105,618,1193,575,290.31
562,1,297,9602,153,689,536,186.49
563,84,258,6777,593,1090,497,195.86
564,119,386,2624,1273,1783,510,400.47
565,1,106,8162,197,684,487,342.11
566,119,160,4084,850,1106,256,91.88
567,39,469,7390,585,617,32,13.41
568,27,134,4123,782,1020,238,218.67
569,10,50,190,1228,1374,146,60.99
570,112,102,4017,1213,1803,590,474.54
571,118,296,1321,792,1201,409,236.31
572,142,245,1174,892,1275,383,287.97
573,130,355,5956,1077,1392,315,126.89
574,24,339,1428,428,556,128,111.55
575,129,426,762,1197,1622,425,420.27
576,54,22,2311,365,471,106,72.69
577,100,153,1825,1126,1207,81,66.57
578,40,98,2337,601,671,70,50.44
579,42,50,22,1304,1883,579,273.51
580,122,352,4540,1072,1212,140,119.0
581,81,413,3268,117,356,239,220.76
582,4,335,4806,1225,1619,394,245.28
583,56,441,2487,1209,1411,202,135.53
584,49,416,8999,883,1064,181,117.13
585,69,48,4931,282,480,198,118.06
586,129,386,7796,1014,1202,188,134.42
587,118,4,8230,1380,1420,40,30.45
588,50,150,1334,172,694,522,229.63
589,29,496,9856,1052,1524,472,210.12
590,142,434,8690,973,1001,28,16.02
591,60,261,2120,1281,1358,77,35.37
592,80,327,6761,8,314,306,179.98
593,81,26,3940,1302,1511,209,115.43
594,103,236,511,532,597,65,33.0
595,69,348,7029,1306,1352,46,37.94
596,46,144,3089,272,621,349,209.09
597,133,98,8642,669,881,212,125.94
598,117,4,8381,503,569,66,35.34
599,124,444,5047,120,341,221,90.57
600,106,451,4288,499,1096,597,347.51
601,5,386,3834,1245,1276,31,22.22
602,46,214,7464,454,854,400,363.37
603,120,450,7956,9,54,45,25.56
604,144,292,4314,1432,1525,93,40.19
605,20,454,5598,1231,1734,503,285.76
606,126,377,1130,815,1007,192,126.25
607,111,451,2707,1125,1353,228,136.01
608,85,89,2984,1259,1838,579,357.36
609,92,426,6216,1032,1587,555,257.98
610,9,337,3382,671,798,127,115.81
611,116,354,7984,1232,1273,41,16.83
612,51,23,8780,557,893,336,221.45
613,62,407,7604,1219,1812,593,322.56
614,1,109,8795,755,794,39,20.77
615,49,207,6438,439,643,204,121.62
616,134,55,7422,1314,1401,87,56.98
617,51,340,1967,980,1505,525,414.23
618,110,52,6373,1090,1254,164,148.74
619,115,136,314,717,959,242,241.19
620,93,27,5692,1308,1680,372,194.21
621,62,2,175,777,1354,577,265.18
622,135,497,9551,1311,1756,445,281.62
623,101,238,7295,20,609,589,304.85
624,97,344,4622,53,647,594,365.67
625,108,134,3413,1220,1382,162,59.16
626,18,129,1487,925,1126,201,131.38
627,53,89,207,1304,1548,244,203.55
628,147,287,6668,949,1174,225,100.04
629,82,199,4306,1103,1421,318,288.15
630,3,449,7847,662,1015,353,218.98
631,19,492,9842,169,401,232,217.74
632,60,246,6132,1378,1897,519,512.16
633,122,457,9718,516,879,363,122.45
634,91,162,9373,325,756,431,372.64
635,149,419,1632,352,870,518,299.22
636,68,150,8164,601,865,264,217.67
637,26,201,307,215,814,599,287.19
638,57,482,6294,146,317,171,161.34
639,52,404,8738,1198,1573,375,240.07
640,130,120,6360,805,1356,551,499.53
641,55,267,9881,925,1297,372,355.13
642,119,341,4002,78,135,57,33.15
643,91,24,5420,657,903,246,221.06
644,79,200,9409,1005,1074,69,66.2
645,51,181,8894,1285,1691,406,205.97
646,93,139,9603,624,1178,554,252.99
647,35,471,6934,1334,1497,163,91.83
648,60,466,6429,177,354,177,74.04
649,47,167,6787,677,1089,412,139.89
650,113,377,4359,1409,1695,286,246.82
651,64,71,418,1168,1737,569,192.83
652,65,67,404,736,942,206,204.51
653,40,491,7678,690,1256,566,352.52
654,103,431,9622,1141,1260,119,54.35
655,82,90,5846,485,738,253,244.47
656,17,133,3841,130,476,346,127.48
657,131,434,8118,636,724,88,42.64
658,46,40,3332,187,208,21,14.98
659,131,331,3562,326,486,160,89.81
660,27,394,4885,407,581,174,166.19
661,3,57,3179,1287,1501,214,133.36
662,88,56,3575,600,819,219,156.97
663,1,122,3145,998,1566,568,461.32
664,137,68,5952,721,1151,430,279.79
665,4,31,2507,1208,1235,27,17.52
666,102,231,8231,802,1085,283,186.65
667,86,263,9709,1330,1802,472,423.72
668,112,49,5029,164,464,300,140.2
669,119,178,3569,1065,1167,102,37.68
670,39,215,2059,667,763,96,86.61
671,108,202,3006,760,1255,495,475.65
672,9,81,6170,283,725,442,227.35
673,116,225,6378,1200,1780,580,345.09
674,128,357,2729,804,1045,241,167.65
675,125,138,7057,1229,1714,485,200.88
676,92,271,5066,751,848,97,66.29
677,73,287,4513,367,721,354,263.42
678,16,491,1625,280,306,26,18.4
679,51,128,8141,1008,1534,526,450.19
680,93,410,1907,692,838,146,142.84
681,11,437,5281,1018,1228,210,91.01
682,62,285,4719,657,1107,450,440.11
683,108,448,2184,1229,1725,496,191.05
684,132,193,9345,987,1018,31,24.16
685,110,191,8843,930,1312,382,186.12
686,49,399,6465,855,911,56,44.85
687,6,236,6432,546,764,218,150.8
688,16,286,1640,423,960,537,226.12
689,45,394,7741,1360,1753,393,134.5
690,130,260,4375,1376,1565,189,151.4
691,112,219,6893,545,1139,594,551.29
692,52,185,9072,80,468,388,348.09
693,43,194,7546,228,359,131,95.69
694,31,289,3663,338,752,414,405.45
695,150,10,1320,1198,1607,409,342.14
696,27,258,5529,954,1066,112,82.89
697,77,482,3531,188,356,168,128.27
698,144,256,7209,166,428,262,122.35
699,4,235,2247,164,553,389,341.15
700,35,359,1075,1069,1591,522,441.78
701,78,262,3314,191,312,121,40.98
702,73,295,5871,623,828,205,174.16
703,16,292,7264,1347,1434,87,85.84
704,36,12,9863,1272,1506,234,80.5
705,121,197,9814,873,1243,370,187.58
