session_id,station_id,vehicle_id,start_time_min,duration_min,energy_kwh,price_per_kwh,total_cost,connector_type,station_zone
140,189,3948,1040,68,6.95,13.75,95.56,FAST,Z16
141,147,4913,1326,111,12.31,9.02,111.04,NORMAL,Z13
142,26,162,371,139,15.54,9.14,142.04,NORMAL,Z4
143,121,2945,246,145,17.93,7.07,126.77,NORMAL,Z4
144,102,2893,127,74,8.82,7.97,70.3,FAST,Z7
145,81,1096,28,125,17.66,6.73,118.85,NORMAL,Z2
146,125,332,1235,101,12.38,6.23,77.13,FAST,Z10
147,21,245,616,87,16.63,6.84,113.75,FAST,Z15
148,110,2586,1042,151,22.85,13.97,319.21,NORMAL,Z18
149,56,333,7,164,36.18,6.54,236.62,NORMAL,Z15
150,15,2293,694,141,26.32,9.27,243.99,FAST,Z8
151,198,3758,541,164,20.34,11.91,242.25,NORMAL,Z17
152,9,425,517,163,22.23,13.63,302.99,NORMAL,Z13
153,152,2312,528,87,17.15,9.61,164.81,NORMAL,Z14
154,177,968,660,151,29.68,6.8,201.82,NORMAL,Z19
155,198,1410,1079,94,10.22,10.74,109.76,NORMAL,Z16
156,149,4346,1114,154,17.18,9.62,165.27,NORMAL,Z4
157,63,2698,1076,108,16.21,11.96,193.87,FAST,Z19
158,14,2584,374,28,4.38,9.76,42.75,NORMAL,Z17
159,5,2968,53,135,13.76,7.5,103.2,FAST,Z20
160,137,1468,880,67,12.19,8.86,108.0,NORMAL,Z19
161,168,3837,1405,144,17.9,7.72,138.19,NORMAL,Z12
162,47,4955,322,16,3.87,6.65,25.74,FAST,Z3
163,186,2225,327,153,15.67,7.1,111.26,FAST,Z3
164,92,1933,1162,150,25.11,9.13,229.25,FAST,Z14
165,82,2519,339,29,3.55,6.77,24.03,NORMAL,Z13
166,3,1956,535,34,5.16,12.14,62.64,NORMAL,Z16
167,63,983,563,175,39.15,13.42,525.39,NORMAL,Z15
168,189,2527,1119,39,5.6,11.27,63.11,FAST,Z13
169,182,1271,1165,112,13.38,12.32,164.84,NORMAL,Z1
170,173,4438,697,110,14.74,9.06,133.54,NORMAL,Z2
171,185,1293,330,112,16.34,6.88,112.42,NORMAL,Z15
172,189,935,1168,175,43.63,13.07,570.24,NORMAL,Z1
173,51,3607,504,52,5.41,13.0,70.33,NORMAL,Z13
174,36,1367,432,49,8.72,13.73,119.73,FAST,Z3
175,147,538,160,146,15.47,7.55,116.8,NORMAL,Z7
176,174,4741,1114,20,3.16,9.77,30.87,FAST,Z15
177,54,68,969,136,14.46,7.79,112.64,FAST,Z2
178,193,4483,80,32,4.13,8.48,35.02,FAST,Z11
179,165,1740,287,158,31.94,6.37,203.46,NORMAL,Z9
180,157,4734,1260,129,14.11,7.95,112.17,FAST,Z4
181,171,4539,271,170,18.69,8.37,156.44,NORMAL,Z12
182,19,281,721,148,21.87,8.43,184.36,NORMAL,Z12
183,12,3511,1049,72,14.6,10.02,146.29,FAST,Z19
184,115,2689,385,15,1.58,6.66,10.52,NORMAL,Z7
185,154,1807,431,27,3.67,12.62,46.32,FAST,Z3
186,148,1087,676,148,15.25,6.85,104.46,NORMAL,Z20
187,149,761,987,44,4.53,6.89,31.21,FAST,Z3
188,137,3599,329,178,30.79,8.39,258.33,FAST,Z2
189,76,1490,541,115,17.25,13.3,229.43,NORMAL,Z9
190,179,2167,1058,162,24.29,10.9,264.76,NORMAL,Z2
191,76,4463,1279,65,7.24,9.35,67.69,NORMAL,Z12
192,198,3753,1162,133,21.86,13.82,302.11,FAST,Z1
193,128,2996,213,47,5.79,7.92,45.86,FAST,Z2
194,119,2058,996,26,3.05,7.03,21.44,NORMAL,Z20
195,25,3813,1265,58,9.98,8.5,84.83,FAST,Z1
196,79,99,616,66,7.05,7.34,51.75,FAST,Z5
197,187,1222,542,145,24.94,13.54,337.69,NORMAL,Z17
198,156,4485,164,52,11.45,9.72,111.29,FAST,Z15
199,83,4601,314,165,26.12,9.77,255.19,NORMAL,Z6
200,107,3701,1092,137,16.28,10.9,177.45,NORMAL,Z4
201,135,4908,1120,46,7.75,13.82,107.11,NORMAL,Z6
202,76,3854,174,171,24.5,8.12,198.94,FAST,Z5
203,107,1304,429,174,23.79,10.47,249.08,NORMAL,Z6
204,9,714,1358,137,15.31,7.21,110.39,FAST,Z17
205,33,585,1278,15,2.43,8.27,20.1,NORMAL,Z2
206,137,4995,1379,168,28.44,8.25,234.63,NORMAL,Z3
207,190,237,526,148,20.34,12.75,259.33,NORMAL,Z5
208,171,3370,908,15,2.11,9.91,20.91,NORMAL,Z10
209,188,1512,468,46,6.75,13.34,90.05,NORMAL,Z5
210,180,3651,834,83,19.48,9.95,193.83,NORMAL,Z1
211,45,124,340,82,15.82,9.42,149.02,NORMAL,Z2
212,192,2495,742,75,8.51,6.71,57.1,NORMAL,Z8
213,3,2955,63,32,3.29,9.1,29.94,FAST,Z19
214,165,3547,914,23,2.44,7.77,18.96,FAST,Z6
215,86,399,327,94,13.01,8.9,115.79,NORMAL,Z19
216,119,2222,933,171,31.38,6.78,212.76,FAST,Z6
217,159,3641,559,70,9.33,13.74,128.19,FAST,Z18
218,94,3174,982,75,10.54,9.58,100.97,NORMAL,Z4
219,187,2372,1058,23,4.78,13.27,63.43,FAST,Z11
220,135,3032,759,163,23.11,6.64,153.45,NORMAL,Z6
221,181,2228,330,68,15.63,7.52,117.54,NORMAL,Z16
222,86,2978,507,92,17.61,9.88,173.99,NORMAL,Z6
223,125,491,737,43,5.9,6.88,40.59,NORMAL,Z13
224,184,1367,550,156,22.48,13.11,294.71,FAST,Z6
225,135,3985,650,133,26.98,7.76,209.36,NORMAL,Z19
226,73,3532,894,82,19.65,6.74,132.44,NORMAL,Z15
227,7,3765,305,104,18.21,7.87,143.31,NORMAL,Z9
228,118,4227,832,67,9.41,7.02,66.06,FAST,Z11
229,83,2135,472,107,19.71,9.17,180.74,NORMAL,Z11
230,197,165,1198,128,15.68,13.19,206.82,NORMAL,Z20
231,26,1780,831,58,5.89,9.48,55.84,NORMAL,Z18
232,46,3746,1383,41,4.15,6.34,26.31,NORMAL,Z2
233,10,509,788,177,33.94,6.92,234.86,FAST,Z5
234,56,2535,1081,156,34.33,12.57,431.53,FAST,Z7
235,115,945,181,144,16.48,9.49,156.4,FAST,Z7
236,75,3741,386,50,7.46,6.99,52.15,FAST,Z9
237,110,2919,199,154,19.61,6.53,128.05,FAST,Z16
238,45,4549,1419,129,25.56,7.91,202.18,NORMAL,Z7
239,162,1994,972,86,8.71,8.58,74.73,NORMAL,Z7
240,168,581,971,113,14.93,6.09,90.92,FAST,Z16
241,39,3145,771,58,5.81,7.02,40.79,FAST,Z11
242,13,989,564,17,3.9,13.27,51.75,FAST,Z15
243,116,3794,1432,153,37.63,6.87,258.52,FAST,Z1
244,15,2056,1382,23,5.23,7.03,36.77,FAST,Z14
245,74,3482,1374,50,6.96,9.55,66.47,NORMAL,Z16
246,199,4939,347,132,14.47,7.78,112.58,FAST,Z14
247,38,899,235,16,1.62,6.02,9.75,FAST,Z11
248,144,46,719,113,18.21,9.87,179.73,FAST,Z20
249,95,695,1260,106,13.13,9.36,122.9,FAST,Z7
250,125,782,1042,166,19.94,10.99,219.14,NORMAL,Z14
251,85,2578,807,139,23.68,8.33,197.25,NORMAL,Z12
252,147,4055,433,156,19.59,10.68,209.22,NORMAL,Z16
253,132,4660,1187,144,17.43,9.85,171.69,NORMAL,Z14
254,146,1837,473,144,31.68,13.36,423.24,FAST,Z1
255,66,2290,978,168,25.71,9.12,234.48,NORMAL,Z13
256,136,2274,54,143,16.88,7.75,130.82,NORMAL,Z1
257,50,1248,1300,108,14.54,6.08,88.4,NORMAL,Z4
258,16,2909,985,18,2.26,6.63,14.98,FAST,Z17
259,69,3718,884,128,15.74,6.61,104.04,NORMAL,Z14
260,96,4733,1241,127,23.63,6.44,152.18,FAST,Z11
261,156,713,1406,135,28.59,7.33,209.56,FAST,Z3
262,158,3512,397,66,10.97,7.89,86.55,FAST,Z4
263,92,1189,1239,177,26.22,8.25,216.31,NORMAL,Z19
264,186,1761,78,76,9.4,8.16,76.7,FAST,Z8
265,89,3166,23,124,18.58,6.14,114.08,FAST,Z3
266,12,2221,299,177,20.52,9.16,187.96,FAST,Z18
267,144,2531,11,157,28.86,8.92,257.43,NORMAL,Z19
268,163,4397,1115,107,14.24,11.89,169.31,FAST,Z14
269,190,2810,936,36,4.0,6.77,27.08,FAST,Z9
270,36,4088,844,71,8.76,7.2,63.07,FAST,Z3
271,152,3299,1110,143,28.62,10.14,290.21,FAST,Z12
272,82,1418,313,145,18.14,9.61,174.33,NORMAL,Z8
273,45,2020,51,36,5.8,9.75,56.55,NORMAL,Z16
274,6,2924,1119,24,2.8,12.32,34.5,NORMAL,Z16
275,150,1441,469,119,11.91,13.34,158.88,FAST,Z13
276,73,963,1237,43,8.81,6.56,57.79,NORMAL,Z13
277,173,1460,980,131,21.02,7.05,148.19,NORMAL,Z8
278,196,1091,204,32,3.75,6.87,25.76,FAST,Z19
279,146,3807,1074,20,3.79,13.14,49.8,FAST,Z19
280,97,4763,482,108,25.36,9.14,231.79,NORMAL,Z16
281,9,2071,423,50,10.11,11.44,115.66,NORMAL,Z12
282,122,2912,1313,147,16.86,8.34,140.61,NORMAL,Z6
283,183,4671,841,116,24.94,8.26,206.0,FAST,Z7
284,74,4305,1102,43,8.5,12.25,104.12,FAST,Z5
285,24,4225,274,46,8.81,8.92,78.59,FAST,Z20
286,131,2586,217,21,2.21,9.4,20.77,FAST,Z1
287,124,1123,1331,59,9.79,6.96,68.14,FAST,Z17
288,92,97,1064,141,21.96,10.49,230.36,NORMAL,Z16
289,158,3362,1310,158,33.34,9.81,327.07,FAST,Z20
290,144,3852,225,24,2.48,9.53,23.63,NORMAL,Z3
291,63,3049,901,43,4.7,7.65,35.96,NORMAL,Z6
292,43,1213,1301,38,6.65,8.56,56.92,NORMAL,Z4
293,187,2600,484,173,36.49,13.26,483.86,NORMAL,Z13
294,173,3219,1245,90,14.43,6.53,94.23,FAST,Z8
295,120,2749,1112,176,27.75,13.02,361.31,FAST,Z15
296,55,779,672,27,4.68,7.98,37.35,NORMAL,Z15
297,197,2653,549,170,21.4,10.97,234.76,NORMAL,Z8
298,54,319,1051,112,18.71,11.07,207.12,FAST,Z11
299,17,145,1177,106,14.1,10.28,144.95,FAST,Z12
300,158,2882,710,151,17.95,9.01,161.73,FAST,Z20
301,152,3702,881,69,15.97,6.81,108.76,FAST,Z2
302,57,2915,596,169,25.1,10.2,256.02,NORMAL,Z16
303,90,4857,916,159,19.9,7.85,156.21,FAST,Z2
304,152,4106,797,24,3.18,6.96,22.13,NORMAL,Z1
305,46,371,468,34,4.22,12.59,53.13,NORMAL,Z16
306,46,15,28,65,14.94,8.95,133.71,NORMAL,Z13
307,176,552,757,49,5.54,9.99,55.34,NORMAL,Z17
308,39,1144,1087,25,2.51,10.93,27.43,FAST,Z7
309,132,1747,495,44,4.7,9.07,42.63,NORMAL,Z9
310,166,2032,429,19,2.68,10.67,28.6,NORMAL,Z11
311,67,3666,1373,51,8.6,7.71,66.31,NORMAL,Z17
312,25,191,407,140,29.76,9.11,271.11,NORMAL,Z5
313,16,1094,1287,28,3.28,8.46,27.75,FAST,Z1
314,2,2827,1110,125,13.8,9.16,126.41,NORMAL,Z7
315,140,2047,977,149,23.72,7.25,171.97,NORMAL,Z16
316,78,934,1333,91,10.47,9.13,95.59,NORMAL,Z17
317,26,939,779,23,4.88,7.33,35.77,FAST,Z7
318,150,4689,588,41,6.45,9.01,58.11,FAST,Z20
319,50,580,1028,70,10.28,12.7,130.56,FAST,Z2
320,43,1888,375,77,12.58,7.51,94.48,NORMAL,Z17
321,98,4861,590,176,26.65,9.46,252.11,FAST,Z18
322,36,473,10,152,16.44,6.89,113.27,FAST,Z2
323,162,2879,289,131,25.34,7.31,185.24,NORMAL,Z6
324,151,2480,1266,53,8.21,6.87,56.4,FAST,Z12
325,29,1377,99,103,15.16,8.84,134.01,FAST,Z18
326,8,1611,446,174,26.03,11.22,292.06,FAST,Z12
327,135,3347,720,132,14.67,6.11,89.63,FAST,Z7
328,81,3803,1414,108,15.84,9.53,150.96,NORMAL,Z8
329,99,284,410,27,3.3,6.77,22.34,FAST,Z2
330,84,3681,1131,69,7.24,10.51,76.09,NORMAL,Z5
331,39,4557,192,54,7.31,8.12,59.36,FAST,Z13
332,126,4741,746,115,11.72,7.88,92.35,FAST,Z12
333,59,1290,243,27,3.7,9.86,36.48,FAST,Z15
334,131,1094,562,18,2.2,13.23,29.11,NORMAL,Z19
335,133,2162,394,133,15.95,8.58,136.85,FAST,Z9
336,198,4744,9,115,18.6,8.96,166.66,NORMAL,Z11
337,71,3398,388,30,3.25,8.01,26.03,NORMAL,Z17
338,114,2218,669,43,6.75,7.57,51.1,FAST,Z6
339,156,3442,1203,17,3.59,9.46,33.96,NORMAL,Z12
340,153,1202,1055,145,20.73,13.12,271.98,FAST,Z16
341,116,1471,275,17,1.82,9.59,17.45,NORMAL,Z14
342,59,1120,770,18,1.83,8.77,16.05,NORMAL,Z18
343,183,2318,1225,110,19.01,8.87,168.62,FAST,Z7
344,5,2008,1034,29,4.06,11.43,46.41,FAST,Z8
345,169,4282,111,120,15.65,9.09,142.26,FAST,Z16
346,59,1352,151,116,13.89,7.0,97.23,NORMAL,Z15
347,167,4926,49,105,20.53,7.88,161.78,FAST,Z4
348,170,498,399,68,6.84,8.78,60.06,NORMAL,Z9
349,156,2679,217,172,24.48,7.45,182.38,FAST,Z18
350,69,4995,1125,109,15.55,13.66,212.41,FAST,Z18
351,117,311,1081,39,7.71,11.88,91.59,FAST,Z14
352,85,2139,1297,110,14.36,6.7,96.21,NORMAL,Z7
353,109,3580,766,180,37.05,7.29,270.09,FAST,Z3
354,124,2490,545,105,22.0,13.1,288.2,NORMAL,Z13
355,105,1103,295,87,18.52,6.32,117.05,FAST,Z7
356,187,560,713,177,33.49,9.31,311.79,NORMAL,Z20
357,72,3387,1431,127,15.65,7.5,117.38,FAST,Z17
358,152,4193,1101,33,5.94,10.16,60.35,NORMAL,Z18
359,155,595,118,21,2.77,9.12,25.26,FAST,Z12
360,7,3617,630,38,4.03,9.08,36.59,FAST,Z17
361,19,1057,845,46,8.98,9.18,82.44,FAST,Z10
362,16,1963,1211,135,18.58,7.96,147.9,NORMAL,Z5
363,6,1612,1060,72,8.22,10.75,88.37,NORMAL,Z8
364,191,4901,1379,94,13.31,6.63,88.25,FAST,Z20
365,2,1205,673,41,6.78,9.59,65.02,FAST,Z11
366,76,4271,976,157,18.81,8.62,162.14,NORMAL,Z11
367,159,3327,1291,177,18.56,6.95,128.99,FAST,Z6
368,24,3104,160,90,10.94,9.74,106.56,FAST,Z12
369,125,4495,613,114,28.07,8.29,232.7,FAST,Z1
370,142,4007,85,68,8.89,9.93,88.28,NORMAL,Z1
371,26,490,204,118,21.93,8.88,194.74,FAST,Z4
372,136,3764,1011,133,20.62,6.11,125.99,FAST,Z6
373,43,1679,1140,169,18.92,12.48,236.12,NORMAL,Z15
374,75,4146,1190,175,19.1,10.71,204.56,FAST,Z7
375,150,2827,1076,176,25.98,9.43,244.99,FAST,Z17
376,2,541,1053,178,39.59,12.36,489.33,NORMAL,Z6
377,9,1616,1430,125,26.83,8.6,230.74,NORMAL,Z10
378,111,3774,690,49,7.32,7.29,53.36,NORMAL,Z20
379,126,2506,1293,108,19.23,7.17,137.88,NORMAL,Z18
380,100,932,1120,106,14.45,11.57,167.19,FAST,Z6
381,24,4816,895,17,1.94,6.89,13.37,NORMAL,Z17
382,20,4095,1392,73,10.06,7.21,72.53,FAST,Z19
383,51,3327,639,169,26.81,7.85,210.46,FAST,Z20
384,136,872,244,177,22.33,6.69,149.39,FAST,Z13
385,19,1669,1195,24,2.79,13.7,38.22,FAST,Z16
386,19,2099,302,50,5.06,9.42,47.67,NORMAL,Z20
387,136,3902,812,125,12.52,8.41,105.29,FAST,Z6
388,115,3928,1105,156,15.68,12.92,202.59,NORMAL,Z8
389,171,157,1323,109,12.47,8.96,111.73,FAST,Z11
390,102,2793,909,103,10.93,8.53,93.23,NORMAL,Z5
391,87,3031,333,55,7.54,6.5,49.01,FAST,Z14
392,128,498,250,19,4.61,7.35,33.88,FAST,Z19
393,104,360,954,114,15.93,6.5,103.55,FAST,Z16
394,86,4868,207,42,6.45,6.91,44.57,FAST,Z14
395,99,4409,1291,87,13.16,6.84,90.01,FAST,Z9
396,41,4702,306,30,4.46,7.09,31.62,NORMAL,Z15
397,129,1896,358,166,41.09,9.44,387.89,FAST,Z15
398,177,2718,1310,159,18.92,8.84,167.25,NORMAL,Z4
399,96,2777,423,92,18.93,11.84,224.13,FAST,Z8
400,187,499,791,30,6.39,8.75,55.91,FAST,Z10
401,32,1515,732,83,11.17,8.74,97.63,FAST,Z1
402,163,2351,107,87,15.6,9.61,149.92,NORMAL,Z14
403,49,1824,925,115,22.72,6.9,156.77,NORMAL,Z11
404,30,2996,634,141,34.68,7.06,244.84,FAST,Z7
405,184,2119,503,167,28.23,13.02,367.55,FAST,Z6
406,85,3748,102,108,12.36,7.05,87.14,NORMAL,Z11
407,16,3825,1073,172,23.93,12.92,309.18,FAST,Z12
408,58,248,165,136,18.51,6.23,115.32,NORMAL,Z18
409,82,1987,731,72,13.6,7.36,100.1,FAST,Z14
410,167,4213,605,169,27.96,7.53,210.54,FAST,Z5
411,185,4037,413,49,6.28,7.21,45.28,NORMAL,Z15
412,167,4135,377,29,2.93,9.56,28.01,NORMAL,Z16
413,187,3730,1133,33,7.02,10.25,71.95,FAST,Z7
414,153,3578,595,149,33.85,10.83,366.6,NORMAL,Z2
415,3,458,909,137,20.58,6.61,136.03,FAST,Z12
416,140,2838,1435,33,7.21,7.73,55.73,FAST,Z19
417,38,2663,53,83,9.24,9.51,87.87,FAST,Z4
418,119,1009,1194,59,7.91,9.82,77.68,FAST,Z18
419,54,4541,843,123,13.2,7.62,100.58,NORMAL,Z8
420,175,2042,651,59,6.21,6.5,40.37,FAST,Z18
421,121,1668,490,113,21.42,11.21,240.12,FAST,Z10
422,28,1650,1046,23,4.21,10.26,43.19,FAST,Z14
423,159,2190,1385,133,21.89,6.48,141.85,FAST,Z19
424,15,178,1417,145,14.71,8.37,123.12,NORMAL,Z12
425,165,1086,772,177,27.48,7.08,194.56,FAST,Z6
426,190,1282,523,157,17.8,11.33,201.67,FAST,Z8
427,51,807,912,69,9.36,7.27,68.05,NORMAL,Z12
428,119,4332,193,19,2.4,8.8,21.12,FAST,Z20
429,30,2992,959,87,13.06,7.13,93.12,NORMAL,Z9
430,90,1621,331,28,3.77,7.62,28.73,NORMAL,Z9
431,112,4088,638,63,12.22,8.11,99.1,NORMAL,Z1
432,31,350,1354,16,1.88,6.99,13.14,FAST,Z17
