request_id,household_id,waste_type,zone,requested_time_min,assigned_truck_id,estimated_pickup_time_min,load_kg
391,1375,DRY,Z10,1135,127,1146,38.5
392,3776,PLASTIC,Z9,221,199,327,5.3
393,2575,WET,Z14,434,31,595,16.2
394,5456,EWASTE,Z15,93,93,210,57.8
395,4102,PLASTIC,Z13,649,128,764,5.1
396,1154,WET,Z1,688,104,848,22.9
397,6990,EWASTE,Z14,1435,135,1539,8.3
398,5912,DRY,Z18,891,23,1021,59.6
399,2507,WET,Z12,193,105,367,29.1
400,4625,EWASTE,Z15,177,23,275,23.1
401,6697,EWASTE,Z23,412,146,550,14.4
402,4033,DRY,Z23,32,179,184,49.5
403,6763,WET,Z15,582,127,609,24.3
404,4981,PLASTIC,Z15,1239,116,1323,18.7
405,5048,EWASTE,Z1,1017,97,1129,38.5
406,895,DRY,Z3,595,85,762,51.1
407,5302,DRY,Z17,652,182,670,57.8
408,4101,EWASTE,Z25,747,67,888,41.9
409,3317,EWASTE,Z5,801,83,824,12.5
410,7080,PLASTIC,Z8,1374,134,1440,30.9
411,2061,WET,Z5,1241,39,1309,32.1
412,2314,EWASTE,Z18,333,14,361,11.8
413,3472,PLASTIC,Z5,484,147,560,47.1
414,5720,WET,Z11,712,191,824,58.4
415,4491,PLASTIC,Z19,1150,112,1227,9.0
416,1018,DRY,Z22,1384,114,1428,3.0
417,2113,DRY,Z1,2,43,125,34.9
418,5515,DRY,Z3,1082,89,1239,36.7
419,4601,WET,Z8,1279,192,1430,25.3
420,2226,WET,Z10,64,25,176,9.2
421,4844,WET,Z3,512,72,682,38.7
422,344,DRY,Z2,749,23,760,40.4
423,2280,PLASTIC,Z14,1299,180,1446,52.5
424,3086,PLASTIC,Z24,1160,183,1283,40.7
425,5045,WET,Z14,429,159,482,9.8
426,6987,WET,Z14,949,102,1110,40.5
427,4395,WET,Z6,1071,170,1103,49.4
428,3692,PLASTIC,Z17,1116,10,1237,39.0
429,1017,WET,Z16,1127,18,1162,11.8
430,4669,DRY,Z21,936,151,1109,42.3
431,5381,PLASTIC,Z16,1373,3,1513,13.2
432,3975,DRY,Z11,456,46,552,3.9
433,7239,DRY,Z7,585,14,661,31.4
434,800,PLASTIC,Z25,1252,151,1333,38.4
435,7670,PLASTIC,Z1,864,78,904,3.3
436,2139,PLASTIC,Z16,1121,40,1250,41.3
437,4589,DRY,Z8,21,23,45,43.1
438,490,EWASTE,Z19,611,139,623,25.4
439,303,EWASTE,Z7,349,182,434,53.9
440,7037,DRY,Z22,745,150,824,51.4
441,248,DRY,Z15,765,111,870,36.9
442,5029,DRY,Z21,1242,7,1405,25.5
443,820,WET,Z3,623,19,679,33.2
444,186,DRY,Z12,187,122,354,29.7
445,4175,DRY,Z15,908,193,1077,42.7
446,2077,PLASTIC,Z24,1373,21,1411,55.4
447,4133,PLASTIC,Z2,69,45,234,50.3
448,6814,EWASTE,Z4,354,32,447,11.1
449,1239,EWASTE,Z17,597,103,673,34.5
450,5290,DRY,Z1,457,57,501,16.8
451,3391,EWASTE,Z6,249,14,408,27.1
452,2668,WET,Z25,650,130,739,59.9
453,5441,PLASTIC,Z10,319,6,423,12.7
454,4914,WET,Z20,1105,150,1188,37.4
455,1371,EWASTE,Z5,798,112,885,8.1
456,444,DRY,Z15,773,37,887,41.9
457,4502,PLASTIC,Z17,1082,22,1187,54.0
458,6435,WET,Z10,529,122,557,55.2
459,1118,EWASTE,Z9,129,187,193,22.1
460,340,DRY,Z24,1408,76,1540,4.6
461,5214,WET,Z10,79,4,141,20.8
462,633,EWASTE,Z10,736,9,748,50.6
463,1123,DRY,Z16,321,93,484,35.3
464,5741,WET,Z14,1060,50,1210,47.1
465,695,PLASTIC,Z10,510,60,681,13.5
466,3595,EWASTE,Z8,612,69,672,58.6
467,5936,WET,Z25,456,90,472,39.0
468,2850,WET,Z5,1280,125,1389,10.9
469,6102,EWASTE,Z22,1226,122,1305,34.7
470,2223,EWASTE,Z15,1239,24,1356,10.1
471,1640,EWASTE,Z4,833,84,881,35.4
472,4531,PLASTIC,Z13,264,57,415,52.8
473,7018,DRY,Z20,653,75,833,38.5
474,2426,EWASTE,Z24,964,16,1053,38.1
475,539,PLASTIC,Z24,896,4,924,50.0
476,6168,DRY,Z14,27,149,164,55.3
477,541,WET,Z1,661,34,682,50.0
478,4837,DRY,Z22,1365,134,1487,40.4
479,871,EWASTE,Z5,1279,146,1361,11.4
480,3380,PLASTIC,Z7,755,138,852,11.0
481,2488,WET,Z12,1145,96,1207,43.7
482,5455,EWASTE,Z2,1422,108,1530,33.9
483,7321,DRY,Z20,1344,48,1405,30.8
484,2673,PLASTIC,Z21,921,61,1066,50.3
485,4303,DRY,Z22,641,26,729,34.3
486,238,DRY,Z1,225,124,405,14.2
487,6476,WET,Z25,702,37,763,7.7
488,5598,WET,Z17,508,179,658,6.3
489,2372,EWASTE,Z15,181,111,194,22.3
490,7767,EWASTE,Z19,881,50,920,34.7
491,6222,WET,Z10,148,145,177,28.6
492,7395,PLASTIC,Z8,372,181,508,38.6
493,289,WET,Z20,760,162,824,8.1
494,2534,DRY,Z5,1152,39,1162,10.6
495,6092,DRY,Z20,548,37,626,2.1
496,4396,WET,Z6,453,3,506,2.5
497,5770,WET,Z14,333,103,361,10.0
498,4683,WET,Z11,942,182,966,56.3
499,3952,WET,Z19,496,187,666,19.9
500,5465,WET,Z24,624,179,777,53.8
501,4939,EWASTE,Z8,92,176,136,26.2
502,3025,DRY,Z5,1284,136,1395,30.8
503,5196,WET,Z14,1249,179,1416,59.5
504,6887,WET,Z3,1276,10,1348,2.0
505,1314,EWASTE,Z20,129,149,230,40.0
506,5219,PLASTIC,Z23,1153,88,1219,22.3
507,6837,EWASTE,Z15,756,29,783,27.6
508,988,WET,Z25,681,132,783,27.4
509,6618,DRY,Z3,1113,77,1281,26.7
510,2148,PLASTIC,Z2,253,76,354,7.1
511,6508,WET,Z4,96,186,120,51.3
512,2605,EWASTE,Z8,247,122,276,47.9
513,5420,PLASTIC,Z17,1275,69,1380,34.5
514,3222,EWASTE,Z6,1075,157,1133,45.8
515,3841,WET,Z25,1153,35,1273,26.6
516,6638,DRY,Z9,348,180,495,17.0
517,6115,EWASTE,Z4,1007,153,1119,22.2
518,5623,EWASTE,Z21,917,4,936,21.9
519,3658,DRY,Z12,74,24,241,33.5
520,4339,DRY,Z8,75,6,245,51.4
521,7080,PLASTIC,Z5,1040,177,1128,30.5
522,2269,PLASTIC,Z4,410,30,536,4.4
523,2859,EWASTE,Z21,46,39,191,24.2
524,6129,DRY,Z20,1338,70,1458,54.5
525,1609,DRY,Z10,1330,27,1369,3.7
526,5302,EWASTE,Z12,1075,141,1088,4.6
527,6427,DRY,Z7,693,175,753,11.0
528,934,EWASTE,Z8,178,113,314,46.9
529,1367,EWASTE,Z22,1399,50,1504,9.5
530,5714,PLASTIC,Z15,553,115,634,32.0
531,2477,EWASTE,Z2,983,45,1097,11.5
532,5798,EWASTE,Z5,1151,113,1204,22.9
533,6226,DRY,Z23,970,93,1025,23.6
534,4849,PLASTIC,Z25,1210,22,1250,40.5
535,4500,PLASTIC,Z3,1310,132,1465,13.4
536,1615,WET,Z11,862,179,895,28.7
537,1426,DRY,Z14,949,29,964,53.6
538,7062,WET,Z22,1419,56,1512,38.0
539,3514,PLASTIC,Z4,585,105,672,22.7
540,7818,PLASTIC,Z21,1340,44,1377,34.6
541,7297,EWASTE,Z20,173,160,199,13.0
542,1495,PLASTIC,Z20,762,25,781,42.3
543,3370,WET,Z5,1208,62,1318,3.7
544,205,WET,Z18,874,40,924,19.0
545,2018,EWASTE,Z10,740,138,750,41.6
546,3712,EWASTE,Z3,1339,95,1505,48.0
547,4507,DRY,Z25,1150,130,1209,56.2
548,5496,DRY,Z23,568,124,653,25.6
549,7017,PLASTIC,Z8,131,90,173,7.4
550,3673,DRY,Z10,997,32,1060,6.0
551,1480,PLASTIC,Z11,1122,189,1234,57.5
552,1999,WET,Z25,570,26,707,26.4
553,4525,WET,Z14,1330,107,1448,12.2
554,6341,DRY,Z12,163,149,338,51.5
555,1820,PLASTIC,Z6,1215,172,1286,14.8
556,6026,EWASTE,Z23,457,156,524,30.2
557,3338,PLASTIC,Z10,268,133,383,41.1
558,2893,WET,Z2,495,128,549,18.0
559,3410,PLASTIC,Z10,656,17,691,44.4
560,348,DRY,Z6,771,45,845,40.7
561,5977,PLASTIC,Z3,80,141,259,6.9
562,6612,EWASTE,Z2,566,52,687,49.3
563,2254,DRY,Z9,1419,144,1483,30.8
564,1747,DRY,Z13,974,168,1019,50.3
565,4120,DRY,Z22,1397,66,1474,6.3
566,1992,WET,Z11,524,148,679,4.3
